onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.36818594104,0.250827664399,4,1,-2,3,'4/4',NC,I1,0,45
2.61901360544,0.250827664399,4,1,-2,4,'4/4',NC,I1,0,40
2.86984126984,0.232936507937,4,1,-1,1,'4/4',NC,I1,0,40
3.10277777778,0.232936507937,4,1,-1,2,'4/4',NC,I1,0,37
3.33571428571,0.245941043084,4,1,-1,3,'4/4',NC,I1,0,40
3.5816553288,0.245941043084,4,1,-1,4,'4/4',NC,I1,0,40
3.82759637188,0.238276643991,4,1,0,1,'4/4',NC,I1,0,40
4.06587301587,0.238276643991,4,1,0,2,'4/4',NC,I1,0,40
4.30414965986,0.240941043084,4,1,0,3,'4/4',NC,I1,0,40
4.54509070295,0.240941043084,4,1,0,4,'4/4',NC,I1,0,42
4.78603174603,0.255578231293,4,1,1,1,'4/4',Ab7,A1,1,40
5.04160997732,0.255578231293,4,1,1,2,'4/4',Ab7,A1,1,40
5.29718820862,0.248083900227,4,1,1,3,'4/4',Ab7,A1,1,47
5.54527210884,0.248083900227,4,1,1,4,'4/4',Ab7,A1,1,40
5.79335600907,0.250793650794,4,1,2,1,'4/4',Ab7,A1,1,40
6.04414965986,0.250793650794,4,1,2,2,'4/4',Ab7,A1,1,40
6.29494331066,0.255702947846,4,1,2,3,'4/4',Ab7,A1,1,45
6.5506462585,0.255702947846,4,1,2,4,'4/4',Ab7,A1,1,41
6.80634920635,0.260646258503,4,1,3,1,'4/4',Ab7,A1,1,40
7.06699546485,0.260646258503,4,1,3,2,'4/4',Ab7,A1,1,40
7.32764172336,0.241009070295,4,1,3,3,'4/4',Ab7,A1,1,40
7.56865079365,0.241009070295,4,1,3,4,'4/4',Ab7,A1,1,40
7.80965986395,0.243072562358,4,1,4,1,'4/4',Ab7,A1,1,40
8.0527324263,0.243072562358,4,1,4,2,'4/4',Ab7,A1,1,42
8.29580498866,0.237766439909,4,1,4,3,'4/4',Ab7,A1,1,40
8.53357142857,0.237766439909,4,1,4,4,'4/4',Ab7,A1,1,43
8.77133786848,0.241496598639,4,1,5,1,'4/4',Eb6,A1,1,40
9.01283446712,0.241496598639,4,1,5,2,'4/4',Eb6,A1,1,40
9.25433106576,0.238231292517,4,1,5,3,'4/4',Eb6,A1,1,40
9.49256235828,0.238231292517,4,1,5,4,'4/4',Eb6,A1,1,40
9.73079365079,0.260623582766,4,1,6,1,'4/4',Eb6,A1,1,40
9.99141723356,0.260623582766,4,1,6,2,'4/4',Eb6,A1,1,40
10.2520408163,0.250725623583,4,1,6,3,'4/4',Eb6,A1,1,40
10.5027664399,0.250725623583,4,1,6,4,'4/4',Eb6,A1,1,43
10.7534920635,0.245861678005,4,1,7,1,'4/4',Eb6,A1,1,40
10.9993537415,0.245861678005,4,1,7,2,'4/4',Eb6,A1,1,40
11.2452154195,0.260544217687,4,1,7,3,'4/4',Eb6,A1,1,46
11.5057596372,0.260544217687,4,1,7,4,'4/4',Eb6,A1,1,40
11.7663038549,0.250861678005,4,1,8,1,'4/4',Eb6,A1,1,40
12.0171655329,0.250861678005,4,1,8,2,'4/4',Eb6,A1,1,35
12.2680272109,0.242675736961,4,1,8,3,'4/4',Eb6,A1,1,45
12.5107029478,0.242675736961,4,1,8,4,'4/4',Eb6,A1,1,42
12.7533786848,0.250804988662,4,1,9,1,'4/4',Ab7,A1,1,40
13.0041836735,0.250804988662,4,1,9,2,'4/4',Ab7,A1,1,40
13.2549886621,0.246893424036,4,1,9,3,'4/4',Ab7,A1,1,46
13.5018820862,0.246893424036,4,1,9,4,'4/4',Ab7,A1,1,40
13.7487755102,0.264467120181,4,1,10,1,'4/4',Ab7,A1,1,40
14.0132426304,0.264467120181,4,1,10,2,'4/4',Ab7,A1,1,40
14.2777097506,0.255691609977,4,1,10,3,'4/4',Ab7,A1,1,46
14.5334013605,0.255691609977,4,1,10,4,'4/4',Ab7,A1,1,40
14.7890929705,0.255759637188,4,1,11,1,'4/4',Ab7,A1,1,40
15.0448526077,0.255759637188,4,1,11,2,'4/4',Ab7,A1,1,37
15.3006122449,0.245850340136,4,1,11,3,'4/4',Ab7,A1,1,40
15.546462585,0.245850340136,4,1,11,4,'4/4',Ab7,A1,1,40
15.7923129252,0.248129251701,4,1,12,1,'4/4',Ab7,A1,1,40
16.0404421769,0.248129251701,4,1,12,2,'4/4',Ab7,A1,1,41
16.2885714286,0.246825396825,4,1,12,3,'4/4',Ab7,A1,1,40
16.5353968254,0.246825396825,4,1,12,4,'4/4',Ab7,A1,1,37
16.7822222222,0.249614512472,4,1,13,1,'4/4',Eb6,A1,1,40
17.0318367347,0.249614512472,4,1,13,2,'4/4',Eb6,A1,1,40
17.2814512472,0.255419501134,4,1,13,3,'4/4',Eb6,A1,1,40
17.5368707483,0.255419501134,4,1,13,4,'4/4',Eb6,A1,1,43
17.7922902494,0.260975056689,4,1,14,1,'4/4',Eb6,A1,1,40
18.0532653061,0.260975056689,4,1,14,2,'4/4',Eb6,A1,1,43
18.3142403628,0.248151927438,4,1,14,3,'4/4',Eb6,A1,1,47
18.5623922902,0.248151927438,4,1,14,4,'4/4',Eb6,A1,1,40
18.8105442177,0.240476190476,4,1,15,1,'4/4',Eb6,A1,1,40
19.0510204082,0.240476190476,4,1,15,2,'4/4',Eb6,A1,1,37
19.2914965986,0.250804988662,4,1,15,3,'4/4',Eb6,A1,1,40
19.5423015873,0.250804988662,4,1,15,4,'4/4',Eb6,A1,1,40
19.793106576,0.265850340136,4,1,16,1,'4/4',Eb6,A1,1,40
20.0589569161,0.265850340136,4,1,16,2,'4/4',Eb6,A1,1,40
20.3248072562,0.245975056689,4,1,16,3,'4/4',Eb6,A1,1,45
