onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.52653061224,0.240907029478,4,1,0,1,'4/4',Eb,I1,0,41
3.76743764172,0.240907029478,4,1,0,2,'4/4',Eb,I1,0,40
4.0083446712,0.235102040816,4,1,0,3,'4/4',Eb,I1,0,40
4.24344671202,0.235102040816,4,1,0,4,'4/4',Eb,I1,0,43
4.47854875283,0.254750566893,4,1,1,1,'4/4',Eb,A1,1,40
4.73329931973,0.254750566893,4,1,1,2,'4/4',Eb,A1,1,39
4.98804988662,0.246337868481,4,1,1,3,'4/4',Eb,A1,1,40
5.2343877551,0.246337868481,4,1,1,4,'4/4',Eb,A1,1,43
5.48072562358,0.235498866213,4,1,2,1,'4/4',Eb,A1,1,40
5.7162244898,0.235498866213,4,1,2,2,'4/4',Eb,A1,1,40
5.95172335601,0.241848072562,4,1,2,3,'4/4',Eb,A1,1,44
6.19357142857,0.241848072562,4,1,2,4,'4/4',Eb,A1,1,44
6.43541950113,0.239160997732,4,1,3,1,'4/4',Eb,A1,1,39
6.67458049887,0.239160997732,4,1,3,2,'4/4',Eb,A1,1,40
6.9137414966,0.256394557823,4,1,3,3,'4/4',Eb,A1,1,44
7.17013605442,0.256394557823,4,1,3,4,'4/4',Eb,A1,1,40
7.42653061224,0.249285714286,4,1,4,1,'4/4',Eb,A1,1,40
7.67581632653,0.249285714286,4,1,4,2,'4/4',Eb,A1,1,40
7.92510204082,0.239489795918,4,1,4,3,'4/4',Eb,A1,1,40
8.16459183673,0.239489795918,4,1,4,4,'4/4',Eb,A1,1,40
8.40408163265,0.241678004535,4,1,5,1,'4/4',Eb,A1,1,39
8.64575963719,0.241678004535,4,1,5,2,'4/4',Eb,A1,1,40
8.88743764172,0.245090702948,4,1,5,3,'4/4',Eb,A1,1,39
9.13252834467,0.245090702948,4,1,5,4,'4/4',Eb,A1,1,43
9.37761904762,0.245430839002,4,1,6,1,'4/4',Eb,A1,1,43
9.62304988662,0.245430839002,4,1,6,2,'4/4',Eb,A1,1,38
9.86848072562,0.239229024943,4,1,6,3,'4/4',Ab,A1,1,43
10.1077097506,0.239229024943,4,1,6,4,'4/4',Ab,A1,1,43
10.3469387755,0.249886621315,4,1,7,1,'4/4',Eb,A1,1,40
10.5968253968,0.249886621315,4,1,7,2,'4/4',Eb,A1,1,40
10.8467120181,0.245215419501,4,1,7,3,'4/4',Eb,A1,1,37
11.0919274376,0.245215419501,4,1,7,4,'4/4',Eb,A1,1,40
11.3371428571,0.248265306122,4,1,8,1,'4/4',Eb,A1,1,40
11.5854081633,0.248265306122,4,1,8,2,'4/4',Eb,A1,1,44
11.8336734694,0.242256235828,4,1,8,3,'4/4',Eb,A1,1,43
12.0759297052,0.242256235828,4,1,8,4,'4/4',Eb,A1,1,40
12.318185941,0.238004535147,4,1,9,1,'4/4',Bb7,A1,1,40
12.5561904762,0.238004535147,4,1,9,2,'4/4',Bb7,A1,1,41
12.7941950113,0.248979591837,4,1,9,3,'4/4',Bb7,A1,1,40
