onset,duration,period,division,bar,beat,signature,chord,form,chorus_id
2.49614512472,0.21768707483,4,1,-3,3,'4/4',NC,I1,0
2.71383219955,0.21768707483,4,1,-3,4,'4/4',NC,I1,0
2.93151927438,0.197437641723,4,1,-2,1,'4/4',NC,I1,0
3.1289569161,0.197437641723,4,1,-2,2,'4/4',NC,I1,0
3.32639455782,0.218684807256,4,1,-2,3,'4/4',NC,I1,0
3.54507936508,0.218684807256,4,1,-2,4,'4/4',NC,I1,0
3.76376417234,0.205011337868,4,1,-1,1,'4/4',NC,I1,0
3.9687755102,0.205011337868,4,1,-1,2,'4/4',NC,I1,0
4.17378684807,0.221530612245,4,1,-1,3,'4/4',NC,I1,0
4.39531746032,0.221530612245,4,1,-1,4,'4/4',NC,I1,0
4.61684807256,0.206088435374,4,1,0,1,'4/4',NC,I1,0
4.82293650794,0.206088435374,4,1,0,2,'4/4',NC,I1,0
5.02902494331,0.213832199546,4,1,0,3,'4/4',NC,I1,0
5.24285714286,0.213832199546,4,1,0,4,'4/4',NC,I1,0
5.4566893424,0.213253968254,4,1,1,1,'4/4',Bb,A1,1
5.66994331066,0.213253968254,4,1,1,2,'4/4',Bb,A1,1
5.88319727891,0.215487528345,4,1,1,3,'4/4',Bb,A1,1
6.09868480726,0.215487528345,4,1,1,4,'4/4',Bb,A1,1
6.3141723356,0.22358276644,4,1,2,1,'4/4',Bb,A1,1
6.53775510204,0.22358276644,4,1,2,2,'4/4',Bb,A1,1
6.76133786848,0.223684807256,4,1,2,3,'4/4',Bb,A1,1
6.98502267574,0.223684807256,4,1,2,4,'4/4',Bb,A1,1
7.20870748299,0.203390022676,4,1,3,1,'4/4',Bb7,A1,1
7.41209750567,0.203390022676,4,1,3,2,'4/4',Bb7,A1,1
7.61548752834,0.211099773243,4,1,3,3,'4/4',Bb7,A1,1
7.82658730159,0.211099773243,4,1,3,4,'4/4',Bb7,A1,1
8.03768707483,0.213673469388,4,1,4,1,'4/4',Bb7,A1,1
8.25136054422,0.213673469388,4,1,4,2,'4/4',Bb7,A1,1
8.46503401361,0.210623582766,4,1,4,3,'4/4',Bb7,A1,1
8.67565759637,0.210623582766,4,1,4,4,'4/4',Bb7,A1,1
8.88628117914,0.206235827664,4,1,5,1,'4/4',Eb,A1,1
9.0925170068,0.206235827664,4,1,5,2,'4/4',Eb,A1,1
9.29875283447,0.220850340136,4,1,5,3,'4/4',Eb,A1,1
9.5196031746,0.220850340136,4,1,5,4,'4/4',Eb,A1,1
9.74045351474,0.211111111111,4,1,6,1,'4/4',Eb,A1,1
9.95156462585,0.211111111111,4,1,6,2,'4/4',Eb,A1,1
10.162675737,0.205657596372,4,1,6,3,'4/4',Eb,A1,1
10.3683333333,0.205657596372,4,1,6,4,'4/4',Eb,A1,1
10.5739909297,0.219149659864,4,1,7,1,'4/4',Bb,A1,1
10.7931405896,0.219149659864,4,1,7,2,'4/4',Bb,A1,1
11.0122902494,0.210646258503,4,1,7,3,'4/4',Bb,A1,1
11.2229365079,0.210646258503,4,1,7,4,'4/4',Bb,A1,1
11.4335827664,0.206020408163,4,1,8,1,'4/4',Bb,A1,1
11.6396031746,0.206020408163,4,1,8,2,'4/4',Bb,A1,1
11.8456235828,0.216077097506,4,1,8,3,'4/4',Bb,A1,1
12.0617006803,0.216077097506,4,1,8,4,'4/4',Bb,A1,1
12.2777777778,0.215918367347,4,1,9,1,'4/4',F7,A1,1
12.4936961451,0.215918367347,4,1,9,2,'4/4',F7,A1,1
12.7096145125,0.215498866213,4,1,9,3,'4/4',F7,A1,1
12.9251133787,0.215498866213,4,1,9,4,'4/4',F7,A1,1
13.1406122449,0.211099773243,4,1,10,1,'4/4',C-6,A1,1
13.3517120181,0.211099773243,4,1,10,2,'4/4',C-6,A1,1
13.5628117914,0.223571428571,4,1,10,3,'4/4',D7,A1,1
13.78638322,0.223571428571,4,1,10,4,'4/4',D7,A1,1
14.0099546485,0.211111111111,4,1,11,1,'4/4',G-,A1,1
14.2210657596,0.211111111111,4,1,11,2,'4/4',G-,A1,1
14.4321768707,0.215918367347,4,1,11,3,'4/4',G-,A1,1
14.6480952381,0.215918367347,4,1,11,4,'4/4',G-,A1,1
14.8640136054,0.213424036281,4,1,12,1,'4/4',Bb-6,A1,1
15.0774376417,0.213424036281,4,1,12,2,'4/4',Bb-6,A1,1
