onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.03167800454,0.540634920635,4,1,0,2,'4/4',NC,I1,0,43
1.57231292517,0.571315192744,4,1,0,3,'4/4',NC,I1,0,40
2.14362811791,0.5420861678,4,1,0,4,'4/4',NC,I1,0,38
2.68571428571,0.573469387755,4,1,1,1,'4/4',Bb,A1,1,37
3.25918367347,0.584013605442,4,1,1,2,'4/4',Bb,A1,1,37
3.84319727891,0.581179138322,4,1,1,3,'4/4',Bb,A1,1,37
4.42437641723,0.54619047619,4,1,1,4,'4/4',Bb,A1,1,37
4.97056689342,0.575487528345,4,1,2,1,'4/4',D7,A1,1,33
5.54605442177,0.546167800454,4,1,2,2,'4/4',D7,A1,1,38
6.09222222222,0.565941043084,4,1,2,3,'4/4',D7,A1,1,38
6.65816326531,0.555986394558,4,1,2,4,'4/4',D7,A1,1,38
7.21414965986,0.555918367347,4,1,3,1,'4/4',G7,A1,1,43
7.77006802721,0.565782312925,4,1,3,2,'4/4',G7,A1,1,43
8.33585034014,0.530975056689,4,1,3,3,'4/4',G7,A1,1,37
8.86682539683,0.546213151927,4,1,3,4,'4/4',G7,A1,1,37
9.41303854875,0.555873015873,4,1,4,1,'4/4',G7,A1,1,43
9.96891156463,0.561700680272,4,1,4,2,'4/4',G7,A1,1,43
10.5306122449,0.555102040816,4,1,4,3,'4/4',G7,A1,1,37
11.0857142857,0.560929705215,4,1,4,4,'4/4',G7,A1,1,37
11.6466439909,0.556235827664,4,1,5,1,'4/4',C7,A1,1,36
12.2028798186,0.572630385488,4,1,5,2,'4/4',C7,A1,1,36
12.7755102041,0.563265306122,4,1,5,3,'4/4',C7,A1,1,37
13.3387755102,0.566598639456,4,1,5,4,'4/4',C7,A1,1,37
13.9053741497,0.515034013605,4,1,6,1,'4/4',F7,A1,1,37
14.4204081633,0.571972789116,4,1,6,2,'4/4',F7,A1,1,37
14.9923809524,0.57126984127,4,1,6,3,'4/4',F7,A1,1,37
15.5636507937,0.540839002268,4,1,6,4,'4/4',F7,A1,1,37
16.1044897959,0.526666666667,4,1,7,1,'4/4',Bb,A1,1,37
16.6311564626,0.54052154195,4,1,7,2,'4/4',Bb,A1,1,42
17.1716780045,0.581088435374,4,1,7,3,'4/4',Bbo,A1,1,42
17.7527664399,0.54074829932,4,1,7,4,'4/4',Bbo,A1,1,42
18.2935147392,0.556031746032,4,1,8,1,'4/4',C-7,A1,1,42
18.8495464853,0.571088435374,4,1,8,2,'4/4',C-7,A1,1,42
19.4206349206,0.546712018141,4,1,8,3,'4/4',F7,A1,1,42
19.9673469388,0.570702947846,4,1,8,4,'4/4',F7,A1,1,42
20.5380498866,0.596167800454,4,1,9,1,'4/4',Bb,A1,2,37
21.1342176871,0.565714285714,4,1,9,2,'4/4',Bb,A1,2,37
21.6999319728,0.556099773243,4,1,9,3,'4/4',Bb,A1,2,37
22.256031746,0.568458049887,4,1,9,4,'4/4',Bb,A1,2,37
22.8244897959,0.582585034014,4,1,10,1,'4/4',D7,A1,2,38
23.4070748299,0.561360544218,4,1,10,2,'4/4',D7,A1,2,42
23.9684353741,0.585600907029,4,1,10,3,'4/4',D7,A1,2,38
24.5540362812,0.548004535147,4,1,10,4,'4/4',D7,A1,2,38
25.1020408163,0.563832199546,4,1,11,1,'4/4',G7,A1,2,43
25.6658730159,0.565736961451,4,1,11,2,'4/4',G7,A1,2,37
26.2316099773,0.536530612245,4,1,11,3,'4/4',G7,A1,2,37
26.7681405896,0.555941043084,4,1,11,4,'4/4',G7,A1,2,37
27.3240816327,0.546077097506,4,1,12,1,'4/4',G7,A1,2,43
27.8701587302,0.556281179138,4,1,12,2,'4/4',G7,A1,2,43
28.4264399093,0.540476190476,4,1,12,3,'4/4',G7,A1,2,37
28.9669160998,0.518798185941,4,1,12,4,'4/4',G7,A1,2,37
29.4857142857,0.555102040816,4,1,13,1,'4/4',C7,A1,2,36
30.0408163265,0.555102040816,4,1,13,2,'4/4',C7,A1,2,36
30.5959183673,0.530612244898,4,1,13,3,'4/4',C7,A1,2,37
31.1265306122,0.54693877551,4,1,13,4,'4/4',C7,A1,2,37
31.6734693878,0.549977324263,4,1,14,1,'4/4',F7,A1,2,37
32.223446712,0.546167800454,4,1,14,2,'4/4',F7,A1,2,40
32.7696145125,0.556145124717,4,1,14,3,'4/4',F7,A1,2,40
33.3257596372,0.527301587302,4,1,14,4,'4/4',F7,A1,2,40
33.8530612245,0.574920634921,4,1,15,1,'4/4',Bb,A1,2,37
34.4279818594,0.555873015873,4,1,15,2,'4/4',Bb,A1,2,42
34.9838548753,0.559002267574,4,1,15,3,'4/4',Bbo,A1,2,42
35.5428571429,0.555102040816,4,1,15,4,'4/4',Bbo,A1,2,42
36.0979591837,0.571428571429,4,1,16,1,'4/4',C-7,A1,2,42
36.6693877551,0.577596371882,4,1,16,2,'4/4',C-7,A1,2,42
37.246984127,0.590770975057,4,1,16,3,'4/4',F7,A1,2,42
37.837755102,0.578571428571,4,1,16,4,'4/4',F7,A1,2,37
38.4163265306,0.594126984127,4,1,17,1,'4/4',Bb,A1,3,36
39.0104535147,0.565804988662,4,1,17,2,'4/4',Bb,A1,3,43
39.5762585034,0.585442176871,4,1,17,3,'4/4',Bb,A1,3,46
40.1617006803,0.580975056689,4,1,17,4,'4/4',Bb,A1,3,43
40.742675737,0.555827664399,4,1,18,1,'4/4',D7,A1,3,38
41.2985034014,0.575623582766,4,1,18,2,'4/4',D7,A1,3,43
41.8741269841,0.56589569161,4,1,18,3,'4/4',D7,A1,3,40
42.4400226757,0.555963718821,4,1,18,4,'4/4',D7,A1,3,42
42.9959863946,0.565782312925,4,1,19,1,'4/4',G7,A1,3,37
43.5617687075,0.555986394558,4,1,19,2,'4/4',G7,A1,3,37
44.117755102,0.571292517007,4,1,19,3,'4/4',G7,A1,3,44
44.689047619,0.575487528345,4,1,19,4,'4/4',G7,A1,3,43
45.2645351474,0.575600907029,4,1,20,1,'4/4',G7,A1,3,37
45.8401360544,0.57619047619,4,1,20,2,'4/4',G7,A1,3,37
46.4163265306,0.585804988662,4,1,20,3,'4/4',G7,A1,3,43
47.0021315193,0.573378684807,4,1,20,4,'4/4',G7,A1,3,37
47.5755102041,0.555102040816,4,1,21,1,'4/4',C7,A1,3,37
48.1306122449,0.549138321995,4,1,21,2,'4/4',C7,A1,3,42
48.6797505669,0.576734693878,4,1,21,3,'4/4',C7,A1,3,42
49.2564852608,0.590657596372,4,1,21,4,'4/4',C7,A1,3,37
49.8471428571,0.552857142857,4,1,22,1,'4/4',F7,A1,3,43
50.4,0.571428571429,4,1,22,2,'4/4',F7,A1,3,43
50.9714285714,0.578548752834,4,1,22,3,'4/4',F7,A1,3,37
51.5499773243,0.550544217687,4,1,22,4,'4/4',F7,A1,3,37
52.100521542,0.55589569161,4,1,23,1,'4/4',Bb,A1,3,37
52.6564172336,0.571247165533,4,1,23,2,'4/4',Bb,A1,3,37
53.2276643991,0.585464852608,4,1,23,3,'4/4',Bbo,A1,3,47
53.8131292517,0.556054421769,4,1,23,4,'4/4',Bbo,A1,3,37
54.3691836735,0.580952380952,4,1,24,1,'4/4',C-7,A1,3,48
54.9501360544,0.551904761905,4,1,24,2,'4/4',C-7,A1,3,37
55.5020408163,0.555102040816,4,1,24,3,'4/4',F7,A1,3,37
56.0571428571,0.54693877551,4,1,24,4,'4/4',F7,A1,3,37
56.6040816327,0.538775510204,4,1,25,1,'4/4',Bb,B1,3,37
57.1428571429,0.561972789116,4,1,25,2,'4/4',Bb,B1,3,42
57.704829932,0.590816326531,4,1,25,3,'4/4',Bb,B1,3,42
58.2956462585,0.546916099773,4,1,25,4,'4/4',Bb,B1,3,42
58.8425623583,0.530975056689,4,1,26,1,'4/4',D7,B1,3,40
59.373537415,0.590907029478,4,1,26,2,'4/4',D7,B1,3,43
59.9644444444,0.56566893424,4,1,26,3,'4/4',D7,B1,3,37
60.5301133787,0.555963718821,4,1,26,4,'4/4',D7,B1,3,37
61.0860770975,0.555963718821,4,1,27,1,'4/4',G7,B1,3,37
61.6420408163,0.565714285714,4,1,27,2,'4/4',G7,B1,3,37
62.207755102,0.531111111111,4,1,27,3,'4/4',G7,B1,3,37
62.7388662132,0.545804988662,4,1,27,4,'4/4',G7,B1,3,37
63.2846712018,0.543900226757,4,1,28,1,'4/4',G7,B1,3,43
63.8285714286,0.5679138322,4,1,28,2,'4/4',G7,B1,3,42
64.3964852608,0.545986394558,4,1,28,3,'4/4',G7,B1,3,37
64.9424716553,0.567006802721,4,1,28,4,'4/4',G7,B1,3,42
65.509478458,0.555850340136,4,1,29,1,'4/4',C7,B1,3,42
66.0653287982,0.565782312925,4,1,29,2,'4/4',C7,B1,3,42
66.6311111111,0.546145124717,4,1,29,3,'4/4',C7,B1,3,37
67.1772562358,0.537029478458,4,1,29,4,'4/4',C7,B1,3,37
67.7142857143,0.540090702948,4,1,30,1,'4/4',F7,B1,3,39
68.2543764172,0.556009070295,4,1,30,2,'4/4',F7,B1,3,39
68.8103854875,0.581156462585,4,1,30,3,'4/4',F7,B1,3,39
69.3915419501,0.565691609977,4,1,30,4,'4/4',F7,B1,3,35
69.9572335601,0.55589569161,4,1,31,1,'4/4',Bb,B1,3,42
70.5131292517,0.544013605442,4,1,31,2,'4/4',Bb,B1,3,42
71.0571428571,0.55283446712,4,1,31,3,'4/4',Bbo,B1,3,42
71.6099773243,0.526575963719,4,1,31,4,'4/4',Bbo,B1,3,42
72.136553288,0.526575963719,4,1,32,1,'4/4',Bbo,B1,3,42
