onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.7237414966,0.439274376417,4,1,0,1,'4/4',NC,I1,0,43
2.16301587302,0.436984126984,4,1,0,2,'4/4',NC,I1,0,37
2.6,0.441904761905,4,1,0,3,'4/4',NC,I1,0,37
3.0419047619,0.405056689342,4,1,0,4,'4/4',NC,I1,0,43
3.44696145125,0.415623582766,4,1,1,1,'4/4',C7,A1,1,37
3.86258503401,0.404149659864,4,1,1,2,'4/4',C7,A1,1,37
4.26673469388,0.381768707483,4,1,1,3,'4/4',C7,A1,1,37
4.64850340136,0.43462585034,4,1,1,4,'4/4',C7,A1,1,37
5.0831292517,0.406870748299,4,1,2,1,'4/4',F7,A1,1,37
5.49,0.426802721088,4,1,2,2,'4/4',F7,A1,1,38
5.91680272109,0.394421768707,4,1,2,3,'4/4',F7,A1,1,50
6.3112244898,0.394240362812,4,1,2,4,'4/4',F7,A1,1,37
6.70546485261,0.401768707483,4,1,3,1,'4/4',C7,A1,1,37
7.10723356009,0.407437641723,4,1,3,2,'4/4',C7,A1,1,37
7.51467120181,0.424421768707,4,1,3,3,'4/4',C7,A1,1,37
7.93909297052,0.415510204082,4,1,3,4,'4/4',C7,A1,1,37
8.3546031746,0.406734693878,4,1,4,1,'4/4',C7,A1,1,37
8.76133786848,0.388775510204,4,1,4,2,'4/4',C7,A1,1,37
9.15011337868,0.394467120181,4,1,4,3,'4/4',C7,A1,1,37
9.54458049887,0.383922902494,4,1,4,4,'4/4',C7,A1,1,37
9.92850340136,0.424149659864,4,1,5,1,'4/4',F7,A1,1,36
10.3526530612,0.419319727891,4,1,5,2,'4/4',F7,A1,1,38
10.7719727891,0.411700680272,4,1,5,3,'4/4',F7,A1,1,37
11.1836734694,0.419387755102,4,1,5,4,'4/4',F7,A1,1,37
11.6030612245,0.42387755102,4,1,6,1,'4/4',F7,A1,1,38
12.0269387755,0.424761904762,4,1,6,2,'4/4',F7,A1,1,37
12.4517006803,0.426099773243,4,1,6,3,'4/4',F7,A1,1,37
12.8778004535,0.411950113379,4,1,6,4,'4/4',F7,A1,1,43
13.2897505669,0.404716553288,4,1,7,1,'4/4',C7,A1,1,37
13.6944671202,0.401700680272,4,1,7,2,'4/4',C7,A1,1,43
14.0961678005,0.401111111111,4,1,7,3,'4/4',C7,A1,1,37
14.4972789116,0.432811791383,4,1,7,4,'4/4',C7,A1,1,37
14.9300907029,0.399229024943,4,1,8,1,'4/4',C7,A1,1,37
15.3293197279,0.403015873016,4,1,8,2,'4/4',C7,A1,1,37
15.7323356009,0.381133786848,4,1,8,3,'4/4',C7,A1,1,37
16.1134693878,0.383832199546,4,1,8,4,'4/4',C7,A1,1,37
16.4973015873,0.419183673469,4,1,9,1,'4/4',G7,A1,1,50
16.9164852608,0.416848072562,4,1,9,2,'4/4',G7,A1,1,37
17.3333333333,0.390294784581,4,1,9,3,'4/4',G7,A1,1,37
17.7236281179,0.413287981859,4,1,9,4,'4/4',G7,A1,1,37
18.1369160998,0.394965986395,4,1,10,1,'4/4',F7,A1,1,50
18.5318820862,0.421315192744,4,1,10,2,'4/4',F7,A1,1,38
18.9531972789,0.411904761905,4,1,10,3,'4/4',F7,A1,1,37
19.3651020408,0.404920634921,4,1,10,4,'4/4',F7,A1,1,37
19.7700226757,0.392154195011,4,1,11,1,'4/4',C7,A1,1,37
20.1621768707,0.414557823129,4,1,11,2,'4/4',C7,A1,1,37
20.5767346939,0.415646258503,4,1,11,3,'4/4',C7,A1,1,37
20.9923809524,0.426825396825,4,1,11,4,'4/4',C7,A1,1,37
21.4192063492,0.399954648526,4,1,12,1,'4/4',G7,A1,1,42
21.8191609977,0.421927437642,4,1,12,2,'4/4',G7,A1,1,42
22.2410884354,0.391065759637,4,1,12,3,'4/4',G7,A1,1,42
22.632154195,0.427120181406,4,1,12,4,'4/4',G7,A1,1,37
23.0592743764,0.429274376417,4,1,13,1,'4/4',C7,A1,2,37
23.4885487528,0.42156462585,4,1,13,2,'4/4',C7,A1,2,37
23.9101133787,0.42156462585,4,1,13,3,'4/4',C7,A1,2,37
