onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.4777324263,0.332403628118,4,1,0,1,'4/4',Ab,I1,0,43
1.81013605442,0.333242630385,4,1,0,2,'4/4',Ab,I1,0,43
2.14337868481,0.312857142857,4,1,0,3,'4/4',Ab,I1,0,35
2.45623582766,0.331519274376,4,1,0,4,'4/4',Ab,I1,0,40
2.78775510204,0.329750566893,4,1,1,1,'4/4',Bb7,A1,1,53
3.11750566893,0.332698412698,4,1,1,2,'4/4',Bb7,A1,1,37
3.45020408163,0.3220861678,4,1,1,3,'4/4',Bb7,A1,1,37
3.77229024943,0.341904761905,4,1,1,4,'4/4',Bb7,A1,1,42
4.11419501134,0.322811791383,4,1,2,1,'4/4',Eb7,A1,1,42
4.43700680272,0.315578231293,4,1,2,2,'4/4',Eb7,A1,1,35
4.75258503401,0.344603174603,4,1,2,3,'4/4',Eb7,A1,1,42
5.09718820862,0.315600907029,4,1,2,4,'4/4',Eb7,A1,1,39
5.41278911565,0.331995464853,4,1,3,1,'4/4',Ab,A1,1,37
5.7447845805,0.324535147392,4,1,3,2,'4/4',Ab,A1,1,39
6.06931972789,0.320317460317,4,1,3,3,'4/4',Ab,A1,1,39
6.38963718821,0.318843537415,4,1,3,4,'4/4',Ab,A1,1,43
6.70848072562,0.334603174603,4,1,4,1,'4/4',Ab,A1,1,43
7.04308390023,0.324058956916,4,1,4,2,'4/4',Ab,A1,1,43
7.36714285714,0.332947845805,4,1,4,3,'4/4',Abo,A1,1,39
7.70009070295,0.316916099773,4,1,4,4,'4/4',Abo,A1,1,37
8.01700680272,0.334965986395,4,1,5,1,'4/4',Eb7,A1,1,43
8.35197278912,0.330839002268,4,1,5,2,'4/4',Eb7,A1,1,43
8.68281179138,0.320068027211,4,1,5,3,'4/4',Eb7,A1,1,43
9.00287981859,0.331700680272,4,1,5,4,'4/4',Eb7,A1,1,43
9.33458049887,0.312335600907,4,1,6,1,'4/4',Eb7,A1,1,37
9.64691609977,0.325873015873,4,1,6,2,'4/4',Eb7,A1,1,37
9.97278911565,0.332653061224,4,1,6,3,'4/4',Eb7,A1,1,43
10.3054421769,0.313968253968,4,1,6,4,'4/4',Eb7,A1,1,43
10.6194104308,0.320884353741,4,1,7,1,'4/4',Ab,A1,1,37
10.9402947846,0.319977324263,4,1,7,2,'4/4',Ab,A1,1,39
11.2602721088,0.346009070295,4,1,7,3,'4/4',Ab,A1,1,37
11.6062811791,0.332244897959,4,1,7,4,'4/4',Ab,A1,1,43
11.9385260771,0.323310657596,4,1,8,1,'4/4',Ab,A1,1,43
12.2618367347,0.310385487528,4,1,8,2,'4/4',Ab,A1,1,43
12.5722222222,0.34029478458,4,1,8,3,'4/4',Ab,A1,1,43
12.9125170068,0.323650793651,4,1,8,4,'4/4',Ab,A1,1,37
13.2361678005,0.319297052154,4,1,9,1,'4/4',Bb7,A1,1,37
13.5554648526,0.307233560091,4,1,9,2,'4/4',Bb7,A1,1,37
13.8626984127,0.33387755102,4,1,9,3,'4/4',Bb7,A1,1,37
14.1965759637,0.342290249433,4,1,9,4,'4/4',Bb7,A1,1,43
14.5388662132,0.313764172336,4,1,10,1,'4/4',Eb7,A1,1,43
14.8526303855,0.340022675737,4,1,10,2,'4/4',Eb7,A1,1,40
15.1926530612,0.336031746032,4,1,10,3,'4/4',Eb7,A1,1,37
15.5286848073,0.311315192744,4,1,10,4,'4/4',Eb7,A1,1,39
15.84,0.312176870748,4,1,11,1,'4/4',Ab,A1,1,37
16.1521768707,0.320907029478,4,1,11,2,'4/4',Ab,A1,1,39
16.4730839002,0.331723356009,4,1,11,3,'4/4',Ab,A1,1,43
16.8048072562,0.309546485261,4,1,11,4,'4/4',Ab,A1,1,43
17.1143537415,0.33052154195,4,1,12,1,'4/4',Ab,A1,1,43
17.4448752834,0.320272108844,4,1,12,2,'4/4',Ab,A1,1,44
17.7651473923,0.344489795918,4,1,12,3,'4/4',G7,A1,1,43
18.1096371882,0.324829931973,4,1,12,4,'4/4',Gb7,A1,1,43
18.4344671202,0.328458049887,4,1,13,1,'4/4',F7,A1,1,43
18.7629251701,0.335691609977,4,1,13,2,'4/4',F7,A1,1,53
19.09861678,0.320816326531,4,1,13,3,'4/4',F7,A1,1,53
19.4194331066,0.333083900227,4,1,13,4,'4/4',F7,A1,1,43
19.7525170068,0.315827664399,4,1,14,1,'4/4',Bb-,A1,1,43
20.0683446712,0.328843537415,4,1,14,2,'4/4',Bb-,A1,1,37
20.3971882086,0.335827664399,4,1,14,3,'4/4',Bb-,A1,1,53
20.733015873,0.333605442177,4,1,14,4,'4/4',Bb-,A1,1,37
21.0666213152,0.312471655329,4,1,15,1,'4/4',Bb7,A1,1,43
21.3790929705,0.326575963719,4,1,15,2,'4/4',Bb7,A1,1,43
21.7056689342,0.329206349206,4,1,15,3,'4/4',Eb7,A1,1,43
22.0348752834,0.316893424036,4,1,15,4,'4/4',Eb7,A1,1,43
22.3517687075,0.332857142857,4,1,16,1,'4/4',Ab,A1,1,43
22.6846258503,0.332154195011,4,1,16,2,'4/4',Ab,A1,1,40
23.0167800454,0.32566893424,4,1,16,3,'4/4',Ab,A1,1,40
23.3424489796,0.333650793651,4,1,16,4,'4/4',Ab,A1,1,37
23.6760997732,0.334036281179,4,1,17,1,'4/4',Bb7,I1,1,37
24.0101360544,0.343832199546,4,1,17,2,'4/4',Bb7,I1,1,43
24.353968254,0.313378684807,4,1,17,3,'4/4',Bb7,I1,1,37
24.6673469388,0.313378684807,4,1,17,4,'4/4',Bb7,I1,1,36
