onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.44244897959,0.31253968254,4,1,1,1,'4/4',C,A1,1,43
4.75498866213,0.303764172336,4,1,1,2,'4/4',C,A1,1,43
5.05875283447,0.313560090703,4,1,1,3,'4/4',C,A1,1,43
5.37231292517,0.285215419501,4,1,1,4,'4/4',C,A1,1,43
5.65752834467,0.29619047619,4,1,2,1,'4/4',C,A1,1,43
5.95371882086,0.30283446712,4,1,2,2,'4/4',C,A1,1,43
6.25655328798,0.29612244898,4,1,2,3,'4/4',C,A1,1,43
6.55267573696,0.303854875283,4,1,2,4,'4/4',C,A1,1,43
6.85653061224,0.314829931973,4,1,3,1,'4/4',E7,A1,1,37
7.17136054422,0.303718820862,4,1,3,2,'4/4',E7,A1,1,52
7.47507936508,0.313560090703,4,1,3,3,'4/4',E7,A1,1,35
7.78863945578,0.302879818594,4,1,3,4,'4/4',E7,A1,1,36
8.09151927438,0.286099773243,4,1,4,1,'4/4',E7,A1,1,37
8.37761904762,0.295328798186,4,1,4,2,'4/4',E7,A1,1,50
8.6729478458,0.302562358277,4,1,4,3,'4/4',E7,A1,1,50
8.97551020408,0.30612244898,4,1,4,4,'4/4',E7,A1,1,37
9.28163265306,0.296258503401,4,1,5,1,'4/4',A-,A1,1,52
9.57789115646,0.293106575964,4,1,5,2,'4/4',A-,A1,1,52
9.87099773243,0.295918367347,4,1,5,3,'4/4',A-,A1,1,52
10.1669160998,0.295238095238,4,1,5,4,'4/4',A-,A1,1,37
10.462154195,0.303832199546,4,1,6,1,'4/4',A-,A1,1,52
10.7659863946,0.313537414966,4,1,6,2,'4/4',A-,A1,1,52
11.0795238095,0.295170068027,4,1,6,3,'4/4',A-,A1,1,37
11.3746938776,0.303786848073,4,1,6,4,'4/4',A-,A1,1,37
11.6784807256,0.295283446712,4,1,7,1,'4/4',C7,A1,1,37
11.9737641723,0.313537414966,4,1,7,2,'4/4',C7,A1,1,37
12.2873015873,0.303764172336,4,1,7,3,'4/4',C7,A1,1,37
12.5910657596,0.295079365079,4,1,7,4,'4/4',C7,A1,1,37
12.8861451247,0.295215419501,4,1,8,1,'4/4',C7,A1,1,36
13.1813605442,0.30380952381,4,1,8,2,'4/4',C7,A1,1,42
13.485170068,0.30589569161,4,1,8,3,'4/4',C7,A1,1,42
13.7910657596,0.30283446712,4,1,8,4,'4/4',C7,A1,1,50
14.0939002268,0.30380952381,4,1,9,1,'4/4',F,A1,1,37
14.3977097506,0.313492063492,4,1,9,2,'4/4',F,A1,1,37
14.7112018141,0.305056689342,4,1,9,3,'4/4',F,A1,1,53
15.0162585034,0.286213151927,4,1,9,4,'4/4',F,A1,1,53
15.3024716553,0.302811791383,4,1,10,1,'4/4',F-,A1,1,53
15.6052834467,0.306077097506,4,1,10,2,'4/4',F-,A1,1,53
15.9113605442,0.303696145125,4,1,10,3,'4/4',F-,A1,1,53
16.2150566893,0.295170068027,4,1,10,4,'4/4',F-,A1,1,53
16.5102267574,0.294013605442,4,1,11,1,'4/4',C,A1,1,42
16.8042403628,0.291678004535,4,1,11,2,'4/4',C,A1,1,52
17.0959183673,0.295918367347,4,1,11,3,'4/4',C,A1,1,52
17.3918367347,0.306303854875,4,1,11,4,'4/4',C,A1,1,42
17.6981405896,0.305873015873,4,1,12,1,'4/4',A7,A1,1,52
18.0040136054,0.294036281179,4,1,12,2,'4/4',A7,A1,1,52
18.2980498866,0.29537414966,4,1,12,3,'4/4',A7,A1,1,52
18.5934240363,0.303718820862,4,1,12,4,'4/4',A7,A1,1,52
18.8971428571,0.313560090703,4,1,13,1,'4/4',D7,A1,1,38
19.2107029478,0.295170068027,4,1,13,2,'4/4',D7,A1,1,38
19.5058730159,0.313560090703,4,1,13,3,'4/4',D7,A1,1,39
19.8194331066,0.295056689342,4,1,13,4,'4/4',D7,A1,1,38
20.1144897959,0.30358276644,4,1,14,1,'4/4',D7,A1,1,38
20.4180725624,0.305102040816,4,1,14,2,'4/4',D7,A1,1,38
20.7231746032,0.303741496599,4,1,14,3,'4/4',D7,A1,1,38
21.0269160998,0.313469387755,4,1,14,4,'4/4',D7,A1,1,38
21.3403854875,0.295260770975,4,1,15,1,'4/4',G7,A1,1,43
21.6356462585,0.313628117914,4,1,15,2,'4/4',G7,A1,1,43
21.9492743764,0.323287981859,4,1,15,3,'4/4',G7,A1,1,35
