onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.79369614512,0.340997732426,4,1,0,4,'4/4',NC,I1,0,46
3.13469387755,0.340952380952,4,1,1,1,'4/4',F6,A1,1,40
3.4756462585,0.33977324263,4,1,1,2,'4/4',F6,A1,1,33
3.81541950113,0.346757369615,4,1,1,3,'4/4',F6,A1,1,34
4.16217687075,0.327619047619,4,1,1,4,'4/4',F6,A1,1,35
4.48979591837,0.331247165533,4,1,2,1,'4/4',F6,A1,1,36
4.8210430839,0.333786848073,4,1,2,2,'4/4',F6,A1,1,38
5.15482993197,0.352653061224,4,1,2,3,'4/4',F6,A1,1,41
5.5074829932,0.341496598639,4,1,2,4,'4/4',F6,A1,1,35
5.84897959184,0.338775510204,4,1,3,1,'4/4',Db7,A1,1,37
6.18775510204,0.316734693878,4,1,3,2,'4/4',Db7,A1,1,43
6.50448979592,0.342494331066,4,1,3,3,'4/4',Db7,A1,1,37
6.84698412698,0.34485260771,4,1,3,4,'4/4',Db7,A1,1,37
7.19183673469,0.350181405896,4,1,4,1,'4/4',D7,A1,1,38
7.54201814059,0.323741496599,4,1,4,2,'4/4',D7,A1,1,45
7.86575963719,0.3179138322,4,1,4,3,'4/4',D7,A1,1,48
8.18367346939,0.323537414966,4,1,4,4,'4/4',D7,A1,1,33
8.50721088435,0.333786848073,4,1,5,1,'4/4',G-7,A1,1,43
8.84099773243,0.339591836735,4,1,5,2,'4/4',G-7,A1,1,53
9.18058956916,0.336689342404,4,1,5,3,'4/4',G-7,A1,1,43
9.51727891156,0.332471655329,4,1,5,4,'4/4',G-7,A1,1,43
9.84975056689,0.344444444444,4,1,6,1,'4/4',C7,A1,1,43
10.1941950113,0.3389569161,4,1,6,2,'4/4',C7,A1,1,36
10.5331519274,0.325079365079,4,1,6,3,'4/4',C7,A1,1,43
10.8582312925,0.336689342404,4,1,6,4,'4/4',C7,A1,1,43
11.1949206349,0.322176870748,4,1,7,1,'4/4',F6,A1,1,41
11.5170975057,0.339138321995,4,1,7,2,'4/4',F6,A1,1,39
11.8562358277,0.338888888889,4,1,7,3,'4/4',F6,A1,1,38
12.1951247166,0.317528344671,4,1,7,4,'4/4',F6,A1,1,43
12.5126530612,0.348911564626,4,1,8,1,'4/4',G-7,A1,1,43
12.8615646259,0.336077097506,4,1,8,2,'4/4',G-7,A1,1,35
13.1976417234,0.317823129252,4,1,8,3,'4/4',C7,A1,1,36
13.5154648526,0.323628117914,4,1,8,4,'4/4',C7,A1,1,43
13.8390929705,0.333968253968,4,1,9,1,'4/4',F6,A2,1,37
14.1730612245,0.321111111111,4,1,9,2,'4/4',F6,A2,1,41
14.4941723356,0.342176870748,4,1,9,3,'4/4',F6,A2,1,48
14.8363492063,0.326916099773,4,1,9,4,'4/4',F6,A2,1,51
15.1632653061,0.332653061224,4,1,10,1,'4/4',F6,A2,1,53
15.4959183673,0.327120181406,4,1,10,2,'4/4',F6,A2,1,39
15.8230385488,0.336099773243,4,1,10,3,'4/4',F6,A2,1,50
16.159138322,0.342902494331,4,1,10,4,'4/4',F6,A2,1,50
16.5020408163,0.334693877551,4,1,11,1,'4/4',Db7,A2,1,48
16.8367346939,0.334693877551,4,1,11,2,'4/4',Db7,A2,1,47
17.1714285714,0.337959183673,4,1,11,3,'4/4',Db7,A2,1,44
17.5093877551,0.326439909297,4,1,11,4,'4/4',Db7,A2,1,37
17.8358276644,0.319274376417,4,1,12,1,'4/4',D7,A2,1,38
18.1551020408,0.339591836735,4,1,12,2,'4/4',D7,A2,1,40
18.4946938776,0.329795918367,4,1,12,3,'4/4',D7,A2,1,42
18.8244897959,0.334693877551,4,1,12,4,'4/4',D7,A2,1,38
19.1591836735,0.343265306122,4,1,13,1,'4/4',G-7,A2,1,31
19.5024489796,0.349863945578,4,1,13,2,'4/4',G-7,A2,1,33
19.8523129252,0.328503401361,4,1,13,3,'4/4',G-7,A2,1,34
20.1808163265,0.336258503401,4,1,13,4,'4/4',G-7,A2,1,31
20.5170748299,0.3489569161,4,1,14,1,'4/4',C7,A2,1,36
20.866031746,0.322176870748,4,1,14,2,'4/4',C7,A2,1,34
21.1882086168,0.330884353741,4,1,14,3,'4/4',C7,A2,1,33
21.5190929705,0.348299319728,4,1,14,4,'4/4',C7,A2,1,42
21.8673922902,0.320362811791,4,1,15,1,'4/4',F6,A2,1,41
22.187755102,0.330612244898,4,1,15,2,'4/4',F6,A2,1,33
22.5183673469,0.345623582766,4,1,15,3,'4/4',F6,A2,1,34
22.8639909297,0.348616780045,4,1,15,4,'4/4',F6,A2,1,34
23.2126077098,0.330249433107,4,1,16,1,'4/4',F6,A2,1,36
23.5428571429,0.318367346939,4,1,16,2,'4/4',F6,A2,1,38
23.8612244898,0.319455782313,4,1,16,3,'4/4',F6,A2,1,41
24.1806802721,0.339591836735,4,1,16,4,'4/4',F6,A2,1,33
24.5202721088,0.336689342404,4,1,17,1,'4/4',Eb7,B1,1,39
24.8569614512,0.345396825397,4,1,17,2,'4/4',Eb7,B1,1,43
25.2023582766,0.325079365079,4,1,17,3,'4/4',Eb7,B1,1,43
25.5274376417,0.319274376417,4,1,17,4,'4/4',Eb7,B1,1,37
25.8467120181,0.328185941043,4,1,18,1,'4/4',Eb7,B1,1,37
26.1748979592,0.321156462585,4,1,18,2,'4/4',Eb7,B1,1,39
26.4960544218,0.323446712018,4,1,18,3,'4/4',Eb7,B1,1,46
26.8195011338,0.338480725624,4,1,18,4,'4/4',Eb7,B1,1,43
27.1579818594,0.334444444444,4,1,19,1,'4/4',F6,B1,1,41
27.4924263039,0.336916099773,4,1,19,2,'4/4',F6,B1,1,33
27.8293424036,0.321950113379,4,1,19,3,'4/4',F6,B1,1,34
28.151292517,0.342494331066,4,1,19,4,'4/4',F6,B1,1,34
28.4937868481,0.325079365079,4,1,20,1,'4/4',F6,B1,1,48
28.8188662132,0.342494331066,4,1,20,2,'4/4',F6,B1,1,38
29.1613605442,0.32798185941,4,1,20,3,'4/4',F6,B1,1,42
29.4893424036,0.325079365079,4,1,20,4,'4/4',F6,B1,1,35
29.8144217687,0.336689342404,4,1,21,1,'4/4',Db7,B1,1,37
30.1511111111,0.348299319728,4,1,21,2,'4/4',Db7,B1,1,44
30.4994104308,0.333696145125,4,1,21,3,'4/4',Db7,B1,1,47
30.833106576,0.328072562358,4,1,21,4,'4/4',Db7,B1,1,47
31.1611791383,0.332698412698,4,1,22,1,'4/4',Db7,B1,1,37
31.493877551,0.337777777778,4,1,22,2,'4/4',Db7,B1,1,37
31.8316553288,0.327528344671,4,1,22,3,'4/4',Db7,B1,1,44
32.1591836735,0.32843537415,4,1,22,4,'4/4',Db7,B1,1,37
32.4876190476,0.334988662132,4,1,23,1,'4/4',Gb7,B1,1,36
32.8226077098,0.32387755102,4,1,23,2,'4/4',Gb7,B1,1,28
33.1464852608,0.325079365079,4,1,23,3,'4/4',Gb7,B1,1,29
33.4715646259,0.329727891156,4,1,23,4,'4/4',Gb7,B1,1,42
33.801292517,0.326235827664,4,1,24,1,'4/4',G-7,B1,1,31
34.1275283447,0.32798185941,4,1,24,2,'4/4',G-7,B1,1,33
34.4555102041,0.32798185941,4,1,24,3,'4/4',C7,B1,1,48
34.7834920635,0.333786848073,4,1,24,4,'4/4',C7,B1,1,40
35.1172789116,0.331700680272,4,1,25,1,'4/4',F6,A3,1,41
35.4489795918,0.324263038549,4,1,25,2,'4/4',F6,A3,1,36
35.7732426304,0.339591836735,4,1,25,3,'4/4',F6,A3,1,33
36.1128344671,0.325079365079,4,1,25,4,'4/4',F6,A3,1,36
36.4379138322,0.32798185941,4,1,26,1,'4/4',F6,A3,1,38
36.7658956916,0.336689342404,4,1,26,2,'4/4',F6,A3,1,41
37.102585034,0.333786848073,4,1,26,3,'4/4',F6,A3,1,43
37.4363718821,0.325079365079,4,1,26,4,'4/4',F6,A3,1,45
37.7614512472,0.316371882086,4,1,27,1,'4/4',Db7,A3,1,49
38.0778231293,0.342494331066,4,1,27,2,'4/4',Db7,A3,1,45
38.4203174603,0.32798185941,4,1,27,3,'4/4',Db7,A3,1,43
38.7482993197,0.330884353741,4,1,27,4,'4/4',Db7,A3,1,37
39.0791836735,0.322176870748,4,1,28,1,'4/4',D7,A3,1,38
39.4013605442,0.333786848073,4,1,28,2,'4/4',D7,A3,1,45
39.7351473923,0.319274376417,4,1,28,3,'4/4',D7,A3,1,48
40.0544217687,0.330884353741,4,1,28,4,'4/4',D7,A3,1,50
40.3853061224,0.322176870748,4,1,29,1,'4/4',G-7,A3,1,43
40.7074829932,0.351201814059,4,1,29,2,'4/4',G-7,A3,1,43
41.0586848073,0.348299319728,4,1,29,3,'4/4',G-7,A3,1,43
41.406984127,0.335873015873,4,1,29,4,'4/4',G-7,A3,1,33
41.7428571429,0.326530612245,4,1,30,1,'4/4',C7,A3,1,36
42.0693877551,0.334603174603,4,1,30,2,'4/4',C7,A3,1,36
