onset,duration,period,division,bar,beat,signature,chord,form,chorus_id
1.92655328798,0.230804988662,4,1,-1,1,'4/4',NC,I1,0
2.15735827664,0.230804988662,4,1,-1,2,'4/4',NC,I1,0
2.38816326531,0.239682539683,4,1,-1,3,'4/4',NC,I1,0
2.62784580499,0.239682539683,4,1,-1,4,'4/4',NC,I1,0
2.86752834467,0.227154195011,4,1,0,1,'4/4',NC,I1,0
3.09468253968,0.227154195011,4,1,0,2,'4/4',NC,I1,0
3.32183673469,0.215804988662,4,1,0,3,'4/4',NC,I1,0
3.53764172336,0.215804988662,4,1,0,4,'4/4',NC,I1,0
3.75344671202,0.215975056689,4,1,1,1,'4/4',Gsus,A1,1
3.96942176871,0.215975056689,4,1,1,2,'4/4',Gsus,A1,1
4.1853968254,0.220589569161,4,1,1,3,'4/4',Gsus,A1,1
4.40598639456,0.220589569161,4,1,1,4,'4/4',Gsus,A1,1
4.62657596372,0.229297052154,4,1,2,1,'4/4',Gsus,A1,1
4.85587301587,0.229297052154,4,1,2,2,'4/4',Gsus,A1,1
5.08517006803,0.229297052154,4,1,2,3,'4/4',Gsus,A1,1
5.31446712018,0.229297052154,4,1,2,4,'4/4',Gsus,A1,1
5.54376417234,0.208979591837,4,1,3,1,'4/4',Gsus,A1,1
5.75274376417,0.208979591837,4,1,3,2,'4/4',Gsus,A1,1
5.96172335601,0.220589569161,4,1,3,3,'4/4',Gsus,A1,1
6.18231292517,0.220589569161,4,1,3,4,'4/4',Gsus,A1,1
6.40290249433,0.261224489796,4,1,4,1,'4/4',Gsus,A1,1
6.66412698413,0.261224489796,4,1,4,2,'4/4',Gsus,A1,1
6.92535147392,0.214784580499,4,1,4,3,'4/4',Gsus,A1,1
7.14013605442,0.214784580499,4,1,4,4,'4/4',Gsus,A1,1
7.35492063492,0.188662131519,4,1,5,1,'4/4',Gsus,A1,1
7.54358276644,0.188662131519,4,1,5,2,'4/4',Gsus,A1,1
7.73224489796,0.249614512472,4,1,5,3,'4/4',Gsus,A1,1
7.98185941043,0.249614512472,4,1,5,4,'4/4',Gsus,A1,1
8.2314739229,0.22693877551,4,1,6,1,'4/4',Gsus,A1,1
8.45841269841,0.22693877551,4,1,6,2,'4/4',Gsus,A1,1
8.68535147392,0.216020408163,4,1,6,3,'4/4',Gsus,A1,1
8.90137188209,0.216020408163,4,1,6,4,'4/4',Gsus,A1,1
9.11739229025,0.208639455782,4,1,7,1,'4/4',Gsus,A1,1
9.32603174603,0.208639455782,4,1,7,2,'4/4',Gsus,A1,1
9.53467120181,0.231349206349,4,1,7,3,'4/4',Gsus,A1,1
9.76602040816,0.231349206349,4,1,7,4,'4/4',Gsus,A1,1
9.99736961451,0.227845804989,4,1,8,1,'4/4',Gsus,A1,1
10.2252154195,0.227845804989,4,1,8,2,'4/4',Gsus,A1,1
10.4530612245,0.223310657596,4,1,8,3,'4/4',Gsus,A1,1
10.6763718821,0.223310657596,4,1,8,4,'4/4',Gsus,A1,1
10.8996825397,0.231575963719,4,1,9,1,'4/4',Gsus,A1,1
11.1312585034,0.231575963719,4,1,9,2,'4/4',Gsus,A1,1
