onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
0.773514739229,0.24380952381,4,1,-1,4,'4/4',NC,I1,0,38
1.01732426304,0.255419501134,4,1,0,1,'4/4',NC,I1,0,38
1.27274376417,0.245623582766,4,1,0,2,'4/4',NC,I1,0,40
1.51836734694,0.279727891156,4,1,0,3,'4/4',NC,I1,0,36
1.7980952381,0.27537414966,4,1,0,4,'4/4',NC,I1,0,42
2.07346938776,0.244172335601,4,1,1,1,'4/4',F-7,A1,1,41
2.31764172336,0.236553287982,4,1,1,2,'4/4',F-7,A1,1,43
2.55419501134,0.242630385488,4,1,1,3,'4/4',F-7,A1,1,43
2.79682539683,0.26433106576,4,1,1,4,'4/4',F-7,A1,1,41
3.06115646259,0.263560090703,4,1,2,1,'4/4',C79#,A1,1,43
3.32471655329,0.251972789116,4,1,2,2,'4/4',C79#,A1,1,46
3.5766893424,0.275759637188,4,1,2,3,'4/4',C79#,A1,1,47
3.85244897959,0.24335600907,4,1,2,4,'4/4',C79#,A1,1,43
4.09580498866,0.247052154195,4,1,3,1,'4/4',F-7,A1,1,41
4.34285714286,0.271768707483,4,1,3,2,'4/4',F-7,A1,1,44
4.61462585034,0.247551020408,4,1,3,3,'4/4',F-7,A1,1,43
4.86217687075,0.25201814059,4,1,3,4,'4/4',F-7,A1,1,40
5.11419501134,0.244172335601,4,1,4,1,'4/4',F79b,A1,1,41
5.35836734694,0.239024943311,4,1,4,2,'4/4',F79b,A1,1,44
5.59739229025,0.249909297052,4,1,4,3,'4/4',F79b,A1,1,45
5.8473015873,0.254285714286,4,1,4,4,'4/4',F79b,A1,1,41
6.10158730159,0.24537414966,4,1,5,1,'4/4',Bb-7,A1,1,34
6.34696145125,0.25716553288,4,1,5,2,'4/4',Bb-7,A1,1,41
6.60412698413,0.258639455782,4,1,5,3,'4/4',Bb-7,A1,1,46
6.86276643991,0.263650793651,4,1,5,4,'4/4',Bb-7,A1,1,43
7.12641723356,0.265102040816,4,1,6,1,'4/4',F79#,A1,1,46
7.39151927438,0.263696145125,4,1,6,2,'4/4',F79#,A1,1,49
7.6552154195,0.276689342404,4,1,6,3,'4/4',F79#,A1,1,48
7.9319047619,0.234444444444,4,1,6,4,'4/4',F79#,A1,1,43
8.16634920635,0.25052154195,4,1,7,1,'4/4',Bb-7,A1,1,46
8.4168707483,0.245827664399,4,1,7,2,'4/4',Bb-7,A1,1,46
8.6626984127,0.238072562358,4,1,7,3,'4/4',Bb-7,A1,1,49
8.90077097506,0.248707482993,4,1,7,4,'4/4',Bb-7,A1,1,48
9.14947845805,0.231995464853,4,1,8,1,'4/4',Bb-7,A1,1,47
9.3814739229,0.231587301587,4,1,8,2,'4/4',Bb-7,A1,1,47
9.61306122449,0.240680272109,4,1,8,3,'4/4',Bb-7,A1,1,43
9.8537414966,0.256507936508,4,1,8,4,'4/4',Bb-7,A1,1,45
10.1102494331,0.259546485261,4,1,9,1,'4/4',Dbj7,B1,1,46
10.3697959184,0.262857142857,4,1,9,2,'4/4',Dbj7,B1,1,46
10.6326530612,0.277551020408,4,1,9,3,'4/4',Dbj7,B1,1,44
10.9102040816,0.266326530612,4,1,9,4,'4/4',Dbj7,B1,1,41
11.1765306122,0.253174603175,4,1,10,1,'4/4',D-7,B1,1,43
11.4297052154,0.236394557823,4,1,10,2,'4/4',D-7,B1,1,38
11.6660997732,0.257256235828,4,1,10,3,'4/4',G7,B1,1,43
11.9233560091,0.251065759637,4,1,10,4,'4/4',G7,B1,1,47
12.1744217687,0.251995464853,4,1,11,1,'4/4',Cj7,B1,1,36
12.4264172336,0.239977324263,4,1,11,2,'4/4',Cj7,B1,1,38
12.6663945578,0.26716553288,4,1,11,3,'4/4',Cj7,B1,1,40
12.9335600907,0.234580498866,4,1,11,4,'4/4',Cj7,B1,1,43
13.1681405896,0.242403628118,4,1,12,1,'4/4',C#-7,B1,1,42
13.4105442177,0.252743764172,4,1,12,2,'4/4',C#-7,B1,1,45
13.6632879819,0.25664399093,4,1,12,3,'4/4',F#7,B1,1,42
13.9199319728,0.252993197279,4,1,12,4,'4/4',F#7,B1,1,36
14.1729251701,0.262811791383,4,1,13,1,'4/4',Bj7,B1,1,35
14.4357369615,0.243401360544,4,1,13,2,'4/4',Bj7,B1,1,42
14.679138322,0.262517006803,4,1,13,3,'4/4',Bj7,B1,1,35
14.9416553288,0.259637188209,4,1,13,4,'4/4',Bj7,B1,1,42
15.201292517,0.240045351474,4,1,14,1,'4/4',C-7,B1,1,36
15.4413378685,0.246507936508,4,1,14,2,'4/4',C-7,B1,1,38
15.687845805,0.246848072562,4,1,14,3,'4/4',F7,B1,1,39
15.9346938776,0.251292517007,4,1,14,4,'4/4',F7,B1,1,40
16.1859863946,0.242494331066,4,1,15,1,'4/4',Bbj7,B1,1,41
