onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.92040816327,0.333151927438,4,1,1,1,'4/4',Bb7,A1,1,47
3.2535600907,0.356780045351,4,1,1,2,'4/4',Bb7,A1,1,38
3.61034013605,0.338480725624,4,1,1,3,'4/4',Bb7,A1,1,43
3.94882086168,0.317641723356,4,1,1,4,'4/4',Bb7,A1,1,36
4.26646258503,0.347301587302,4,1,2,1,'4/4',Eb7,A1,1,35
4.61376417234,0.358095238095,4,1,2,2,'4/4',Eb7,A1,1,35
4.97185941043,0.332698412698,4,1,2,3,'4/4',Eb7,A1,1,39
5.30455782313,0.341882086168,4,1,2,4,'4/4',Eb7,A1,1,52
5.6464399093,0.332925170068,4,1,3,1,'4/4',Bb7,A1,1,53
5.97936507937,0.357074829932,4,1,3,2,'4/4',Bb7,A1,1,47
6.3364399093,0.332811791383,4,1,3,3,'4/4',Bb7,A1,1,41
6.66925170068,0.332970521542,4,1,3,4,'4/4',Bb7,A1,1,53
7.00222222222,0.347369614512,4,1,4,1,'4/4',F-7,A1,1,46
7.34959183673,0.352448979592,4,1,4,2,'4/4',F-7,A1,1,52
7.70204081633,0.322970521542,4,1,4,3,'4/4',Bb7,A1,1,53
8.02501133787,0.357528344671,4,1,4,4,'4/4',Bb7,A1,1,40
8.38253968254,0.342494331066,4,1,5,1,'4/4',Eb7,A1,1,51
8.72503401361,0.367709750567,4,1,5,2,'4/4',Eb7,A1,1,36
9.09274376417,0.331950113379,4,1,5,3,'4/4',Eb7,A1,1,49
9.42469387755,0.338390022676,4,1,5,4,'4/4',Eb7,A1,1,48
9.76308390023,0.351541950113,4,1,6,1,'4/4',Eb7,A1,1,46
10.1146258503,0.338276643991,4,1,6,2,'4/4',Eb7,A1,1,47
10.4529024943,0.367755102041,4,1,6,3,'4/4',Eb7,A1,1,48
10.8206575964,0.342675736961,4,1,6,4,'4/4',Eb7,A1,1,42
11.1633333333,0.32201814059,4,1,7,1,'4/4',Bb7,A1,1,41
11.4853514739,0.367641723356,4,1,7,2,'4/4',Bb7,A1,1,38
11.8529931973,0.323287981859,4,1,7,3,'4/4',Bb7,A1,1,43
12.1762811791,0.36693877551,4,1,7,4,'4/4',Bb7,A1,1,46
12.5432199546,0.33283446712,4,1,8,1,'4/4',G7,A1,1,45
12.8760544218,0.362267573696,4,1,8,2,'4/4',G7,A1,1,44
13.2383219955,0.337414965986,4,1,8,3,'4/4',G7,A1,1,43
13.5757369615,0.332947845805,4,1,8,4,'4/4',G7,A1,1,37
13.9086848073,0.322154195011,4,1,9,1,'4/4',C-7,A1,1,36
14.2308390023,0.358095238095,4,1,9,2,'4/4',C-7,A1,1,43
14.5889342404,0.332970521542,4,1,9,3,'4/4',C-7,A1,1,39
14.9219047619,0.351541950113,4,1,9,4,'4/4',C-7,A1,1,40
15.273446712,0.323174603175,4,1,10,1,'4/4',F7,A1,1,41
15.5966213152,0.332857142857,4,1,10,2,'4/4',F7,A1,1,45
15.929478458,0.357052154195,4,1,10,3,'4/4',F7,A1,1,38
16.2865306122,0.332902494331,4,1,10,4,'4/4',F7,A1,1,36
16.6194331066,0.347868480726,4,1,11,1,'4/4',Bb7,A1,1,34
16.9673015873,0.367482993197,4,1,11,2,'4/4',Bb7,A1,1,45
17.3347845805,0.322290249433,4,1,11,3,'4/4',Bb7,A1,1,34
17.6570748299,0.332857142857,4,1,11,4,'4/4',Bb7,A1,1,35
17.9899319728,0.352403628118,4,1,12,1,'4/4',F7,A1,1,36
18.3423356009,0.327732426304,4,1,12,2,'4/4',F7,A1,1,43
18.6700680272,0.33306122449,4,1,12,3,'4/4',F7,A1,1,41
19.0031292517,0.331882086168,4,1,12,4,'4/4',F7,A1,1,45
19.3350113379,0.367845804989,4,1,13,1,'4/4',Bb7,A1,2,34
19.7028571429,0.323242630385,4,1,13,2,'4/4',Bb7,A1,2,35
20.0260997732,0.341700680272,4,1,13,3,'4/4',Bb7,A1,2,36
20.3678004535,0.342607709751,4,1,13,4,'4/4',Bb7,A1,2,38
20.7104081633,0.328639455782,4,1,14,1,'4/4',Eb7,A1,2,39
21.039047619,0.351496598639,4,1,14,2,'4/4',Eb7,A1,2,40
21.3905442177,0.323106575964,4,1,14,3,'4/4',Eb7,A1,2,41
21.7136507937,0.33201814059,4,1,14,4,'4/4',Eb7,A1,2,43
22.0456689342,0.303492063492,4,1,15,1,'4/4',Bb7,A1,2,44
22.3491609977,0.368027210884,4,1,15,2,'4/4',Bb7,A1,2,45
22.7171882086,0.332630385488,4,1,15,3,'4/4',Bb7,A1,2,46
23.0498185941,0.351541950113,4,1,15,4,'4/4',Bb7,A1,2,45
23.4013605442,0.332766439909,4,1,16,1,'4/4',F-7,A1,2,44
