onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.09387755102,0.226530612245,4,1,-1,3,'4/4',NC,I1,0,50
3.32040816327,0.238775510204,4,1,-1,4,'4/4',NC,I1,0,37
3.55918367347,0.223469387755,4,1,0,1,'4/4',NC,I1,0,37
3.78265306122,0.229591836735,4,1,0,2,'4/4',NC,I1,0,38
4.01224489796,0.22380952381,4,1,0,3,'4/4',NC,I1,0,43
4.23605442177,0.214376417234,4,1,0,4,'4/4',NC,I1,0,38
4.450430839,0.214875283447,4,1,1,1,'4/4',D-,A1,1,38
4.66530612245,0.210204081633,4,1,1,2,'4/4',D-,A1,1,40
4.87551020408,0.205011337868,4,1,1,3,'4/4',D-,A1,1,42
5.08052154195,0.213605442177,4,1,1,4,'4/4',D-,A1,1,43
5.29412698413,0.224058956916,4,1,2,1,'4/4',F-7,A1,1,42
5.51818594104,0.207868480726,4,1,2,2,'4/4',F-7,A1,1,41
5.72605442177,0.234058956916,4,1,2,3,'4/4',Bb7,A1,1,45
5.96011337868,0.213333333333,4,1,2,4,'4/4',Bb7,A1,1,45
6.17344671202,0.207777777778,4,1,3,1,'4/4',Ebj7,A1,1,45
6.3812244898,0.214603174603,4,1,3,2,'4/4',Ebj7,A1,1,45
6.5958276644,0.223174603175,4,1,3,3,'4/4',Ebj7,A1,1,45
6.81900226757,0.22589569161,4,1,3,4,'4/4',Ebj7,A1,1,44
7.04489795918,0.231111111111,4,1,4,1,'4/4',A-7,A1,1,44
7.27600907029,0.227551020408,4,1,4,2,'4/4',A-7,A1,1,33
7.5035600907,0.231133786848,4,1,4,3,'4/4',D7,A1,1,43
7.73469387755,0.216258503401,4,1,4,4,'4/4',D7,A1,1,43
7.95095238095,0.214353741497,4,1,5,1,'4/4',F-7911,A1,1,42
8.16530612245,0.223219954649,4,1,5,2,'4/4',F-7911,A1,1,43
8.3885260771,0.207868480726,4,1,5,3,'4/4',F-7911,A1,1,44
8.59639455782,0.209002267574,4,1,5,4,'4/4',F-7911,A1,1,45
8.8053968254,0.213265306122,4,1,6,1,'4/4',Am7b5,A1,1,45
9.01866213152,0.22410430839,4,1,6,2,'4/4',Am7b5,A1,1,39
9.24276643991,0.213378684807,4,1,6,3,'4/4',D7,A1,1,38
9.45614512472,0.218662131519,4,1,6,4,'4/4',D7,A1,1,38
9.67480725624,0.223174603175,4,1,7,1,'4/4',Dbsus7,A1,1,37
9.89798185941,0.213446712018,4,1,7,2,'4/4',Dbsus7,A1,1,44
10.1114285714,0.218662131519,4,1,7,3,'4/4',Dbsus7,A1,1,51
10.3300907029,0.233015873016,4,1,7,4,'4/4',Dbsus7,A1,1,43
10.563106576,0.206281179138,4,1,8,1,'4/4',Dbsus7,A1,1,50
10.7693877551,0.210204081633,4,1,8,2,'4/4',Dbsus7,A1,1,50
10.9795918367,0.204081632653,4,1,8,3,'4/4',Dbsus7,A1,1,48
11.1836734694,0.204081632653,4,1,8,4,'4/4',Dbsus7,A1,1,43
11.387755102,0.223242630385,4,1,9,1,'4/4',G-7,B1,1,43
11.6109977324,0.224172335601,4,1,9,2,'4/4',G-7,B1,1,43
11.835170068,0.217891156463,4,1,9,3,'4/4',G-7,B1,1,43
12.0530612245,0.204081632653,4,1,9,4,'4/4',G-7,B1,1,42
12.2571428571,0.223514739229,4,1,10,1,'4/4',D7,B1,1,51
12.4806575964,0.223333333333,4,1,10,2,'4/4',D7,B1,1,48
12.7039909297,0.218503401361,4,1,10,3,'4/4',D7,B1,1,33
12.9224943311,0.203673469388,4,1,10,4,'4/4',D7,B1,1,39
13.1261678005,0.220770975057,4,1,11,1,'4/4',G-7,B1,1,43
13.3469387755,0.232653061224,4,1,11,2,'4/4',G-7,B1,1,52
13.5795918367,0.221428571429,4,1,11,3,'4/4',G-7,B1,1,43
13.8010204082,0.207142857143,4,1,11,4,'4/4',G-7,B1,1,43
14.0081632653,0.208163265306,4,1,12,1,'4/4',F-7,B1,1,40
14.2163265306,0.208163265306,4,1,12,2,'4/4',F-7,B1,1,40
14.4244897959,0.220408163265,4,1,12,3,'4/4',F-7,B1,1,47
14.6448979592,0.214195011338,4,1,12,4,'4/4',F-7,B1,1,53
14.8590929705,0.224149659864,4,1,13,1,'4/4',E-7,B1,1,40
15.0832426304,0.217800453515,4,1,13,2,'4/4',E-7,B1,1,43
15.3010430839,0.204603174603,4,1,13,3,'4/4',E-7,B1,1,45
15.5056462585,0.222993197279,4,1,13,4,'4/4',E-7,B1,1,45
15.7286394558,0.217845804989,4,1,14,1,'4/4',Eb,B1,1,45
15.9464852608,0.22410430839,4,1,14,2,'4/4',Eb,B1,1,45
16.1705895692,0.203605442177,4,1,14,3,'4/4',Eb,B1,1,47
16.3741950113,0.218752834467,4,1,14,4,'4/4',Eb,B1,1,45
16.5929478458,0.213424036281,4,1,15,1,'4/4',G-7,C1,1,45
16.8063718821,0.223174603175,4,1,15,2,'4/4',G-7,C1,1,43
17.0295464853,0.218639455782,4,1,15,3,'4/4',G-7,C1,1,43
17.248185941,0.223242630385,4,1,15,4,'4/4',G-7,C1,1,33
17.4714285714,0.224081632653,4,1,16,1,'4/4',F-7,C1,1,45
17.6955102041,0.207959183673,4,1,16,2,'4/4',F-7,C1,1,45
17.9034693878,0.233015873016,4,1,16,3,'4/4',Bb7,C1,1,45
18.1364852608,0.224081632653,4,1,16,4,'4/4',Bb7,C1,1,45
18.3605668934,0.223197278912,4,1,17,1,'4/4',Ebj7,C1,1,39
18.5837641723,0.223968253968,4,1,17,2,'4/4',Ebj7,C1,1,45
18.8077324263,0.223106575964,4,1,17,3,'4/4',Ebj7,C1,1,43
19.0308390023,0.208979591837,4,1,17,4,'4/4',Ebj7,C1,1,45
19.2398185941,0.222993197279,4,1,18,1,'4/4',A-7,C1,1,45
19.4628117914,0.214217687075,4,1,18,2,'4/4',A-7,C1,1,43
19.6770294785,0.229092970522,4,1,18,3,'4/4',D7,C1,1,42
19.906122449,0.220408163265,4,1,18,4,'4/4',D7,C1,1,38
20.1265306122,0.225396825397,4,1,19,1,'4/4',F-7,C1,1,42
20.3519274376,0.219501133787,4,1,19,2,'4/4',F-7,C1,1,43
20.5714285714,0.228027210884,4,1,19,3,'4/4',F-7,C1,1,43
20.7994557823,0.220952380952,4,1,19,4,'4/4',F-7,C1,1,45
21.0204081633,0.220975056689,4,1,20,1,'4/4',Am7b5,C1,1,44
21.24138322,0.213287981859,4,1,20,2,'4/4',Am7b5,C1,1,40
21.4546712018,0.210634920635,4,1,20,3,'4/4',D7,C1,1,43
21.6653061224,0.221496598639,4,1,20,4,'4/4',D7,C1,1,44
21.8868027211,0.203605442177,4,1,21,1,'4/4',Dbsus7,C1,1,32
22.0904081633,0.207936507937,4,1,21,2,'4/4',Dbsus7,C1,1,44
22.2983446712,0.214308390023,4,1,21,3,'4/4',Dbsus7,C1,1,37
22.5126530612,0.209795918367,4,1,21,4,'4/4',Dbsus7,C1,1,49
22.7224489796,0.212448979592,4,1,22,1,'4/4',Dbsus7,C1,1,42
