onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
5.44507936508,0.423764172336,4,1,0,3,'4/4',NC,I1,0,51
5.86884353741,0.439365079365,4,1,0,4,'4/4',NC,I1,0,38
6.30820861678,0.461065759637,4,1,1,1,'4/4',Fsus7,A1,1,41
6.76927437642,0.451360544218,4,1,1,2,'4/4',Fsus7,A1,1,41
7.22063492063,0.413832199546,4,1,1,3,'4/4',Fsus7,A1,1,41
7.63446712018,0.425941043084,4,1,1,4,'4/4',Fsus7,A1,1,41
8.06040816327,0.441473922902,4,1,2,1,'4/4',Bbsus7,A1,1,48
8.50188208617,0.40566893424,4,1,2,2,'4/4',Bbsus7,A1,1,33
8.90755102041,0.423378684807,4,1,2,3,'4/4',Bbsus7,A1,1,34
9.33092970522,0.443560090703,4,1,2,4,'4/4',Bbsus7,A1,1,41
9.77448979592,0.430680272109,4,1,3,1,'4/4',Fsus7,A1,1,40
10.205170068,0.446984126984,4,1,3,2,'4/4',Fsus7,A1,1,48
10.652154195,0.420929705215,4,1,3,3,'4/4',Fsus7,A1,1,51
11.0730839002,0.4610430839,4,1,3,4,'4/4',Fsus7,A1,1,48
11.5341269841,0.415578231293,4,1,4,1,'4/4',Fsus7,A1,1,33
11.9497052154,0.424240362812,4,1,4,2,'4/4',Fsus7,A1,1,34
12.3739455782,0.405487528345,4,1,4,3,'4/4',Fsus7,A1,1,43
12.7794331066,0.40589569161,4,1,4,4,'4/4',Fsus7,A1,1,43
13.1853287982,0.433968253968,4,1,5,1,'4/4',Bbsus7,A1,1,34
13.6192970522,0.423083900227,4,1,5,2,'4/4',Bbsus7,A1,1,46
14.0423809524,0.433922902494,4,1,5,3,'4/4',Bbsus7,A1,1,44
14.4763038549,0.433174603175,4,1,5,4,'4/4',Bbsus7,A1,1,38
14.909478458,0.423900226757,4,1,6,1,'4/4',Bbsus7,A1,1,38
15.3333786848,0.432993197279,4,1,6,2,'4/4',Bbsus7,A1,1,39
15.7663718821,0.423696145125,4,1,6,3,'4/4',Bbsus7,A1,1,40
16.1900680272,0.415918367347,4,1,6,4,'4/4',Bbsus7,A1,1,40
16.6059863946,0.454761904762,4,1,7,1,'4/4',Fsus7,A1,1,40
17.0607482993,0.415079365079,4,1,7,2,'4/4',Fsus7,A1,1,48
17.4758276644,0.43387755102,4,1,7,3,'4/4',Fsus7,A1,1,39
17.9097052154,0.410839002268,4,1,7,4,'4/4',Fsus7,A1,1,33
18.3205442177,0.400544217687,4,1,8,1,'4/4',Fsus7,A1,1,33
18.7210884354,0.404671201814,4,1,8,2,'4/4',Fsus7,A1,1,34
19.1257596372,0.423083900227,4,1,8,3,'4/4',Fsus7,A1,1,43
19.5488435374,0.44380952381,4,1,8,4,'4/4',Fsus7,A1,1,43
19.9926530612,0.395600907029,4,1,9,1,'4/4',Csus7,A1,1,36
20.3882539683,0.43410430839,4,1,9,2,'4/4',Csus7,A1,1,48
20.8223582766,0.433764172336,4,1,9,3,'4/4',Csus7,A1,1,47
21.256122449,0.405124716553,4,1,9,4,'4/4',Csus7,A1,1,48
21.6612471655,0.455306122449,4,1,10,1,'4/4',Bbsus7,A1,1,34
22.116553288,0.423718820862,4,1,10,2,'4/4',Bbsus7,A1,1,35
22.5402721088,0.433922902494,4,1,10,3,'4/4',Bbsus7,A1,1,36
22.9741950113,0.42306122449,4,1,10,4,'4/4',Bbsus7,A1,1,43
23.3972562358,0.416258503401,4,1,11,1,'4/4',Fsus7,A1,1,41
23.8135147392,0.432789115646,4,1,11,2,'4/4',Fsus7,A1,1,40
24.2463038549,0.414013605442,4,1,11,3,'4/4',Fsus7,A1,1,39
24.6603174603,0.433378684807,4,1,11,4,'4/4',Fsus7,A1,1,39
25.0936961451,0.423854875283,4,1,12,1,'4/4',Fsus7,A1,1,40
25.5175510204,0.451473922902,4,1,12,2,'4/4',Fsus7,A1,1,33
25.9690249433,0.415102040816,4,1,12,3,'4/4',Fsus7,A1,1,46
26.3841269841,0.423832199546,4,1,12,4,'4/4',Fsus7,A1,1,34
26.8079591837,0.433968253968,4,1,13,1,'4/4',Fsus7,A1,2,41
27.2419274376,0.423786848073,4,1,13,2,'4/4',Fsus7,A1,2,40
27.6657142857,0.442721088435,4,1,13,3,'4/4',Fsus7,A1,2,39
28.1084353741,0.423854875283,4,1,13,4,'4/4',Fsus7,A1,2,33
28.5322902494,0.423242630385,4,1,14,1,'4/4',Bbsus7,A1,2,33
28.9555328798,0.424036281179,4,1,14,2,'4/4',Bbsus7,A1,2,34
29.379569161,0.405827664399,4,1,14,3,'4/4',Bbsus7,A1,2,43
29.7853968254,0.38820861678,4,1,14,4,'4/4',Bbsus7,A1,2,37
30.1736054422,0.41433106576,4,1,15,1,'4/4',Fsus7,A1,2,41
30.5879365079,0.432653061224,4,1,15,2,'4/4',Fsus7,A1,2,42
31.0205895692,0.416575963719,4,1,15,3,'4/4',Fsus7,A1,2,51
31.4371655329,0.423083900227,4,1,15,4,'4/4',Fsus7,A1,2,33
31.8602494331,0.424195011338,4,1,16,1,'4/4',Fsus7,A1,2,33
32.2844444444,0.415736961451,4,1,16,2,'4/4',Fsus7,A1,2,43
32.7001814059,0.405578231293,4,1,16,3,'4/4',Fsus7,A1,2,43
33.1057596372,0.423287981859,4,1,16,4,'4/4',Fsus7,A1,2,43
