onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
11.9058956916,0.545056689342,4,1,1,1,'4/4',F79#,A1,1,39
12.450952381,0.513922902494,4,1,1,2,'4/4',F79#,A1,1,47
12.9648752834,0.501632653061,4,1,1,3,'4/4',F79#,A1,1,47
13.4665079365,0.514013605442,4,1,1,4,'4/4',F79#,A1,1,46
13.980521542,0.51537414966,4,1,2,1,'4/4',F79#,A1,1,46
14.4958956916,0.49977324263,4,1,2,2,'4/4',F79#,A1,1,41
14.9956689342,0.513854875283,4,1,2,3,'4/4',F79#,A1,1,46
15.5095238095,0.523265306122,4,1,2,4,'4/4',F79#,A1,1,36
16.0327891156,0.511609977324,4,1,3,1,'4/4',F79#,A1,1,41
16.544399093,0.524557823129,4,1,3,2,'4/4',F79#,A1,1,36
17.0689569161,0.491678004535,4,1,3,3,'4/4',F79#,A1,1,47
17.5606349206,0.514784580499,4,1,3,4,'4/4',F79#,A1,1,39
18.0754195011,0.520861678005,4,1,4,1,'4/4',F79#,A1,1,39
18.5962811791,0.505034013605,4,1,4,2,'4/4',F79#,A1,1,41
19.1013151927,0.521972789116,4,1,4,3,'4/4',F79#,A1,1,46
19.6232879819,0.508412698413,4,1,4,4,'4/4',F79#,A1,1,36
20.1317006803,0.508004535147,4,1,5,1,'4/4',F79#,A1,1,39
20.6397052154,0.51947845805,4,1,5,2,'4/4',F79#,A1,1,36
21.1591836735,0.51589569161,4,1,5,3,'4/4',F79#,A1,1,36
21.6750793651,0.4920861678,4,1,5,4,'4/4',F79#,A1,1,40
22.1671655329,0.524920634921,4,1,6,1,'4/4',F79#,A1,1,40
22.6920861678,0.520158730159,4,1,6,2,'4/4',F79#,A1,1,41
23.212244898,0.51612244898,4,1,6,3,'4/4',F79#,A1,1,42
23.7283673469,0.514693877551,4,1,6,4,'4/4',F79#,A1,1,47
24.2430612245,0.511723356009,4,1,7,1,'4/4',F79#,A1,1,39
24.7547845805,0.51433106576,4,1,7,2,'4/4',F79#,A1,1,47
25.2691156463,0.522426303855,4,1,7,3,'4/4',F79#,A1,1,47
25.7915419501,0.507959183673,4,1,7,4,'4/4',F79#,A1,1,40
26.2995011338,0.508662131519,4,1,8,1,'4/4',F79#,A1,1,39
26.8081632653,0.511678004535,4,1,8,2,'4/4',F79#,A1,1,41
27.3198412698,0.522403628118,4,1,8,3,'4/4',F79#,A1,1,46
27.842244898,0.493015873016,4,1,8,4,'4/4',F79#,A1,1,47
28.335260771,0.521337868481,4,1,9,1,'4/4',F79#,A1,1,46
28.8565986395,0.528253968254,4,1,9,2,'4/4',F79#,A1,1,47
29.3848526077,0.500362811791,4,1,9,3,'4/4',F79#,A1,1,47
29.8852154195,0.501814058957,4,1,9,4,'4/4',F79#,A1,1,40
30.3870294785,0.535056689342,4,1,10,1,'4/4',F79#,A1,1,40
30.9220861678,0.500498866213,4,1,10,2,'4/4',F79#,A1,1,41
31.422585034,0.496394557823,4,1,10,3,'4/4',F79#,A1,1,49
31.9189795918,0.510340136054,4,1,10,4,'4/4',F79#,A1,1,36
32.4293197279,0.491383219955,4,1,11,1,'4/4',F79#,A1,1,39
32.9207029478,0.503968253968,4,1,11,2,'4/4',F79#,A1,1,47
33.4246712018,0.511632653061,4,1,11,3,'4/4',F79#,A1,1,47
33.9363038549,0.501405895692,4,1,11,4,'4/4',F79#,A1,1,40
34.4377097506,0.515102040816,4,1,12,1,'4/4',F79#,A1,1,40
34.9528117914,0.51179138322,4,1,12,2,'4/4',F79#,A1,1,40
35.4646031746,0.494399092971,4,1,12,3,'4/4',F79#,A1,1,46
35.9590022676,0.51664399093,4,1,12,4,'4/4',F79#,A1,1,47
36.4756462585,0.487619047619,4,1,13,1,'4/4',F79#,A1,1,46
36.9632653061,0.533038548753,4,1,13,2,'4/4',F79#,A1,1,46
37.4963038549,0.534535147392,4,1,13,3,'4/4',F79#,A1,1,39
38.0308390023,0.479410430839,4,1,13,4,'4/4',F79#,A1,1,46
