onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.82040816327,0.481088435374,4,1,0,1,'4/4',NC,I1,0,41
4.30149659864,0.45768707483,4,1,0,2,'4/4',NC,I1,0,40
4.75918367347,0.457142857143,4,1,0,3,'4/4',NC,I1,0,40
5.21632653061,0.487074829932,4,1,0,4,'4/4',NC,I1,0,40
5.70340136054,0.47619047619,4,1,1,1,'4/4',F7,A1,1,41
6.17959183673,0.489795918367,4,1,1,2,'4/4',F7,A1,1,45
6.6693877551,0.481632653061,4,1,1,3,'4/4',F7,A1,1,48
7.15102040816,0.465306122449,4,1,1,4,'4/4',F7,A1,1,41
7.61632653061,0.473469387755,4,1,2,1,'4/4',Bb7,A1,1,46
8.08979591837,0.489795918367,4,1,2,2,'4/4',Bb7,A1,1,43
8.57959183673,0.465306122449,4,1,2,3,'4/4',Bb7,A1,1,47
9.04489795918,0.481632653061,4,1,2,4,'4/4',Bb7,A1,1,38
9.52653061224,0.473469387755,4,1,3,1,'4/4',F7,A1,1,48
10.0,0.473469387755,4,1,3,2,'4/4',F7,A1,1,41
10.4734693878,0.473469387755,4,1,3,3,'4/4',F7,A1,1,45
10.9469387755,0.481632653061,4,1,3,4,'4/4',F7,A1,1,50
11.4285714286,0.457142857143,4,1,4,1,'4/4',F7,A1,1,48
11.8857142857,0.481632653061,4,1,4,2,'4/4',F7,A1,1,43
12.3673469388,0.478027210884,4,1,4,3,'4/4',F7,A1,1,41
12.8453741497,0.477074829932,4,1,4,4,'4/4',F7,A1,1,45
13.3224489796,0.478911564626,4,1,5,1,'4/4',Bb7,A1,1,34
13.8013605442,0.484353741497,4,1,5,2,'4/4',Bb7,A1,1,41
14.2857142857,0.469387755102,4,1,5,3,'4/4',Bb7,A1,1,46
14.7551020408,0.440816326531,4,1,5,4,'4/4',Bb7,A1,1,44
15.1959183673,0.461088435374,4,1,6,1,'4/4',Bb7,A1,1,43
15.6570068027,0.45179138322,4,1,6,2,'4/4',Bb7,A1,1,41
