onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.77630385488,0.39612244898,4,1,1,1,'4/4',F-7,A1,1,37
2.17242630385,0.402607709751,4,1,1,2,'4/4',F-7,A1,1,38
2.57503401361,0.402448979592,4,1,1,3,'4/4',F-7,A1,1,38
2.9774829932,0.397188208617,4,1,1,4,'4/4',F-7,A1,1,45
3.37467120181,0.386439909297,4,1,2,1,'4/4',F-7,A1,1,43
3.76111111111,0.392902494331,4,1,2,2,'4/4',F-7,A1,1,42
4.15401360544,0.387324263039,4,1,2,3,'4/4',F-7,A1,1,43
4.54133786848,0.382902494331,4,1,2,4,'4/4',F-7,A1,1,42
4.92424036281,0.405736961451,4,1,3,1,'4/4',F-7,A1,1,45
5.32997732426,0.402585034014,4,1,3,2,'4/4',F-7,A1,1,52
5.73256235828,0.377664399093,4,1,3,3,'4/4',F-7,A1,1,50
6.11022675737,0.404058956916,4,1,3,4,'4/4',F-7,A1,1,50
6.51428571429,0.38566893424,4,1,4,1,'4/4',F-7,A1,1,48
6.89995464853,0.401700680272,4,1,4,2,'4/4',F-7,A1,1,49
7.3016553288,0.396802721088,4,1,4,3,'4/4',F-7,A1,1,50
7.69845804989,0.367732426304,4,1,4,4,'4/4',F-7,A1,1,49
8.06619047619,0.377437641723,4,1,5,1,'4/4',F-7,A1,1,48
8.44362811791,0.392471655329,4,1,5,2,'4/4',F-7,A1,1,46
8.83609977324,0.387052154195,4,1,5,3,'4/4',F-7,A1,1,44
9.22315192744,0.387392290249,4,1,5,4,'4/4',F-7,A1,1,43
9.61054421769,0.382040816327,4,1,6,1,'4/4',F-7,A1,1,42
9.99258503401,0.397029478458,4,1,6,2,'4/4',F-7,A1,1,39
10.3896145125,0.387324263039,4,1,6,3,'4/4',F-7,A1,1,38
10.7769387755,0.365918367347,4,1,6,4,'4/4',F-7,A1,1,42
11.1428571429,0.368390022676,4,1,7,1,'4/4',G7,A1,1,43
11.5112471655,0.392789115646,4,1,7,2,'4/4',G7,A1,1,46
11.9040362812,0.402743764172,4,1,7,3,'4/4',G7,A1,1,38
12.3067800454,0.406870748299,4,1,7,4,'4/4',G7,A1,1,37
12.7136507937,0.376575963719,4,1,8,1,'4/4',C7,A1,1,37
13.0902267574,0.402607709751,4,1,8,2,'4/4',C7,A1,1,44
13.4928344671,0.380634920635,4,1,8,3,'4/4',C7,A1,1,43
13.8734693878,0.416326530612,4,1,8,4,'4/4',C7,A1,1,40
14.2897959184,0.394535147392,4,1,9,1,'4/4',F-7,A1,1,41
14.6843310658,0.387278911565,4,1,9,2,'4/4',F-7,A1,1,44
15.0716099773,0.367437641723,4,1,9,3,'4/4',F-7,A1,1,43
15.439047619,0.387346938776,4,1,9,4,'4/4',F-7,A1,1,43
15.8263945578,0.39179138322,4,1,10,1,'4/4',F-7,A1,1,46
16.218185941,0.397278911565,4,1,10,2,'4/4',F-7,A1,1,37
16.6154648526,0.377346938776,4,1,10,3,'4/4',F-7,A1,1,43
16.9928117914,0.39283446712,4,1,10,4,'4/4',F-7,A1,1,42
17.3856462585,0.376507936508,4,1,11,1,'4/4',F-7,A1,1,41
17.762154195,0.402675736961,4,1,11,2,'4/4',F-7,A1,1,45
18.164829932,0.40693877551,4,1,11,3,'4/4',F-7,A1,1,38
18.5717687075,0.381927437642,4,1,11,4,'4/4',F-7,A1,1,37
