onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
0.0116099773243,0.139319727891,4,1,1,1,'4/4',Bb7,A1,1,42
0.150929705215,0.139319727891,4,1,1,2,'4/4',Bb7,A1,1,41
0.290249433107,0.142222222222,4,1,1,3,'4/4',NC,A1,1,40
0.432471655329,0.142222222222,4,1,1,4,'4/4',NC,A1,1,42
0.574693877551,0.165442176871,4,1,2,1,'4/4',Eb7,A1,1,43
0.740136054422,0.165442176871,4,1,2,2,'4/4',Eb7,A1,1,44
0.905578231293,0.137868480726,4,1,2,3,'4/4',Eb7,A1,1,44
1.04344671202,0.137868480726,4,1,2,4,'4/4',Eb7,A1,1,45
1.18131519274,0.158185941043,4,1,3,1,'4/4',Bb7,A1,1,45
1.33950113379,0.158185941043,4,1,3,2,'4/4',Bb7,A1,1,37
1.49768707483,0.121904761905,4,1,3,3,'4/4',Bb7,A1,1,41
1.61959183673,0.121904761905,4,1,3,4,'4/4',Bb7,A1,1,40
1.74149659864,0.227845804989,4,1,4,1,'4/4',Bb7,A1,1,50
1.96934240363,0.227845804989,4,1,4,2,'4/4',Bb7,A1,1,40
2.19718820862,0.213333333333,4,1,4,3,'4/4',Bb7,A1,1,45
2.41052154195,0.213333333333,4,1,4,4,'4/4',Bb7,A1,1,45
2.62385487528,0.194467120181,4,1,5,1,'4/4',Eb7,A1,1,46
2.81832199546,0.194467120181,4,1,5,2,'4/4',Eb7,A1,1,50
3.01278911565,0.195918367347,4,1,5,3,'4/4',Eb7,A1,1,37
3.20870748299,0.195918367347,4,1,5,4,'4/4',Eb7,A1,1,48
3.40462585034,0.197970521542,4,1,6,1,'4/4',Eb7,A1,1,47
3.60259637188,0.197970521542,4,1,6,2,'4/4',Eb7,A1,1,42
3.80056689342,0.188764172336,4,1,6,3,'4/4',Eb7,A1,1,43
3.98933106576,0.188764172336,4,1,6,4,'4/4',Eb7,A1,1,43
4.1780952381,0.183333333333,4,1,7,1,'4/4',Bb7,A1,1,41
4.36142857143,0.183333333333,4,1,7,2,'4/4',Bb7,A1,1,45
4.54476190476,0.196405895692,4,1,7,3,'4/4',Bb7,A1,1,44
4.74116780045,0.196405895692,4,1,7,4,'4/4',Bb7,A1,1,43
4.93757369615,0.206156462585,4,1,8,1,'4/4',G7,A1,1,43
5.14373015873,0.206156462585,4,1,8,2,'4/4',G7,A1,1,41
5.34988662132,0.184013605442,4,1,8,3,'4/4',G7,A1,1,43
5.53390022676,0.184013605442,4,1,8,4,'4/4',G7,A1,1,43
5.7179138322,0.197993197279,4,1,9,1,'4/4',C-7,A1,1,38
5.91590702948,0.197993197279,4,1,9,2,'4/4',C-7,A1,1,36
6.11390022676,0.183820861678,4,1,9,3,'4/4',C-7,A1,1,36
6.29772108844,0.183820861678,4,1,9,4,'4/4',C-7,A1,1,40
6.48154195011,0.20619047619,4,1,10,1,'4/4',F7,A1,1,43
6.6877324263,0.20619047619,4,1,10,2,'4/4',F7,A1,1,42
6.89392290249,0.193276643991,4,1,10,3,'4/4',F7,A1,1,41
7.08719954649,0.193276643991,4,1,10,4,'4/4',F7,A1,1,45
7.28047619048,0.201337868481,4,1,11,1,'4/4',Bb7,A1,1,45
7.48181405896,0.201337868481,4,1,11,2,'4/4',Bb7,A1,1,38
7.68315192744,0.19843537415,4,1,11,3,'4/4',Bb7,A1,1,43
7.88158730159,0.19843537415,4,1,11,4,'4/4',Bb7,A1,1,43
