onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.39301587302,0.232947845805,4,1,1,1,'4/4',Bb,A1,1,46
2.62596371882,0.24358276644,4,1,1,2,'4/4',Bb,A1,1,46
2.86954648526,0.248412698413,4,1,1,3,'4/4',Bb,A1,1,46
3.11795918367,0.246031746032,4,1,1,4,'4/4',Bb,A1,1,46
3.36399092971,0.246712018141,4,1,2,1,'4/4',Bb,A1,1,46
3.61070294785,0.240907029478,4,1,2,2,'4/4',Bb,A1,1,46
3.85160997732,0.235102040816,4,1,2,3,'4/4',Bb,A1,1,46
4.08671201814,0.249614512472,4,1,2,4,'4/4',Bb,A1,1,46
4.33632653061,0.238004535147,4,1,3,1,'4/4',A-7,A1,1,45
4.57433106576,0.258321995465,4,1,3,2,'4/4',A-7,A1,1,45
4.83265306122,0.255419501134,4,1,3,3,'4/4',A-7,A1,1,45
5.08807256236,0.254467120181,4,1,3,4,'4/4',A-7,A1,1,45
5.34253968254,0.253446712018,4,1,4,1,'4/4',D7,A1,1,38
5.59598639456,0.2679138322,4,1,4,2,'4/4',D7,A1,1,38
5.86390022676,0.253492063492,4,1,4,3,'4/4',D7,A1,1,38
6.11739229025,0.247777777778,4,1,4,4,'4/4',D7,A1,1,38
6.36517006803,0.253990929705,4,1,5,1,'4/4',G-,A1,1,43
6.61916099773,0.25253968254,4,1,5,2,'4/4',G-,A1,1,43
6.87170068027,0.278684807256,4,1,5,3,'4/4',G-,A1,1,43
7.15038548753,0.247800453515,4,1,5,4,'4/4',G-,A1,1,43
7.39818594104,0.268843537415,4,1,6,1,'4/4',G-,A1,1,43
7.66702947846,0.252562358277,4,1,6,2,'4/4',G-,A1,1,43
7.91959183673,0.243718820862,4,1,6,3,'4/4',G-,A1,1,43
8.1633106576,0.248344671202,4,1,6,4,'4/4',G-,A1,1,43
8.4116553288,0.253469387755,4,1,7,1,'4/4',G-7,A1,1,43
8.66512471655,0.267709750567,4,1,7,2,'4/4',G-7,A1,1,43
8.93283446712,0.232993197279,4,1,7,3,'4/4',G-7,A1,1,43
9.1658276644,0.253628117914,4,1,7,4,'4/4',G-7,A1,1,43
9.41945578231,0.268344671202,4,1,8,1,'4/4',C7,A1,1,36
9.68780045351,0.242766439909,4,1,8,2,'4/4',C7,A1,1,36
9.93056689342,0.278707482993,4,1,8,3,'4/4',C7,A1,1,36
10.2092743764,0.242607709751,4,1,8,4,'4/4',C7,A1,1,36
10.4518820862,0.259070294785,4,1,9,1,'4/4',C-7,A1,1,36
10.710952381,0.252607709751,4,1,9,2,'4/4',C-7,A1,1,36
10.9635600907,0.248163265306,4,1,9,3,'4/4',C-7,A1,1,36
11.211723356,0.259070294785,4,1,9,4,'4/4',C-7,A1,1,36
11.4707936508,0.281836734694,4,1,10,1,'4/4',F7,A1,1,41
11.7526303855,0.249319727891,4,1,10,2,'4/4',F7,A1,1,41
12.0019501134,0.252426303855,4,1,10,3,'4/4',F7,A1,1,41
12.2543764172,0.26873015873,4,1,10,4,'4/4',F7,A1,1,41
12.523106576,0.267868480726,4,1,11,1,'4/4',D-,A1,1,38
12.7909750567,0.253492063492,4,1,11,2,'4/4',D-,A1,1,38
13.0444671202,0.258117913832,4,1,11,3,'4/4',D-,A1,1,38
13.302585034,0.253401360544,4,1,11,4,'4/4',D-,A1,1,38
13.5559863946,0.238412698413,4,1,12,1,'4/4',G-,A1,1,43
13.794399093,0.23380952381,4,1,12,2,'4/4',G-,A1,1,43
14.0282086168,0.243106575964,4,1,12,3,'4/4',G-,A1,1,38
14.2713151927,0.243560090703,4,1,12,4,'4/4',G-,A1,1,43
14.5148752834,0.25798185941,4,1,13,1,'4/4',E-7,A1,1,44
14.7728571429,0.262290249433,4,1,13,2,'4/4',E-7,A1,1,40
15.0351473923,0.268820861678,4,1,13,3,'4/4',E-7,A1,1,40
15.303968254,0.268934240363,4,1,13,4,'4/4',E-7,A1,1,40
15.5729024943,0.267528344671,4,1,14,1,'4/4',A7,A1,1,45
15.840430839,0.233015873016,4,1,14,2,'4/4',A7,A1,1,33
16.073446712,0.263265306122,4,1,14,3,'4/4',A7,A1,1,45
16.3367120181,0.277619047619,4,1,14,4,'4/4',A7,A1,1,45
16.6143310658,0.259138321995,4,1,15,1,'4/4',D,A1,1,38
16.8734693878,0.252471655329,4,1,15,2,'4/4',D,A1,1,38
