onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.47879818594,0.50179138322,4,1,1,1,'4/4',F7,A1,1,41
1.98058956916,0.474920634921,4,1,1,2,'4/4',F7,A1,1,33
2.45551020408,0.477120181406,4,1,1,3,'4/4',F7,A1,1,34
2.93263038549,0.527142857143,4,1,1,4,'4/4',F7,A1,1,35
3.45977324263,0.505034013605,4,1,2,1,'4/4',Bb7,A1,1,36
3.96480725624,0.510839002268,4,1,2,2,'4/4',Bb7,A1,1,43
4.4756462585,0.510839002268,4,1,2,3,'4/4',Bb7,A1,1,48
4.98648526077,0.48358276644,4,1,2,4,'4/4',Bb7,A1,1,43
5.47006802721,0.486235827664,4,1,3,1,'4/4',F7,A1,1,41
5.95630385488,0.491746031746,4,1,3,2,'4/4',F7,A1,1,33
6.44804988662,0.483106575964,4,1,3,3,'4/4',F7,A1,1,34
6.93115646259,0.473106575964,4,1,3,4,'4/4',F7,A1,1,35
7.40426303855,0.51664399093,4,1,4,1,'4/4',F7,A1,1,36
7.92090702948,0.503151927438,4,1,4,2,'4/4',F7,A1,1,43
8.42405895692,0.504013605442,4,1,4,3,'4/4',F7,A1,1,42
8.92807256236,0.487619047619,4,1,4,4,'4/4',F7,A1,1,48
9.41569160998,0.502494331066,4,1,5,1,'4/4',Bb7,A1,1,46
9.91818594104,0.519183673469,4,1,5,2,'4/4',Bb7,A1,1,38
10.4373696145,0.510839002268,4,1,5,3,'4/4',Bb7,A1,1,39
10.9482086168,0.534058956916,4,1,5,4,'4/4',Bb7,A1,1,40
11.4822675737,0.465918367347,4,1,6,1,'4/4',Bb7,A1,1,41
11.948185941,0.521179138322,4,1,6,2,'4/4',Bb7,A1,1,38
12.4693650794,0.516848072562,4,1,6,3,'4/4',Bb7,A1,1,43
12.9862131519,0.486258503401,4,1,6,4,'4/4',Bb7,A1,1,37
13.4724716553,0.511383219955,4,1,7,1,'4/4',F7,A1,1,36
13.9838548753,0.51156462585,4,1,7,2,'4/4',F7,A1,1,33
14.4954195011,0.49306122449,4,1,7,3,'4/4',F7,A1,1,34
14.9884807256,0.500362811791,4,1,7,4,'4/4',F7,A1,1,31
15.4888435374,0.486349206349,4,1,8,1,'4/4',A-7,A1,1,33
15.9751927438,0.500612244898,4,1,8,2,'4/4',A-7,A1,1,40
16.4758049887,0.49612244898,4,1,8,3,'4/4',D7,A1,1,38
16.9719274376,0.526598639456,4,1,8,4,'4/4',D7,A1,1,45
17.4985260771,0.511247165533,4,1,9,1,'4/4',G-7,A1,1,43
18.0097732426,0.519750566893,4,1,9,2,'4/4',G-7,A1,1,38
18.5295238095,0.499229024943,4,1,9,3,'4/4',G-7,A1,1,34
19.0287528345,0.470204081633,4,1,9,4,'4/4',G-7,A1,1,33
19.4989569161,0.470204081633,4,1,10,1,'4/4',C7,A1,1,31
19.9691609977,0.512471655329,4,1,10,2,'4/4',C7,A1,1,43
20.4816326531,0.510204081633,4,1,10,3,'4/4',C7,A1,1,36
20.9918367347,0.50612244898,4,1,10,4,'4/4',C7,A1,1,43
21.4979591837,0.485714285714,4,1,11,1,'4/4',F7,A1,1,41
21.9836734694,0.518367346939,4,1,11,2,'4/4',F7,A1,1,33
22.5020408163,0.502040816327,4,1,11,3,'4/4',D7,A1,1,38
23.0040816327,0.497959183673,4,1,11,4,'4/4',D7,A1,1,45
