onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.76761904762,0.339591836735,4,1,0,3,'4/4',NC,I1,0,36
2.10721088435,0.309115646259,4,1,0,4,'4/4',NC,I1,0,41
2.41632653061,0.341519274376,4,1,1,1,'4/4',Abj7,A1,1,34
2.75784580499,0.332947845805,4,1,1,2,'4/4',Abj7,A1,1,34
3.09079365079,0.313197278912,4,1,1,3,'4/4',Abj7,A1,1,34
3.40399092971,0.332131519274,4,1,1,4,'4/4',Abj7,A1,1,34
3.73612244898,0.313333333333,4,1,2,1,'4/4',Abj7,A1,1,39
4.04945578231,0.306689342404,4,1,2,2,'4/4',Abj7,A1,1,39
4.35614512472,0.323310657596,4,1,2,3,'4/4',Abj7,A1,1,37
4.67945578231,0.313151927438,4,1,2,4,'4/4',Abj7,A1,1,37
4.99260770975,0.322380952381,4,1,3,1,'4/4',Bb-7,A1,1,36
5.31498866213,0.307755102041,4,1,3,2,'4/4',Bb-7,A1,1,36
5.62274376417,0.313469387755,4,1,3,3,'4/4',Bb-7,A1,1,36
5.93621315193,0.3220861678,4,1,3,4,'4/4',Bb-7,A1,1,36
6.25829931973,0.33306122449,4,1,4,1,'4/4',Eb7,A1,1,41
6.59136054422,0.302562358277,4,1,4,2,'4/4',Eb7,A1,1,41
6.89392290249,0.29798185941,4,1,4,3,'4/4',Eb7,A1,1,41
7.1919047619,0.322176870748,4,1,4,4,'4/4',Eb7,A1,1,41
7.51408163265,0.313424036281,4,1,5,1,'4/4',Abj7,A1,1,34
7.82750566893,0.313333333333,4,1,5,2,'4/4',Abj7,A1,1,34
8.14083900227,0.33201814059,4,1,5,3,'4/4',Abj7,A1,1,34
8.47285714286,0.323015873016,4,1,5,4,'4/4',Abj7,A1,1,34
8.79587301587,0.312562358277,4,1,6,1,'4/4',F-7,A1,1,39
9.10843537415,0.317641723356,4,1,6,2,'4/4',F-7,A1,1,39
9.42607709751,0.30358276644,4,1,6,3,'4/4',F-7,A1,1,39
9.72965986395,0.287210884354,4,1,6,4,'4/4',F-7,A1,1,39
10.0168707483,0.313401360544,4,1,7,1,'4/4',Bb-7,A1,1,36
10.3302721088,0.332040816327,4,1,7,2,'4/4',Bb-7,A1,1,36
10.6623129252,0.323129251701,4,1,7,3,'4/4',Bb-7,A1,1,36
10.9854421769,0.332063492063,4,1,7,4,'4/4',Bb-7,A1,1,36
11.3175056689,0.323015873016,4,1,8,1,'4/4',Eb7,A1,1,41
11.640521542,0.298163265306,4,1,8,2,'4/4',Eb7,A1,1,41
11.9386848073,0.302766439909,4,1,8,3,'4/4',Eb7,A1,1,41
12.2414512472,0.298163265306,4,1,8,4,'4/4',Eb7,A1,1,41
12.5396145125,0.328163265306,4,1,9,1,'4/4',C-7,A1,1,34
12.8677777778,0.307029478458,4,1,9,2,'4/4',C-7,A1,1,34
13.1748072562,0.342653061224,4,1,9,3,'4/4',C-7,A1,1,34
13.5174603175,0.328616780045,4,1,9,4,'4/4',C-7,A1,1,34
13.8460770975,0.316598639456,4,1,10,1,'4/4',F7,A1,1,39
14.162675737,0.323197278912,4,1,10,2,'4/4',F7,A1,1,39
14.4858730159,0.328458049887,4,1,10,3,'4/4',F7,A1,1,37
14.8143310658,0.326575963719,4,1,10,4,'4/4',F7,A1,1,37
15.1409070295,0.303741496599,4,1,11,1,'4/4',Bb-7,A1,1,36
15.4446485261,0.322176870748,4,1,11,2,'4/4',Bb-7,A1,1,36
15.7668253968,0.31335600907,4,1,11,3,'4/4',Bb-7,A1,1,36
16.0801814059,0.296961451247,4,1,11,4,'4/4',Bb-7,A1,1,36
16.3771428571,0.303628117914,4,1,12,1,'4/4',Eb7,A1,1,41
16.6807709751,0.317664399093,4,1,12,2,'4/4',Eb7,A1,1,41
16.9984353741,0.302766439909,4,1,12,3,'4/4',Eb7,A1,1,41
17.3012018141,0.313333333333,4,1,12,4,'4/4',Eb7,A1,1,41
17.6145351474,0.332675736961,4,1,13,1,'4/4',Abj7,A1,1,34
17.9472108844,0.322154195011,4,1,13,2,'4/4',Abj7,A1,1,34
18.2693650794,0.33283446712,4,1,13,3,'4/4',Abj7,A1,1,34
18.6021995465,0.322993197279,4,1,13,4,'4/4',Abj7,A1,1,34
18.9251927438,0.322176870748,4,1,14,1,'4/4',F-7,A1,1,38
19.2473696145,0.31335600907,4,1,14,2,'4/4',F-7,A1,1,38
19.5607256236,0.297097505669,4,1,14,3,'4/4',F-7,A1,1,43
19.8578231293,0.313197278912,4,1,14,4,'4/4',F-7,A1,1,43
20.1710204082,0.31335600907,4,1,15,1,'4/4',Bb-7,A1,1,36
20.4843764172,0.316825396825,4,1,15,2,'4/4',Bb-7,A1,1,36
20.8012018141,0.322925170068,4,1,15,3,'4/4',Bb-7,A1,1,36
21.1241269841,0.313333333333,4,1,15,4,'4/4',Bb-7,A1,1,43
21.4374603175,0.312562358277,4,1,16,1,'4/4',D-7,A1,1,33
21.7500226757,0.323106575964,4,1,16,2,'4/4',D-7,A1,1,33
22.0731292517,0.294217687075,4,1,16,3,'4/4',G7,A1,1,33
22.3673469388,0.614058956916,4,1,16,4,'4/4',G7,A1,1,33
22.9814058957,0.302766439909,4,1,17,1,'4/4',Cj7,B1,1,38
23.2841723356,0.298163265306,4,1,17,2,'4/4',Cj7,B1,1,38
23.5823356009,0.303265306122,4,1,17,3,'4/4',Cj7,B1,1,38
23.885600907,0.332154195011,4,1,17,4,'4/4',Cj7,B1,1,43
24.217755102,0.313310657596,4,1,18,1,'4/4',A-7,B1,1,43
24.5310657596,0.306712018141,4,1,18,2,'4/4',A-7,B1,1,41
24.8377777778,0.323242630385,4,1,18,3,'4/4',A-7,B1,1,41
25.1610204082,0.322925170068,4,1,18,4,'4/4',A-7,B1,1,40
25.4839455782,0.312471655329,4,1,19,1,'4/4',D-7,B1,1,43
25.7964172336,0.342698412698,4,1,19,2,'4/4',D-7,B1,1,40
26.1391156463,0.289455782313,4,1,19,3,'4/4',D-7,B1,1,43
26.4285714286,0.311179138322,4,1,19,4,'4/4',D-7,B1,1,33
26.7397505669,0.303424036281,4,1,20,1,'4/4',G7,B1,1,33
27.0431746032,0.313378684807,4,1,20,2,'4/4',G7,B1,1,33
27.356553288,0.322199546485,4,1,20,3,'4/4',G7,B1,1,33
27.6787528345,0.332993197279,4,1,20,4,'4/4',G7,B1,1,38
28.0117460317,0.306893424036,4,1,21,1,'4/4',E-7,B1,1,38
