onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.30077097506,0.422108843537,4,1,1,1,'4/4',Ab,A1,1,44
4.72287981859,0.456870748299,4,1,1,2,'4/4',Ab,A1,1,44
5.17975056689,0.431179138322,4,1,1,3,'4/4',Ab,A1,1,44
5.61092970522,0.402448979592,4,1,1,4,'4/4',Ab,A1,1,44
6.01337868481,0.412335600907,4,1,2,1,'4/4',Db7,A1,1,37
6.42571428571,0.431428571429,4,1,2,2,'4/4',Db7,A1,1,37
6.85714285714,0.424489795918,4,1,2,3,'4/4',Db7,A1,1,37
7.28163265306,0.419455782313,4,1,2,4,'4/4',Db7,A1,1,37
7.70108843537,0.412380952381,4,1,3,1,'4/4',C-7,A1,1,36
8.11346938776,0.437392290249,4,1,3,2,'4/4',C-7,A1,1,36
8.550861678,0.431882086168,4,1,3,3,'4/4',C-7,A1,1,36
8.98274376417,0.411451247166,4,1,3,4,'4/4',C-7,A1,1,36
9.39419501134,0.432040816327,4,1,4,1,'4/4',C-7,A1,1,36
9.82623582766,0.422131519274,4,1,4,2,'4/4',C-7,A1,1,40
10.2483673469,0.412244897959,4,1,4,3,'4/4',F7,A1,1,41
10.6606122449,0.411383219955,4,1,4,4,'4/4',F7,A1,1,45
11.0719954649,0.457233560091,4,1,5,1,'4/4',Bb7,A1,1,34
11.5292290249,0.396870748299,4,1,5,2,'4/4',Bb7,A1,1,34
11.9260997732,0.412675736961,4,1,5,3,'4/4',Bb7,A1,1,34
12.3387755102,0.431541950113,4,1,5,4,'4/4',Bb7,A1,1,34
12.7703174603,0.447142857143,4,1,6,1,'4/4',Eb7,A1,1,39
13.2174603175,0.430952380952,4,1,6,2,'4/4',Eb7,A1,1,39
13.6484126984,0.427732426304,4,1,6,3,'4/4',Eb7,A1,1,39
14.0761451247,0.422108843537,4,1,6,4,'4/4',Eb7,A1,1,39
14.4982539683,0.424195011338,4,1,7,1,'4/4',Eb-7,A1,1,39
14.9224489796,0.410453514739,4,1,7,2,'4/4',Eb-7,A1,1,39
15.3329024943,0.422199546485,4,1,7,3,'4/4',Eb-7,A1,1,39
15.7551020408,0.432653061224,4,1,7,4,'4/4',Eb-7,A1,1,45
16.187755102,0.395396825397,4,1,8,1,'4/4',Ab7,A1,1,32
16.5831519274,0.417709750567,4,1,8,2,'4/4',Ab7,A1,1,44
17.000861678,0.450634920635,4,1,8,3,'4/4',Ab7,A1,1,44
17.4514965986,0.431882086168,4,1,8,4,'4/4',Ab7,A1,1,48
17.8833786848,0.447256235828,4,1,9,1,'4/4',Db,B1,1,37
18.3306349206,0.453038548753,4,1,9,2,'4/4',Db,B1,1,37
18.7836734694,0.40641723356,4,1,9,3,'4/4',Db,B1,1,37
19.1900907029,0.406054421769,4,1,9,4,'4/4',Db,B1,1,37
19.5961451247,0.42768707483,4,1,10,1,'4/4',Db,B1,1,37
20.0238321995,0.4220861678,4,1,10,2,'4/4',Db,B1,1,37
20.4459183673,0.422244897959,4,1,10,3,'4/4',Db,B1,1,37
20.8681632653,0.412426303855,4,1,10,4,'4/4',Db,B1,1,37
21.2805895692,0.440498866213,4,1,11,1,'4/4',Db-7,B1,1,37
21.7210884354,0.447369614512,4,1,11,2,'4/4',Db-7,B1,1,37
22.1684580499,0.402607709751,4,1,11,3,'4/4',Db-7,B1,1,37
22.5710657596,0.406780045351,4,1,11,4,'4/4',Db-7,B1,1,37
22.977845805,0.430975056689,4,1,12,1,'4/4',Db-7,B1,1,52
23.4088208617,0.437392290249,4,1,12,2,'4/4',Db-7,B1,1,52
23.8462131519,0.412426303855,4,1,12,3,'4/4',Gb7,B1,1,42
24.2586394558,0.441700680272,4,1,12,4,'4/4',Gb7,B1,1,42
24.7003401361,0.437414965986,4,1,13,1,'4/4',B-7,B1,1,35
25.137755102,0.396394557823,4,1,13,2,'4/4',B-7,B1,1,35
25.5341496599,0.437324263039,4,1,13,3,'4/4',B-7,B1,1,35
25.9714739229,0.412290249433,4,1,13,4,'4/4',B-7,B1,1,35
26.3837641723,0.412403628118,4,1,14,1,'4/4',E7,B1,1,28
26.7961678005,0.405850340136,4,1,14,2,'4/4',E7,B1,1,47
27.2020181406,0.432154195011,4,1,14,3,'4/4',E7,B1,1,47
27.6341723356,0.427256235828,4,1,14,4,'4/4',E7,B1,1,28
28.0614285714,0.422176870748,4,1,15,1,'4/4',A7,B1,1,45
28.4836054422,0.441632653061,4,1,15,2,'4/4',A7,B1,1,45
28.9252380952,0.393015873016,4,1,15,3,'4/4',A7,B1,1,33
29.3182539683,0.430975056689,4,1,15,4,'4/4',A7,B1,1,45
29.7492290249,0.41231292517,4,1,16,1,'4/4',Bb-7,B1,1,34
30.1615419501,0.412222222222,4,1,16,2,'4/4',Bb-7,B1,1,34
30.5737641723,0.402607709751,4,1,16,3,'4/4',Eb7,B1,1,39
30.9763718821,0.450612244898,4,1,16,4,'4/4',Eb7,B1,1,45
31.426984127,0.402607709751,4,1,17,1,'4/4',Ab7,A2,1,44
31.8295918367,0.44179138322,4,1,17,2,'4/4',Ab7,A2,1,43
32.27138322,0.42746031746,4,1,17,3,'4/4',Ab7,A2,1,44
32.6988435374,0.435850340136,4,1,17,4,'4/4',Ab7,A2,1,43
33.1346938776,0.398526077098,4,1,18,1,'4/4',Db7,A2,1,37
33.5332199546,0.434126984127,4,1,18,2,'4/4',Db7,A2,1,37
33.9673469388,0.416326530612,4,1,18,3,'4/4',Db7,A2,1,37
34.3836734694,0.414875283447,4,1,18,4,'4/4',Db7,A2,1,37
34.7985487528,0.407029478458,4,1,19,1,'4/4',C-7,A2,1,36
35.2055782313,0.412335600907,4,1,19,2,'4/4',C-7,A2,1,36
35.6179138322,0.426689342404,4,1,19,3,'4/4',C-7,A2,1,47
36.0446031746,0.431927437642,4,1,19,4,'4/4',C-7,A2,1,47
36.4765306122,0.431927437642,4,1,20,1,'4/4',C-7,A2,1,47
36.9084580499,0.446961451247,4,1,20,2,'4/4',C-7,A2,1,47
37.3554195011,0.432063492063,4,1,20,3,'4/4',F7,A2,1,40
37.7874829932,0.431836734694,4,1,20,4,'4/4',F7,A2,1,34
38.2193197279,0.436485260771,4,1,21,1,'4/4',Bb-7,A2,1,34
38.6558049887,0.43201814059,4,1,21,2,'4/4',Bb-7,A2,1,34
39.0878231293,0.412380952381,4,1,21,3,'4/4',Bb-7,A2,1,34
39.5002040816,0.412176870748,4,1,21,4,'4/4',Bb-7,A2,1,34
39.9123809524,0.430476190476,4,1,22,1,'4/4',Eb7,A2,1,49
40.3428571429,0.447845804989,4,1,22,2,'4/4',Eb7,A2,1,49
40.7907029478,0.43179138322,4,1,22,3,'4/4',Eb7,A2,1,39
41.2224943311,0.434648526077,4,1,22,4,'4/4',Eb7,A2,1,39
41.6571428571,0.420408163265,4,1,23,1,'4/4',Eb-7,A2,1,39
42.0775510204,0.383673469388,4,1,23,2,'4/4',Eb-7,A2,1,39
42.4612244898,0.429546485261,4,1,23,3,'4/4',Eb-7,A2,1,39
42.8907709751,0.439841269841,4,1,23,4,'4/4',Eb-7,A2,1,45
43.3306122449,0.404421768707,4,1,24,1,'4/4',Ab7,A2,1,44
43.7350340136,0.447278911565,4,1,24,2,'4/4',Ab7,A2,1,44
44.1823129252,0.421201814059,4,1,24,3,'4/4',Ab7,A2,1,44
44.6035147392,0.421995464853,4,1,24,4,'4/4',Ab7,A2,1,47
45.0255102041,0.402380952381,4,1,25,1,'4/4',Db7,B2,1,37
45.4278911565,0.441746031746,4,1,25,2,'4/4',Db7,B2,1,37
45.8696371882,0.412426303855,4,1,25,3,'4/4',Db7,B2,1,37
46.2820634921,0.440793650794,4,1,25,4,'4/4',Db7,B2,1,37
46.7228571429,0.427528344671,4,1,26,1,'4/4',Db-7,B2,1,37
47.1503854875,0.42231292517,4,1,26,2,'4/4',Db-7,B2,1,37
47.5726984127,0.402585034014,4,1,26,3,'4/4',Gb7,B2,1,42
47.9752834467,0.422131519274,4,1,26,4,'4/4',Gb7,B2,1,42
48.397414966,0.440725623583,4,1,27,1,'4/4',B,B2,1,35
48.8381405896,0.443492063492,4,1,27,2,'4/4',B,B2,1,46
49.2816326531,0.400657596372,4,1,27,3,'4/4',B,B2,1,35
49.6822902494,0.412403628118,4,1,27,4,'4/4',B,B2,1,47
50.0946938776,0.403265306122,4,1,28,1,'4/4',F7,B2,1,40
50.4979591837,0.412244897959,4,1,28,2,'4/4',F7,B2,1,39
50.9102040816,0.416326530612,4,1,28,3,'4/4',F7,B2,1,41
51.3265306122,0.404081632653,4,1,28,4,'4/4',F7,B2,1,45
51.7306122449,0.425238095238,4,1,29,1,'4/4',Bb-7,B2,1,34
52.1558503401,0.431904761905,4,1,29,2,'4/4',Bb-7,B2,1,34
52.587755102,0.465306122449,4,1,29,3,'4/4',Bb-7,B2,1,34
