onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.25866213152,0.687188208617,4,1,-15,1,'4/4',A-6,B1,0,33
4.94585034014,0.669433106576,4,1,-15,2,'4/4',A-6,B1,0,35
5.61528344671,0.674875283447,4,1,-15,3,'4/4',A-6,B1,0,36
6.29015873016,0.675691609977,4,1,-15,4,'4/4',A-6,B1,0,40
6.96585034014,0.698616780045,4,1,-14,1,'4/4',E7,B1,0,45
7.66446712018,0.69768707483,4,1,-14,2,'4/4',E7,B1,0,35
8.36215419501,0.674671201814,4,1,-14,3,'4/4',E7,B1,0,40
9.03682539683,0.699727891156,4,1,-14,4,'4/4',E7,B1,0,44
9.73655328798,0.683310657596,4,1,-13,1,'4/4',A-6,B1,0,33
10.4198639456,0.703990929705,4,1,-13,2,'4/4',A-6,B1,0,33
11.1238548753,0.695102040816,4,1,-13,3,'4/4',A-6,B1,0,40
11.8189569161,0.704149659864,4,1,-13,4,'4/4',A-6,B1,0,40
12.523106576,0.667233560091,4,1,-12,1,'4/4',A-6,B1,0,33
13.1903401361,0.682675736961,4,1,-12,2,'4/4',A-6,B1,0,35
13.873015873,0.661088435374,4,1,-12,3,'4/4',A-6,B1,0,36
14.5341043084,0.675283446712,4,1,-12,4,'4/4',A-6,B1,0,40
15.2093877551,0.684671201814,4,1,-11,1,'4/4',G-7,B1,0,45
15.8940589569,0.690317460317,4,1,-11,2,'4/4',G-7,B1,0,38
16.5843764172,0.706984126984,4,1,-11,3,'4/4',G-7,B1,0,38
17.2913605442,0.653106575964,4,1,-11,4,'4/4',G-7,B1,0,35
17.9444671202,0.68873015873,4,1,-10,1,'4/4',C7,B1,0,36
18.6331972789,0.654784580499,4,1,-10,2,'4/4',C7,B1,0,43
19.2879818594,0.703287981859,4,1,-10,3,'4/4',C7,B1,0,46
19.9912698413,0.689954648526,4,1,-10,4,'4/4',C7,B1,0,48
20.6812244898,0.684149659864,4,1,-9,1,'4/4',Fj7,B1,0,41
21.3653741497,0.712721088435,4,1,-9,2,'4/4',Fj7,B1,0,41
22.0780952381,0.67746031746,4,1,-9,3,'4/4',Fj7,B1,0,36
22.7555555556,0.684988662132,4,1,-9,4,'4/4',Fj7,B1,0,36
23.4405442177,0.661768707483,4,1,-8,1,'4/4',Fj7,B1,0,41
24.1023129252,0.676870748299,4,1,-8,2,'4/4',Fj7,B1,0,33
24.7791836735,0.669886621315,4,1,-8,3,'4/4',Fj7,B1,0,38
25.4490702948,0.62693877551,4,1,-8,4,'4/4',Fj7,B1,0,45
26.0760090703,0.642358276644,4,1,-7,1,'4/4',D#o,B1,0,42
26.7183673469,0.644897959184,4,1,-7,2,'4/4',D#o,B1,0,33
27.3632653061,0.650816326531,4,1,-7,3,'4/4',D#o,B1,0,36
28.0140816327,0.685782312925,4,1,-7,4,'4/4',D#o,B1,0,39
28.6998639456,0.704126984127,4,1,-6,1,'4/4',E-7,B1,0,40
29.4039909297,0.690884353741,4,1,-6,2,'4/4',E-7,B1,0,43
30.0948752834,0.683174603175,4,1,-6,3,'4/4',E-7,B1,0,45
30.7780498866,0.68358276644,4,1,-6,4,'4/4',E-7,B1,0,45
31.4616326531,0.659342403628,4,1,-5,1,'4/4',G#o,B1,0,35
32.1209750567,0.660430839002,4,1,-5,2,'4/4',G#o,B1,0,35
32.7814058957,0.655034013605,4,1,-5,3,'4/4',G#o,B1,0,40
33.4364399093,0.679183673469,4,1,-5,4,'4/4',G#o,B1,0,40
34.1156235828,0.654172335601,4,1,-4,1,'4/4',A-7,B1,0,33
34.7697959184,0.676621315193,4,1,-4,2,'4/4',A-7,B1,0,45
35.4464172336,0.651541950113,4,1,-4,3,'4/4',A-7,B1,0,44
36.0979591837,0.690340136054,4,1,-4,4,'4/4',A-7,B1,0,44
36.7882993197,0.700317460317,4,1,-3,1,'4/4',D7,B1,0,43
37.48861678,0.696598639456,4,1,-3,2,'4/4',D7,B1,0,43
38.1852154195,0.70820861678,4,1,-3,3,'4/4',D7,B1,0,44
38.8934240363,0.696598639456,4,1,-3,4,'4/4',D7,B1,0,44
39.5900226757,0.642925170068,4,1,-2,1,'4/4',G7,B1,0,45
40.2329478458,0.669002267574,4,1,-2,2,'4/4',G7,B1,0,38
40.9019501134,0.691292517007,4,1,-2,3,'4/4',G7,B1,0,43
41.5932426304,0.69029478458,4,1,-2,4,'4/4',G7,B1,0,37
42.283537415,0.658163265306,4,1,-1,1,'4/4',Cj7,B1,0,36
42.9417006803,0.692426303855,4,1,-1,2,'4/4',Cj7,B1,0,38
43.6341269841,0.67612244898,4,1,-1,3,'4/4',Cj7,B1,0,40
44.3102494331,0.654081632653,4,1,-1,4,'4/4',Cj7,B1,0,43
44.9643310658,0.660907029478,4,1,0,1,'4/4',Cj7,B1,0,47
45.6252380952,0.672811791383,4,1,0,2,'4/4',Cj7,B1,0,35
46.2980498866,0.675918367347,4,1,0,3,'4/4',Cj7,B1,0,40
46.973968254,0.666553287982,4,1,0,4,'4/4',Cj7,B1,0,40
47.640521542,0.654535147392,4,1,1,1,'4/4',A-6,A1,1,33
48.2950566893,0.669818594104,4,1,1,2,'4/4',A-6,A1,1,36
48.9648752834,0.669818594104,4,1,1,3,'4/4',A-6,A1,1,36
