onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
6.14290249433,0.221405895692,4,1,1,1,'4/4',Bbj7,A1,1,34
6.36430839002,0.221405895692,4,1,1,2,'4/4',Bbj7,A1,1,45
6.58571428571,0.225034013605,4,1,1,3,'4/4',G7,A1,1,42
6.81074829932,0.225034013605,4,1,1,4,'4/4',G7,A1,1,35
7.03578231293,0.225204081633,4,1,2,1,'4/4',C-7,A1,1,36
7.26098639456,0.225204081633,4,1,2,2,'4/4',C-7,A1,1,34
7.48619047619,0.22820861678,4,1,2,3,'4/4',F7,A1,1,46
7.71439909297,0.22820861678,4,1,2,4,'4/4',F7,A1,1,41
7.94260770975,0.228378684807,4,1,3,1,'4/4',Bbj7,A1,1,42
8.17098639456,0.228378684807,4,1,3,2,'4/4',Bbj7,A1,1,40
8.39936507937,0.222131519274,4,1,3,3,'4/4',G7,A1,1,38
8.62149659864,0.222131519274,4,1,3,4,'4/4',G7,A1,1,47
8.84362811791,0.230702947846,4,1,4,1,'4/4',C-7,A1,1,42
9.07433106576,0.230702947846,4,1,4,2,'4/4',C-7,A1,1,43
9.30503401361,0.219319727891,4,1,4,3,'4/4',F7,A1,1,42
9.5243537415,0.219319727891,4,1,4,4,'4/4',F7,A1,1,45
9.74367346939,0.217959183673,4,1,5,1,'4/4',F-7,A1,1,44
9.96163265306,0.217959183673,4,1,5,2,'4/4',F-7,A1,1,41
10.1795918367,0.221609977324,4,1,5,3,'4/4',Bb7,A1,1,43
10.4012018141,0.221609977324,4,1,5,4,'4/4',Bb7,A1,1,44
10.6228117914,0.217641723356,4,1,6,1,'4/4',Ebj7,A1,1,46
10.8404535147,0.217641723356,4,1,6,2,'4/4',Ebj7,A1,1,38
11.0580952381,0.228866213152,4,1,6,3,'4/4',Eb-6,A1,1,39
11.2869614512,0.228866213152,4,1,6,4,'4/4',Eb-6,A1,1,40
11.5158276644,0.218197278912,4,1,7,1,'4/4',Bbj7,A1,1,41
11.7340249433,0.218197278912,4,1,7,2,'4/4',Bbj7,A1,1,40
11.9522222222,0.230555555556,4,1,7,3,'4/4',G7,A1,1,39
12.1827777778,0.230555555556,4,1,7,4,'4/4',G7,A1,1,38
12.4133333333,0.227777777778,4,1,8,1,'4/4',C-7,A1,1,42
12.6411111111,0.227777777778,4,1,8,2,'4/4',C-7,A1,1,43
12.8688888889,0.220634920635,4,1,8,3,'4/4',F7,A1,1,41
13.0895238095,0.220634920635,4,1,8,4,'4/4',F7,A1,1,39
13.3101587302,0.230782312925,4,1,9,1,'4/4',Bbj7,A2,1,38
13.5409410431,0.230782312925,4,1,9,2,'4/4',Bbj7,A2,1,37
13.771723356,0.217789115646,4,1,9,3,'4/4',G7,A2,1,47
13.9895124717,0.217789115646,4,1,9,4,'4/4',G7,A2,1,38
14.2073015873,0.225759637188,4,1,10,1,'4/4',C-7,A2,1,36
14.4330612245,0.225759637188,4,1,10,2,'4/4',C-7,A2,1,43
14.6588208617,0.221802721088,4,1,10,3,'4/4',F7,A2,1,42
14.8806235828,0.221802721088,4,1,10,4,'4/4',F7,A2,1,45
15.1024263039,0.227891156463,4,1,11,1,'4/4',Bbj7,A2,1,46
15.3303174603,0.227891156463,4,1,11,2,'4/4',Bbj7,A2,1,38
15.5582086168,0.225113378685,4,1,11,3,'4/4',G7,A2,1,43
15.7833219955,0.225113378685,4,1,11,4,'4/4',G7,A2,1,47
16.0084353741,0.227732426304,4,1,12,1,'4/4',C-7,A2,1,42
16.2361678005,0.227732426304,4,1,12,2,'4/4',C-7,A2,1,42
16.4639002268,0.225827664399,4,1,12,3,'4/4',F7,A2,1,36
16.6897278912,0.225827664399,4,1,12,4,'4/4',F7,A2,1,41
16.9155555556,0.227641723356,4,1,13,1,'4/4',Bbj7,A2,1,41
17.1431972789,0.227641723356,4,1,13,2,'4/4',Bbj7,A2,1,47
17.3708390023,0.221768707483,4,1,13,3,'4/4',Bb7,A2,1,47
17.5926077098,0.221768707483,4,1,13,4,'4/4',Bb7,A2,1,47
17.8143764172,0.2260430839,4,1,14,1,'4/4',Ebj7,A2,1,46
18.0404195011,0.2260430839,4,1,14,2,'4/4',Ebj7,A2,1,49
18.266462585,0.224353741497,4,1,14,3,'4/4',Eb-6,A2,1,50
18.4908163265,0.224353741497,4,1,14,4,'4/4',Eb-6,A2,1,47
18.715170068,0.214716553288,4,1,15,1,'4/4',Bbj7,A2,1,49
18.9298866213,0.214716553288,4,1,15,2,'4/4',Bbj7,A2,1,43
19.1446031746,0.216825396825,4,1,15,3,'4/4',F7,A2,1,51
19.3614285714,0.216825396825,4,1,15,4,'4/4',F7,A2,1,43
19.5782539683,0.224603174603,4,1,16,1,'4/4',Bj7,A2,1,42
19.8028571429,0.224603174603,4,1,16,2,'4/4',Bj7,A2,1,47
20.0274603175,0.220997732426,4,1,16,3,'4/4',Bj7,A2,1,47
20.2484580499,0.220997732426,4,1,16,4,'4/4',Bj7,A2,1,46
20.4694557823,0.21619047619,4,1,17,1,'4/4',D7,B1,1,47
20.6856462585,0.21619047619,4,1,17,2,'4/4',D7,B1,1,47
20.9018367347,0.228390022676,4,1,17,3,'4/4',D7,B1,1,42
21.1302267574,0.228390022676,4,1,17,4,'4/4',D7,B1,1,43
21.35861678,0.228027210884,4,1,18,1,'4/4',D7,B1,1,43
21.5866439909,0.228027210884,4,1,18,2,'4/4',D7,B1,1,37
21.8146712018,0.218594104308,4,1,18,3,'4/4',D7,B1,1,37
22.0332653061,0.218594104308,4,1,18,4,'4/4',D7,B1,1,38
22.2518594104,0.224739229025,4,1,19,1,'4/4',G7,B1,1,43
22.4765986395,0.224739229025,4,1,19,2,'4/4',G7,B1,1,43
22.7013378685,0.227902494331,4,1,19,3,'4/4',G7,B1,1,53
22.9292403628,0.227902494331,4,1,19,4,'4/4',G7,B1,1,43
23.1571428571,0.223469387755,4,1,20,1,'4/4',G7,B1,1,42
23.3806122449,0.223469387755,4,1,20,2,'4/4',G7,B1,1,41
23.6040816327,0.225272108844,4,1,20,3,'4/4',G7,B1,1,40
23.8293537415,0.225272108844,4,1,20,4,'4/4',G7,B1,1,37
24.0546258503,0.236326530612,4,1,21,1,'4/4',C7,B1,1,48
24.290952381,0.236326530612,4,1,21,2,'4/4',C7,B1,1,42
24.5272789116,0.229455782313,4,1,21,3,'4/4',C7,B1,1,40
24.7567346939,0.229455782313,4,1,21,4,'4/4',C7,B1,1,40
24.9861904762,0.219195011338,4,1,22,1,'4/4',C7,B1,1,36
25.2053854875,0.219195011338,4,1,22,2,'4/4',C7,B1,1,35
25.4245804989,0.23320861678,4,1,22,3,'4/4',C7,B1,1,36
25.6577891156,0.23320861678,4,1,22,4,'4/4',C7,B1,1,38
25.8909977324,0.218854875283,4,1,23,1,'4/4',F7,B1,1,36
26.1098526077,0.218854875283,4,1,23,2,'4/4',F7,B1,1,38
26.328707483,0.233866213152,4,1,23,3,'4/4',F7,B1,1,39
26.5625736961,0.233866213152,4,1,23,4,'4/4',F7,B1,1,40
26.7964399093,0.223662131519,4,1,24,1,'4/4',F7,B1,1,40
27.0201020408,0.223662131519,4,1,24,2,'4/4',F7,B1,1,45
27.2437641723,0.22664399093,4,1,24,3,'4/4',F7,B1,1,38
27.4704081633,0.22664399093,4,1,24,4,'4/4',F7,B1,1,36
27.6970521542,0.236496598639,4,1,25,1,'4/4',Bbj7,A3,1,43
27.9335487528,0.236496598639,4,1,25,2,'4/4',Bbj7,A3,1,45
28.1700453515,0.220986394558,4,1,25,3,'4/4',G7,A3,1,38
28.391031746,0.220986394558,4,1,25,4,'4/4',G7,A3,1,35
28.6120181406,0.236836734694,4,1,26,1,'4/4',C-7,A3,1,36
28.8488548753,0.236836734694,4,1,26,2,'4/4',C-7,A3,1,43
29.08569161,0.215170068027,4,1,26,3,'4/4',F7,A3,1,41
29.300861678,0.215170068027,4,1,26,4,'4/4',F7,A3,1,39
29.516031746,0.230691609977,4,1,27,1,'4/4',Bbj7,A3,1,38
29.746723356,0.230691609977,4,1,27,2,'4/4',Bbj7,A3,1,43
29.977414966,0.226700680272,4,1,27,3,'4/4',G7,A3,1,43
30.2041156463,0.226700680272,4,1,27,4,'4/4',G7,A3,1,42
30.4308163265,0.237471655329,4,1,28,1,'4/4',C-7,A3,1,47
30.6682879819,0.237471655329,4,1,28,2,'4/4',C-7,A3,1,47
30.9057596372,0.237142857143,4,1,28,3,'4/4',F7,A3,1,41
31.1429024943,0.237142857143,4,1,28,4,'4/4',F7,A3,1,47
31.3800453515,0.22806122449,4,1,29,1,'4/4',Bbj7,A3,1,37
31.608106576,0.22806122449,4,1,29,2,'4/4',Bbj7,A3,1,38
31.8361678005,0.223514739229,4,1,29,3,'4/4',Bb7,A3,1,43
32.0596825397,0.223514739229,4,1,29,4,'4/4',Bb7,A3,1,50
32.2831972789,0.225646258503,4,1,30,1,'4/4',Ebj7,A3,1,50
32.5088435374,0.225646258503,4,1,30,2,'4/4',Ebj7,A3,1,50
32.7344897959,0.231383219955,4,1,30,3,'4/4',Eb-6,A3,1,51
32.9658730159,0.231383219955,4,1,30,4,'4/4',Eb-6,A3,1,41
33.1972562358,0.224795918367,4,1,31,1,'4/4',Bbj7,A3,1,43
33.4220521542,0.224795918367,4,1,31,2,'4/4',Bbj7,A3,1,43
33.6468480726,0.225476190476,4,1,31,3,'4/4',F7,A3,1,42
