onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.85306122449,0.563265306122,4,1,-1,1,'4/4',NC,I1,0,37
2.41632653061,0.559501133787,4,1,-1,2,'4/4',NC,I1,0,39
2.9758276644,0.531020408163,4,1,-1,3,'4/4',NC,I1,0,36
3.50684807256,0.530725623583,4,1,-1,4,'4/4',NC,I1,0,39
4.03757369615,0.556031746032,4,1,0,1,'4/4',NC,I1,0,46
4.59360544218,0.501632653061,4,1,0,2,'4/4',NC,I1,0,36
5.09523809524,0.501655328798,4,1,0,3,'4/4',NC,I1,0,38
5.59689342404,0.590884353741,4,1,0,4,'4/4',NC,I1,0,38
6.18777777778,0.585328798186,4,1,1,1,'4/4',Eb-7,A1,1,50
6.77310657596,0.555963718821,4,1,1,2,'4/4',Eb-7,A1,1,37
7.32907029478,0.546077097506,4,1,1,3,'4/4',Bb79b,A1,1,47
7.87514739229,0.530997732426,4,1,1,4,'4/4',Bb79b,A1,1,46
8.40614512472,0.536394557823,4,1,2,1,'4/4',Eb-7,A1,1,43
8.94253968254,0.582040816327,4,1,2,2,'4/4',Eb-7,A1,1,39
9.52458049887,0.520090702948,4,1,2,3,'4/4',D7,A1,1,50
10.0446712018,0.54746031746,4,1,2,4,'4/4',D7,A1,1,43
10.5921315193,0.591088435374,4,1,3,1,'4/4',Dbj7,A1,1,37
11.1832199546,0.585464852608,4,1,3,2,'4/4',Dbj7,A1,1,44
11.7686848073,0.546281179138,4,1,3,3,'4/4',Gb7,A1,1,49
12.3149659864,0.536213151927,4,1,3,4,'4/4',Gb7,A1,1,43
12.8511791383,0.546349206349,4,1,4,1,'4/4',F-7,A1,1,40
13.3975283447,0.565759637188,4,1,4,2,'4/4',F-7,A1,1,40
13.9632879819,0.540770975057,4,1,4,3,'4/4',Eo7,A1,1,39
14.5040589569,0.555986394558,4,1,4,4,'4/4',Eo7,A1,1,43
15.0600453515,0.571337868481,4,1,5,1,'4/4',Eb-7,A1,1,39
15.63138322,0.565736961451,4,1,5,2,'4/4',Eb-7,A1,1,43
16.1971201814,0.511179138322,4,1,5,3,'4/4',Eb-7,A1,1,43
16.7082993197,0.566009070295,4,1,5,4,'4/4',Eb-7,A1,1,43
17.27430839,0.565759637188,4,1,6,1,'4/4',Cm7b5,A1,1,43
17.8400680272,0.511111111111,4,1,6,2,'4/4',Cm7b5,A1,1,44
18.3511791383,0.566054421769,4,1,6,3,'4/4',F7,A1,1,45
18.9172335601,0.555941043084,4,1,6,4,'4/4',F7,A1,1,44
19.4731746032,0.555986394558,4,1,7,1,'4/4',Bb-7,A1,1,45
20.0291609977,0.526575963719,4,1,7,2,'4/4',Eb7,A1,1,43
20.5557369615,0.540952380952,4,1,7,3,'4/4',Eb-7,A1,1,44
21.0966893424,0.561383219955,4,1,7,4,'4/4',Ab7,A1,1,47
21.6580725624,0.560929705215,4,1,8,1,'4/4',Db6,A1,1,37
22.2190022676,0.546099773243,4,1,8,2,'4/4',Db6,A1,1,37
22.7651020408,0.546213151927,4,1,8,3,'4/4',Bb7,A1,1,44
23.3113151927,0.555873015873,4,1,8,4,'4/4',Bb7,A1,1,47
23.8671882086,0.546326530612,4,1,9,1,'4/4',Eb-7,A2,1,51
24.4135147392,0.565827664399,4,1,9,2,'4/4',Eb-7,A2,1,49
24.9793424036,0.546099773243,4,1,9,3,'4/4',Bb79b,A2,1,47
25.5254421769,0.54612244898,4,1,9,4,'4/4',Bb79b,A2,1,47
26.0715646259,0.55589569161,4,1,10,1,'4/4',Eb-7,A2,1,43
26.6274603175,0.531020408163,4,1,10,2,'4/4',Eb-7,A2,1,44
27.1584807256,0.530997732426,4,1,10,3,'4/4',D7,A2,1,39
27.689478458,0.590929705215,4,1,10,4,'4/4',D7,A2,1,44
28.2804081633,0.580952380952,4,1,11,1,'4/4',Dbj7,A2,1,37
28.8613605442,0.530793650794,4,1,11,2,'4/4',Dbj7,A2,1,43
29.392154195,0.575850340136,4,1,11,3,'4/4',Gb7,A2,1,49
29.9680045351,0.526598639456,4,1,11,4,'4/4',Gb7,A2,1,43
30.4946031746,0.585328798186,4,1,12,1,'4/4',F-7,A2,1,40
31.0799319728,0.546145124717,4,1,12,2,'4/4',F-7,A2,1,40
31.6260770975,0.536326530612,4,1,12,3,'4/4',Eo7,A2,1,40
32.1624036281,0.565759637188,4,1,12,4,'4/4',Eo7,A2,1,40
32.7281632653,0.546281179138,4,1,13,1,'4/4',Eb-7,A2,1,39
33.2744444444,0.566689342404,4,1,13,2,'4/4',Eb-7,A2,1,47
33.8411337868,0.500770975057,4,1,13,3,'4/4',Eb-7,A2,1,40
34.3419047619,0.565759637188,4,1,13,4,'4/4',Eb-7,A2,1,43
34.9076643991,0.547188208617,4,1,14,1,'4/4',Cm7b5,A2,1,43
35.4548526077,0.565736961451,4,1,14,2,'4/4',Cm7b5,A2,1,43
36.0205895692,0.55612244898,4,1,14,3,'4/4',F7,A2,1,44
36.5767120181,0.555827664399,4,1,14,4,'4/4',F7,A2,1,45
37.1325396825,0.550634920635,4,1,15,1,'4/4',Bb-7,A2,1,46
37.6831746032,0.536349206349,4,1,15,2,'4/4',Eb7,A2,1,50
38.2195238095,0.556054421769,4,1,15,3,'4/4',Eb-7,A2,1,51
38.7755782313,0.536371882086,4,1,15,4,'4/4',Ab7,A2,1,43
39.3119501134,0.550544217687,4,1,16,1,'4/4',Db,A2,1,37
