onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.75891156463,0.168344671202,4,1,0,1,'4/4',NC,I1,0,44
1.92725623583,0.168344671202,4,1,0,2,'4/4',NC,I1,0,44
2.09560090703,0.162222222222,4,1,0,3,'4/4',NC,I1,0,44
2.25782312925,0.162222222222,4,1,0,4,'4/4',NC,I1,0,43
2.42004535147,0.166950113379,4,1,1,1,'4/4',G-,A1,1,43
2.58699546485,0.166950113379,4,1,1,2,'4/4',G-,A1,1,43
2.75394557823,0.153786848073,4,1,1,3,'4/4',G-,A1,1,45
2.9077324263,0.153786848073,4,1,1,4,'4/4',G-,A1,1,45
3.06151927438,0.171009070295,4,1,2,1,'4/4',G-,A1,1,47
3.23252834467,0.171009070295,4,1,2,2,'4/4',G-,A1,1,47
3.40353741497,0.160260770975,4,1,2,3,'4/4',G-,A1,1,47
3.56379818594,0.160260770975,4,1,2,4,'4/4',G-,A1,1,47
3.72405895692,0.161009070295,4,1,3,1,'4/4',D7,A1,1,38
3.88506802721,0.161009070295,4,1,3,2,'4/4',D7,A1,1,38
4.04607709751,0.162675736961,4,1,3,3,'4/4',D7,A1,1,39
4.20875283447,0.162675736961,4,1,3,4,'4/4',D7,A1,1,36
4.37142857143,0.15306122449,4,1,4,1,'4/4',D7,A1,1,50
4.52448979592,0.15306122449,4,1,4,2,'4/4',D7,A1,1,37
4.67755102041,0.15306122449,4,1,4,3,'4/4',D7,A1,1,37
4.8306122449,0.15306122449,4,1,4,4,'4/4',D7,A1,1,37
4.98367346939,0.167879818594,4,1,5,1,'4/4',D7,A1,1,38
5.15155328798,0.167879818594,4,1,5,2,'4/4',D7,A1,1,37
5.31943310658,0.158594104308,4,1,5,3,'4/4',D7,A1,1,48
5.47802721088,0.158594104308,4,1,5,4,'4/4',D7,A1,1,47
5.63662131519,0.159977324263,4,1,6,1,'4/4',D7,A1,1,46
5.79659863946,0.159977324263,4,1,6,2,'4/4',D7,A1,1,46
5.95657596372,0.163741496599,4,1,6,3,'4/4',D7,A1,1,45
6.12031746032,0.163741496599,4,1,6,4,'4/4',D7,A1,1,45
6.28405895692,0.160907029478,4,1,7,1,'4/4',G-,A1,1,43
6.44496598639,0.160907029478,4,1,7,2,'4/4',G-,A1,1,43
6.60587301587,0.178310657596,4,1,7,3,'4/4',G-,A1,1,41
6.78418367347,0.178310657596,4,1,7,4,'4/4',G-,A1,1,41
6.96249433107,0.17589569161,4,1,8,1,'4/4',G-,A1,1,39
7.13839002268,0.17589569161,4,1,8,2,'4/4',G-,A1,1,39
7.31428571429,0.175408163265,4,1,8,3,'4/4',D7,A1,1,38
7.48969387755,0.175408163265,4,1,8,4,'4/4',D7,A1,1,38
7.66510204082,0.163922902494,4,1,9,1,'4/4',G-,A2,1,43
7.82902494331,0.163922902494,4,1,9,2,'4/4',G-,A2,1,43
7.9929478458,0.165702947846,4,1,9,3,'4/4',G-,A2,1,45
8.15865079365,0.165702947846,4,1,9,4,'4/4',G-,A2,1,45
8.3243537415,0.158185941043,4,1,10,1,'4/4',G-,A2,1,46
8.48253968254,0.158185941043,4,1,10,2,'4/4',G-,A2,1,37
8.64072562358,0.153832199546,4,1,10,3,'4/4',G-,A2,1,37
8.79455782313,0.153832199546,4,1,10,4,'4/4',G-,A2,1,37
8.94839002268,0.15529478458,4,1,11,1,'4/4',D7,A2,1,37
9.10368480726,0.15529478458,4,1,11,2,'4/4',D7,A2,1,37
9.25897959184,0.160646258503,4,1,11,3,'4/4',D7,A2,1,37
9.41962585034,0.160646258503,4,1,11,4,'4/4',D7,A2,1,38
9.58027210884,0.164637188209,4,1,12,1,'4/4',D7,A2,1,37
9.74490929705,0.164637188209,4,1,12,2,'4/4',D7,A2,1,38
9.90954648526,0.162630385488,4,1,12,3,'4/4',D7,A2,1,37
10.0721768707,0.162630385488,4,1,12,4,'4/4',D7,A2,1,46
10.2348072562,0.168605442177,4,1,13,1,'4/4',D7,A2,1,38
10.4034126984,0.168605442177,4,1,13,2,'4/4',D7,A2,1,38
10.5720181406,0.165102040816,4,1,13,3,'4/4',D7,A2,1,47
10.7371201814,0.165102040816,4,1,13,4,'4/4',D7,A2,1,42
10.9022222222,0.169126984127,4,1,14,1,'4/4',D7,A2,1,46
11.0713492063,0.169126984127,4,1,14,2,'4/4',D7,A2,1,46
11.2404761905,0.174285714286,4,1,14,3,'4/4',D7,A2,1,45
11.4147619048,0.174285714286,4,1,14,4,'4/4',D7,A2,1,45
11.589047619,0.175476190476,4,1,15,1,'4/4',G-,A2,1,43
11.7645238095,0.175476190476,4,1,15,2,'4/4',G-,A2,1,43
11.94,0.162369614512,4,1,15,3,'4/4',A7,A2,1,38
12.1023696145,0.162369614512,4,1,15,4,'4/4',A7,A2,1,39
12.264739229,0.171848072562,4,1,16,1,'4/4',D7,A2,1,38
12.4365873016,0.171848072562,4,1,16,2,'4/4',D7,A2,1,38
12.6084353741,0.174160997732,4,1,16,3,'4/4',D7,A2,1,38
12.7825963719,0.174160997732,4,1,16,4,'4/4',D7,A2,1,38
12.9567573696,0.166054421769,4,1,17,1,'4/4',G,B1,1,38
13.1228117914,0.166054421769,4,1,17,2,'4/4',G,B1,1,37
13.2888662132,0.159535147392,4,1,17,3,'4/4',G,B1,1,37
13.4484013605,0.159535147392,4,1,17,4,'4/4',G,B1,1,37
13.6079365079,0.169047619048,4,1,18,1,'4/4',G,B1,1,37
13.776984127,0.169047619048,4,1,18,2,'4/4',G,B1,1,47
13.946031746,0.164081632653,4,1,18,3,'4/4',G,B1,1,37
14.1101133787,0.164081632653,4,1,18,4,'4/4',G,B1,1,37
14.2741950113,0.177675736961,4,1,19,1,'4/4',G,B1,1,38
14.4518707483,0.177675736961,4,1,19,2,'4/4',G,B1,1,38
14.6295464853,0.153446712018,4,1,19,3,'4/4',G,B1,1,36
14.7829931973,0.153446712018,4,1,19,4,'4/4',G,B1,1,37
14.9364399093,0.170634920635,4,1,20,1,'4/4',G7,B1,1,37
15.1070748299,0.170634920635,4,1,20,2,'4/4',G7,B1,1,37
15.2777097506,0.168015873016,4,1,20,3,'4/4',G7,B1,1,37
15.4457256236,0.168015873016,4,1,20,4,'4/4',G7,B1,1,37
15.6137414966,0.163526077098,4,1,21,1,'4/4',C7,B1,1,48
15.7772675737,0.163526077098,4,1,21,2,'4/4',C7,B1,1,37
15.9407936508,0.173922902494,4,1,21,3,'4/4',C7,B1,1,37
16.1147165533,0.173922902494,4,1,21,4,'4/4',C7,B1,1,37
16.2886394558,0.160068027211,4,1,22,1,'4/4',C7,B1,1,37
16.448707483,0.160068027211,4,1,22,2,'4/4',C7,B1,1,37
16.6087755102,0.173968253968,4,1,22,3,'4/4',D7,B1,1,37
16.7827437642,0.173968253968,4,1,22,4,'4/4',D7,B1,1,45
16.9567120181,0.159875283447,4,1,23,1,'4/4',G,B1,1,38
17.1165873016,0.159875283447,4,1,23,2,'4/4',G,B1,1,43
17.276462585,0.169353741497,4,1,23,3,'4/4',G,B1,1,47
17.4458163265,0.169353741497,4,1,23,4,'4/4',G,B1,1,37
17.615170068,0.159761904762,4,1,24,1,'4/4',G,B1,1,47
17.7749319728,0.159761904762,4,1,24,2,'4/4',G,B1,1,47
17.9346938776,0.174058956916,4,1,24,3,'4/4',G,B1,1,46
18.1087528345,0.174058956916,4,1,24,4,'4/4',G,B1,1,46
18.2828117914,0.170975056689,4,1,25,1,'4/4',D7,B1,1,45
18.4537868481,0.170975056689,4,1,25,2,'4/4',D7,B1,1,45
18.6247619048,0.162380952381,4,1,25,3,'4/4',D7,B1,1,47
18.7871428571,0.162380952381,4,1,25,4,'4/4',D7,B1,1,47
18.9495238095,0.173276643991,4,1,26,1,'4/4',A7,B1,1,37
19.1228004535,0.173276643991,4,1,26,2,'4/4',A7,B1,1,37
19.2960770975,0.158662131519,4,1,26,3,'4/4',D7,B1,1,37
19.454739229,0.158662131519,4,1,26,4,'4/4',D7,B1,1,38
19.6134013605,0.171780045351,4,1,27,1,'4/4',G,B1,1,38
19.7851814059,0.171780045351,4,1,27,2,'4/4',G,B1,1,37
19.9569614512,0.160351473923,4,1,27,3,'4/4',G,B1,1,37
20.1173129252,0.160351473923,4,1,27,4,'4/4',G,B1,1,38
20.2776643991,0.177301587302,4,1,28,1,'4/4',D7,B1,1,37
20.4549659864,0.177301587302,4,1,28,2,'4/4',D7,B1,1,37
20.6322675737,0.164217687075,4,1,28,3,'4/4',D7,B1,1,37
20.7964852608,0.164217687075,4,1,28,4,'4/4',D7,B1,1,37
20.9607029478,0.160034013605,4,1,29,1,'4/4',G,B2,1,37
21.1207369615,0.160034013605,4,1,29,2,'4/4',G,B2,1,38
21.2807709751,0.162698412698,4,1,29,3,'4/4',G,B2,1,38
21.4434693878,0.162698412698,4,1,29,4,'4/4',G,B2,1,53
21.6061678005,0.168344671202,4,1,30,1,'4/4',G,B2,1,37
21.7745124717,0.168344671202,4,1,30,2,'4/4',G,B2,1,38
21.9428571429,0.164319727891,4,1,30,3,'4/4',G,B2,1,37
22.1071768707,0.164319727891,4,1,30,4,'4/4',G,B2,1,39
22.2714965986,0.163764172336,4,1,31,1,'4/4',G,B2,1,37
22.435260771,0.163764172336,4,1,31,2,'4/4',G,B2,1,38
22.5990249433,0.157766439909,4,1,31,3,'4/4',G,B2,1,37
22.7567913832,0.157766439909,4,1,31,4,'4/4',G,B2,1,38
22.9145578231,0.167380952381,4,1,32,1,'4/4',G7,B2,1,37
23.0819387755,0.167380952381,4,1,32,2,'4/4',G7,B2,1,38
23.2493197279,0.16022675737,4,1,32,3,'4/4',G7,B2,1,37
23.4095464853,0.16022675737,4,1,32,4,'4/4',G7,B2,1,38
23.5697732426,0.173639455782,4,1,33,1,'4/4',C7,B2,1,37
23.7434126984,0.173639455782,4,1,33,2,'4/4',C7,B2,1,37
23.9170521542,0.169342403628,4,1,33,3,'4/4',C7,B2,1,37
24.0863945578,0.169342403628,4,1,33,4,'4/4',C7,B2,1,38
24.2557369615,0.164931972789,4,1,34,1,'4/4',C7,B2,1,37
24.4206689342,0.164931972789,4,1,34,2,'4/4',C7,B2,1,37
24.585600907,0.167346938776,4,1,34,3,'4/4',D7,B2,1,37
24.7529478458,0.167346938776,4,1,34,4,'4/4',D7,B2,1,35
24.9202947846,0.162811791383,4,1,35,1,'4/4',G,B2,1,37
25.083106576,0.162811791383,4,1,35,2,'4/4',G,B2,1,38
25.2459183673,0.15880952381,4,1,35,3,'4/4',G,B2,1,48
25.4047278912,0.15880952381,4,1,35,4,'4/4',G,B2,1,47
25.563537415,0.161712018141,4,1,36,1,'4/4',G,B2,1,47
25.7252494331,0.161712018141,4,1,36,2,'4/4',G,B2,1,47
25.8869614512,0.154569160998,4,1,36,3,'4/4',G,B2,1,46
26.0415306122,0.154569160998,4,1,36,4,'4/4',G,B2,1,46
26.1960997732,0.171825396825,4,1,37,1,'4/4',D7,B2,1,45
26.3679251701,0.171825396825,4,1,37,2,'4/4',D7,B2,1,45
26.5397505669,0.176371882086,4,1,37,3,'4/4',D7,B2,1,47
26.716122449,0.176371882086,4,1,37,4,'4/4',D7,B2,1,47
26.8924943311,0.17387755102,4,1,38,1,'4/4',A7,B2,1,37
27.0663718821,0.17387755102,4,1,38,2,'4/4',A7,B2,1,37
27.2402494331,0.169047619048,4,1,38,3,'4/4',D7,B2,1,37
27.4092970522,0.169047619048,4,1,38,4,'4/4',D7,B2,1,38
27.5783446712,0.156984126984,4,1,39,1,'4/4',G,B2,1,37
27.7353287982,0.156984126984,4,1,39,2,'4/4',G,B2,1,47
27.8923129252,0.170022675737,4,1,39,3,'4/4',G,B2,1,36
28.0623356009,0.170022675737,4,1,39,4,'4/4',G,B2,1,38
28.2323582766,0.169897959184,4,1,40,1,'4/4',D7,B2,1,37
28.4022562358,0.169897959184,4,1,40,2,'4/4',D7,B2,1,37
28.572154195,0.171247165533,4,1,40,3,'4/4',D7,B2,1,37
28.7434013605,0.171247165533,4,1,40,4,'4/4',D7,B2,1,37
28.9146485261,0.174149659864,4,1,41,1,'4/4',G,B3,1,37
29.0887981859,0.174149659864,4,1,41,2,'4/4',G,B3,1,37
29.2629478458,0.171247165533,4,1,41,3,'4/4',G,B3,1,37
29.4341950113,0.171247165533,4,1,41,4,'4/4',G,B3,1,38
29.6054421769,0.156734693878,4,1,42,1,'4/4',G,B3,1,37
29.7621768707,0.156734693878,4,1,42,2,'4/4',G,B3,1,37
29.9189115646,0.16253968254,4,1,42,3,'4/4',G,B3,1,37
30.0814512472,0.16253968254,4,1,42,4,'4/4',G,B3,1,38
