onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.81117913832,0.304920634921,4,1,-1,1,'4/4',NC,I1,0,35
2.11609977324,0.303741496599,4,1,-1,2,'4/4',NC,I1,0,42
2.41984126984,0.286099773243,4,1,-1,3,'4/4',NC,I1,0,41
2.70594104308,0.304988662132,4,1,-1,4,'4/4',NC,I1,0,41
3.01092970522,0.294058956916,4,1,0,1,'4/4',NC,I1,0,34
3.30498866213,0.295260770975,4,1,0,2,'4/4',NC,I1,0,42
3.60024943311,0.303741496599,4,1,0,3,'4/4',NC,I1,0,43
3.90399092971,0.267823129252,4,1,0,4,'4/4',NC,I1,0,45
4.17181405896,0.275873015873,4,1,1,1,'4/4',Bb,A1,1,46
4.44768707483,0.286326530612,4,1,1,2,'4/4',Bb,A1,1,46
4.73401360544,0.295396825397,4,1,1,3,'4/4',D7,A1,1,45
5.02941043084,0.30537414966,4,1,1,4,'4/4',D7,A1,1,45
5.3347845805,0.321609977324,4,1,2,1,'4/4',G7,A1,1,43
5.65639455782,0.295034013605,4,1,2,2,'4/4',G7,A1,1,45
5.95142857143,0.285487528345,4,1,2,3,'4/4',G7,A1,1,46
6.23691609977,0.29619047619,4,1,2,4,'4/4',G7,A1,1,47
6.53310657596,0.285510204082,4,1,3,1,'4/4',C7,A1,1,47
6.81861678005,0.303696145125,4,1,3,2,'4/4',C7,A1,1,47
7.12231292517,0.295328798186,4,1,3,3,'4/4',C7,A1,1,43
7.41764172336,0.265759637188,4,1,3,4,'4/4',C7,A1,1,40
7.68340136054,0.277868480726,4,1,4,1,'4/4',C7,A1,1,35
7.96126984127,0.294013605442,4,1,4,2,'4/4',C7,A1,1,43
8.25528344671,0.283492063492,4,1,4,3,'4/4',C7,A1,1,40
8.5387755102,0.289455782313,4,1,4,4,'4/4',C7,A1,1,41
8.82823129252,0.276575963719,4,1,5,1,'4/4',F7,A1,1,41
9.10480725624,0.313514739229,4,1,5,2,'4/4',F7,A1,1,42
9.41832199546,0.295351473923,4,1,5,3,'4/4',F#o,A1,1,42
9.71367346939,0.285532879819,4,1,5,4,'4/4',F#o,A1,1,42
9.99920634921,0.276349206349,4,1,6,1,'4/4',G-,A1,1,43
10.2755555556,0.285487528345,4,1,6,2,'4/4',G-,A1,1,45
10.5610430839,0.313560090703,4,1,6,3,'4/4',G-,A1,1,47
10.8746031746,0.295260770975,4,1,6,4,'4/4',G-,A1,1,47
11.1698639456,0.30387755102,4,1,7,1,'4/4',C7,A1,1,47
11.4737414966,0.295102040816,4,1,7,2,'4/4',C7,A1,1,43
11.7688435374,0.279410430839,4,1,7,3,'4/4',C7,A1,1,40
12.0482539683,0.282721088435,4,1,7,4,'4/4',C7,A1,1,42
12.3309750567,0.277709750567,4,1,8,1,'4/4',F7,A1,1,42
12.6086848073,0.285532879819,4,1,8,2,'4/4',F7,A1,1,42
12.8942176871,0.27641723356,4,1,8,3,'4/4',F7,A1,1,43
13.1706349206,0.295238095238,4,1,8,4,'4/4',F7,A1,1,45
13.4658730159,0.275873015873,4,1,9,1,'4/4',Bb,B1,1,46
13.7417460317,0.295873015873,4,1,9,2,'4/4',Bb,B1,1,46
14.0376190476,0.306507936508,4,1,9,3,'4/4',D7,B1,1,45
14.3441269841,0.320657596372,4,1,9,4,'4/4',D7,B1,1,45
14.6647845805,0.285487528345,4,1,10,1,'4/4',G7,B1,1,43
14.9502721088,0.285260770975,4,1,10,2,'4/4',G7,B1,1,45
15.2355328798,0.286258503401,4,1,10,3,'4/4',G7,B1,1,46
15.5217913832,0.275623582766,4,1,10,4,'4/4',G7,B1,1,47
15.797414966,0.306054421769,4,1,11,1,'4/4',C-,B1,1,39
16.1034693878,0.293038548753,4,1,11,2,'4/4',C-,B1,1,39
16.3965079365,0.29566893424,4,1,11,3,'4/4',Eb,B1,1,39
16.6921768707,0.277732426304,4,1,11,4,'4/4',Eb,B1,1,39
16.9699092971,0.285646258503,4,1,12,1,'4/4',D7,B1,1,39
17.2555555556,0.276598639456,4,1,12,2,'4/4',D7,B1,1,42
17.532154195,0.2679138322,4,1,12,3,'4/4',D7,B1,1,45
17.8000680272,0.285555555556,4,1,12,4,'4/4',D7,B1,1,38
18.0856235828,0.286213151927,4,1,13,1,'4/4',Eb,B1,1,39
18.3718367347,0.293673469388,4,1,13,2,'4/4',Eb,B1,1,39
18.6655102041,0.305170068027,4,1,13,3,'4/4',Eo,B1,1,40
18.9706802721,0.275487528345,4,1,13,4,'4/4',Eo,B1,1,40
19.2461678005,0.313424036281,4,1,14,1,'4/4',Bb,B1,1,41
19.5595918367,0.286031746032,4,1,14,2,'4/4',Bb,B1,1,41
19.8456235828,0.285419501134,4,1,14,3,'4/4',G7,B1,1,43
20.1310430839,0.296145124717,4,1,14,4,'4/4',G7,B1,1,43
20.4271882086,0.275419501134,4,1,15,1,'4/4',C7,B1,1,35
20.7026077098,0.285646258503,4,1,15,2,'4/4',C7,B1,1,35
20.9882539683,0.305941043084,4,1,15,3,'4/4',F7,B1,1,41
21.2941950113,0.265941043084,4,1,15,4,'4/4',F7,B1,1,41
21.5601360544,0.305963718821,4,1,16,1,'4/4',Bb,B1,1,46
21.8660997732,0.293151927438,4,1,16,2,'4/4',Bb,B1,1,45
22.1592517007,0.295827664399,4,1,16,3,'4/4',G7,B1,1,43
22.4550793651,0.268185941043,4,1,16,4,'4/4',G7,B1,1,50
22.7232653061,0.293106575964,4,1,17,1,'4/4',C7,B1,1,35
23.0163718821,0.286167800454,4,1,17,2,'4/4',C7,B1,1,41
23.3025396825,0.287482993197,4,1,17,3,'4/4',F7,B1,1,43
23.5900226757,0.285510204082,4,1,17,4,'4/4',F7,B1,1,45
23.8755328798,0.293922902494,4,1,18,1,'4/4',Bb,B1,1,46
24.1694557823,0.2779138322,4,1,18,2,'4/4',Bb,B1,1,41
24.4473696145,0.294126984127,4,1,18,3,'4/4',Bb,B1,1,43
24.7414965986,0.267823129252,4,1,18,4,'4/4',Bb,B1,1,45
25.0093197279,0.285396825397,4,1,19,1,'4/4',Bb,I1,1,46
25.2947165533,0.285532879819,4,1,19,2,'4/4',Bb,I1,1,46
25.5802494331,0.285532879819,4,1,19,3,'4/4',Bb,I1,1,45
