onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.51204081633,0.442517006803,4,1,0,2,'4/4',NC,I1,0,42
4.95455782313,0.416961451247,4,1,0,3,'4/4',NC,I1,0,53
5.37151927438,0.445283446712,4,1,0,4,'4/4',NC,I1,0,42
5.81680272109,0.426984126984,4,1,1,1,'4/4',Bb7,A1,1,40
6.24378684807,0.459750566893,4,1,1,2,'4/4',Bb7,A1,1,34
6.70353741497,0.440975056689,4,1,1,3,'4/4',Bb7,A1,1,38
7.14451247166,0.468979591837,4,1,1,4,'4/4',Bb7,A1,1,43
7.61349206349,0.446054421769,4,1,2,1,'4/4',Eb7,A1,1,44
8.05954648526,0.490340136054,4,1,2,2,'4/4',Eb7,A1,1,41
8.54988662132,0.461156462585,4,1,2,3,'4/4',Eb7,A1,1,38
9.0110430839,0.451995464853,4,1,2,4,'4/4',Eb7,A1,1,43
9.46303854875,0.475578231293,4,1,3,1,'4/4',Bb7,A1,1,44
9.93861678005,0.432244897959,4,1,3,2,'4/4',Bb7,A1,1,41
10.370861678,0.463696145125,4,1,3,3,'4/4',Bb7,A1,1,38
10.8345578231,0.448843537415,4,1,3,4,'4/4',Bb7,A1,1,41
11.2834013605,0.449455782313,4,1,4,1,'4/4',Bb7,A1,1,34
11.7328571429,0.454648526077,4,1,4,2,'4/4',Bb7,A1,1,38
12.1875056689,0.454353741497,4,1,4,3,'4/4',Bb7,A1,1,49
12.6418594104,0.444421768707,4,1,4,4,'4/4',Bb7,A1,1,50
13.0862811791,0.449523809524,4,1,5,1,'4/4',Eb7,A1,1,50
13.5358049887,0.43970521542,4,1,5,2,'4/4',Eb7,A1,1,51
13.9755102041,0.432970521542,4,1,5,3,'4/4',Eb7,A1,1,45
14.4084807256,0.489569160998,4,1,5,4,'4/4',Eb7,A1,1,50
14.8980498866,0.441179138322,4,1,6,1,'4/4',Eb7,A1,1,39
15.3392290249,0.448412698413,4,1,6,2,'4/4',Eb7,A1,1,34
15.7876417234,0.440929705215,4,1,6,3,'4/4',Eb7,A1,1,38
16.2285714286,0.448979591837,4,1,6,4,'4/4',Eb7,A1,1,45
16.6775510204,0.431179138322,4,1,7,1,'4/4',Bb7,A1,1,46
17.1087301587,0.442993197279,4,1,7,2,'4/4',Bb7,A1,1,44
17.551723356,0.435736961451,4,1,7,3,'4/4',Bb7,A1,1,41
17.9874603175,0.445192743764,4,1,7,4,'4/4',Bb7,A1,1,39
18.4326530612,0.446802721088,4,1,8,1,'4/4',D-7,A1,1,38
18.8794557823,0.445192743764,4,1,8,2,'4/4',D-7,A1,1,36
19.3246485261,0.440249433107,4,1,8,3,'4/4',G7,A1,1,35
19.7648979592,0.445396825397,4,1,8,4,'4/4',G7,A1,1,44
20.2102947846,0.447414965986,4,1,9,1,'4/4',C-7,A1,1,41
20.6577097506,0.474376417234,4,1,9,2,'4/4',C-7,A1,1,45
21.1320861678,0.446031746032,4,1,9,3,'4/4',C-7,A1,1,41
