onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.62829931973,0.365578231293,4,1,-1,4,'4/4',NC,I1,0,48
1.99387755102,0.407437641723,4,1,0,1,'4/4',NC,I1,0,36
2.40131519274,0.414013605442,4,1,0,2,'4/4',NC,I1,0,48
2.81532879819,0.39283446712,4,1,0,3,'4/4',NC,I1,0,40
3.20816326531,0.39410430839,4,1,0,4,'4/4',NC,I1,0,42
3.6022675737,0.395306122449,4,1,1,1,'4/4',G7,A1,1,43
3.99757369615,0.367868480726,4,1,1,2,'4/4',G7,A1,1,43
4.36544217687,0.413242630385,4,1,1,3,'4/4',G7,A1,1,46
4.77868480726,0.415328798186,4,1,1,4,'4/4',G7,A1,1,36
5.19401360544,0.353492063492,4,1,2,1,'4/4',C7,A1,1,36
5.54750566893,0.391700680272,4,1,2,2,'4/4',C7,A1,1,41
5.93920634921,0.391995464853,4,1,2,3,'4/4',C7,A1,1,41
6.33120181406,0.40746031746,4,1,2,4,'4/4',C7,A1,1,42
6.73866213152,0.430793650794,4,1,3,1,'4/4',G7,A1,1,31
7.16945578231,0.384399092971,4,1,3,2,'4/4',G7,A1,1,31
7.55385487528,0.375124716553,4,1,3,3,'4/4',G7,A1,1,28
7.92897959184,0.397505668934,4,1,3,4,'4/4',G7,A1,1,28
8.32648526077,0.385124716553,4,1,4,1,'4/4',C7,A1,1,33
8.71160997732,0.408095238095,4,1,4,2,'4/4',C7,A1,1,33
9.11970521542,0.345804988662,4,1,4,3,'4/4',C7,A1,1,39
9.46551020408,0.394263038549,4,1,4,4,'4/4',C7,A1,1,42
9.85977324263,0.378775510204,4,1,5,1,'4/4',G7,A1,1,43
10.2385487528,0.375782312925,4,1,5,2,'4/4',G7,A1,1,43
10.6143310658,0.371156462585,4,1,5,3,'4/4',G7,A1,1,31
10.9854875283,0.378662131519,4,1,5,4,'4/4',G7,A1,1,35
11.3641496599,0.386462585034,4,1,6,1,'4/4',C7,A1,1,36
11.7506122449,0.396054421769,4,1,6,2,'4/4',C7,A1,1,36
12.1466666667,0.369727891156,4,1,6,3,'4/4',C7,A1,1,48
12.5163945578,0.386825396825,4,1,6,4,'4/4',C7,A1,1,37
12.9032199546,0.353922902494,4,1,7,1,'4/4',G7,A1,1,38
13.2571428571,0.428117913832,4,1,7,2,'4/4',G7,A1,1,38
13.685260771,0.405011337868,4,1,7,3,'4/4',G7,A1,1,40
14.0902721088,0.365714285714,4,1,7,4,'4/4',G7,A1,1,40
14.4559863946,0.386575963719,4,1,8,1,'4/4',C7,A1,1,45
14.8425623583,0.373469387755,4,1,8,2,'4/4',C7,A1,1,45
15.216031746,0.360317460317,4,1,8,3,'4/4',C7,A1,1,38
15.5763492063,0.393900226757,4,1,8,4,'4/4',C7,A1,1,45
15.9702494331,0.406281179138,4,1,9,1,'4/4',G7,A1,1,43
16.3765306122,0.360430839002,4,1,9,2,'4/4',G7,A1,1,43
16.7369614512,0.389229024943,4,1,9,3,'4/4',G7,A1,1,31
17.1261904762,0.400090702948,4,1,9,4,'4/4',G7,A1,1,35
17.5262811791,0.400249433107,4,1,10,1,'4/4',C7,A1,1,36
17.9265306122,0.411088435374,4,1,10,2,'4/4',C7,A1,1,40
18.3376190476,0.412426303855,4,1,10,3,'4/4',C7,A1,1,41
18.7500453515,0.388616780045,4,1,10,4,'4/4',C7,A1,1,42
19.1386621315,0.379160997732,4,1,11,1,'4/4',G7,A1,1,43
19.5178231293,0.426303854875,4,1,11,2,'4/4',G7,A1,1,43
19.9441269841,0.360272108844,4,1,11,3,'4/4',G7,A1,1,43
20.304399093,0.393424036281,4,1,11,4,'4/4',G7,A1,1,43
20.6978231293,0.384376417234,4,1,12,1,'4/4',C7,A1,1,45
21.0821995465,0.383945578231,4,1,12,2,'4/4',C7,A1,1,33
21.4661451247,0.399274376417,4,1,12,3,'4/4',C7,A1,1,39
21.8654195011,0.409206349206,4,1,12,4,'4/4',C7,A1,1,32
22.2746258503,0.390884353741,4,1,13,1,'4/4',G7,A1,1,31
22.6655102041,0.370136054422,4,1,13,2,'4/4',G7,A1,1,31
23.0356462585,0.413287981859,4,1,13,3,'4/4',G7,A1,1,47
23.4489342404,0.364965986395,4,1,13,4,'4/4',G7,A1,1,36
23.8139002268,0.422562358277,4,1,14,1,'4/4',C7,A1,1,36
24.236462585,0.372857142857,4,1,14,2,'4/4',C7,A1,1,36
24.6093197279,0.386757369615,4,1,14,3,'4/4',C7,A1,1,36
24.9960770975,0.38664399093,4,1,14,4,'4/4',C7,A1,1,37
25.3827210884,0.401201814059,4,1,15,1,'4/4',G7,A1,1,38
25.7839229025,0.39947845805,4,1,15,2,'4/4',G7,A1,1,39
26.1834013605,0.354807256236,4,1,15,3,'4/4',G7,A1,1,40
26.5382086168,0.367074829932,4,1,15,4,'4/4',G7,A1,1,45
26.9052834467,0.378798185941,4,1,16,1,'4/4',C7,A1,1,45
27.2840816327,0.379342403628,4,1,16,2,'4/4',C7,A1,1,48
27.6634240363,0.344943310658,4,1,16,3,'4/4',C7,A1,1,45
28.0083673469,0.378253968254,4,1,16,4,'4/4',C7,A1,1,38
28.3866213152,0.411700680272,4,1,17,1,'4/4',G7,A1,1,31
28.7983219955,0.395873015873,4,1,17,2,'4/4',G7,A1,1,31
29.1941950113,0.371473922902,4,1,17,3,'4/4',G7,A1,1,35
29.5656689342,0.40231292517,4,1,17,4,'4/4',G7,A1,1,36
29.9679818594,0.395442176871,4,1,18,1,'4/4',C7,A1,1,36
30.3634240363,0.416802721088,4,1,18,2,'4/4',C7,A1,1,40
30.7802267574,0.343514739229,4,1,18,3,'4/4',C7,A1,1,40
31.1237414966,0.378707482993,4,1,18,4,'4/4',C7,A1,1,42
31.5024489796,0.402222222222,4,1,19,1,'4/4',G7,A1,1,43
31.9046712018,0.395646258503,4,1,19,2,'4/4',G7,A1,1,43
32.3003174603,0.356213151927,4,1,19,3,'4/4',G7,A1,1,43
32.6565306122,0.392154195011,4,1,19,4,'4/4',G7,A1,1,43
33.0486848073,0.382698412698,4,1,20,1,'4/4',C7,A1,1,36
33.43138322,0.374739229025,4,1,20,2,'4/4',C7,A1,1,36
33.806122449,0.378004535147,4,1,20,3,'4/4',C7,A1,1,38
34.1841269841,0.377936507937,4,1,20,4,'4/4',C7,A1,1,32
34.5620634921,0.364943310658,4,1,21,1,'4/4',G7,A1,1,31
34.9270068027,0.406077097506,4,1,21,2,'4/4',G7,A1,1,31
35.3330839002,0.404013605442,4,1,21,3,'4/4',G7,A1,1,38
35.7370975057,0.398049886621,4,1,21,4,'4/4',G7,A1,1,37
36.1351473923,0.362766439909,4,1,22,1,'4/4',C7,A1,1,36
36.4979138322,0.375238095238,4,1,22,2,'4/4',C7,A1,1,40
36.8731519274,0.373537414966,4,1,22,3,'4/4',C7,A1,1,47
37.2466893424,0.383492063492,4,1,22,4,'4/4',C7,A1,1,42
37.6301814059,0.385714285714,4,1,23,1,'4/4',G7,A1,1,43
38.0158956916,0.38410430839,4,1,23,2,'4/4',G7,A1,1,43
38.4,0.413492063492,4,1,23,3,'4/4',G7,A1,1,40
38.8134920635,0.423106575964,4,1,23,4,'4/4',G7,A1,1,44
39.2365986395,0.365487528345,4,1,24,1,'4/4',C7,A1,1,45
39.6020861678,0.377414965986,4,1,24,2,'4/4',C7,A1,1,38
39.9795011338,0.389614512472,4,1,24,3,'4/4',C7,A1,1,38
40.3691156463,0.378866213152,4,1,24,4,'4/4',C7,A1,1,40
40.7479818594,0.382176870748,4,1,25,1,'4/4',G7,A1,1,31
41.1301587302,0.373083900227,4,1,25,2,'4/4',G7,A1,1,31
41.5032426304,0.378299319728,4,1,25,3,'4/4',G7,A1,1,35
41.8815419501,0.386031746032,4,1,25,4,'4/4',G7,A1,1,35
42.2675736961,0.440680272109,4,1,26,1,'4/4',C7,A1,1,36
42.7082539683,0.391519274376,4,1,26,2,'4/4',C7,A1,1,36
43.0997732426,0.373650793651,4,1,26,3,'4/4',C7,A1,1,37
43.4734240363,0.372607709751,4,1,26,4,'4/4',C7,A1,1,38
43.846031746,0.40798185941,4,1,27,1,'4/4',G7,A1,1,31
44.2540136054,0.3820861678,4,1,27,2,'4/4',G7,A1,1,31
44.6360997732,0.391065759637,4,1,27,3,'4/4',G7,A1,1,43
45.0271655329,0.411995464853,4,1,27,4,'4/4',G7,A1,1,35
45.4391609977,0.358299319728,4,1,28,1,'4/4',C7,A1,1,36
45.7974603175,0.375306122449,4,1,28,2,'4/4',C7,A1,1,37
46.1727664399,0.375759637188,4,1,28,3,'4/4',C7,A1,1,38
46.5485260771,0.393129251701,4,1,28,4,'4/4',C7,A1,1,42
46.9416553288,0.373832199546,4,1,29,1,'4/4',G7,A1,1,31
47.3154875283,0.380498866213,4,1,29,2,'4/4',G7,A1,1,31
47.6959863946,0.399455782313,4,1,29,3,'4/4',G7,A1,1,35
48.0954421769,0.382471655329,4,1,29,4,'4/4',G7,A1,1,36
48.4779138322,0.408367346939,4,1,30,1,'4/4',C7,A1,1,36
48.8862811791,0.3889569161,4,1,30,2,'4/4',C7,A1,1,40
49.2752380952,0.402562358277,4,1,30,3,'4/4',C7,A1,1,40
49.6778004535,0.408299319728,4,1,30,4,'4/4',C7,A1,1,42
50.0860997732,0.355986394558,4,1,31,1,'4/4',G7,A1,1,43
50.4420861678,0.379433106576,4,1,31,2,'4/4',G7,A1,1,43
50.8215192744,0.416213151927,4,1,31,3,'4/4',G7,A1,1,47
51.2377324263,0.353151927438,4,1,31,4,'4/4',G7,A1,1,36
51.5908843537,0.360272108844,4,1,32,1,'4/4',C7,A1,1,36
51.9511564626,0.36970521542,4,1,32,2,'4/4',C7,A1,1,37
52.320861678,0.38485260771,4,1,32,3,'4/4',C7,A1,1,38
52.7057142857,0.409092970522,4,1,32,4,'4/4',C7,A1,1,42
53.1148072562,0.411496598639,4,1,33,1,'4/4',G7,A1,1,43
53.5263038549,0.387823129252,4,1,33,2,'4/4',G7,A1,1,43
53.9141269841,0.366371882086,4,1,33,3,'4/4',G7,A1,1,47
54.2804988662,0.403537414966,4,1,33,4,'4/4',G7,A1,1,48
54.6840362812,0.36746031746,4,1,34,1,'4/4',C7,A1,1,48
55.0514965986,0.366485260771,4,1,34,2,'4/4',C7,A1,1,40
