onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.05718820862,0.314240362812,4,1,0,1,'4/4',NC,I1,0,48
2.37142857143,0.302040816327,4,1,0,2,'4/4',NC,I1,0,47
2.67346938776,0.338934240363,4,1,0,3,'4/4',NC,I1,0,43
3.01240362812,0.30387755102,4,1,0,4,'4/4',NC,I1,0,43
3.31628117914,0.283922902494,4,1,1,1,'4/4',C,A1,1,43
3.60020408163,0.319682539683,4,1,1,2,'4/4',C,A1,1,43
3.91988662132,0.311995464853,4,1,1,3,'4/4',C,A1,1,40
4.23188208617,0.322267573696,4,1,1,4,'4/4',C,A1,1,40
4.55414965986,0.320090702948,4,1,2,1,'4/4',F,A1,1,40
4.87424036281,0.284716553288,4,1,2,2,'4/4',F,A1,1,40
5.1589569161,0.314036281179,4,1,2,3,'4/4',F,A1,1,38
5.47299319728,0.314580498866,4,1,2,4,'4/4',F,A1,1,38
5.78757369615,0.307664399093,4,1,3,1,'4/4',G7,A1,1,43
6.09523809524,0.313469387755,4,1,3,2,'4/4',G7,A1,1,43
6.40870748299,0.319274376417,4,1,3,3,'4/4',G7,A1,1,43
6.72798185941,0.304761904762,4,1,3,4,'4/4',G7,A1,1,42
7.03274376417,0.307664399093,4,1,4,1,'4/4',C,A1,1,36
7.34040816327,0.289659863946,4,1,4,2,'4/4',C,A1,1,37
7.63006802721,0.29126984127,4,1,4,3,'4/4',C,A1,1,41
7.92133786848,0.315442176871,4,1,4,4,'4/4',C,A1,1,41
8.23678004535,0.311519274376,4,1,5,1,'4/4',A7,A1,1,47
8.54829931973,0.318775510204,4,1,5,2,'4/4',A7,A1,1,33
8.86707482993,0.298367346939,4,1,5,3,'4/4',A7,A1,1,40
9.16544217687,0.319909297052,4,1,5,4,'4/4',A7,A1,1,40
9.48535147392,0.309546485261,4,1,6,1,'4/4',D-7,A1,1,40
9.79489795918,0.28283446712,4,1,6,2,'4/4',D-7,A1,1,38
10.0777324263,0.291133786848,4,1,6,3,'4/4',D-7,A1,1,38
10.3688662132,0.290453514739,4,1,6,4,'4/4',D-7,A1,1,38
10.6593197279,0.290181405896,4,1,7,1,'4/4',G7,A1,1,43
10.9495011338,0.305102040816,4,1,7,2,'4/4',G7,A1,1,43
11.2546031746,0.333514739229,4,1,7,3,'4/4',G7,A1,1,36
11.5881179138,0.303151927438,4,1,7,4,'4/4',G7,A1,1,42
11.8912698413,0.305011337868,4,1,8,1,'4/4',C,A1,1,35
12.1962811791,0.2979138322,4,1,8,2,'4/4',C,A1,1,35
12.4941950113,0.282562358277,4,1,8,3,'4/4',C,A1,1,33
12.7767573696,0.311678004535,4,1,8,4,'4/4',C,A1,1,33
13.0884353741,0.309365079365,4,1,9,1,'4/4',C,A1,2,38
13.3978004535,0.31126984127,4,1,9,2,'4/4',C,A1,2,37
13.7090702948,0.306598639456,4,1,9,3,'4/4',C,A1,2,30
14.0156689342,0.302222222222,4,1,9,4,'4/4',C,A1,2,42
14.3178911565,0.313129251701,4,1,10,1,'4/4',F,A1,2,40
14.6310204082,0.301020408163,4,1,10,2,'4/4',F,A1,2,37
14.9320408163,0.321496598639,4,1,10,3,'4/4',F,A1,2,37
15.253537415,0.28641723356,4,1,10,4,'4/4',F,A1,2,42
15.5399546485,0.287346938776,4,1,11,1,'4/4',G7,A1,2,39
15.8273015873,0.307664399093,4,1,11,2,'4/4',G7,A1,2,31
16.1349659864,0.307664399093,4,1,11,3,'4/4',G7,A1,2,38
16.4426303855,0.319274376417,4,1,11,4,'4/4',G7,A1,2,38
16.7619047619,0.330884353741,4,1,12,1,'4/4',C,A1,2,36
17.0927891156,0.329954648526,4,1,12,2,'4/4',C,A1,2,37
17.4227437642,0.29387755102,4,1,12,3,'4/4',C,A1,2,40
17.7166213152,0.302222222222,4,1,12,4,'4/4',C,A1,2,40
18.0188435374,0.305578231293,4,1,13,1,'4/4',A7,A1,2,33
18.3244217687,0.319410430839,4,1,13,2,'4/4',A7,A1,2,33
18.6438321995,0.280430839002,4,1,13,3,'4/4',A7,A1,2,49
18.9242630385,0.290249433107,4,1,13,4,'4/4',A7,A1,2,37
19.2145124717,0.307664399093,4,1,14,1,'4/4',D-7,A1,2,50
19.5221768707,0.316371882086,4,1,14,2,'4/4',D-7,A1,2,50
19.8385487528,0.319070294785,4,1,14,3,'4/4',D-7,A1,2,50
20.1576190476,0.313650793651,4,1,14,4,'4/4',D-7,A1,2,43
20.4712698413,0.305804988662,4,1,15,1,'4/4',G7,A1,2,43
20.7770748299,0.319682539683,4,1,15,2,'4/4',G7,A1,2,37
21.0967573696,0.306303854875,4,1,15,3,'4/4',G7,A1,2,49
21.4030612245,0.271292517007,4,1,15,4,'4/4',G7,A1,2,49
21.6743537415,0.293786848073,4,1,16,1,'4/4',C,A1,2,48
21.9681405896,0.284829931973,4,1,16,2,'4/4',C,A1,2,49
22.2529705215,0.278367346939,4,1,16,3,'4/4',C,A1,2,50
22.5313378685,0.275918367347,4,1,16,4,'4/4',C,A1,2,43
22.8072562358,0.315782312925,4,1,17,1,'4/4',C,A1,3,48
23.1230385488,0.309206349206,4,1,17,2,'4/4',C,A1,3,37
23.432244898,0.297074829932,4,1,17,3,'4/4',C,A1,3,43
23.7293197279,0.276485260771,4,1,17,4,'4/4',C,A1,3,42
24.0058049887,0.288707482993,4,1,18,1,'4/4',F,A1,3,40
24.2945124717,0.318639455782,4,1,18,2,'4/4',F,A1,3,41
24.6131519274,0.310566893424,4,1,18,3,'4/4',F,A1,3,43
24.9237188209,0.322176870748,4,1,18,4,'4/4',F,A1,3,43
25.2458956916,0.307482993197,4,1,19,1,'4/4',G7,A1,3,39
25.5533786848,0.295260770975,4,1,19,2,'4/4',G7,A1,3,39
25.8486394558,0.281904761905,4,1,19,3,'4/4',G7,A1,3,43
26.1305442177,0.325646258503,4,1,19,4,'4/4',G7,A1,3,42
26.4561904762,0.301179138322,4,1,20,1,'4/4',C,A1,3,48
26.7573696145,0.3289569161,4,1,20,2,'4/4',C,A1,3,48
27.0863265306,0.320068027211,4,1,20,3,'4/4',C,A1,3,49
27.4063945578,0.302902494331,4,1,20,4,'4/4',C,A1,3,49
27.7092970522,0.311224489796,4,1,21,1,'4/4',A7,A1,3,45
28.020521542,0.292154195011,4,1,21,2,'4/4',A7,A1,3,45
28.312675737,0.290158730159,4,1,21,3,'4/4',A7,A1,3,33
28.6028344671,0.292040816327,4,1,21,4,'4/4',A7,A1,3,33
28.8948752834,0.315827664399,4,1,22,1,'4/4',D-7,A1,3,38
29.2107029478,0.311587301587,4,1,22,2,'4/4',D-7,A1,3,38
29.5222902494,0.281315192744,4,1,22,3,'4/4',D-7,A1,3,38
29.8036054422,0.300181405896,4,1,22,4,'4/4',D-7,A1,3,42
30.1037868481,0.299591836735,4,1,23,1,'4/4',G7,A1,3,43
30.4033786848,0.29566893424,4,1,23,2,'4/4',G7,A1,3,43
30.699047619,0.284421768707,4,1,23,3,'4/4',G7,A1,3,47
30.9834693878,0.318231292517,4,1,23,4,'4/4',G7,A1,3,42
31.3017006803,0.305124716553,4,1,24,1,'4/4',C,A1,3,48
31.6068253968,0.314716553288,4,1,24,2,'4/4',C,A1,3,47
31.9215419501,0.290612244898,4,1,24,3,'4/4',C,A1,3,47
32.212154195,0.302947845805,4,1,24,4,'4/4',C,A1,3,44
32.5151020408,0.307437641723,4,1,25,1,'4/4',C,A1,4,43
32.8225396825,0.303129251701,4,1,25,2,'4/4',C,A1,4,43
33.1256689342,0.304875283447,4,1,25,3,'4/4',C,A1,4,42
33.4305442177,0.302675736961,4,1,25,4,'4/4',C,A1,4,42
33.7332199546,0.315691609977,4,1,26,1,'4/4',F,A1,4,41
34.0489115646,0.29410430839,4,1,26,2,'4/4',F,A1,4,40
34.343015873,0.330612244898,4,1,26,3,'4/4',F,A1,4,38
34.6736281179,0.291632653061,4,1,26,4,'4/4',F,A1,4,38
34.965260771,0.302199546485,4,1,27,1,'4/4',G7,A1,4,43
35.2674603175,0.286009070295,4,1,27,2,'4/4',G7,A1,4,43
35.5534693878,0.281768707483,4,1,27,3,'4/4',G7,A1,4,43
35.8352380952,0.297709750567,4,1,27,4,'4/4',G7,A1,4,42
36.1329478458,0.308503401361,4,1,28,1,'4/4',C,A1,4,35
36.4414512472,0.293401360544,4,1,28,2,'4/4',C,A1,4,43
36.7348526077,0.313174603175,4,1,28,3,'4/4',C,A1,4,43
37.0480272109,0.27641723356,4,1,28,4,'4/4',C,A1,4,40
37.3244444444,0.305102040816,4,1,29,1,'4/4',A7,A1,4,33
37.6295464853,0.304399092971,4,1,29,2,'4/4',A7,A1,4,33
37.9339455782,0.29126984127,4,1,29,3,'4/4',A7,A1,4,39
38.2252154195,0.323401360544,4,1,29,4,'4/4',A7,A1,4,39
38.54861678,0.308866213152,4,1,30,1,'4/4',D-7,A1,4,38
38.8574829932,0.29716553288,4,1,30,2,'4/4',D-7,A1,4,38
39.1546485261,0.327777777778,4,1,30,3,'4/4',D-7,A1,4,41
39.4824263039,0.330453514739,4,1,30,4,'4/4',D-7,A1,4,42
39.8128798186,0.314897959184,4,1,31,1,'4/4',G7,A1,4,43
40.1277777778,0.286984126984,4,1,31,2,'4/4',G7,A1,4,43
40.4147619048,0.296575963719,4,1,31,3,'4/4',G7,A1,4,43
40.7113378685,0.318072562358,4,1,31,4,'4/4',G7,A1,4,37
41.0294104308,0.305102040816,4,1,32,1,'4/4',C,A1,4,37
41.3345124717,0.282222222222,4,1,32,2,'4/4',C,A1,4,43
41.6167346939,0.307097505669,4,1,32,3,'4/4',C,A1,4,43
