onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
6.67512471655,0.839160997732,4,1,0,3,'4/4',NC,I1,0,34
7.51428571429,0.792222222222,4,1,0,4,'4/4',NC,I1,0,38
8.30650793651,0.837414965986,4,1,1,1,'4/4',Eb-7,A1,1,39
9.14392290249,0.903764172336,4,1,1,2,'4/4',Eb-7,A1,1,39
10.0476870748,0.86664399093,4,1,1,3,'4/4',Bb79b,A1,1,45
10.9143310658,0.86664399093,4,1,1,4,'4/4',Bb79b,A1,1,45
11.7809750567,0.90253968254,4,1,2,1,'4/4',Absus7,A1,1,44
12.6835147392,0.875283446712,4,1,2,2,'4/4',Absus7,A1,1,44
13.5587981859,0.876326530612,4,1,2,3,'4/4',Ab7,A1,1,38
14.4351247166,0.84716553288,4,1,2,4,'4/4',Ab7,A1,1,38
15.2822902494,0.929954648526,4,1,3,1,'4/4',Dbj7,A1,1,37
16.212244898,0.895873015873,4,1,3,2,'4/4',Dbj7,A1,1,37
17.1081179138,0.902244897959,4,1,3,3,'4/4',Gb7,A1,1,44
18.0103628118,0.83947845805,4,1,3,4,'4/4',Gb7,A1,1,39
18.8498412698,0.866961451247,4,1,4,1,'4/4',F-7,A1,1,41
19.7168027211,0.883854875283,4,1,4,2,'4/4',F-7,A1,1,44
20.6006575964,0.857936507937,4,1,4,3,'4/4',Eo7,A1,1,40
21.4585941043,0.874217687075,4,1,4,4,'4/4',Eo7,A1,1,45
22.3328117914,0.914421768707,4,1,5,1,'4/4',Eb-7,A1,1,39
23.2472335601,0.857006802721,4,1,5,2,'4/4',Eb-7,A1,1,39
24.1042403628,0.884081632653,4,1,5,3,'4/4',Eb-7,A1,1,34
24.9883219955,0.87462585034,4,1,5,4,'4/4',Eb-7,A1,1,34
25.8629478458,0.866848072562,4,1,6,1,'4/4',Cm7b5,A1,1,44
26.7297959184,0.902335600907,4,1,6,2,'4/4',Cm7b5,A1,1,40
27.6321315193,0.894761904762,4,1,6,3,'4/4',B7,A1,1,48
28.526893424,0.912063492063,4,1,6,4,'4/4',B7,A1,1,47
29.4389569161,0.893922902494,4,1,7,1,'4/4',Bb-7,A1,1,46
30.3328798186,0.904784580499,4,1,7,2,'4/4',Eb7,A1,1,39
31.2376643991,0.864399092971,4,1,7,3,'4/4',Eb-7,A1,1,38
32.1020634921,0.858979591837,4,1,7,4,'4/4',Ab7,A1,1,50
32.9610430839,0.924671201814,4,1,8,1,'4/4',Db6,A1,1,37
33.8857142857,0.852993197279,4,1,8,2,'4/4',Db6,A1,1,41
34.738707483,0.877619047619,4,1,8,3,'4/4',Bb7,A1,1,40
35.6163265306,0.865532879819,4,1,8,4,'4/4',Bb7,A1,1,47
36.4818594104,0.866825396825,4,1,9,1,'4/4',Eb-7,A2,1,39
37.3486848073,0.916621315193,4,1,9,2,'4/4',Eb-7,A2,1,34
38.2653061224,0.903854875283,4,1,9,3,'4/4',Bb79b,A2,1,34
39.1691609977,0.888027210884,4,1,9,4,'4/4',Bb79b,A2,1,46
40.0571882086,0.874920634921,4,1,10,1,'4/4',Eb-7,A2,1,39
40.9321088435,0.858752834467,4,1,10,2,'4/4',Eb-7,A2,1,44
41.790861678,0.892766439909,4,1,10,3,'4/4',D7,A2,1,38
