onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
7.00662131519,0.335238095238,4,1,1,1,'4/4',C-7,A1,1,36
7.34185941043,0.333786848073,4,1,1,2,'4/4',C-7,A1,1,38
7.6756462585,0.316371882086,4,1,1,3,'4/4',C-7,A1,1,39
7.99201814059,0.32798185941,4,1,1,4,'4/4',C-7,A1,1,43
8.32,0.28589569161,4,1,2,1,'4/4',F7,A1,1,35
8.60589569161,0.31843537415,4,1,2,2,'4/4',F7,A1,1,43
8.92433106576,0.328843537415,4,1,2,3,'4/4',F7,A1,1,41
9.25317460317,0.298594104308,4,1,2,4,'4/4',F7,A1,1,45
9.55176870748,0.306802721088,4,1,3,1,'4/4',Bbj7,A1,1,46
9.85857142857,0.315396825397,4,1,3,2,'4/4',Bbj7,A1,1,38
10.173968254,0.329705215419,4,1,3,3,'4/4',Ebj7,A1,1,39
10.5036734694,0.298571428571,4,1,3,4,'4/4',Ebj7,A1,1,39
10.802244898,0.319501133787,4,1,4,1,'4/4',D-7,A1,1,38
11.1217460317,0.31514739229,4,1,4,2,'4/4',D-7,A1,1,38
11.436893424,0.33514739229,4,1,4,3,'4/4',Db-7,A1,1,37
11.7720408163,0.321836734694,4,1,4,4,'4/4',Db-7,A1,1,43
12.093877551,0.302517006803,4,1,5,1,'4/4',C-7,A1,1,36
12.3963945578,0.290498866213,4,1,5,2,'4/4',C-7,A1,1,38
12.686893424,0.32126984127,4,1,5,3,'4/4',C-7,A1,1,39
13.0081632653,0.318820861678,4,1,5,4,'4/4',C-7,A1,1,43
13.326984127,0.32335600907,4,1,6,1,'4/4',F7,A1,1,36
13.6503401361,0.325623582766,4,1,6,2,'4/4',F7,A1,1,43
13.9759637188,0.297936507937,4,1,6,3,'4/4',F7,A1,1,41
14.2739002268,0.31746031746,4,1,6,4,'4/4',F7,A1,1,45
14.5913605442,0.313560090703,4,1,7,1,'4/4',Bbj7,A1,1,46
14.9049206349,0.318775510204,4,1,7,2,'4/4',Bbj7,A1,1,45
15.2236961451,0.329501133787,4,1,7,3,'4/4',Bbj7,A1,1,43
15.5531972789,0.312131519274,4,1,7,4,'4/4',Bbj7,A1,1,41
15.8653287982,0.301405895692,4,1,8,1,'4/4',C-7,A1,1,43
16.1667346939,0.316530612245,4,1,8,2,'4/4',C-7,A1,1,38
16.4832653061,0.326099773243,4,1,8,3,'4/4',C-7,A1,1,47
16.8093650794,0.302290249433,4,1,8,4,'4/4',C-7,A1,1,38
17.1116553288,0.304761904762,4,1,9,1,'4/4',C-7,A2,1,35
17.4164172336,0.304761904762,4,1,9,2,'4/4',C-7,A2,1,38
17.7211791383,0.306825396825,4,1,9,3,'4/4',C-7,A2,1,39
18.0280045351,0.294081632653,4,1,9,4,'4/4',C-7,A2,1,43
18.3220861678,0.316326530612,4,1,10,1,'4/4',F7,A2,1,43
18.6384126984,0.317029478458,4,1,10,2,'4/4',F7,A2,1,43
18.9554421769,0.312766439909,4,1,10,3,'4/4',F7,A2,1,41
19.2682086168,0.326530612245,4,1,10,4,'4/4',F7,A2,1,44
19.594739229,0.342267573696,4,1,11,1,'4/4',Bbj7,A2,1,46
19.9370068027,0.325306122449,4,1,11,2,'4/4',Bbj7,A2,1,38
20.2623129252,0.330884353741,4,1,11,3,'4/4',Ebj7,A2,1,39
20.5931972789,0.32798185941,4,1,11,4,'4/4',Ebj7,A2,1,43
20.9211791383,0.310566893424,4,1,12,1,'4/4',D-7,A2,1,44
21.2317460317,0.313174603175,4,1,12,2,'4/4',D-7,A2,1,38
21.5449206349,0.317052154195,4,1,12,3,'4/4',Db-7,A2,1,43
21.8619727891,0.289138321995,4,1,12,4,'4/4',Db-7,A2,1,37
22.1511111111,0.303038548753,4,1,13,1,'4/4',C-7,A2,1,37
22.4541496599,0.294376417234,4,1,13,2,'4/4',C-7,A2,1,38
22.7485260771,0.327845804989,4,1,13,3,'4/4',C-7,A2,1,39
23.0763718821,0.289954648526,4,1,13,4,'4/4',C-7,A2,1,43
23.3663265306,0.303786848073,4,1,14,1,'4/4',F7,A2,1,43
23.6701133787,0.312607709751,4,1,14,2,'4/4',F7,A2,1,43
23.9827210884,0.297777777778,4,1,14,3,'4/4',F7,A2,1,41
24.2804988662,0.313265306122,4,1,14,4,'4/4',F7,A2,1,44
24.5937641723,0.308458049887,4,1,15,1,'4/4',Bb,A2,1,45
24.9022222222,0.292403628118,4,1,15,2,'4/4',Bb,A2,1,45
25.1946258503,0.316916099773,4,1,15,3,'4/4',Bb,A2,1,43
25.5115419501,0.317324263039,4,1,15,4,'4/4',Bb,A2,1,42
25.8288662132,0.297301587302,4,1,16,1,'4/4',F-7,A2,1,41
26.1261678005,0.311927437642,4,1,16,2,'4/4',F-7,A2,1,47
26.4380952381,0.291065759637,4,1,16,3,'4/4',Bb7,A2,1,46
26.7291609977,0.275736961451,4,1,16,4,'4/4',Bb7,A2,1,43
27.0048979592,0.306485260771,4,1,17,1,'4/4',Ebj7,B1,1,39
27.31138322,0.332675736961,4,1,17,2,'4/4',Ebj7,B1,1,41
27.6440589569,0.285941043084,4,1,17,3,'4/4',Ebj7,B1,1,43
27.93,0.340498866213,4,1,17,4,'4/4',Ebj7,B1,1,46
28.2704988662,0.329637188209,4,1,18,1,'4/4',Eb-7,B1,1,39
28.6001360544,0.331609977324,4,1,18,2,'4/4',Eb-7,B1,1,45
28.9317460317,0.31201814059,4,1,18,3,'4/4',Eb-7,B1,1,44
29.2437641723,0.317120181406,4,1,18,4,'4/4',Eb-7,B1,1,39
29.5608843537,0.317392290249,4,1,19,1,'4/4',D-7,B1,1,46
29.878276644,0.309115646259,4,1,19,2,'4/4',D-7,B1,1,46
30.1873922902,0.303310657596,4,1,19,3,'4/4',D-7,B1,1,41
30.4907029478,0.313378684807,4,1,19,4,'4/4',D-7,B1,1,46
30.8040816327,0.292267573696,4,1,20,1,'4/4',Ao7,B1,1,45
31.0963492063,0.281541950113,4,1,20,2,'4/4',Ao7,B1,1,45
31.3778911565,0.324149659864,4,1,20,3,'4/4',D+7,B1,1,38
31.7020408163,0.332426303855,4,1,20,4,'4/4',D+7,B1,1,44
32.0344671202,0.28746031746,4,1,21,1,'4/4',G-7,B1,1,43
32.3219274376,0.294013605442,4,1,21,2,'4/4',G-7,B1,1,41
32.6159410431,0.308503401361,4,1,21,3,'4/4',G-7,B1,1,45
32.9244444444,0.2989569161,4,1,21,4,'4/4',G-7,B1,1,38
33.2234013605,0.325079365079,4,1,22,1,'4/4',C7,B1,1,37
33.5484807256,0.292448979592,4,1,22,2,'4/4',C7,B1,1,38
33.8409297052,0.281655328798,4,1,22,3,'4/4',C7,B1,1,39
34.122585034,0.30746031746,4,1,22,4,'4/4',C7,B1,1,43
34.4300453515,0.344897959184,4,1,23,1,'4/4',C-7,B1,1,36
34.7749433107,0.306462585034,4,1,23,2,'4/4',C-7,B1,1,38
35.0814058957,0.303129251701,4,1,23,3,'4/4',C-7,B1,1,39
35.3845351474,0.293015873016,4,1,23,4,'4/4',C-7,B1,1,43
35.6775510204,0.335079365079,4,1,24,1,'4/4',F7,B1,1,41
36.0126303855,0.296054421769,4,1,24,2,'4/4',F7,B1,1,41
36.3086848073,0.274943310658,4,1,24,3,'4/4',F7,B1,1,43
36.5836281179,0.34433106576,4,1,24,4,'4/4',F7,B1,1,38
36.9279591837,0.2910430839,4,1,25,1,'4/4',C-7,A3,1,35
37.2190022676,0.317641723356,4,1,25,2,'4/4',C-7,A3,1,38
37.5366439909,0.33179138322,4,1,25,3,'4/4',C-7,A3,1,39
37.8684353741,0.332494331066,4,1,25,4,'4/4',C-7,A3,1,43
38.2009297052,0.320068027211,4,1,26,1,'4/4',F7,A3,1,41
38.5209977324,0.317505668934,4,1,26,2,'4/4',F7,A3,1,41
38.8385034014,0.307437641723,4,1,26,3,'4/4',F7,A3,1,43
39.1459410431,0.297505668934,4,1,26,4,'4/4',F7,A3,1,44
39.443446712,0.318526077098,4,1,27,1,'4/4',Bbj7,A3,1,46
39.7619727891,0.284557823129,4,1,27,2,'4/4',Bbj7,A3,1,38
40.0465306122,0.318276643991,4,1,27,3,'4/4',Ebj7,A3,1,39
40.3648072562,0.303628117914,4,1,27,4,'4/4',Ebj7,A3,1,39
40.6684353741,0.317414965986,4,1,28,1,'4/4',D-7,A3,1,38
40.9858503401,0.318820861678,4,1,28,2,'4/4',D-7,A3,1,38
41.3046712018,0.315646258503,4,1,28,3,'4/4',Db-7,A3,1,37
41.6203174603,0.321632653061,4,1,28,4,'4/4',Db-7,A3,1,43
41.9419501134,0.327437641723,4,1,29,1,'4/4',C-7,A3,1,38
42.2693877551,0.324353741497,4,1,29,2,'4/4',C-7,A3,1,38
42.5937414966,0.309410430839,4,1,29,3,'4/4',C-7,A3,1,39
42.9031519274,0.306848072562,4,1,29,4,'4/4',C-7,A3,1,43
43.21,0.297664399093,4,1,30,1,'4/4',F7,A3,1,43
43.5076643991,0.307052154195,4,1,30,2,'4/4',F7,A3,1,43
43.8147165533,0.296031746032,4,1,30,3,'4/4',F7,A3,1,41
44.1107482993,0.294081632653,4,1,30,4,'4/4',F7,A3,1,44
44.404829932,0.320907029478,4,1,31,1,'4/4',Bbj7,A3,1,45
44.7257369615,0.289410430839,4,1,31,2,'4/4',Bbj7,A3,1,45
45.0151473923,0.287414965986,4,1,31,3,'4/4',Bbj7,A3,1,43
45.3025623583,0.320272108844,4,1,31,4,'4/4',Bbj7,A3,1,42
45.6228344671,0.286258503401,4,1,32,1,'4/4',Bbj7,A3,1,41
45.9090929705,0.307256235828,4,1,32,2,'4/4',Bbj7,A3,1,47
46.2163492063,0.33022675737,4,1,32,3,'4/4',Bbj7,A3,1,46
46.5465759637,0.31768707483,4,1,32,4,'4/4',Bbj7,A3,1,43
46.8642630385,0.31768707483,4,1,33,1,'4/4',NC,I1,1,36
