onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.12653061224,0.889795918367,4,1,-1,1,'4/4',C#j7,I1,0,37
2.01632653061,0.873469387755,4,1,-1,2,'4/4',C#j7,I1,0,41
2.88979591837,0.848979591837,4,1,-1,3,'4/4',A#-7,I1,0,34
3.7387755102,0.858820861678,4,1,-1,4,'4/4',A#-7,I1,0,50
4.59759637188,0.873174603175,4,1,0,1,'4/4',D#-7,I1,0,51
5.47077097506,0.9389569161,4,1,0,2,'4/4',D#-7,I1,0,39
6.40972789116,0.844036281179,4,1,0,3,'4/4',G#7,I1,0,44
7.25376417234,0.908072562358,4,1,0,4,'4/4',G#7,I1,0,44
8.16183673469,0.957959183673,4,1,1,1,'4/4',C#j7,A1,1,37
9.11979591837,0.913537414966,4,1,1,2,'4/4',C#j7,A1,1,39
10.0333333333,0.898276643991,4,1,1,3,'4/4',C#j7,A1,1,41
10.9316099773,0.913038548753,4,1,1,4,'4/4',C#j7,A1,1,44
11.8446485261,0.873718820862,4,1,2,1,'4/4',C#j7,A1,1,37
12.7183673469,0.894013605442,4,1,2,2,'4/4',C#j7,A1,1,48
13.6123809524,0.90798185941,4,1,2,3,'4/4',C#j7,A1,1,34
14.5203628118,0.924535147392,4,1,2,4,'4/4',C#j7,A1,1,44
15.4448979592,0.931768707483,4,1,3,1,'4/4',C#-7,A1,1,37
16.3766666667,0.896802721088,4,1,3,2,'4/4',C#-7,A1,1,44
17.2734693878,0.914285714286,4,1,3,3,'4/4',C#-7,A1,1,40
18.187755102,0.914580498866,4,1,3,4,'4/4',C#-7,A1,1,37
19.1023356009,0.954807256236,4,1,4,1,'4/4',F#7913,A1,1,42
20.0571428571,0.920476190476,4,1,4,2,'4/4',F#7913,A1,1,37
20.9776190476,0.923424036281,4,1,4,3,'4/4',F#7913,A1,1,42
21.9010430839,0.913378684807,4,1,4,4,'4/4',F#7913,A1,1,40
22.8144217687,0.918775510204,4,1,5,1,'4/4',D#-7,A1,1,39
23.7331972789,0.848480725624,4,1,5,2,'4/4',D#-7,A1,1,42
24.5816780045,0.913832199546,4,1,5,3,'4/4',D#-7,A1,1,34
25.4955102041,0.907800453515,4,1,5,4,'4/4',D#-7,A1,1,39
26.4033106576,0.85947845805,4,1,6,1,'4/4',G#7,A1,1,44
27.2627891156,0.88843537415,4,1,6,2,'4/4',G#7,A1,1,44
28.1512244898,0.888344671202,4,1,6,3,'4/4',G#7,A1,1,42
29.039569161,0.843990929705,4,1,6,4,'4/4',G#7,A1,1,36
29.8835600907,0.923514739229,4,1,7,1,'4/4',F-7,A1,1,41
30.8070748299,0.942154195011,4,1,7,2,'4/4',F-7,A1,1,41
31.7492290249,0.878639455782,4,1,7,3,'4/4',E7913,A1,1,35
32.6278684807,0.859206349206,4,1,7,4,'4/4',E7913,A1,1,40
33.4870748299,0.878639455782,4,1,8,1,'4/4',Aj7,A1,1,33
34.3657142857,0.911201814059,4,1,8,2,'4/4',Aj7,A1,1,33
35.2769160998,0.850408163265,4,1,8,3,'4/4',D79,A1,1,33
36.127324263,0.913650793651,4,1,8,4,'4/4',D79,A1,1,38
37.0409750567,0.913968253968,4,1,9,1,'4/4',C#j7,A2,1,37
37.9549433107,0.888344671202,4,1,9,2,'4/4',C#j7,A2,1,41
38.8432879819,0.888390022676,4,1,9,3,'4/4',D#-7,A2,1,39
39.7316780045,0.878253968254,4,1,9,4,'4/4',D#-7,A2,1,42
40.6099319728,0.898526077098,4,1,10,1,'4/4',F-7,A2,1,41
41.5084580499,0.89387755102,4,1,10,2,'4/4',F-7,A2,1,44
42.4023356009,0.908072562358,4,1,10,3,'4/4',Eo7,A2,1,43
43.3104081633,0.913605442177,4,1,10,4,'4/4',Eo7,A2,1,40
44.2240136054,0.923401360544,4,1,11,1,'4/4',D#-7,A2,1,39
45.147414966,0.863424036281,4,1,11,2,'4/4',D#-7,A2,1,42
46.0108390023,0.923537414966,4,1,11,3,'4/4',D#-7,A2,1,34
46.9343764172,0.897369614512,4,1,11,4,'4/4',D#-7,A2,1,39
47.8317460317,0.868843537415,4,1,12,1,'4/4',G#79,A2,1,32
48.7005895692,0.933401360544,4,1,12,2,'4/4',G#79,A2,1,42
49.6339909297,0.840385487528,4,1,12,3,'4/4',G#79,A2,1,39
50.4743764172,0.89977324263,4,1,12,4,'4/4',G#79,A2,1,36
51.3741496599,0.95201814059,4,1,13,1,'4/4',C#j7,A2,1,37
52.3261678005,0.897074829932,4,1,13,2,'4/4',C#j7,A2,1,37
53.2232426304,0.867641723356,4,1,13,3,'4/4',B79,A2,1,35
54.0908843537,0.86947845805,4,1,13,4,'4/4',B79,A2,1,42
54.9603628118,0.968049886621,4,1,14,1,'4/4',A#79b,A2,1,41
55.9284126984,0.868752834467,4,1,14,2,'4/4',A#79b,A2,1,39
56.7971655329,0.918185941043,4,1,14,3,'4/4',A#79b,A2,1,38
57.7153514739,0.903832199546,4,1,14,4,'4/4',A#79b,A2,1,34
58.6191836735,0.863718820862,4,1,15,1,'4/4',D#7913,A2,1,39
59.4829024943,0.887573696145,4,1,15,2,'4/4',D#7913,A2,1,41
60.3704761905,0.878775510204,4,1,15,3,'4/4',D#7913,A2,1,42
61.2492517007,0.881541950113,4,1,15,4,'4/4',D#7913,A2,1,43
62.1307936508,0.911383219955,4,1,16,1,'4/4',G#79,A2,1,44
63.0421768707,0.882358276644,4,1,16,2,'4/4',G#79,A2,1,34
63.9245351474,0.865034013605,4,1,16,3,'4/4',C#sus79,A2,1,39
64.789569161,0.862562358277,4,1,16,4,'4/4',C#sus79,A2,1,44
65.6521315193,0.862562358277,4,1,17,1,'4/4',NC,I1,1,37
