onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.71428571429,0.477551020408,4,1,1,1,'4/4',F-,A1,1,53
4.19183673469,0.452743764172,4,1,1,2,'4/4',F-,A1,1,53
4.64458049887,0.461360544218,4,1,1,3,'4/4',F-,A1,1,52
5.10594104308,0.456689342404,4,1,1,4,'4/4',F-,A1,1,53
5.56263038549,0.445532879819,4,1,2,1,'4/4',F-j7,A1,1,52
6.00816326531,0.433197278912,4,1,2,2,'4/4',F-j7,A1,1,52
6.44136054422,0.456757369615,4,1,2,3,'4/4',F-j7,A1,1,51
6.89811791383,0.476530612245,4,1,2,4,'4/4',F-j7,A1,1,39
7.37464852608,0.453378684807,4,1,3,1,'4/4',F-7,A1,1,39
7.82802721088,0.469931972789,4,1,3,2,'4/4',F-7,A1,1,39
8.29795918367,0.456916099773,4,1,3,3,'4/4',F-7,A1,1,53
8.75487528345,0.457369614512,4,1,3,4,'4/4',F-7,A1,1,39
9.21224489796,0.469387755102,4,1,4,1,'4/4',F-6,A1,1,50
9.68163265306,0.457142857143,4,1,4,2,'4/4',F-6,A1,1,41
10.1387755102,0.452857142857,4,1,4,3,'4/4',F-6,A1,1,34
10.5916326531,0.441020408163,4,1,4,4,'4/4',F-6,A1,1,34
11.0326530612,0.448163265306,4,1,5,1,'4/4',Dbj7,A1,1,37
11.4808163265,0.431133786848,4,1,5,2,'4/4',Dbj7,A1,1,37
11.9119501134,0.457006802721,4,1,5,3,'4/4',Dbj7,A1,1,36
12.3689569161,0.466213151927,4,1,5,4,'4/4',Dbj7,A1,1,36
12.835170068,0.45462585034,4,1,6,1,'4/4',Bb-7,A1,1,34
13.2897959184,0.465306122449,4,1,6,2,'4/4',Bb-7,A1,1,34
13.7551020408,0.477551020408,4,1,6,3,'4/4',Bb-7,A1,1,44
14.2326530612,0.448979591837,4,1,6,4,'4/4',Bb-7,A1,1,44
14.6816326531,0.467528344671,4,1,7,1,'4/4',Gm7b5,A1,1,43
15.1491609977,0.46716553288,4,1,7,2,'4/4',Gm7b5,A1,1,45
15.6163265306,0.451224489796,4,1,7,3,'4/4',Gm7b5,A1,1,46
16.0675510204,0.436553287982,4,1,7,4,'4/4',Gm7b5,A1,1,49
16.5041043084,0.442154195011,4,1,8,1,'4/4',C79b,A1,1,48
16.9462585034,0.471950113379,4,1,8,2,'4/4',C79b,A1,1,37
17.4182086168,0.476621315193,4,1,8,3,'4/4',C79b,A1,1,50
17.894829932,0.45664399093,4,1,8,4,'4/4',C79b,A1,1,37
18.3514739229,0.46485260771,4,1,9,1,'4/4',F-,A2,1,53
18.8163265306,0.457142857143,4,1,9,2,'4/4',F-,A2,1,43
19.2734693878,0.452448979592,4,1,9,3,'4/4',F-,A2,1,44
19.7259183673,0.466689342404,4,1,9,4,'4/4',F-,A2,1,37
20.1926077098,0.467142857143,4,1,10,1,'4/4',F-j7,A2,1,37
20.6597505669,0.45619047619,4,1,10,2,'4/4',F-j7,A2,1,43
21.1159410431,0.447188208617,4,1,10,3,'4/4',F-j7,A2,1,52
21.5631292517,0.4520861678,4,1,10,4,'4/4',F-j7,A2,1,42
22.0152154195,0.446734693878,4,1,11,1,'4/4',F-7,A2,1,41
22.4619501134,0.466689342404,4,1,11,2,'4/4',F-7,A2,1,38
22.9286394558,0.456507936508,4,1,11,3,'4/4',F-7,A2,1,36
23.3851473923,0.466825396825,4,1,11,4,'4/4',F-7,A2,1,35
23.8519727891,0.473832199546,4,1,12,1,'4/4',F-6,A2,1,34
24.3258049887,0.474784580499,4,1,12,2,'4/4',F-6,A2,1,38
24.8005895692,0.461201814059,4,1,12,3,'4/4',F-6,A2,1,41
25.2617913832,0.447006802721,4,1,12,4,'4/4',F-6,A2,1,44
25.7087981859,0.447142857143,4,1,13,1,'4/4',Dbj7,A2,1,37
26.1559410431,0.466439909297,4,1,13,2,'4/4',Dbj7,A2,1,37
26.6223809524,0.456712018141,4,1,13,3,'4/4',Dbj7,A2,1,36
