onset,duration,period,division,bar,beat,signature,chord,form,chorus_id
0.444897959184,0.444897959184,9,1,1,1,'9/4',NC,A1,1
0.889795918367,0.440362811791,9,1,1,2,'9/4',NC,A1,1
1.33015873016,0.417142857143,9,1,1,3,'9/4',NC,A1,1
1.7473015873,0.437120181406,9,1,1,4,'9/4',NC,A1,1
2.18442176871,0.412494331066,9,1,1,5,'9/4',NC,A1,1
2.59691609977,0.412290249433,9,1,1,6,'9/4',NC,A1,1
3.00920634921,0.411496598639,9,1,1,7,'9/4',NC,A1,1
3.42070294785,0.436439909297,9,1,1,8,'9/4',NC,A1,1
3.85714285714,0.3979138322,9,1,1,9,'9/4',NC,A1,1
4.25505668934,0.412403628118,9,1,2,1,'9/4',NC,A1,1
4.66746031746,0.420725623583,9,1,2,2,'9/4',NC,A1,1
5.08818594104,0.412448979592,9,1,2,3,'9/4',NC,A1,1
5.50063492063,0.401746031746,9,1,2,4,'9/4',NC,A1,1
5.90238095238,0.406689342404,9,1,2,5,'9/4',NC,A1,1
6.30907029478,0.402653061224,9,1,2,6,'9/4',NC,A1,1
6.71172335601,0.412403628118,9,1,2,7,'9/4',NC,A1,1
7.12412698413,0.401678004535,9,1,2,8,'9/4',NC,A1,1
7.52580498866,0.431882086168,9,1,2,9,'9/4',NC,A1,1
7.95768707483,0.402630385488,9,1,3,1,'9/4',NC,A1,1
8.36031746032,0.40664399093,9,1,3,2,'9/4',NC,A1,1
8.76696145125,0.41231292517,9,1,3,3,'9/4',NC,A1,1
9.17927437642,0.431088435374,9,1,3,4,'9/4',NC,A1,1
9.61036281179,0.422176870748,9,1,3,5,'9/4',NC,A1,1
10.0325396825,0.392857142857,9,1,3,6,'9/4',NC,A1,1
10.4253968254,0.412040816327,9,1,3,7,'9/4',NC,A1,1
10.8374376417,0.401836734694,9,1,3,8,'9/4',NC,A1,1
11.2392743764,0.431882086168,9,1,3,9,'9/4',NC,A1,1
11.6711564626,0.397142857143,9,1,4,1,'9/4',NC,A1,1
12.0682993197,0.402562358277,9,1,4,2,'9/4',NC,A1,1
12.470861678,0.430907029478,9,1,4,3,'9/4',NC,A1,1
12.9017687075,0.402653061224,9,1,4,4,'9/4',NC,A1,1
13.3044217687,0.412448979592,9,1,4,5,'9/4',NC,A1,1
13.7168707483,0.421950113379,9,1,4,6,'9/4',NC,A1,1
14.1388208617,0.387188208617,9,1,4,7,'9/4',NC,A1,1
14.5260090703,0.427641723356,9,1,4,8,'9/4',NC,A1,1
14.9536507937,0.386235827664,9,1,4,9,'9/4',NC,A1,1
15.3398866213,0.422131519274,9,1,5,1,'9/4',NC,A1,1
15.7620181406,0.387210884354,9,1,5,2,'9/4',NC,A1,1
16.1492290249,0.437664399093,9,1,5,3,'9/4',NC,A1,1
16.586893424,0.396099773243,9,1,5,4,'9/4',NC,A1,1
16.9829931973,0.422108843537,9,1,5,5,'9/4',NC,A1,1
17.4051020408,0.40253968254,9,1,5,6,'9/4',NC,A1,1
17.8076417234,0.4220861678,9,1,5,7,'9/4',NC,A1,1
18.2297278912,0.412222222222,9,1,5,8,'9/4',NC,A1,1
18.6419501134,0.396167800454,9,1,5,9,'9/4',NC,A1,1
19.0381179138,0.412380952381,9,1,6,1,'9/4',NC,A1,1
19.4504988662,0.412199546485,9,1,6,2,'9/4',NC,A1,1
19.8626984127,0.387256235828,9,1,6,3,'9/4',NC,A1,1
20.2499546485,0.427641723356,9,1,6,4,'9/4',NC,A1,1
20.6775963719,0.396258503401,9,1,6,5,'9/4',NC,A1,1
21.0738548753,0.412358276644,9,1,6,6,'9/4',NC,A1,1
21.4862131519,0.402358276644,9,1,6,7,'9/4',NC,A1,1
21.8885714286,0.432040816327,9,1,6,8,'9/4',NC,A1,1
22.3206122449,0.392766439909,9,1,6,9,'9/4',NC,A1,1
22.7133786848,0.430907029478,9,1,7,1,'9/4',NC,A1,1
23.1442857143,0.402653061224,9,1,7,2,'9/4',NC,A1,1
23.5469387755,0.431882086168,9,1,7,3,'9/4',NC,A1,1
23.9788208617,0.431972789116,9,1,7,4,'9/4',NC,A1,1
24.4107936508,0.412063492063,9,1,7,5,'9/4',NC,A1,1
24.8228571429,0.402471655329,9,1,7,6,'9/4',NC,A1,1
25.2253287982,0.421156462585,9,1,7,7,'9/4',NC,A1,1
25.6464852608,0.412335600907,9,1,7,8,'9/4',NC,A1,1
26.0588208617,0.421995464853,9,1,7,9,'9/4',NC,A1,1
26.4808163265,0.412517006803,9,1,8,1,'9/4',NC,A1,1
26.8933333333,0.441632653061,9,1,8,2,'9/4',NC,A1,1
27.3349659864,0.386326530612,9,1,8,3,'9/4',NC,A1,1
27.721292517,0.412222222222,9,1,8,4,'9/4',NC,A1,1
28.1335147392,0.392879818594,9,1,8,5,'9/4',NC,A1,1
28.5263945578,0.412380952381,9,1,8,6,'9/4',NC,A1,1
28.9387755102,0.387097505669,9,1,8,7,'9/4',NC,A1,1
29.3258730159,0.401768707483,9,1,8,8,'9/4',NC,A1,1
29.7276417234,0.387301587302,9,1,8,9,'9/4',NC,A1,1
30.1149433107,0.431836734694,9,1,9,1,'9/4',NC,A1,1
30.5467800454,0.412267573696,9,1,9,2,'9/4',NC,A1,1
30.959047619,0.4220861678,9,1,9,3,'9/4',NC,A1,1
31.3811337868,0.401859410431,9,1,9,4,'9/4',NC,A1,1
31.7829931973,0.421995464853,9,1,9,5,'9/4',NC,A1,1
32.2049886621,0.402517006803,9,1,9,6,'9/4',NC,A1,1
32.6075056689,0.431678004535,9,1,9,7,'9/4',NC,A1,1
33.0391836735,0.431904761905,9,1,9,8,'9/4',NC,A1,1
33.4710884354,0.421337868481,9,1,9,9,'9/4',NC,A1,1
33.8924263039,0.392743764172,9,1,10,1,'9/4',NC,A1,1
34.285170068,0.441746031746,9,1,10,2,'9/4',NC,A1,1
34.7269160998,0.412267573696,9,1,10,3,'9/4',NC,A1,1
35.1391836735,0.421927437642,9,1,10,4,'9/4',NC,A1,1
35.5611111111,0.437505668934,9,1,10,5,'9/4',NC,A1,1
35.99861678,0.412290249433,9,1,10,6,'9/4',NC,A1,1
36.4109070295,0.40589569161,9,1,10,7,'9/4',NC,A1,1
36.8168027211,0.431882086168,9,1,10,8,'9/4',NC,A1,1
37.2486848073,0.408276643991,9,1,10,9,'9/4',NC,A1,1
37.6569614512,0.441179138322,9,1,11,1,'9/4',NC,A1,1
38.0981405896,0.441111111111,9,1,11,2,'9/4',NC,A1,1
38.5392517007,0.422176870748,9,1,11,3,'9/4',NC,A1,1
38.9614285714,0.412176870748,9,1,11,4,'9/4',NC,A1,1
39.3736054422,0.39283446712,9,1,11,5,'9/4',NC,A1,1
39.7664399093,0.412222222222,9,1,11,6,'9/4',NC,A1,1
40.1786621315,0.440884353741,9,1,11,7,'9/4',NC,A1,1
40.6195464853,0.392857142857,9,1,11,8,'9/4',NC,A1,1
41.0124036281,0.422108843537,9,1,11,9,'9/4',NC,A1,1
41.4345124717,0.431995464853,9,1,12,1,'9/4',NC,A1,1
41.8665079365,0.4220861678,9,1,12,2,'9/4',NC,A1,1
