onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.3537414966,0.24433106576,4,1,1,1,'4/4',NC,A1,1,37
4.59807256236,0.225396825397,4,1,1,2,'4/4',NC,A1,1,36
4.82346938776,0.243764172336,4,1,1,3,'4/4',NC,A1,1,37
5.06723356009,0.260090702948,4,1,1,4,'4/4',NC,A1,1,37
5.32732426304,0.254081632653,4,1,2,1,'4/4',NC,A1,1,38
5.58140589569,0.269750566893,4,1,2,2,'4/4',NC,A1,1,37
5.85115646259,0.24641723356,4,1,2,3,'4/4',NC,A1,1,36
6.09757369615,0.249637188209,4,1,2,4,'4/4',NC,A1,1,36
6.34721088435,0.244172335601,4,1,3,1,'4/4',NC,A1,1,36
6.59138321995,0.249977324263,4,1,3,2,'4/4',NC,A1,1,37
6.84136054422,0.254784580499,4,1,3,3,'4/4',NC,A1,1,37
7.09614512472,0.230861678005,4,1,3,4,'4/4',NC,A1,1,37
7.32700680272,0.248616780045,4,1,4,1,'4/4',NC,A1,1,38
7.57562358277,0.259070294785,4,1,4,2,'4/4',NC,A1,1,38
7.83469387755,0.261224489796,4,1,4,3,'4/4',NC,A1,1,44
8.09591836735,0.262607709751,4,1,4,4,'4/4',NC,A1,1,39
8.3585260771,0.268843537415,4,1,5,1,'4/4',NC,A1,1,40
8.62736961451,0.247278911565,4,1,5,2,'4/4',NC,A1,1,43
8.87464852608,0.270680272109,4,1,5,3,'4/4',NC,A1,1,41
9.14532879819,0.248049886621,4,1,5,4,'4/4',NC,A1,1,42
9.39337868481,0.247392290249,4,1,6,1,'4/4',NC,A1,1,37
9.64077097506,0.242857142857,4,1,6,2,'4/4',NC,A1,1,47
9.88362811791,0.254421768707,4,1,6,3,'4/4',NC,A1,1,46
10.1380498866,0.258843537415,4,1,6,4,'4/4',NC,A1,1,45
10.396893424,0.254535147392,4,1,7,1,'4/4',NC,A1,1,44
10.6514285714,0.253265306122,4,1,7,2,'4/4',NC,A1,1,43
10.9046938776,0.257755102041,4,1,7,3,'4/4',NC,A1,1,37
11.1624489796,0.262290249433,4,1,7,4,'4/4',NC,A1,1,41
11.424739229,0.26283446712,4,1,8,1,'4/4',NC,A1,1,41
11.6875736961,0.252789115646,4,1,8,2,'4/4',NC,A1,1,41
11.9403628118,0.249659863946,4,1,8,3,'4/4',NC,A1,1,42
12.1900226757,0.253446712018,4,1,8,4,'4/4',NC,A1,1,30
12.4434693878,0.252698412698,4,1,9,1,'4/4',NC,A1,1,37
12.6961678005,0.238004535147,4,1,9,2,'4/4',NC,A1,1,32
12.9341723356,0.253537414966,4,1,9,3,'4/4',NC,A1,1,45
13.1877097506,0.249410430839,4,1,9,4,'4/4',NC,A1,1,37
13.4371201814,0.23820861678,4,1,10,1,'4/4',NC,A1,1,43
13.6753287982,0.238095238095,4,1,10,2,'4/4',NC,A1,1,43
13.9134240363,0.24179138322,4,1,10,3,'4/4',NC,A1,1,38
14.1552154195,0.24925170068,4,1,10,4,'4/4',NC,A1,1,37
14.4044671202,0.248820861678,4,1,11,1,'4/4',NC,A1,1,36
14.6532879819,0.249909297052,4,1,11,2,'4/4',NC,A1,1,36
14.9031972789,0.241859410431,4,1,11,3,'4/4',NC,A1,1,42
15.1450566893,0.249886621315,4,1,11,4,'4/4',NC,A1,1,37
15.3949433107,0.242517006803,4,1,12,1,'4/4',NC,A1,1,45
15.6374603175,0.26693877551,4,1,12,2,'4/4',NC,A1,1,41
15.904399093,0.253990929705,4,1,12,3,'4/4',NC,A1,1,46
16.1583900227,0.267097505669,4,1,12,4,'4/4',NC,A1,1,45
16.4254875283,0.259841269841,4,1,13,1,'4/4',NC,A1,1,37
16.6853287982,0.256757369615,4,1,13,2,'4/4',NC,A1,1,37
16.9420861678,0.264263038549,4,1,13,3,'4/4',NC,A1,1,37
17.2063492063,0.256371882086,4,1,13,4,'4/4',NC,A1,1,35
17.4627210884,0.25768707483,4,1,14,1,'4/4',NC,A1,1,38
17.7204081633,0.241859410431,4,1,14,2,'4/4',NC,A1,1,36
17.9622675737,0.253446712018,4,1,14,3,'4/4',NC,A1,1,36
18.2157142857,0.263537414966,4,1,14,4,'4/4',NC,A1,1,37
18.4792517007,0.254217687075,4,1,15,1,'4/4',NC,A1,1,45
18.7334693878,0.263219954649,4,1,15,2,'4/4',NC,A1,1,42
18.9966893424,0.243015873016,4,1,15,3,'4/4',NC,A1,1,36
19.2397052154,0.237551020408,4,1,15,4,'4/4',NC,A1,1,42
19.4772562358,0.251451247166,4,1,16,1,'4/4',NC,A1,1,37
19.728707483,0.255782312925,4,1,16,2,'4/4',NC,A1,1,42
19.9844897959,0.244195011338,4,1,16,3,'4/4',NC,A1,1,40
20.2286848073,0.261224489796,4,1,16,4,'4/4',NC,A1,1,45
20.4899092971,0.235442176871,4,1,17,1,'4/4',NC,A1,1,44
20.7253514739,0.249795918367,4,1,17,2,'4/4',NC,A1,1,39
20.9751473923,0.248253968254,4,1,17,3,'4/4',NC,A1,1,38
21.2234013605,0.250702947846,4,1,17,4,'4/4',NC,A1,1,38
21.4741043084,0.225918367347,4,1,18,1,'4/4',NC,A1,1,44
21.7000226757,0.241859410431,4,1,18,2,'4/4',NC,A1,1,43
21.9418820862,0.261428571429,4,1,18,3,'4/4',NC,A1,1,37
22.2033106576,0.239659863946,4,1,18,4,'4/4',NC,A1,1,40
22.4429705215,0.264217687075,4,1,19,1,'4/4',NC,A1,1,28
22.7071882086,0.273718820862,4,1,19,2,'4/4',NC,A1,1,41
22.9809070295,0.243083900227,4,1,19,3,'4/4',NC,A1,1,37
23.2239909297,0.26410430839,4,1,19,4,'4/4',NC,A1,1,43
23.4880952381,0.261995464853,4,1,20,1,'4/4',NC,A1,1,37
23.7500907029,0.244308390023,4,1,20,2,'4/4',NC,A1,1,37
23.994399093,0.255578231293,4,1,20,3,'4/4',NC,A1,1,38
24.2499773243,0.255124716553,4,1,20,4,'4/4',NC,A1,1,38
24.5051020408,0.251768707483,4,1,21,1,'4/4',NC,A1,1,43
24.7568707483,0.253696145125,4,1,21,2,'4/4',NC,A1,1,37
25.0105668934,0.242040816327,4,1,21,3,'4/4',NC,A1,1,37
25.2526077098,0.248072562358,4,1,21,4,'4/4',NC,A1,1,37
25.5006802721,0.235396825397,4,1,22,1,'4/4',NC,A1,1,45
25.7360770975,0.257301587302,4,1,22,2,'4/4',NC,A1,1,35
25.9933786848,0.24410430839,4,1,22,3,'4/4',NC,A1,1,43
26.2374829932,0.24380952381,4,1,22,4,'4/4',NC,A1,1,37
26.481292517,0.23843537415,4,1,23,1,'4/4',NC,A1,1,35
26.7197278912,0.234557823129,4,1,23,2,'4/4',NC,A1,1,45
26.9542857143,0.257823129252,4,1,23,3,'4/4',NC,A1,1,43
27.2121088435,0.273968253968,4,1,23,4,'4/4',NC,A1,1,37
27.4860770975,0.258367346939,4,1,24,1,'4/4',NC,A1,1,45
27.7444444444,0.25664399093,4,1,24,2,'4/4',NC,A1,1,43
28.0010884354,0.247596371882,4,1,24,3,'4/4',NC,A1,1,46
28.2486848073,0.25798185941,4,1,24,4,'4/4',NC,A1,1,46
28.5066666667,0.242698412698,4,1,25,1,'4/4',NC,A1,1,43
28.7493650794,0.261904761905,4,1,25,2,'4/4',NC,A1,1,43
29.0112698413,0.258866213152,4,1,25,3,'4/4',NC,A1,1,43
29.2701360544,0.239750566893,4,1,25,4,'4/4',NC,A1,1,37
29.5098866213,0.248004535147,4,1,26,1,'4/4',NC,A1,1,41
29.7578911565,0.268344671202,4,1,26,2,'4/4',NC,A1,1,37
30.0262358277,0.244217687075,4,1,26,3,'4/4',NC,A1,1,36
30.2704535147,0.227891156463,4,1,26,4,'4/4',NC,A1,1,39
30.4983446712,0.234671201814,4,1,27,1,'4/4',NC,A1,1,37
30.733015873,0.246530612245,4,1,27,2,'4/4',NC,A1,1,43
30.9795464853,0.241088435374,4,1,27,3,'4/4',NC,A1,1,37
31.2206349206,0.251519274376,4,1,27,4,'4/4',NC,A1,1,37
31.472154195,0.265079365079,4,1,28,1,'4/4',NC,A1,1,37
31.7372335601,0.264353741497,4,1,28,2,'4/4',NC,A1,1,38
32.0015873016,0.230793650794,4,1,28,3,'4/4',NC,A1,1,43
32.2323809524,0.244943310658,4,1,28,4,'4/4',NC,A1,1,43
32.477324263,0.255283446712,4,1,29,1,'4/4',NC,A1,1,41
32.7326077098,0.265056689342,4,1,29,2,'4/4',NC,A1,1,41
32.9976643991,0.262290249433,4,1,29,3,'4/4',NC,A1,1,36
33.2599546485,0.257392290249,4,1,29,4,'4/4',NC,A1,1,35
33.5173469388,0.249297052154,4,1,30,1,'4/4',NC,A1,1,46
33.7666439909,0.262698412698,4,1,30,2,'4/4',NC,A1,1,37
34.0293424036,0.255736961451,4,1,30,3,'4/4',NC,A1,1,37
34.2850793651,0.260770975057,4,1,30,4,'4/4',NC,A1,1,45
34.5458503401,0.254761904762,4,1,31,1,'4/4',NC,A1,1,35
34.8006122449,0.247664399093,4,1,31,2,'4/4',NC,A1,1,36
35.048276644,0.247619047619,4,1,31,3,'4/4',NC,A1,1,36
35.2958956916,0.252222222222,4,1,31,4,'4/4',NC,A1,1,36
35.5481179138,0.270317460317,4,1,32,1,'4/4',NC,A1,1,37
35.8184353741,0.260317460317,4,1,32,2,'4/4',NC,A1,1,37
36.0787528345,0.248526077098,4,1,32,3,'4/4',NC,A1,1,43
36.3272789116,0.269070294785,4,1,32,4,'4/4',NC,A1,1,43
36.5963492063,0.256235827664,4,1,33,1,'4/4',NC,A1,1,37
36.852585034,0.268571428571,4,1,33,2,'4/4',NC,A1,1,37
37.1211564626,0.246507936508,4,1,33,3,'4/4',NC,A1,1,42
37.3676643991,0.236439909297,4,1,33,4,'4/4',NC,A1,1,37
37.6041043084,0.236712018141,4,1,34,1,'4/4',NC,A1,1,41
37.8408163265,0.250430839002,4,1,34,2,'4/4',NC,A1,1,37
38.0912471655,0.25462585034,4,1,34,3,'4/4',NC,A1,1,37
38.3458730159,0.242131519274,4,1,34,4,'4/4',NC,A1,1,46
38.5880045351,0.249501133787,4,1,35,1,'4/4',NC,A1,1,45
38.8375056689,0.247142857143,4,1,35,2,'4/4',NC,A1,1,44
39.0846485261,0.258888888889,4,1,35,3,'4/4',NC,A1,1,38
39.343537415,0.25433106576,4,1,35,4,'4/4',NC,A1,1,40
39.5978684807,0.256553287982,4,1,36,1,'4/4',NC,A1,1,44
39.8544217687,0.255600907029,4,1,36,2,'4/4',NC,A1,1,37
40.1100226757,0.250408163265,4,1,36,3,'4/4',NC,A1,1,43
40.360430839,0.230680272109,4,1,36,4,'4/4',NC,A1,1,37
40.5911111111,0.235555555556,4,1,37,1,'4/4',NC,A1,1,40
40.8266666667,0.253764172336,4,1,37,2,'4/4',NC,A1,1,41
41.080430839,0.248299319728,4,1,37,3,'4/4',NC,A1,1,37
41.3287301587,0.254557823129,4,1,37,4,'4/4',NC,A1,1,37
41.5832879819,0.269160997732,4,1,38,1,'4/4',NC,A1,1,37
41.8524489796,0.244489795918,4,1,38,2,'4/4',NC,A1,1,37
42.0969387755,0.24537414966,4,1,38,3,'4/4',NC,A1,1,43
42.3423129252,0.245600907029,4,1,38,4,'4/4',NC,A1,1,33
42.5879138322,0.248458049887,4,1,39,1,'4/4',NC,A1,1,43
42.8363718821,0.2720861678,4,1,39,2,'4/4',NC,A1,1,43
43.1084580499,0.250839002268,4,1,39,3,'4/4',NC,A1,1,37
43.3592970522,0.255079365079,4,1,39,4,'4/4',NC,A1,1,36
43.6143764172,0.247959183673,4,1,40,1,'4/4',NC,A1,1,42
43.8623356009,0.256984126984,4,1,40,2,'4/4',NC,A1,1,43
44.1193197279,0.243854875283,4,1,40,3,'4/4',NC,A1,1,42
44.3631746032,0.265011337868,4,1,40,4,'4/4',NC,A1,1,41
44.628185941,0.230045351474,4,1,41,1,'4/4',NC,A1,1,47
44.8582312925,0.22970521542,4,1,41,2,'4/4',NC,A1,1,37
45.0879365079,0.259909297052,4,1,41,3,'4/4',NC,A1,1,37
45.347845805,0.233106575964,4,1,41,4,'4/4',NC,A1,1,37
45.580952381,0.254875283447,4,1,42,1,'4/4',NC,A1,1,37
45.8358276644,0.230907029478,4,1,42,2,'4/4',NC,A1,1,37
46.0667346939,0.265918367347,4,1,42,3,'4/4',NC,A1,1,41
46.3326530612,0.279387755102,4,1,42,4,'4/4',NC,A1,1,37
46.6120408163,0.255260770975,4,1,43,1,'4/4',NC,A1,1,40
46.8673015873,0.253469387755,4,1,43,2,'4/4',NC,A1,1,40
47.1207709751,0.242358276644,4,1,43,3,'4/4',NC,A1,1,41
47.3631292517,0.255192743764,4,1,43,4,'4/4',NC,A1,1,37
47.6183219955,0.260430839002,4,1,44,1,'4/4',NC,A1,1,36
47.8787528345,0.242993197279,4,1,44,2,'4/4',NC,A1,1,36
48.1217460317,0.249229024943,4,1,44,3,'4/4',NC,A1,1,37
48.3709750567,0.253265306122,4,1,44,4,'4/4',NC,A1,1,37
48.6242403628,0.254965986395,4,1,45,1,'4/4',NC,A1,1,37
48.8792063492,0.248979591837,4,1,45,2,'4/4',NC,A1,1,37
49.128185941,0.232244897959,4,1,45,3,'4/4',NC,A1,1,37
49.360430839,0.263673469388,4,1,45,4,'4/4',NC,A1,1,37
49.6241043084,0.235714285714,4,1,46,1,'4/4',NC,A1,1,37
49.8598185941,0.23253968254,4,1,46,2,'4/4',NC,A1,1,37
50.0923582766,0.262902494331,4,1,46,3,'4/4',NC,A1,1,45
50.355260771,0.253333333333,4,1,46,4,'4/4',NC,A1,1,45
50.6085941043,0.248027210884,4,1,47,1,'4/4',NC,A1,1,43
50.8566213152,0.242562358277,4,1,47,2,'4/4',NC,A1,1,38
51.0991836735,0.242517006803,4,1,47,3,'4/4',NC,A1,1,43
51.3417006803,0.236326530612,4,1,47,4,'4/4',NC,A1,1,40
51.5780272109,0.254263038549,4,1,48,1,'4/4',NC,A1,1,40
51.8322902494,0.228163265306,4,1,48,2,'4/4',NC,A1,1,38
52.0604535147,0.22746031746,4,1,48,3,'4/4',NC,A1,1,44
52.2879138322,0.241519274376,4,1,48,4,'4/4',NC,A1,1,37
52.5294331066,0.238571428571,4,1,49,1,'4/4',NC,A1,1,37
52.7680045351,0.239365079365,4,1,49,2,'4/4',NC,A1,1,37
53.0073696145,0.250430839002,4,1,49,3,'4/4',NC,A1,1,38
53.2578004535,0.247619047619,4,1,49,4,'4/4',NC,A1,1,38
53.5054195011,0.243492063492,4,1,50,1,'4/4',NC,A1,1,43
53.7489115646,0.268503401361,4,1,50,2,'4/4',NC,A1,1,37
54.017414966,0.252721088435,4,1,50,3,'4/4',NC,A1,1,37
54.2701360544,0.256145124717,4,1,50,4,'4/4',NC,A1,1,37
54.5262811791,0.254988662132,4,1,51,1,'4/4',NC,A1,1,37
54.7812698413,0.255941043084,4,1,51,2,'4/4',NC,A1,1,41
55.0372108844,0.226371882086,4,1,51,3,'4/4',NC,A1,1,37
55.2635827664,0.241904761905,4,1,51,4,'4/4',NC,A1,1,35
55.5054875283,0.2620861678,4,1,52,1,'4/4',NC,A1,1,45
55.7675736961,0.245759637188,4,1,52,2,'4/4',NC,A1,1,45
56.0133333333,0.254807256236,4,1,52,3,'4/4',NC,A1,1,44
56.2681405896,0.249523809524,4,1,52,4,'4/4',NC,A1,1,38
56.5176643991,0.252517006803,4,1,53,1,'4/4',NC,A1,1,39
56.7701814059,0.254126984127,4,1,53,2,'4/4',NC,A1,1,44
57.02430839,0.248344671202,4,1,53,3,'4/4',NC,A1,1,43
57.2726530612,0.234308390023,4,1,53,4,'4/4',NC,A1,1,37
57.5069614512,0.242403628118,4,1,54,1,'4/4',NC,A1,1,37
57.7493650794,0.229795918367,4,1,54,2,'4/4',NC,A1,1,37
57.9791609977,0.22,4,1,54,3,'4/4',NC,A1,1,43
58.1991609977,0.213537414966,4,1,54,4,'4/4',NC,A1,1,43
58.4126984127,0.237936507937,4,1,55,1,'4/4',NC,A1,1,43
58.6506349206,0.251383219955,4,1,55,2,'4/4',NC,A1,1,37
58.9020181406,0.247845804989,4,1,55,3,'4/4',NC,A1,1,37
59.1498639456,0.257029478458,4,1,55,4,'4/4',NC,A1,1,37
59.406893424,0.261609977324,4,1,56,1,'4/4',NC,A1,1,37
59.6685034014,0.247505668934,4,1,56,2,'4/4',NC,A1,1,37
59.9160090703,0.255238095238,4,1,56,3,'4/4',NC,A1,1,37
60.1712471655,0.248253968254,4,1,56,4,'4/4',NC,A1,1,37
60.4195011338,0.262517006803,4,1,57,1,'4/4',NC,A1,1,37
60.6820181406,0.255192743764,4,1,57,2,'4/4',NC,A1,1,37
60.9372108844,0.253514739229,4,1,57,3,'4/4',NC,A1,1,41
61.1907256236,0.25746031746,4,1,57,4,'4/4',NC,A1,1,37
61.448185941,0.245170068027,4,1,58,1,'4/4',NC,A1,1,37
61.6933560091,0.259206349206,4,1,58,2,'4/4',NC,A1,1,37
61.9525623583,0.25179138322,4,1,58,3,'4/4',NC,A1,1,37
62.2043537415,0.246825396825,4,1,58,4,'4/4',NC,A1,1,37
62.4511791383,0.252766439909,4,1,59,1,'4/4',NC,A1,1,43
62.7039455782,0.243197278912,4,1,59,2,'4/4',NC,A1,1,43
62.9471428571,0.244240362812,4,1,59,3,'4/4',NC,A1,1,37
63.19138322,0.268888888889,4,1,59,4,'4/4',NC,A1,1,37
63.4602721088,0.23843537415,4,1,60,1,'4/4',NC,A1,1,36
63.698707483,0.242721088435,4,1,60,2,'4/4',NC,A1,1,36
63.9414285714,0.252902494331,4,1,60,3,'4/4',NC,A1,1,37
64.1943310658,0.241995464853,4,1,60,4,'4/4',NC,A1,1,41
64.4363265306,0.242766439909,4,1,61,1,'4/4',NC,A1,1,37
64.6790929705,0.257006802721,4,1,61,2,'4/4',NC,A1,1,36
64.9360997732,0.254603174603,4,1,61,3,'4/4',NC,A1,1,35
65.1907029478,0.23798185941,4,1,61,4,'4/4',NC,A1,1,38
65.4286848073,0.249795918367,4,1,62,1,'4/4',NC,A1,1,44
65.6784807256,0.239138321995,4,1,62,2,'4/4',NC,A1,1,43
65.9176190476,0.247732426304,4,1,62,3,'4/4',NC,A1,1,38
66.1653514739,0.226507936508,4,1,62,4,'4/4',NC,A1,1,43
66.3918594104,0.269365079365,4,1,63,1,'4/4',NC,A1,1,40
66.6612244898,0.249954648526,4,1,63,2,'4/4',NC,A1,1,41
66.9111791383,0.270680272109,4,1,63,3,'4/4',NC,A1,1,44
67.1818594104,0.258480725624,4,1,63,4,'4/4',NC,A1,1,30
67.4403401361,0.254535147392,4,1,64,1,'4/4',NC,A1,1,37
67.6948752834,0.244761904762,4,1,64,2,'4/4',NC,A1,1,44
67.9396371882,0.258639455782,4,1,64,3,'4/4',NC,A1,1,45
68.198276644,0.252698412698,4,1,64,4,'4/4',NC,A1,1,38
68.4509750567,0.248979591837,4,1,65,1,'4/4',NC,A1,1,43
68.6999546485,0.271337868481,4,1,65,2,'4/4',NC,A1,1,36
68.971292517,0.256349206349,4,1,65,3,'4/4',NC,A1,1,37
69.2276417234,0.246077097506,4,1,65,4,'4/4',NC,A1,1,42
69.4737188209,0.253968253968,4,1,66,1,'4/4',NC,A1,1,43
69.7276870748,0.233469387755,4,1,66,2,'4/4',NC,A1,1,43
