onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.40891156463,0.24380952381,4,1,0,2,'4/4',Bbsus,I1,0,42
3.65272108844,0.249206349206,4,1,0,3,'4/4',Bbsus,I1,0,42
3.90192743764,0.228684807256,4,1,0,4,'4/4',Bbsus,I1,0,45
4.1306122449,0.24925170068,4,1,1,1,'4/4',Bbsus,A1,1,42
4.37986394558,0.255419501134,4,1,1,2,'4/4',Bbsus,A1,1,42
4.63528344671,0.261224489796,4,1,1,3,'4/4',Bbsus,A1,1,42
4.89650793651,0.24380952381,4,1,1,4,'4/4',Bbsus,A1,1,42
5.14031746032,0.231111111111,4,1,2,1,'4/4',Bbsus,A1,1,37
5.37142857143,0.241995464853,4,1,2,2,'4/4',Bbsus,A1,1,42
5.61342403628,0.246712018141,4,1,2,3,'4/4',Bbsus,A1,1,42
5.86013605442,0.249614512472,4,1,2,4,'4/4',Bbsus,A1,1,42
6.10975056689,0.238004535147,4,1,3,1,'4/4',Bbsus,A1,1,41
6.34775510204,0.249614512472,4,1,3,2,'4/4',Bbsus,A1,1,42
6.59736961451,0.249614512472,4,1,3,3,'4/4',Bbsus,A1,1,42
6.84698412698,0.24380952381,4,1,3,4,'4/4',Bbsus,A1,1,42
7.09079365079,0.240907029478,4,1,4,1,'4/4',Bbsus,A1,1,42
7.33170068027,0.238004535147,4,1,4,2,'4/4',Bbsus,A1,1,47
7.56970521542,0.258321995465,4,1,4,3,'4/4',Bbsus,A1,1,45
7.82802721088,0.24380952381,4,1,4,4,'4/4',Bbsus,A1,1,42
8.07183673469,0.240907029478,4,1,5,1,'4/4',Bbsus,A1,1,41
8.31274376417,0.242925170068,4,1,5,2,'4/4',Bbsus,A1,1,41
8.55566893424,0.266281179138,4,1,5,3,'4/4',Bbsus,A1,1,42
8.82195011338,0.259954648526,4,1,5,4,'4/4',Bbsus,A1,1,42
9.0819047619,0.246712018141,4,1,6,1,'4/4',Bbsus,A1,1,42
9.32861678005,0.240907029478,4,1,6,2,'4/4',Bbsus,A1,1,42
9.56952380952,0.240907029478,4,1,6,3,'4/4',Bbsus,A1,1,40
9.810430839,0.238004535147,4,1,6,4,'4/4',Bbsus,A1,1,40
10.0484353741,0.249614512472,4,1,7,1,'4/4',Bbsus,A1,1,41
10.2980498866,0.258321995465,4,1,7,2,'4/4',Bbsus,A1,1,33
10.5563718821,0.246712018141,4,1,7,3,'4/4',Bbsus,A1,1,34
