onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.13464852608,0.636507936508,3,1,-2,3,'3/4',Bb-,I1,0,51
1.77115646259,0.59619047619,3,1,-1,1,'3/4',Bb-,I1,0,53
2.36734693878,0.629637188209,3,1,-1,2,'3/4',Bb-,I1,0,37
2.99698412698,0.617006802721,3,1,-1,3,'3/4',Bb-,I1,0,51
3.61399092971,0.646870748299,3,1,0,1,'3/4',Bb-,I1,0,53
4.260861678,0.635419501134,3,1,0,2,'3/4',Bb-,I1,0,37
4.89628117914,0.635714285714,3,1,0,3,'3/4',Bb-,I1,0,39
5.53199546485,0.635306122449,3,1,1,1,'3/4',Bb-,A1,1,53
6.1673015873,0.608503401361,3,1,1,2,'3/4',Bb-,A1,1,37
6.77580498866,0.664013605442,3,1,1,3,'3/4',Bb-,A1,1,50
7.4398185941,0.636575963719,3,1,2,1,'3/4',Bb-,A1,1,53
8.07639455782,0.598616780045,3,1,2,2,'3/4',Bb-,A1,1,37
8.67501133787,0.626213151927,3,1,2,3,'3/4',Bb-,A1,1,50
9.3012244898,0.646439909297,3,1,3,1,'3/4',Bb-,A1,1,53
9.94766439909,0.625941043084,3,1,3,2,'3/4',Bb-,A1,1,40
10.5736054422,0.63462585034,3,1,3,3,'3/4',Bb-,A1,1,50
11.2082312925,0.651360544218,3,1,4,1,'3/4',Bb-,A1,1,43
11.8595918367,0.639591836735,3,1,4,2,'3/4',Bb-,A1,1,37
12.4991836735,0.636462585034,3,1,4,3,'3/4',Bb-,A1,1,51
13.1356462585,0.590476190476,3,1,5,1,'3/4',Bb-,A1,1,53
13.726122449,0.588820861678,3,1,5,2,'3/4',Bb-,A1,1,37
14.3149433107,0.627006802721,3,1,5,3,'3/4',Bb-,A1,1,51
14.9419501134,0.621224489796,3,1,6,1,'3/4',Bb-,A1,1,43
15.5631746032,0.621133786848,3,1,6,2,'3/4',Bb-,A1,1,37
16.18430839,0.628979591837,3,1,6,3,'3/4',Bb-,A1,1,39
16.8132879819,0.664081632653,3,1,7,1,'3/4',Bb-,A1,1,53
17.4773696145,0.642902494331,3,1,7,2,'3/4',Bb-,A1,1,40
18.1202721088,0.638072562358,3,1,7,3,'3/4',Bb-,A1,1,51
18.7583446712,0.654013605442,3,1,8,1,'3/4',Bb-,A1,1,53
19.4123582766,0.618526077098,3,1,8,2,'3/4',Bb-,A1,1,37
20.0308843537,0.607324263039,3,1,8,3,'3/4',Bb-,A1,1,37
20.6382086168,0.655328798186,3,1,9,1,'3/4',Bb-,A1,1,53
21.293537415,0.607437641723,3,1,9,2,'3/4',Bb-,A1,1,37
21.9009750567,0.608594104308,3,1,9,3,'3/4',Bb-,A1,1,51
22.509569161,0.598662131519,3,1,10,1,'3/4',Bb-,A1,1,53
23.1082312925,0.608911564626,3,1,10,2,'3/4',Bb-,A1,1,37
23.7171428571,0.663696145125,3,1,10,3,'3/4',Bb-,A1,1,50
24.3808390023,0.609546485261,3,1,11,1,'3/4',Bb-,A1,1,53
24.9903854875,0.634671201814,3,1,11,2,'3/4',Bb-,A1,1,37
25.6250566893,0.635759637188,3,1,11,3,'3/4',Bb-,A1,1,51
26.2608163265,0.654013605442,3,1,12,1,'3/4',Bb-,A1,1,37
26.914829932,0.628276643991,3,1,12,2,'3/4',Bb-,A1,1,37
27.543106576,0.596575963719,3,1,12,3,'3/4',Bb-,A1,1,50
28.1396825397,0.589206349206,3,1,13,1,'3/4',Bb-,A1,1,37
28.7288888889,0.593990929705,3,1,13,2,'3/4',Bb-,A1,1,37
29.3228798186,0.661496598639,3,1,13,3,'3/4',Bb-,A1,1,51
29.9843764172,0.599614512472,3,1,14,1,'3/4',Bb-,A1,1,53
30.5839909297,0.608752834467,3,1,14,2,'3/4',Bb-,A1,1,37
31.1927437642,0.654036281179,3,1,14,3,'3/4',Bb-,A1,1,51
31.8467800454,0.618163265306,3,1,15,1,'3/4',Bb-,A1,1,37
32.4649433107,0.608526077098,3,1,15,2,'3/4',Bb-,A1,1,43
33.0734693878,0.5989569161,3,1,15,3,'3/4',Bb-,A1,1,36
33.6724263039,0.654036281179,3,1,16,1,'3/4',Bb-,A1,1,37
34.326462585,0.617210884354,3,1,16,2,'3/4',Bb-,A1,1,37
34.9436734694,0.608616780045,3,1,16,3,'3/4',Bb-,A1,1,51
35.5522902494,0.608639455782,3,1,17,1,'3/4',Bb-,A1,1,37
36.1609297052,0.61693877551,3,1,17,2,'3/4',Bb-,A1,1,43
36.7778684807,0.636530612245,3,1,17,3,'3/4',Bb-,A1,1,39
37.414399093,0.590385487528,3,1,18,1,'3/4',Bb-,A1,1,37
38.0047845805,0.599750566893,3,1,18,2,'3/4',Bb-,A1,1,43
38.6045351474,0.616349206349,3,1,18,3,'3/4',Bb-,A1,1,39
39.2208843537,0.598752834467,3,1,19,1,'3/4',Bb-,A1,1,37
39.8196371882,0.618321995465,3,1,19,2,'3/4',Bb-,A1,1,43
40.4379591837,0.607505668934,3,1,19,3,'3/4',Bb-,A1,1,51
41.0454648526,0.628231292517,3,1,20,1,'3/4',Bb-,A1,1,37
41.6736961451,0.626802721088,3,1,20,2,'3/4',Bb-,A1,1,37
42.3004988662,0.608775510204,3,1,20,3,'3/4',Bb-,A1,1,50
42.9092743764,0.606303854875,3,1,21,1,'3/4',Bb-,A1,1,37
43.5155782313,0.599637188209,3,1,21,2,'3/4',Bb-,A1,1,43
44.1152154195,0.61843537415,3,1,21,3,'3/4',Bb-,A1,1,50
44.7336507937,0.635827664399,3,1,22,1,'3/4',Bb-,A1,1,37
45.369478458,0.658276643991,3,1,22,2,'3/4',Bb-,A1,1,43
46.027755102,0.632517006803,3,1,22,3,'3/4',Bb-,A1,1,35
46.6602721088,0.617210884354,3,1,23,1,'3/4',Bb-,A1,1,53
47.2774829932,0.626054421769,3,1,23,2,'3/4',Bb-,A1,1,43
47.903537415,0.618503401361,3,1,23,3,'3/4',Bb-,A1,1,50
48.5220408163,0.598616780045,3,1,24,1,'3/4',Bb-,A1,1,37
49.1206575964,0.609659863946,3,1,24,2,'3/4',Bb-,A1,1,37
49.7303174603,0.62589569161,3,1,24,3,'3/4',Bb-,A1,1,51
50.3562131519,0.654149659864,3,1,25,1,'3/4',Bb-,A1,1,37
51.0103628118,0.626893424036,3,1,25,2,'3/4',Bb-,A1,1,40
51.6372562358,0.598866213152,3,1,25,3,'3/4',Bb-,A1,1,51
52.236122449,0.59873015873,3,1,26,1,'3/4',Bb-,A1,1,53
52.8348526077,0.654263038549,3,1,26,2,'3/4',Bb-,A1,1,37
53.4891156463,0.59873015873,3,1,26,3,'3/4',Bb-,A1,1,40
54.087845805,0.646598639456,3,1,27,1,'3/4',Bb-,A1,1,53
54.7344444444,0.635646258503,3,1,27,2,'3/4',Bb-,A1,1,43
55.3700907029,0.607482993197,3,1,27,3,'3/4',Bb-,A1,1,51
55.9775736961,0.646530612245,3,1,28,1,'3/4',Bb-,A1,1,53
56.6241043084,0.608594104308,3,1,28,2,'3/4',Bb-,A1,1,37
57.2326984127,0.635873015873,3,1,28,3,'3/4',Bb-,A1,1,51
57.8685714286,0.634535147392,3,1,29,1,'3/4',Bb-,A1,1,53
58.503106576,0.646485260771,3,1,29,2,'3/4',Bb-,A1,1,37
59.1495918367,0.654195011338,3,1,29,3,'3/4',Bb-,A1,1,51
59.8037868481,0.626802721088,3,1,30,1,'3/4',Bb-,A1,1,53
60.4305895692,0.663922902494,3,1,30,2,'3/4',Bb-,A1,1,37
61.0945124717,0.616258503401,3,1,30,3,'3/4',Bb-,A1,1,51
61.7107709751,0.618480725624,3,1,31,1,'3/4',Bb-,A1,1,53
62.3292517007,0.598684807256,3,1,31,2,'3/4',Bb-,A1,1,37
62.9279365079,0.646462585034,3,1,31,3,'3/4',Bb-,A1,1,51
63.574399093,0.617120181406,3,1,32,1,'3/4',Bb-,A1,1,53
64.1915192744,0.608752834467,3,1,32,2,'3/4',Bb-,A1,1,43
64.8002721088,0.644195011338,3,1,32,3,'3/4',Bb-,A1,1,51
65.4444671202,0.626099773243,3,1,33,1,'3/4',Bb-,A1,1,53
66.0705668934,0.619365079365,3,1,33,2,'3/4',Bb-,A1,1,43
66.6899319728,0.654081632653,3,1,33,3,'3/4',Bb-,A1,1,39
67.3440136054,0.65410430839,3,1,34,1,'3/4',Bb-,A1,1,53
67.9981179138,0.608798185941,3,1,34,2,'3/4',Bb-,A1,1,40
68.6069160998,0.635714285714,3,1,34,3,'3/4',Bb-,A1,1,51
69.2426303855,0.654217687075,3,1,35,1,'3/4',Bb-,A1,1,53
69.8968480726,0.626802721088,3,1,35,2,'3/4',Bb-,A1,1,43
70.5236507937,0.588911564626,3,1,35,3,'3/4',Bb-,A1,1,51
71.1125623583,0.61843537415,3,1,36,1,'3/4',Bb-,A1,1,53
71.7309977324,0.617052154195,3,1,36,2,'3/4',Bb-,A1,1,43
72.3480498866,0.646439909297,3,1,36,3,'3/4',Bb-,A1,1,39
72.9944897959,0.626077097506,3,1,37,1,'3/4',Bb-,A1,1,53
73.6205668934,0.61716553288,3,1,37,2,'3/4',Bb-,A1,1,43
74.2377324263,0.628185941043,3,1,37,3,'3/4',Bb-,A1,1,51
74.8659183673,0.588979591837,3,1,38,1,'3/4',Bb-,A1,1,53
75.4548979592,0.626893424036,3,1,38,2,'3/4',Bb-,A1,1,37
76.0817913832,0.608662131519,3,1,38,3,'3/4',Bb-,A1,1,51
76.6904535147,0.635873015873,3,1,39,1,'3/4',Bb-,A1,1,43
77.3263265306,0.644240362812,3,1,39,2,'3/4',Bb-,A1,1,43
77.9705668934,0.619433106576,3,1,39,3,'3/4',Bb-,A1,1,39
78.59,0.616167800454,3,1,40,1,'3/4',Bb-,A1,1,37
79.2061678005,0.636734693878,3,1,40,2,'3/4',Bb-,A1,1,53
79.8429024943,0.626031746032,3,1,40,3,'3/4',Bb-,A1,1,39
80.4689342404,0.626870748299,3,1,41,1,'3/4',Bb-,A1,1,53
81.0958049887,0.598843537415,3,1,41,2,'3/4',Bb-,A1,1,43
81.6946485261,0.646485260771,3,1,41,3,'3/4',Bb-,A1,1,39
82.3411337868,0.625918367347,3,1,42,1,'3/4',Bb-,A1,1,37
82.9670521542,0.60873015873,3,1,42,2,'3/4',Bb-,A1,1,37
83.5757823129,0.626870748299,3,1,42,3,'3/4',Bb-,A1,1,39
84.2026530612,0.627074829932,3,1,43,1,'3/4',Bb-,A1,1,53
84.8297278912,0.625918367347,3,1,43,2,'3/4',Bb-,A1,1,43
85.4556462585,0.636825396825,3,1,43,3,'3/4',Bb-,A1,1,39
86.0924716553,0.625986394558,3,1,44,1,'3/4',Bb-,A1,1,37
86.7184580499,0.626734693878,3,1,44,2,'3/4',Bb-,A1,1,37
87.3451927438,0.635782312925,3,1,44,3,'3/4',Bb-,A1,1,51
87.9809750567,0.616916099773,3,1,45,1,'3/4',Bb-,A1,1,53
88.5978911565,0.608684807256,3,1,45,2,'3/4',Bb-,A1,1,37
89.2065759637,0.654149659864,3,1,45,3,'3/4',Bb-,A1,1,51
89.8607256236,0.619455782313,3,1,46,1,'3/4',Bb-,A1,1,53
90.4801814059,0.625873015873,3,1,46,2,'3/4',Bb-,A1,1,37
91.1060544218,0.617029478458,3,1,46,3,'3/4',Bb-,A1,1,39
91.7230839002,0.636712018141,3,1,47,1,'3/4',Bb-,A1,1,37
92.3597959184,0.608503401361,3,1,47,2,'3/4',Bb-,A1,1,43
92.9682993197,0.616349206349,3,1,47,3,'3/4',Bb-,A1,1,35
93.5846485261,0.636507936508,3,1,48,1,'3/4',Bb-,A1,1,43
94.2211564626,0.618526077098,3,1,48,2,'3/4',Bb-,A1,1,43
94.8396825397,0.607324263039,3,1,48,3,'3/4',Bb-,A1,1,43
95.4470068027,0.655419501134,3,1,49,1,'3/4',Bb-,A1,1,53
96.1024263039,0.617142857143,3,1,49,2,'3/4',Bb-,A1,1,43
96.719569161,0.561632653061,3,1,49,3,'3/4',Bb-,A1,1,43
97.2812018141,0.625736961451,3,1,50,1,'3/4',Bb-,A1,1,43
97.9069387755,0.629274376417,3,1,50,2,'3/4',Bb-,A1,1,43
98.5362131519,0.606371882086,3,1,50,3,'3/4',Bb-,A1,1,43
99.142585034,0.618458049887,3,1,51,1,'3/4',Bb-,A1,1,43
99.7610430839,0.609614512472,3,1,51,2,'3/4',Bb-,A1,1,43
100.370657596,0.606235827664,3,1,51,3,'3/4',Bb-,A1,1,43
100.976893424,0.608775510204,3,1,52,1,'3/4',Bb-,A1,1,43
101.585668934,0.605351473923,3,1,52,2,'3/4',Bb-,A1,1,37
102.191020408,0.649727891156,3,1,52,3,'3/4',Bb-,A1,1,43
102.840748299,0.589070294785,3,1,53,1,'3/4',Bb-,A1,1,53
103.429818594,0.636734693878,3,1,53,2,'3/4',Bb-,A1,1,37
104.066553288,0.625941043084,3,1,53,3,'3/4',Bb-,A1,1,51
104.692494331,0.598820861678,3,1,54,1,'3/4',Bb-,A1,1,37
105.291315193,0.617188208617,3,1,54,2,'3/4',Bb-,A1,1,37
105.908503401,0.628231292517,3,1,54,3,'3/4',Bb-,A1,1,51
106.536734694,0.61716553288,3,1,55,1,'3/4',Bb-,A1,1,53
107.153900227,0.598888888889,3,1,55,2,'3/4',Bb-,A1,1,37
107.752789116,0.627006802721,3,1,55,3,'3/4',Bb-,A1,1,39
108.379795918,0.590090702948,3,1,56,1,'3/4',Bb-,A1,1,53
108.969886621,0.617188208617,3,1,56,2,'3/4',Bb-,A1,1,43
109.58707483,0.608616780045,3,1,56,3,'3/4',Bb-,A1,1,51
110.19569161,0.617256235828,3,1,57,1,'3/4',Bb-,A1,1,53
110.812947846,0.63589569161,3,1,57,2,'3/4',Bb-,A1,1,43
111.448843537,0.646485260771,3,1,57,3,'3/4',Bb-,A1,1,40
112.095328798,0.570476190476,3,1,58,1,'3/4',Bb-,A1,1,37
112.665804989,0.599977324263,3,1,58,2,'3/4',Bb-,A1,1,43
113.265782313,0.608571428571,3,1,58,3,'3/4',Bb-,A1,1,39
113.874353741,0.626054421769,3,1,59,1,'3/4',Bb-,A1,1,53
114.500408163,0.588866213152,3,1,59,2,'3/4',Bb-,A1,1,37
115.089274376,0.619342403628,3,1,59,3,'3/4',Bb-,A1,1,39
115.70861678,0.60664399093,3,1,60,1,'3/4',Bb-,A1,1,42
116.315260771,0.571609977324,3,1,60,2,'3/4',Bb-,A1,1,37
116.886870748,0.635623582766,3,1,60,3,'3/4',Bb-,A1,1,51
117.522494331,0.655170068027,3,1,61,1,'3/4',Bb-,A1,1,53
118.177664399,0.60843537415,3,1,61,2,'3/4',Bb-,A1,1,43
118.786099773,0.626077097506,3,1,61,3,'3/4',Bb-,A1,1,39
119.412176871,0.608684807256,3,1,62,1,'3/4',Bb-,A1,1,53
120.020861678,0.609591836735,3,1,62,2,'3/4',Bb-,A1,1,43
120.630453515,0.625918367347,3,1,62,3,'3/4',Bb-,A1,1,51
121.256371882,0.589138321995,3,1,63,1,'3/4',Bb-,A1,1,53
121.845510204,0.591156462585,3,1,63,2,'3/4',Bb-,A1,1,43
122.436666667,0.617233560091,3,1,63,3,'3/4',Bb-,A1,1,39
123.053900227,0.598684807256,3,1,64,1,'3/4',Bb-,A1,1,42
123.652585034,0.635986394558,3,1,64,2,'3/4',Bb-,A1,1,43
124.288571429,0.608548752834,3,1,64,3,'3/4',Bb-,A1,1,37
124.897120181,0.581315192744,3,1,65,1,'3/4',Bb-,A1,1,53
125.478435374,0.644444444444,3,1,65,2,'3/4',Bb-,A1,1,43
126.122879819,0.598866213152,3,1,65,3,'3/4',Bb-,A1,1,39
126.721746032,0.581315192744,3,1,66,1,'3/4',Bb-,A1,1,42
127.303061224,0.617052154195,3,1,66,2,'3/4',Bb-,A1,1,37
127.920113379,0.57306122449,3,1,66,3,'3/4',Bb-,A1,1,51
128.493174603,0.626984126984,3,1,67,1,'3/4',Bb-,A1,1,53
129.12015873,0.579160997732,3,1,67,2,'3/4',Bb-,A1,1,37
129.699319728,0.59873015873,3,1,67,3,'3/4',Bb-,A1,1,51
130.298049887,0.628367346939,3,1,68,1,'3/4',Bb-,A1,1,37
130.926417234,0.589024943311,3,1,68,2,'3/4',Bb-,A1,1,37
131.515442177,0.627029478458,3,1,68,3,'3/4',Bb-,A1,1,51
132.142471655,0.590113378685,3,1,69,1,'3/4',Bb-,A1,1,43
132.732585034,0.617097505669,3,1,69,2,'3/4',Bb-,A1,1,37
133.34968254,0.589138321995,3,1,69,3,'3/4',Bb-,A1,1,35
133.938820862,0.591156462585,3,1,70,1,'3/4',Bb-,A1,1,42
134.529977324,0.589138321995,3,1,70,2,'3/4',Bb-,A1,1,37
135.119115646,0.618571428571,3,1,70,3,'3/4',Bb-,A1,1,51
135.737687075,0.608548752834,3,1,71,1,'3/4',Bb-,A1,1,43
136.346235828,0.571473922902,3,1,71,2,'3/4',Bb-,A1,1,43
