onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
9.76947845805,0.469455782313,4,1,1,1,'4/4',D-6,A1,1,38
10.2389342404,0.452675736961,4,1,1,2,'4/4',D-6,A1,1,41
10.6916099773,0.441587301587,4,1,1,3,'4/4',D-6,A1,1,45
11.1331972789,0.443514739229,4,1,1,4,'4/4',D-6,A1,1,50
11.5767120181,0.44156462585,4,1,2,1,'4/4',Em7b5,A1,1,40
12.018276644,0.44283446712,4,1,2,2,'4/4',Em7b5,A1,1,46
12.4611111111,0.433922902494,4,1,2,3,'4/4',A79b,A1,1,38
12.8950340136,0.423151927438,4,1,2,4,'4/4',A79b,A1,1,40
13.318185941,0.42410430839,4,1,3,1,'4/4',D-6,A1,1,41
13.7422902494,0.433968253968,4,1,3,2,'4/4',D-6,A1,1,45
14.1762585034,0.450204081633,4,1,3,3,'4/4',D-6,A1,1,47
14.626462585,0.443741496599,4,1,3,4,'4/4',D-6,A1,1,50
15.0702040816,0.451496598639,4,1,4,1,'4/4',Em7b5,A1,1,52
15.5217006803,0.4610430839,4,1,4,2,'4/4',Em7b5,A1,1,53
15.9827437642,0.432743764172,4,1,4,3,'4/4',A79b,A1,1,43
16.4154875283,0.443741496599,4,1,4,4,'4/4',A79b,A1,1,45
16.8592290249,0.451473922902,4,1,5,1,'4/4',D-6,A1,1,52
17.3107029478,0.433832199546,4,1,5,2,'4/4',D-6,A1,1,39
17.7445351474,0.461179138322,4,1,5,3,'4/4',D-6,A1,1,50
18.2057142857,0.430657596372,4,1,5,4,'4/4',D-6,A1,1,48
18.6363718821,0.461201814059,4,1,6,1,'4/4',Am7b5,A1,1,46
19.0975736961,0.461020408163,4,1,6,2,'4/4',Am7b5,A1,1,45
19.5585941043,0.453378684807,4,1,6,3,'4/4',D79b,A1,1,43
20.0119727891,0.441587301587,4,1,6,4,'4/4',D79b,A1,1,42
20.4535600907,0.433628117914,4,1,7,1,'4/4',G-7,A1,1,43
20.8871882086,0.461133786848,4,1,7,2,'4/4',G-7,A1,1,34
21.3483219955,0.451224489796,4,1,7,3,'4/4',G-7,A1,1,33
21.7995464853,0.432993197279,4,1,7,4,'4/4',G-7,A1,1,42
22.2325396825,0.433560090703,4,1,8,1,'4/4',G-7,A1,1,43
22.6660997732,0.433990929705,4,1,8,2,'4/4',G-7,A1,1,33
23.1000907029,0.423219954649,4,1,8,3,'4/4',G-7,A1,1,34
23.5233106576,0.416462585034,4,1,8,4,'4/4',G-7,A1,1,38
23.9397732426,0.413333333333,4,1,9,1,'4/4',B-7,A1,1,44
24.353106576,0.442857142857,4,1,9,2,'4/4',B-7,A1,1,35
24.7959637188,0.432517006803,4,1,9,3,'4/4',E7,A1,1,38
25.2284807256,0.442811791383,4,1,9,4,'4/4',E7,A1,1,41
25.671292517,0.442879818594,4,1,10,1,'4/4',G-7,A1,1,43
26.1141723356,0.469591836735,4,1,10,2,'4/4',G-7,A1,1,45
26.5837641723,0.451383219955,4,1,10,3,'4/4',C7,A1,1,47
27.0351473923,0.442653061224,4,1,10,4,'4/4',C7,A1,1,47
27.4778004535,0.443786848073,4,1,11,1,'4/4',Fj7,A1,1,48
27.9215873016,0.460997732426,4,1,11,2,'4/4',Fj7,A1,1,40
28.382585034,0.441632653061,4,1,11,3,'4/4',Fj7,A1,1,41
28.8242176871,0.451292517007,4,1,11,4,'4/4',Fj7,A1,1,45
29.2755102041,0.442585034014,4,1,12,1,'4/4',Em7b5,A1,1,43
29.7180952381,0.451360544218,4,1,12,2,'4/4',Em7b5,A1,1,42
30.1694557823,0.451224489796,4,1,12,3,'4/4',A7,A1,1,40
30.6206802721,0.426281179138,4,1,12,4,'4/4',A7,A1,1,39
31.0469614512,0.430657596372,4,1,13,1,'4/4',Dj7,A1,1,38
31.4776190476,0.443764172336,4,1,13,2,'4/4',Dj7,A1,1,45
31.92138322,0.443696145125,4,1,13,3,'4/4',Dj7,A1,1,42
32.3650793651,0.451247165533,4,1,13,4,'4/4',Dj7,A1,1,43
32.8163265306,0.441179138322,4,1,14,1,'4/4',Em7b5,A1,1,45
33.2575056689,0.442857142857,4,1,14,2,'4/4',Em7b5,A1,1,47
33.7003628118,0.443650793651,4,1,14,3,'4/4',A7,A1,1,45
34.1440136054,0.441700680272,4,1,14,4,'4/4',A7,A1,1,42
34.5857142857,0.451224489796,4,1,15,1,'4/4',D-6,A2,1,40
35.0369387755,0.442585034014,4,1,15,2,'4/4',D-6,A2,1,43
35.4795238095,0.434058956916,4,1,15,3,'4/4',D-6,A2,1,45
35.9135827664,0.461065759637,4,1,15,4,'4/4',D-6,A2,1,41
36.3746485261,0.441587301587,4,1,16,1,'4/4',Em7b5,A2,1,40
36.8162358277,0.451111111111,4,1,16,2,'4/4',Em7b5,A2,1,34
37.2673469388,0.442902494331,4,1,16,3,'4/4',A79b,A2,1,33
37.7102494331,0.443560090703,4,1,16,4,'4/4',A79b,A2,1,43
38.1538095238,0.451519274376,4,1,17,1,'4/4',D-6,A2,1,41
38.6053287982,0.441519274376,4,1,17,2,'4/4',D-6,A2,1,45
39.0468480726,0.432879818594,4,1,17,3,'4/4',D-6,A2,1,38
39.4797278912,0.44358276644,4,1,17,4,'4/4',D-6,A2,1,41
39.9233106576,0.451383219955,4,1,18,1,'4/4',Em7b5,A2,1,40
40.3746938776,0.45126984127,4,1,18,2,'4/4',Em7b5,A2,1,43
40.8259637188,0.44283446712,4,1,18,3,'4/4',A79b,A2,1,47
41.2687981859,0.423968253968,4,1,18,4,'4/4',A79b,A2,1,46
41.6927664399,0.442857142857,4,1,19,1,'4/4',D-6,A2,1,45
42.1356235828,0.451405895692,4,1,19,2,'4/4',D-6,A2,1,43
