onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.34609977324,0.338571428571,4,1,-3,3,'4/4',NC,I1,0,36
4.68467120181,0.362199546485,4,1,-3,4,'4/4',NC,I1,0,37
5.0468707483,0.331995464853,4,1,-2,1,'4/4',NC,I1,0,38
5.37886621315,0.35798185941,4,1,-2,2,'4/4',NC,I1,0,42
5.73684807256,0.367823129252,4,1,-2,3,'4/4',NC,I1,0,45
6.10467120181,0.376598639456,4,1,-2,4,'4/4',NC,I1,0,38
6.48126984127,0.367823129252,4,1,-1,1,'4/4',NC,I1,0,43
6.84909297052,0.332925170068,4,1,-1,2,'4/4',NC,I1,0,43
7.18201814059,0.37664399093,4,1,-1,3,'4/4',NC,I1,0,42
7.55866213152,0.348072562358,4,1,-1,4,'4/4',NC,I1,0,36
7.90673469388,0.341723356009,4,1,0,1,'4/4',NC,I1,0,43
8.24845804989,0.358185941043,4,1,0,2,'4/4',NC,I1,0,43
8.60664399093,0.332947845805,4,1,0,3,'4/4',NC,I1,0,39
8.93959183673,0.34716553288,4,1,0,4,'4/4',NC,I1,0,34
9.28675736961,0.378548752834,4,1,1,1,'4/4',A-7,A1,1,40
9.66530612245,0.366802721088,4,1,1,2,'4/4',A-7,A1,1,33
10.0321088435,0.367777777778,4,1,1,3,'4/4',A-7,A1,1,43
10.3998866213,0.341950113379,4,1,1,4,'4/4',A-7,A1,1,45
10.7418367347,0.357777777778,4,1,2,1,'4/4',D-7,A1,1,40
11.0996145125,0.341882086168,4,1,2,2,'4/4',D-7,A1,1,43
11.4414965986,0.342585034014,4,1,2,3,'4/4',D-7,A1,1,45
11.7840816327,0.34820861678,4,1,2,4,'4/4',D-7,A1,1,42
12.1322902494,0.386439909297,4,1,3,1,'4/4',A-7,A1,1,36
12.5187301587,0.36768707483,4,1,3,2,'4/4',A-7,A1,1,35
12.8864172336,0.377800453515,4,1,3,3,'4/4',A-7,A1,1,36
13.2642176871,0.347120181406,4,1,3,4,'4/4',A-7,A1,1,40
13.6113378685,0.352358276644,4,1,4,1,'4/4',D7,A1,1,38
13.9636961451,0.358163265306,4,1,4,2,'4/4',D7,A1,1,40
14.3218594104,0.357029478458,4,1,4,3,'4/4',D7,A1,1,41
14.6788888889,0.366009070295,4,1,4,4,'4/4',D7,A1,1,42
15.0448979592,0.379342403628,4,1,5,1,'4/4',Gj7,A1,1,43
15.4242403628,0.360975056689,4,1,5,2,'4/4',Gj7,A1,1,45
15.7852154195,0.345396825397,4,1,5,3,'4/4',Gj7,A1,1,46
16.1306122449,0.335986394558,4,1,5,4,'4/4',Gj7,A1,1,47
16.4665986395,0.376689342404,4,1,6,1,'4/4',C79,A1,1,48
16.8432879819,0.383151927438,4,1,6,2,'4/4',C79,A1,1,47
17.2264399093,0.342653061224,4,1,6,3,'4/4',C79,A1,1,48
17.5690929705,0.356984126984,4,1,6,4,'4/4',C79,A1,1,49
17.9260770975,0.362290249433,4,1,7,1,'4/4',B-7,A1,1,50
18.2883673469,0.373265306122,4,1,7,2,'4/4',B-7,A1,1,48
18.6616326531,0.35156462585,4,1,7,3,'4/4',B-7,A1,1,43
19.0131972789,0.367732426304,4,1,7,4,'4/4',B-7,A1,1,45
19.3809297052,0.348163265306,4,1,8,1,'4/4',E79b,A1,1,47
19.7290929705,0.371179138322,4,1,8,2,'4/4',E79b,A1,1,41
20.1002721088,0.3579138322,4,1,8,3,'4/4',E79b,A1,1,40
20.458185941,0.338526077098,4,1,8,4,'4/4',E79b,A1,1,34
20.7967120181,0.376575963719,4,1,9,1,'4/4',A-7,A1,1,45
21.1732879819,0.362290249433,4,1,9,2,'4/4',A-7,A1,1,40
21.5355782313,0.338253968254,4,1,9,3,'4/4',A-7,A1,1,36
21.8738321995,0.367823129252,4,1,9,4,'4/4',A-7,A1,1,45
22.2416553288,0.341768707483,4,1,10,1,'4/4',D79,A1,1,38
22.5834240363,0.36768707483,4,1,10,2,'4/4',D79,A1,1,40
22.9511111111,0.377573696145,4,1,10,3,'4/4',D79,A1,1,42
23.3286848073,0.376757369615,4,1,10,4,'4/4',D79,A1,1,38
23.7054421769,0.367732426304,4,1,11,1,'4/4',Gj7,A1,1,35
24.0731746032,0.357891156463,4,1,11,2,'4/4',Gj7,A1,1,43
24.4310657596,0.351587301587,4,1,11,3,'4/4',Gj7,A1,1,33
24.7826530612,0.367641723356,4,1,11,4,'4/4',Gj7,A1,1,42
25.1502947846,0.367823129252,4,1,12,1,'4/4',B-7,A1,1,43
25.5181179138,0.366757369615,4,1,12,2,'4/4',B-7,A1,1,45
25.8848752834,0.36798185941,4,1,12,3,'4/4',E7,A1,1,35
26.2528571429,0.332902494331,4,1,12,4,'4/4',E7,A1,1,40
26.5857596372,0.369342403628,4,1,13,1,'4/4',A-7,A1,1,45
26.9551020408,0.359183673469,4,1,13,2,'4/4',A-7,A1,1,35
27.3142857143,0.334693877551,4,1,13,3,'4/4',A-7,A1,1,36
27.6489795918,0.363265306122,4,1,13,4,'4/4',A-7,A1,1,40
28.012244898,0.359183673469,4,1,14,1,'4/4',D7,A1,1,47
28.3714285714,0.363265306122,4,1,14,2,'4/4',D7,A1,1,46
28.7346938776,0.359183673469,4,1,14,3,'4/4',D7,A1,1,45
29.093877551,0.379591836735,4,1,14,4,'4/4',D7,A1,1,44
29.4734693878,0.359183673469,4,1,15,1,'4/4',B-7,A1,1,43
29.8326530612,0.367074829932,4,1,15,2,'4/4',B-7,A1,1,40
30.1997278912,0.375782312925,4,1,15,3,'4/4',B-7,A1,1,38
30.5755102041,0.355102040816,4,1,15,4,'4/4',B-7,A1,1,36
30.9306122449,0.361179138322,4,1,16,1,'4/4',B-7,A1,1,35
31.2917913832,0.343945578231,4,1,16,2,'4/4',B-7,A1,1,45
31.6357369615,0.356099773243,4,1,16,3,'4/4',E79b,A1,1,43
31.9918367347,0.359183673469,4,1,16,4,'4/4',E79b,A1,1,40
32.3510204082,0.375510204082,4,1,17,1,'4/4',A-7,A2,1,42
32.7265306122,0.355102040816,4,1,17,2,'4/4',A-7,A2,1,44
33.0816326531,0.359183673469,4,1,17,3,'4/4',A-7,A2,1,45
33.4408163265,0.373990929705,4,1,17,4,'4/4',A-7,A2,1,35
33.8148072562,0.357891156463,4,1,18,1,'4/4',D-7,A2,1,36
34.1726984127,0.341859410431,4,1,18,2,'4/4',D-7,A2,1,38
34.5145578231,0.352426303855,4,1,18,3,'4/4',D-7,A2,1,40
34.866984127,0.347142857143,4,1,18,4,'4/4',D-7,A2,1,41
35.2141269841,0.358117913832,4,1,19,1,'4/4',A-7,A2,1,42
35.572244898,0.367641723356,4,1,19,2,'4/4',A-7,A2,1,44
35.9398866213,0.341882086168,4,1,19,3,'4/4',A-7,A2,1,45
36.2817687075,0.377664399093,4,1,19,4,'4/4',A-7,A2,1,47
36.6594331066,0.357777777778,4,1,20,1,'4/4',D7,A2,1,48
37.0172108844,0.387505668934,4,1,20,2,'4/4',D7,A2,1,47
37.4047165533,0.34179138322,4,1,20,3,'4/4',D7,A2,1,45
37.7465079365,0.367664399093,4,1,20,4,'4/4',D7,A2,1,44
38.1141723356,0.357029478458,4,1,21,1,'4/4',Gj7,A2,1,43
38.4712018141,0.387392290249,4,1,21,2,'4/4',Gj7,A2,1,40
38.8585941043,0.348072562358,4,1,21,3,'4/4',Gj7,A2,1,38
39.2066666667,0.377777777778,4,1,21,4,'4/4',Gj7,A2,1,35
39.5844444444,0.331927437642,4,1,22,1,'4/4',C79,A2,1,36
39.9163718821,0.367619047619,4,1,22,2,'4/4',C79,A2,1,45
40.2839909297,0.377641723356,4,1,22,3,'4/4',C79,A2,1,40
40.6616326531,0.357142857143,4,1,22,4,'4/4',C79,A2,1,39
41.0187755102,0.352448979592,4,1,23,1,'4/4',B-7,A2,1,38
41.3712244898,0.35693877551,4,1,23,2,'4/4',B-7,A2,1,36
41.7281632653,0.358095238095,4,1,23,3,'4/4',B-7,A2,1,35
42.0862585034,0.352494331066,4,1,23,4,'4/4',B-7,A2,1,45
42.4387528345,0.357074829932,4,1,24,1,'4/4',E79b,A2,1,35
42.7958276644,0.367777777778,4,1,24,2,'4/4',E79b,A2,1,39
43.1636054422,0.357959183673,4,1,24,3,'4/4',E79b,A2,1,40
43.5215646259,0.377664399093,4,1,24,4,'4/4',E79b,A2,1,44
43.8992290249,0.341768707483,4,1,25,1,'4/4',A-7,A2,1,45
44.2409977324,0.357823129252,4,1,25,2,'4/4',A-7,A2,1,36
44.5988208617,0.357006802721,4,1,25,3,'4/4',A-7,A2,1,35
44.9558276644,0.352517006803,4,1,25,4,'4/4',A-7,A2,1,36
45.3083446712,0.348253968254,4,1,26,1,'4/4',C-7,A2,1,38
45.6565986395,0.341927437642,4,1,26,2,'4/4',C-7,A2,1,42
45.9985260771,0.342630385488,4,1,26,3,'4/4',F7,A2,1,45
46.3411564626,0.364965986395,4,1,26,4,'4/4',F7,A2,1,45
46.706122449,0.359909297052,4,1,27,1,'4/4',Gj7,A2,1,43
47.066031746,0.367641723356,4,1,27,2,'4/4',Gj7,A2,1,38
47.4336734694,0.35589569161,4,1,27,3,'4/4',Gj7,A2,1,36
47.789569161,0.363673469388,4,1,27,4,'4/4',Gj7,A2,1,35
