onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
5.90004535147,0.457392290249,4,1,1,1,'4/4',Ebj7,A1,1,39
6.35743764172,0.456054421769,4,1,1,2,'4/4',Ebj7,A1,1,43
6.81349206349,0.447188208617,4,1,1,3,'4/4',Ebj7,A1,1,46
7.26068027211,0.496145124717,4,1,1,4,'4/4',Ebj7,A1,1,48
7.75682539683,0.466734693878,4,1,2,1,'4/4',F-7,A1,1,53
8.2235600907,0.462562358277,4,1,2,2,'4/4',F-7,A1,1,43
8.68612244898,0.461179138322,4,1,2,3,'4/4',Bb7,A1,1,44
9.1473015873,0.457006802721,4,1,2,4,'4/4',Bb7,A1,1,44
9.60430839002,0.436462585034,4,1,3,1,'4/4',Ebj7,A1,1,40
10.0407709751,0.466712018141,4,1,3,2,'4/4',Ebj7,A1,1,37
10.5074829932,0.441655328798,4,1,3,3,'4/4',F-7,A1,1,44
10.949138322,0.476757369615,4,1,3,4,'4/4',G-7,A1,1,44
11.4258956916,0.456689342404,4,1,4,1,'4/4',C7,A1,1,43
11.882585034,0.482063492063,4,1,4,2,'4/4',C7,A1,1,47
12.3646485261,0.476530612245,4,1,4,3,'4/4',C7,A1,1,47
12.8411791383,0.456825396825,4,1,4,4,'4/4',C7,A1,1,52
13.2980045351,0.450612244898,4,1,5,1,'4/4',F-7,A1,1,53
13.74861678,0.473106575964,4,1,5,2,'4/4',F-7,A1,1,48
14.221723356,0.450634920635,4,1,5,3,'4/4',F-7,A1,1,41
14.6723582766,0.472176870748,4,1,5,4,'4/4',F-7,A1,1,42
15.1445351474,0.441496598639,4,1,6,1,'4/4',Bb7,A1,1,47
15.586031746,0.456893424036,4,1,6,2,'4/4',Bb7,A1,1,42
16.0429251701,0.457097505669,4,1,6,3,'4/4',Bb7,A1,1,40
16.5000226757,0.422131519274,4,1,6,4,'4/4',Bb7,A1,1,39
16.922154195,0.44716553288,4,1,7,1,'4/4',Eb,A1,1,39
17.3693197279,0.431088435374,4,1,7,2,'4/4',Eb,A1,1,43
17.8004081633,0.451451247166,4,1,7,3,'4/4',C7,A1,1,36
18.2518594104,0.466689342404,4,1,7,4,'4/4',C7,A1,1,42
18.7185487528,0.447006802721,4,1,8,1,'4/4',F-7,A1,1,41
19.1655555556,0.431972789116,4,1,8,2,'4/4',F-7,A1,1,41
19.5975283447,0.427551020408,4,1,8,3,'4/4',Bb7,A1,1,40
20.0250793651,0.467052154195,4,1,8,4,'4/4',Bb7,A1,1,39
20.4921315193,0.430793650794,4,1,9,1,'4/4',Ebj7,A2,1,43
20.9229251701,0.466802721088,4,1,9,2,'4/4',Ebj7,A2,1,48
21.3897278912,0.447006802721,4,1,9,3,'4/4',Ebj7,A2,1,47
21.8367346939,0.424489795918,4,1,9,4,'4/4',Ebj7,A2,1,43
22.2612244898,0.43947845805,4,1,10,1,'4/4',F-7,A2,1,44
22.7007029478,0.46664399093,4,1,10,2,'4/4',F-7,A2,1,43
23.1673469388,0.44619047619,4,1,10,3,'4/4',Bb7,A2,1,40
23.613537415,0.476712018141,4,1,10,4,'4/4',Bb7,A2,1,44
24.0902494331,0.43746031746,4,1,11,1,'4/4',Ebj7,A2,1,46
24.5277097506,0.441541950113,4,1,11,2,'4/4',Ebj7,A2,1,37
24.9692517007,0.447301587302,4,1,11,3,'4/4',F-7,A2,1,43
25.416553288,0.441632653061,4,1,11,4,'4/4',G-7,A2,1,40
25.858185941,0.446235827664,4,1,12,1,'4/4',C7,A2,1,40
26.3044217687,0.441836734694,4,1,12,2,'4/4',C7,A2,1,43
26.7462585034,0.4220861678,4,1,12,3,'4/4',C7,A2,1,37
27.1683446712,0.447142857143,4,1,12,4,'4/4',C7,A2,1,48
27.6154875283,0.446961451247,4,1,13,1,'4/4',F-7,A2,1,41
28.0624489796,0.476734693878,4,1,13,2,'4/4',F-7,A2,1,48
28.5391836735,0.441859410431,4,1,13,3,'4/4',F-7,A2,1,41
28.9810430839,0.437006802721,4,1,13,4,'4/4',F-7,A2,1,43
29.4180498866,0.446235827664,4,1,14,1,'4/4',Bb7,A2,1,38
29.8642857143,0.46126984127,4,1,14,2,'4/4',Bb7,A2,1,37
30.3255555556,0.457052154195,4,1,14,3,'4/4',Bb7,A2,1,34
30.7826077098,0.437505668934,4,1,14,4,'4/4',Bb7,A2,1,39
31.2201133787,0.441201814059,4,1,15,1,'4/4',Eb,A2,1,39
31.6613151927,0.447210884354,4,1,15,2,'4/4',Eb,A2,1,43
32.1085260771,0.476485260771,4,1,15,3,'4/4',Eb,A2,1,44
32.5850113379,0.447256235828,4,1,15,4,'4/4',Eb,A2,1,45
33.0322675737,0.440725623583,4,1,16,1,'4/4',Eb,A2,1,46
33.4729931973,0.422199546485,4,1,16,2,'4/4',Eb,A2,1,39
33.8951927438,0.422222222222,4,1,16,3,'4/4',Eb,A2,1,43
34.317414966,0.45693877551,4,1,16,4,'4/4',Eb,A2,1,47
34.7743537415,0.446916099773,4,1,17,1,'4/4',Bb-7,B1,1,45
35.2212698413,0.431836734694,4,1,17,2,'4/4',Bb-7,B1,1,49
35.653106576,0.476780045351,4,1,17,3,'4/4',Bb-7,B1,1,48
36.1298866213,0.456621315193,4,1,17,4,'4/4',Bb-7,B1,1,53
36.5865079365,0.456712018141,4,1,18,1,'4/4',Eb7,B1,1,39
37.0432199546,0.422154195011,4,1,18,2,'4/4',Eb7,B1,1,43
37.4653741497,0.465759637188,4,1,18,3,'4/4',Eb7,B1,1,43
37.9311337868,0.438140589569,4,1,18,4,'4/4',Eb7,B1,1,45
38.3692743764,0.466802721088,4,1,19,1,'4/4',Abj7,B1,1,44
38.8360770975,0.465827664399,4,1,19,2,'4/4',Abj7,B1,1,36
39.3019047619,0.451383219955,4,1,19,3,'4/4',Abj7,B1,1,37
39.7532879819,0.447278911565,4,1,19,4,'4/4',Abj7,B1,1,38
40.2005668934,0.447097505669,4,1,20,1,'4/4',Abj7,B1,1,39
40.6476643991,0.43179138322,4,1,20,2,'4/4',Abj7,B1,1,40
41.0794557823,0.466870748299,4,1,20,3,'4/4',Abj7,B1,1,40
41.5463265306,0.446916099773,4,1,20,4,'4/4',Abj7,B1,1,43
41.9932426304,0.431859410431,4,1,21,1,'4/4',C-7,B1,1,40
42.4251020408,0.440997732426,4,1,21,2,'4/4',C-7,B1,1,45
42.8660997732,0.447052154195,4,1,21,3,'4/4',C-7,B1,1,46
43.3131519274,0.447233560091,4,1,21,4,'4/4',C-7,B1,1,47
43.7603854875,0.476575963719,4,1,22,1,'4/4',F7,B1,1,48
44.2369614512,0.431700680272,4,1,22,2,'4/4',F7,B1,1,37
44.6686621315,0.447414965986,4,1,22,3,'4/4',F7,B1,1,43
45.1160770975,0.45612244898,4,1,22,4,'4/4',F7,B1,1,43
45.5721995465,0.451315192744,4,1,23,1,'4/4',F-7,B1,1,45
