onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.20163265306,0.499229024943,4,1,0,3,'4/4',NC,I,0,47
1.700861678,0.503219954649,4,1,0,4,'4/4',NC,I,0,47
2.20408163265,0.51641723356,4,1,1,1,'4/4',C-,A1,1,36
2.72049886621,0.544807256236,4,1,1,2,'4/4',C-,A1,1,35
3.26530612245,0.539863945578,4,1,1,3,'4/4',Eb7,A1,1,34
3.80517006803,0.542993197279,4,1,1,4,'4/4',Eb7,A1,1,46
4.34816326531,0.522222222222,4,1,2,1,'4/4',Am7b5,A1,1,45
4.87038548753,0.542517006803,4,1,2,2,'4/4',Am7b5,A1,1,45
5.41290249433,0.533854875283,4,1,2,3,'4/4',Ab7,A1,1,44
5.94675736961,0.555396825397,4,1,2,4,'4/4',Ab7,A1,1,44
6.50215419501,0.530589569161,4,1,3,1,'4/4',C-,A1,1,45
7.03274376417,0.513741496599,4,1,3,2,'4/4',C-,A1,1,43
7.54648526077,0.50358276644,4,1,3,3,'4/4',Ab7,A1,1,42
8.05006802721,0.547573696145,4,1,3,4,'4/4',Ab7,A1,1,33
8.59764172336,0.511496598639,4,1,4,1,'4/4',Dm7b5,A1,1,38
9.109138322,0.527142857143,4,1,4,2,'4/4',Dm7b5,A1,1,32
9.63628117914,0.531156462585,4,1,4,3,'4/4',G7,A1,1,31
10.1674376417,0.48380952381,4,1,4,4,'4/4',G7,A1,1,37
10.6512471655,0.536371882086,4,1,5,1,'4/4',C-,A1,1,36
11.1876190476,0.502108843537,4,1,5,2,'4/4',C-,A1,1,35
11.6897278912,0.508027210884,4,1,5,3,'4/4',Eb7,A1,1,34
12.197755102,0.528752834467,4,1,5,4,'4/4',Eb7,A1,1,46
12.7265079365,0.506984126984,4,1,6,1,'4/4',Am7b5,A1,1,45
13.2334920635,0.514195011338,4,1,6,2,'4/4',Am7b5,A1,1,33
13.7476870748,0.51,4,1,6,3,'4/4',Ab7,A1,1,32
14.2576870748,0.539387755102,4,1,6,4,'4/4',Ab7,A1,1,36
14.7970748299,0.511587301587,4,1,7,1,'4/4',Dm7b5,A1,1,38
15.3086621315,0.53,4,1,7,2,'4/4',Dm7b5,A1,1,32
15.8386621315,0.507142857143,4,1,7,3,'4/4',G+7,A1,1,31
16.3458049887,0.485941043084,4,1,7,4,'4/4',G+7,A1,1,37
16.8317460317,0.507505668934,4,1,8,1,'4/4',C-,A1,1,36
17.3392517007,0.509047619048,4,1,8,2,'4/4',C-,A1,1,39
17.8482993197,0.528639455782,4,1,8,3,'4/4',G+79,A1,1,38
18.3769387755,0.526485260771,4,1,8,4,'4/4',G+79,A1,1,43
18.9034240363,0.507029478458,4,1,9,1,'4/4',C-,A2,1,48
19.4104535147,0.549546485261,4,1,9,2,'4/4',C-,A2,1,43
19.96,0.537414965986,4,1,9,3,'4/4',Eb7,A2,1,34
20.497414966,0.522448979592,4,1,9,4,'4/4',Eb7,A2,1,43
21.0198639456,0.502131519274,4,1,10,1,'4/4',Am7b5,A2,1,45
21.5219954649,0.518367346939,4,1,10,2,'4/4',Am7b5,A2,1,33
22.0403628118,0.517437641723,4,1,10,3,'4/4',Ab7,A2,1,32
22.5578004535,0.519637188209,4,1,10,4,'4/4',Ab7,A2,1,32
23.0774376417,0.523696145125,4,1,11,1,'4/4',C-,A2,1,33
23.6011337868,0.554535147392,4,1,11,2,'4/4',C-,A2,1,33
24.1556689342,0.512403628118,4,1,11,3,'4/4',Ab7,A2,1,38
24.6680725624,0.493492063492,4,1,11,4,'4/4',Ab7,A2,1,39
25.1615646259,0.505192743764,4,1,12,1,'4/4',Dm7b5,A2,1,38
25.6667573696,0.547210884354,4,1,12,2,'4/4',Dm7b5,A2,1,39
26.213968254,0.524058956916,4,1,12,3,'4/4',G7,A2,1,45
26.7380272109,0.508344671202,4,1,12,4,'4/4',G7,A2,1,43
27.2463718821,0.518888888889,4,1,13,1,'4/4',C-,A2,1,36
27.765260771,0.539863945578,4,1,13,2,'4/4',C-,A2,1,35
28.3051247166,0.536167800454,4,1,13,3,'4/4',Eb7,A2,1,34
28.841292517,0.511224489796,4,1,13,4,'4/4',Eb7,A2,1,46
29.3525170068,0.493514739229,4,1,14,1,'4/4',Am7b5,A2,1,45
29.846031746,0.498117913832,4,1,14,2,'4/4',Am7b5,A2,1,33
30.3441496599,0.497664399093,4,1,14,3,'4/4',Ab7,A2,1,32
30.841814059,0.514875283447,4,1,14,4,'4/4',Ab7,A2,1,36
31.3566893424,0.503990929705,4,1,15,1,'4/4',Dm7b5,A2,1,38
31.8606802721,0.515510204082,4,1,15,2,'4/4',Dm7b5,A2,1,41
32.3761904762,0.512811791383,4,1,15,3,'4/4',G+7,A2,1,31
32.8890022676,0.505736961451,4,1,15,4,'4/4',G+7,A2,1,35
33.394739229,0.54462585034,4,1,16,1,'4/4',C-,A2,1,36
33.9393650794,0.530408163265,4,1,16,2,'4/4',C-,A2,1,38
34.4697732426,0.544172335601,4,1,16,3,'4/4',C-,A2,1,43
35.0139455782,0.515873015873,4,1,16,4,'4/4',C-,A2,1,39
35.5298185941,0.48433106576,4,1,17,1,'4/4',C-7,B1,1,38
36.0141496599,0.516689342404,4,1,17,2,'4/4',G7,B1,1,43
36.5308390023,0.505306122449,4,1,17,3,'4/4',C-,B1,1,48
37.0361451247,0.518231292517,4,1,17,4,'4/4',C-,B1,1,45
37.5543764172,0.489750566893,4,1,18,1,'4/4',G-7,B1,1,45
38.0441269841,0.556530612245,4,1,18,2,'4/4',D7,B1,1,42
38.6006575964,0.505306122449,4,1,18,3,'4/4',G-7,B1,1,43
39.1059637188,0.491678004535,4,1,18,4,'4/4',G-7,B1,1,45
39.5976417234,0.516462585034,4,1,19,1,'4/4',C-7,B1,1,33
40.1141043084,0.535600907029,4,1,19,2,'4/4',C-7,B1,1,36
40.6497052154,0.489002267574,4,1,19,3,'4/4',Ab7,B1,1,38
41.138707483,0.535306122449,4,1,19,4,'4/4',Ab7,B1,1,39
41.6740136054,0.502131519274,4,1,20,1,'4/4',Dm7b5,B1,1,38
42.1761451247,0.527823129252,4,1,20,2,'4/4',Dm7b5,B1,1,41
42.703968254,0.496916099773,4,1,20,3,'4/4',G7,B1,1,43
43.2008843537,0.481995464853,4,1,20,4,'4/4',G7,B1,1,43
43.6828798186,0.513832199546,4,1,21,1,'4/4',C-7,B1,1,33
44.1967120181,0.516213151927,4,1,21,2,'4/4',G7,B1,1,38
44.7129251701,0.520702947846,4,1,21,3,'4/4',C-,B1,1,36
45.2336281179,0.520385487528,4,1,21,4,'4/4',C-,B1,1,34
45.7540136054,0.547573696145,4,1,22,1,'4/4',G-7,B1,1,33
46.3015873016,0.489841269841,4,1,22,2,'4/4',D7,B1,1,38
46.7914285714,0.506507936508,4,1,22,3,'4/4',G-7,B1,1,31
47.2979365079,0.53201814059,4,1,22,4,'4/4',G-7,B1,1,34
47.8299546485,0.529954648526,4,1,23,1,'4/4',Dm7b5,B1,1,38
48.3599092971,0.510340136054,4,1,23,2,'4/4',Dm7b5,B1,1,36
48.8702494331,0.511337868481,4,1,23,3,'4/4',G79,B1,1,35
49.3815873016,0.523900226757,4,1,23,4,'4/4',G79,B1,1,31
49.9054875283,0.49052154195,4,1,24,1,'4/4',C-,B1,1,36
50.3960090703,0.510839002268,4,1,24,2,'4/4',C-,B1,1,39
50.9068480726,0.505034013605,4,1,24,3,'4/4',G79,B1,1,38
51.4118820862,0.513741496599,4,1,24,4,'4/4',G79,B1,1,43
51.9256235828,0.493854875283,4,1,25,1,'4/4',C-,A1,2,48
52.419478458,0.524217687075,4,1,25,2,'4/4',C-,A1,2,47
52.9436961451,0.481292517007,4,1,25,3,'4/4',Eb7,A1,2,45
53.4249886621,0.525600907029,4,1,25,4,'4/4',Eb7,A1,2,44
53.9505895692,0.543786848073,4,1,26,1,'4/4',Am7b5,A1,2,45
54.4943764172,0.538571428571,4,1,26,2,'4/4',Am7b5,A1,2,33
55.0329478458,0.510340136054,4,1,26,3,'4/4',Ab7,A1,2,44
55.5432879819,0.505306122449,4,1,26,4,'4/4',Ab7,A1,2,46
56.0485941043,0.484467120181,4,1,27,1,'4/4',C-,A1,2,45
56.5330612245,0.535804988662,4,1,27,2,'4/4',C-,A1,2,43
57.0688662132,0.484875283447,4,1,27,3,'4/4',Ab7,A1,2,42
57.5537414966,0.541814058957,4,1,27,4,'4/4',Ab7,A1,2,33
58.0955555556,0.523741496599,4,1,28,1,'4/4',Dm7b5,A1,2,38
58.6192970522,0.527392290249,4,1,28,2,'4/4',Dm7b5,A1,2,36
59.1466893424,0.502358276644,4,1,28,3,'4/4',G7,A1,2,35
59.649047619,0.513696145125,4,1,28,4,'4/4',G7,A1,2,31
60.1627437642,0.523287981859,4,1,29,1,'4/4',C-,A1,2,36
60.686031746,0.498412698413,4,1,29,2,'4/4',C-,A1,2,35
61.1844444444,0.495419501134,4,1,29,3,'4/4',Eb7,A1,2,34
61.6798639456,0.498231292517,4,1,29,4,'4/4',Eb7,A1,2,32
62.1780952381,0.493968253968,4,1,30,1,'4/4',Am7b5,A1,2,33
62.6720634921,0.533718820862,4,1,30,2,'4/4',Am7b5,A1,2,31
63.2057823129,0.523310657596,4,1,30,3,'4/4',Ab7,A1,2,32
63.7290929705,0.511292517007,4,1,30,4,'4/4',Ab7,A1,2,36
64.2403854875,0.50074829932,4,1,31,1,'4/4',Dm7b5,A1,2,38
64.7411337868,0.49514739229,4,1,31,2,'4/4',Dm7b5,A1,2,44
65.2362811791,0.489954648526,4,1,31,3,'4/4',G+7,A1,2,43
65.7262358277,0.502176870748,4,1,31,4,'4/4',G+7,A1,2,35
66.2284126984,0.532653061224,4,1,32,1,'4/4',C-,A1,2,36
66.7610657596,0.50052154195,4,1,32,2,'4/4',C-,A1,2,39
67.2615873016,0.514308390023,4,1,32,3,'4/4',G79,A1,2,38
67.7758956916,0.516235827664,4,1,32,4,'4/4',G79,A1,2,43
68.2921315193,0.507369614512,4,1,33,1,'4/4',C-,A2,2,39
68.7995011338,0.543038548753,4,1,33,2,'4/4',C-,A2,2,38
69.3425396825,0.533469387755,4,1,33,3,'4/4',Eb7,A2,2,38
69.8760090703,0.554263038549,4,1,33,4,'4/4',Eb7,A2,2,39
70.4302721088,0.532698412698,4,1,34,1,'4/4',Am7b5,A2,2,45
70.9629705215,0.488095238095,4,1,34,2,'4/4',Am7b5,A2,2,45
71.4510657596,0.52537414966,4,1,34,3,'4/4',Ab7,A2,2,44
71.9764399093,0.48433106576,4,1,34,4,'4/4',Ab7,A2,2,44
72.4607709751,0.51664399093,4,1,35,1,'4/4',C-,A2,2,45
72.977414966,0.510839002268,4,1,35,2,'4/4',C-,A2,2,43
73.4882539683,0.51231292517,4,1,35,3,'4/4',Ab7,A2,2,42
74.0005668934,0.541088435374,4,1,35,4,'4/4',Ab7,A2,2,38
74.5416553288,0.503015873016,4,1,36,1,'4/4',Dm7b5,A2,2,38
75.0446712018,0.493650793651,4,1,36,2,'4/4',Dm7b5,A2,2,44
75.5383219955,0.507188208617,4,1,36,3,'4/4',G7,A2,2,43
76.0455102041,0.495487528345,4,1,36,4,'4/4',G7,A2,2,47
76.5409977324,0.52947845805,4,1,37,1,'4/4',C-,A2,2,48
77.0704761905,0.533287981859,4,1,37,2,'4/4',C-,A2,2,43
77.6037641723,0.535578231293,4,1,37,3,'4/4',Eb7,A2,2,34
78.1393424036,0.534489795918,4,1,37,4,'4/4',Eb7,A2,2,46
78.6738321995,0.529138321995,4,1,38,1,'4/4',Am7b5,A2,2,45
79.2029705215,0.502448979592,4,1,38,2,'4/4',Am7b5,A2,2,33
79.7054195011,0.469659863946,4,1,38,3,'4/4',Ab7,A2,2,44
80.1750793651,0.507437641723,4,1,38,4,'4/4',Ab7,A2,2,39
80.6825170068,0.493718820862,4,1,39,1,'4/4',Dm7b5,A2,2,38
81.1762358277,0.539229024943,4,1,39,2,'4/4',Dm7b5,A2,2,41
81.7154648526,0.503401360544,4,1,39,3,'4/4',G+7,A2,2,31
82.2188662132,0.53052154195,4,1,39,4,'4/4',G+7,A2,2,35
82.7493877551,0.533786848073,4,1,40,1,'4/4',C-,A2,2,36
83.2831746032,0.507369614512,4,1,40,2,'4/4',C-,A2,2,39
83.7905442177,0.521111111111,4,1,40,3,'4/4',C-,A2,2,38
84.3116553288,0.502630385488,4,1,40,4,'4/4',C-,A2,2,43
84.8142857143,0.527392290249,4,1,41,1,'4/4',C-7,B1,2,36
85.3416780045,0.528072562358,4,1,41,2,'4/4',G7,B1,2,35
85.8697505669,0.508480725624,4,1,41,3,'4/4',C-,B1,2,34
86.3782312925,0.513741496599,4,1,41,4,'4/4',C-,B1,2,46
86.8919727891,0.513741496599,4,1,42,1,'4/4',G-7,B1,2,45
87.4057142857,0.521632653061,4,1,42,2,'4/4',D7,B1,2,33
87.9273469388,0.513287981859,4,1,42,3,'4/4',G-7,B1,2,32
88.4406349206,0.501836734694,4,1,42,4,'4/4',G-7,B1,2,36
88.9424716553,0.538911564626,4,1,43,1,'4/4',C-7,B1,2,33
89.48138322,0.511768707483,4,1,43,2,'4/4',C-7,B1,2,39
