onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.24528344671,0.302925170068,4,1,0,1,'4/4',NC,I1,0,40
4.54820861678,0.31201814059,4,1,0,2,'4/4',NC,I1,0,36
4.86022675737,0.277188208617,4,1,0,3,'4/4',NC,I1,0,38
5.13741496599,0.2810430839,4,1,0,4,'4/4',NC,I1,0,40
5.41845804989,0.31977324263,4,1,1,1,'4/4',F7,A1,1,40
5.73823129252,0.286848072562,4,1,1,2,'4/4',F7,A1,1,40
6.02507936508,0.315419501134,4,1,1,3,'4/4',F7,A1,1,39
6.34049886621,0.293219954649,4,1,1,4,'4/4',F7,A1,1,38
6.63371882086,0.303673469388,4,1,2,1,'4/4',Bb7,A1,1,36
6.93739229025,0.310136054422,4,1,2,2,'4/4',Bb7,A1,1,33
7.24752834467,0.29873015873,4,1,2,3,'4/4',Bb7,A1,1,34
7.5462585034,0.296099773243,4,1,2,4,'4/4',Bb7,A1,1,35
7.84235827664,0.316553287982,4,1,3,1,'4/4',F7,A1,1,36
8.15891156463,0.304761904762,4,1,3,2,'4/4',F7,A1,1,38
8.46367346939,0.281541950113,4,1,3,3,'4/4',F7,A1,1,43
8.7452154195,0.284444444444,4,1,3,4,'4/4',F7,A1,1,45
9.02965986395,0.284444444444,4,1,4,1,'4/4',F7,A1,1,45
9.31410430839,0.310566893424,4,1,4,2,'4/4',F7,A1,1,35
9.62467120181,0.281541950113,4,1,4,3,'4/4',F7,A1,1,41
9.90621315193,0.281541950113,4,1,4,4,'4/4',F7,A1,1,35
10.187755102,0.290249433107,4,1,5,1,'4/4',Bb7,A1,1,34
10.4780045351,0.304761904762,4,1,5,2,'4/4',Bb7,A1,1,31
10.7827664399,0.316371882086,4,1,5,3,'4/4',Bb7,A1,1,32
11.099138322,0.275736961451,4,1,5,4,'4/4',Bb7,A1,1,33
11.3748752834,0.313469387755,4,1,6,1,'4/4',Bb7,A1,1,34
11.6883446712,0.278639455782,4,1,6,2,'4/4',Bb7,A1,1,35
11.966984127,0.291496598639,4,1,6,3,'4/4',Bb7,A1,1,36
12.2584807256,0.295328798186,4,1,6,4,'4/4',Bb7,A1,1,43
12.5538095238,0.29387755102,4,1,7,1,'4/4',F7,A1,1,41
12.8476870748,0.286099773243,4,1,7,2,'4/4',F7,A1,1,38
13.1337868481,0.290249433107,4,1,7,3,'4/4',F7,A1,1,39
13.4240362812,0.290249433107,4,1,7,4,'4/4',F7,A1,1,40
13.7142857143,0.312244897959,4,1,8,1,'4/4',A-7,A1,1,33
14.0265306122,0.31179138322,4,1,8,2,'4/4',A-7,A1,1,33
14.3383219955,0.29433106576,4,1,8,3,'4/4',D7,A1,1,32
14.6326530612,0.279591836735,4,1,8,4,'4/4',D7,A1,1,32
14.912244898,0.29387755102,4,1,9,1,'4/4',G-7,A1,1,31
15.206122449,0.291836734694,4,1,9,2,'4/4',G-7,A1,1,33
15.4979591837,0.281632653061,4,1,9,3,'4/4',G-7,A1,1,34
15.7795918367,0.3,4,1,9,4,'4/4',G-7,A1,1,38
16.0795918367,0.314285714286,4,1,10,1,'4/4',C7,A1,1,43
16.393877551,0.30612244898,4,1,10,2,'4/4',C7,A1,1,40
16.7,0.281632653061,4,1,10,3,'4/4',C7,A1,1,40
16.9816326531,0.287755102041,4,1,10,4,'4/4',C7,A1,1,36
17.2693877551,0.304081632653,4,1,11,1,'4/4',F7,A1,1,42
17.5734693878,0.283673469388,4,1,11,2,'4/4',F7,A1,1,43
17.8571428571,0.273469387755,4,1,11,3,'4/4',F7,A1,1,38
18.1306122449,0.279591836735,4,1,11,4,'4/4',F7,A1,1,38
18.4102040816,0.29201814059,4,1,12,1,'4/4',C7,A1,1,43
18.7022222222,0.299818594104,4,1,12,2,'4/4',C7,A1,1,45
19.0020408163,0.30612244898,4,1,12,3,'4/4',C7,A1,1,46
19.3081632653,0.283673469388,4,1,12,4,'4/4',C7,A1,1,48
19.5918367347,0.297959183673,4,1,13,1,'4/4',F7,A1,2,49
19.8897959184,0.283673469388,4,1,13,2,'4/4',F7,A1,2,48
20.1734693878,0.285714285714,4,1,13,3,'4/4',F7,A1,2,46
20.4591836735,0.304081632653,4,1,13,4,'4/4',F7,A1,2,41
20.7632653061,0.3,4,1,14,1,'4/4',Bb7,A1,2,41
21.0632653061,0.287755102041,4,1,14,2,'4/4',Bb7,A1,2,33
21.3510204082,0.308163265306,4,1,14,3,'4/4',Bb7,A1,2,34
21.6591836735,0.281632653061,4,1,14,4,'4/4',Bb7,A1,2,35
21.9408163265,0.274875283447,4,1,15,1,'4/4',F7,A1,2,36
22.21569161,0.286349206349,4,1,15,2,'4/4',F7,A1,2,38
22.5020408163,0.308163265306,4,1,15,3,'4/4',F7,A1,2,43
22.8102040816,0.284943310658,4,1,15,4,'4/4',F7,A1,2,40
23.0951473923,0.306893424036,4,1,16,1,'4/4',F7,A1,2,41
23.4020408163,0.285714285714,4,1,16,2,'4/4',F7,A1,2,35
23.687755102,0.30612244898,4,1,16,3,'4/4',F7,A1,2,42
23.993877551,0.277551020408,4,1,16,4,'4/4',F7,A1,2,47
24.2714285714,0.291836734694,4,1,17,1,'4/4',Bb7,A1,2,46
24.5632653061,0.314285714286,4,1,17,2,'4/4',Bb7,A1,2,38
24.8775510204,0.304081632653,4,1,17,3,'4/4',Bb7,A1,2,36
25.1816326531,0.275510204082,4,1,17,4,'4/4',Bb7,A1,2,35
25.4571428571,0.281632653061,4,1,18,1,'4/4',Bb7,A1,2,34
25.7387755102,0.302040816327,4,1,18,2,'4/4',Bb7,A1,2,41
26.0408163265,0.289795918367,4,1,18,3,'4/4',Bb7,A1,2,35
26.3306122449,0.304081632653,4,1,18,4,'4/4',Bb7,A1,2,38
26.6346938776,0.287755102041,4,1,19,1,'4/4',F7,A1,2,36
26.9224489796,0.287755102041,4,1,19,2,'4/4',F7,A1,2,41
27.2102040816,0.291836734694,4,1,19,3,'4/4',F7,A1,2,46
27.5020408163,0.277551020408,4,1,19,4,'4/4',F7,A1,2,44
27.7795918367,0.282380952381,4,1,20,1,'4/4',A-7,A1,2,45
28.0619727891,0.275419501134,4,1,20,2,'4/4',A-7,A1,2,37
28.3373922902,0.296258503401,4,1,20,3,'4/4',D7,A1,2,38
28.6336507937,0.302925170068,4,1,20,4,'4/4',D7,A1,2,52
28.9365759637,0.303673469388,4,1,21,1,'4/4',G-7,A1,2,53
29.2402494331,0.29619047619,4,1,21,2,'4/4',G-7,A1,2,52
29.5364399093,0.302902494331,4,1,21,3,'4/4',G-7,A1,2,50
29.8393424036,0.296213151927,4,1,21,4,'4/4',G-7,A1,2,48
30.1355555556,0.294897959184,4,1,22,1,'4/4',C7,A1,2,46
