onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.13333333333,0.222040816327,4,1,1,1,'4/4',F,A1,1,46
2.35537414966,0.222040816327,4,1,1,2,'4/4',F,A1,1,47
2.57741496599,0.221496598639,4,1,1,3,'4/4',F,A1,1,45
2.79891156463,0.221496598639,4,1,1,4,'4/4',F,A1,1,46
3.02040816327,0.225623582766,4,1,2,1,'4/4',F7,A1,1,50
3.24603174603,0.225623582766,4,1,2,2,'4/4',F7,A1,1,48
3.4716553288,0.22335600907,4,1,2,3,'4/4',F7,A1,1,45
3.69501133787,0.22335600907,4,1,2,4,'4/4',F7,A1,1,43
3.91836734694,0.212244897959,4,1,3,1,'4/4',A-,A1,1,41
4.1306122449,0.212244897959,4,1,3,2,'4/4',A-,A1,1,43
4.34285714286,0.215056689342,4,1,3,3,'4/4',A-,A1,1,45
4.5579138322,0.215056689342,4,1,3,4,'4/4',A-,A1,1,46
4.77297052154,0.217868480726,4,1,4,1,'4/4',D7,A1,1,47
4.99083900227,0.217868480726,4,1,4,2,'4/4',D7,A1,1,45
5.20870748299,0.224376417234,4,1,4,3,'4/4',D7,A1,1,45
5.43308390023,0.224376417234,4,1,4,4,'4/4',D7,A1,1,44
5.65746031746,0.226145124717,4,1,5,1,'4/4',G-,A1,1,43
5.88360544218,0.226145124717,4,1,5,2,'4/4',G-,A1,1,41
6.10975056689,0.216145124717,4,1,5,3,'4/4',G-,A1,1,40
6.32589569161,0.216145124717,4,1,5,4,'4/4',G-,A1,1,43
6.54204081633,0.225056689342,4,1,6,1,'4/4',C7,A1,1,43
6.76709750567,0.225056689342,4,1,6,2,'4/4',C7,A1,1,46
6.99215419501,0.228492063492,4,1,6,3,'4/4',C7,A1,1,45
7.2206462585,0.228492063492,4,1,6,4,'4/4',C7,A1,1,43
7.449138322,0.22066893424,4,1,7,1,'4/4',Fj7,A1,1,45
7.66980725624,0.22066893424,4,1,7,2,'4/4',Fj7,A1,1,45
7.89047619048,0.232868480726,4,1,7,3,'4/4',Fj7,A1,1,48
8.1233446712,0.232868480726,4,1,7,4,'4/4',Fj7,A1,1,50
8.35621315193,0.220385487528,4,1,8,1,'4/4',Fj7,A1,1,43
8.57659863946,0.220385487528,4,1,8,2,'4/4',Fj7,A1,1,45
8.79698412698,0.220657596372,4,1,8,3,'4/4',Fj7,A1,1,45
9.01764172336,0.220657596372,4,1,8,4,'4/4',Fj7,A1,1,45
9.23829931973,0.22589569161,4,1,9,1,'4/4',Cj7911#,B1,1,45
9.46419501134,0.22589569161,4,1,9,2,'4/4',Cj7911#,B1,1,40
9.69009070295,0.224365079365,4,1,9,3,'4/4',Bb7911#,B1,1,50
9.91445578231,0.224365079365,4,1,9,4,'4/4',Bb7911#,B1,1,48
10.1388208617,0.220816326531,4,1,10,1,'4/4',Ab7911#,B1,1,46
10.3596371882,0.220816326531,4,1,10,2,'4/4',Ab7911#,B1,1,45
10.5804535147,0.224637188209,4,1,10,3,'4/4',Gbj7911#,B1,1,43
10.8050907029,0.224637188209,4,1,10,4,'4/4',Gbj7911#,B1,1,44
11.0297278912,0.22485260771,4,1,11,1,'4/4',Fj7,B1,1,41
11.2545804989,0.22485260771,4,1,11,2,'4/4',Fj7,B1,1,43
11.4794331066,0.223458049887,4,1,11,3,'4/4',Fj7,B1,1,45
11.7028911565,0.223458049887,4,1,11,4,'4/4',Fj7,B1,1,45
11.9263492063,0.214784580499,4,1,12,1,'4/4',D7,B1,1,47
12.1411337868,0.214784580499,4,1,12,2,'4/4',D7,B1,1,45
12.3559183673,0.22,4,1,12,3,'4/4',D7,B1,1,45
12.5759183673,0.22,4,1,12,4,'4/4',D7,B1,1,44
12.7959183673,0.220408163265,4,1,13,1,'4/4',G-,B1,1,43
13.0163265306,0.220408163265,4,1,13,2,'4/4',G-,B1,1,45
13.2367346939,0.226405895692,4,1,13,3,'4/4',G-,B1,1,46
13.4631405896,0.226405895692,4,1,13,4,'4/4',G-,B1,1,43
13.6895464853,0.221349206349,4,1,14,1,'4/4',C7,B1,1,43
13.9108956916,0.221349206349,4,1,14,2,'4/4',C7,B1,1,47
14.132244898,0.217120181406,4,1,14,3,'4/4',C7,B1,1,40
14.3493650794,0.217120181406,4,1,14,4,'4/4',C7,B1,1,43
14.5664852608,0.224920634921,4,1,15,1,'4/4',Fj7,B1,1,42
14.7914058957,0.224920634921,4,1,15,2,'4/4',Fj7,B1,1,43
15.0163265306,0.220657596372,4,1,15,3,'4/4',Fj7,B1,1,45
15.236984127,0.220657596372,4,1,15,4,'4/4',Fj7,B1,1,45
15.4576417234,0.225328798186,4,1,16,1,'4/4',Fj7,B1,1,45
