onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.3453968254,0.332970521542,4,1,0,3,'4/4',NC,I1,0,45
2.67836734694,0.347256235828,4,1,0,4,'4/4',NC,I1,0,44
3.02562358277,0.342562358277,4,1,1,1,'4/4',G-,A1,1,44
3.36818594104,0.34716553288,4,1,1,2,'4/4',G-,A1,1,43
3.71535147392,0.352494331066,4,1,1,3,'4/4',G-,A1,1,45
4.06784580499,0.348390022676,4,1,1,4,'4/4',G-,A1,1,45
4.41623582766,0.351587301587,4,1,2,1,'4/4',C7,A1,1,48
4.76782312925,0.342607709751,4,1,2,2,'4/4',C7,A1,1,45
5.110430839,0.338367346939,4,1,2,3,'4/4',C7,A1,1,36
5.44879818594,0.341927437642,4,1,2,4,'4/4',C7,A1,1,50
5.79072562358,0.332925170068,4,1,3,1,'4/4',F,A1,1,36
6.12365079365,0.337573696145,4,1,3,2,'4/4',F,A1,1,50
6.4612244898,0.377369614512,4,1,3,3,'4/4',F,A1,1,46
6.83859410431,0.333015873016,4,1,3,4,'4/4',F,A1,1,45
7.17160997732,0.341723356009,4,1,4,1,'4/4',A-,A1,1,45
7.51333333333,0.338594104308,4,1,4,2,'4/4',A-,A1,1,45
7.85192743764,0.332857142857,4,1,4,3,'4/4',Abj7,A1,1,37
8.1847845805,0.342562358277,4,1,4,4,'4/4',Abj7,A1,1,32
8.52734693878,0.341882086168,4,1,5,1,'4/4',Gj7,A1,1,44
8.86922902494,0.348049886621,4,1,5,2,'4/4',Gj7,A1,1,43
9.21727891156,0.341723356009,4,1,5,3,'4/4',Gj7,A1,1,46
9.55900226757,0.338004535147,4,1,5,4,'4/4',Gj7,A1,1,34
9.89700680272,0.342358276644,4,1,6,1,'4/4',E79b,A1,1,34
10.2393650794,0.34022675737,4,1,6,2,'4/4',E79b,A1,1,50
10.5795918367,0.341111111111,4,1,6,3,'4/4',E79b,A1,1,42
10.9207029478,0.351451247166,4,1,6,4,'4/4',E79b,A1,1,42
11.272154195,0.357891156463,4,1,7,1,'4/4',A-,A1,1,41
11.6300453515,0.342721088435,4,1,7,2,'4/4',A-,A1,1,36
11.9727664399,0.31253968254,4,1,7,3,'4/4',A-,A1,1,34
12.2853061224,0.348253968254,4,1,7,4,'4/4',A-,A1,1,38
12.6335600907,0.352448979592,4,1,8,1,'4/4',D-,A1,1,38
12.9860090703,0.332040816327,4,1,8,2,'4/4',D-,A1,1,45
13.3180498866,0.338321995465,4,1,8,3,'4/4',D7,A1,1,37
13.6563718821,0.341723356009,4,1,8,4,'4/4',D7,A1,1,44
13.9980952381,0.332879818594,4,1,9,1,'4/4',G-,A2,1,43
14.3309750567,0.348412698413,4,1,9,2,'4/4',G-,A2,1,45
14.6793877551,0.351609977324,4,1,9,3,'4/4',G-,A2,1,34
15.0309977324,0.357732426304,4,1,9,4,'4/4',G-,A2,1,46
15.3887301587,0.352517006803,4,1,10,1,'4/4',C79b,A2,1,42
15.7412471655,0.337505668934,4,1,10,2,'4/4',C79b,A2,1,50
16.0787528345,0.322902494331,4,1,10,3,'4/4',C79b,A2,1,35
16.4016553288,0.342789115646,4,1,10,4,'4/4',C79b,A2,1,35
16.7444444444,0.331859410431,4,1,11,1,'4/4',F,A2,1,46
17.0763038549,0.357936507937,4,1,11,2,'4/4',F,A2,1,34
17.4342403628,0.35253968254,4,1,11,3,'4/4',F,A2,1,45
17.7867800454,0.356961451247,4,1,11,4,'4/4',F,A2,1,45
18.1437414966,0.348163265306,4,1,12,1,'4/4',A-,A2,1,45
18.4919047619,0.35253968254,4,1,12,2,'4/4',A-,A2,1,45
18.8444444444,0.332857142857,4,1,12,3,'4/4',Abj7,A2,1,38
19.1773015873,0.337414965986,4,1,12,4,'4/4',Abj7,A2,1,32
19.5147165533,0.332494331066,4,1,13,1,'4/4',Gj7,A2,1,44
19.8472108844,0.333015873016,4,1,13,2,'4/4',Gj7,A2,1,43
20.1802267574,0.348299319728,4,1,13,3,'4/4',Gj7,A2,1,46
20.5285260771,0.361405895692,4,1,13,4,'4/4',Gj7,A2,1,50
20.8899319728,0.347959183673,4,1,14,1,'4/4',C7,A2,1,36
21.2378911565,0.331972789116,4,1,14,2,'4/4',C7,A2,1,50
21.5698639456,0.33306122449,4,1,14,3,'4/4',C7,A2,1,37
21.9029251701,0.342721088435,4,1,14,4,'4/4',C7,A2,1,42
22.2456462585,0.337142857143,4,1,15,1,'4/4',F,A2,1,37
22.5827891156,0.332970521542,4,1,15,2,'4/4',F,A2,1,38
22.9157596372,0.31335600907,4,1,15,3,'4/4',C,A2,1,42
23.2291156463,0.331972789116,4,1,15,4,'4/4',C,A2,1,43
23.5610884354,0.332993197279,4,1,16,1,'4/4',F,A2,1,45
23.8940816327,0.358027210884,4,1,16,2,'4/4',F,A2,1,45
24.2521088435,0.351496598639,4,1,16,3,'4/4',F,A2,1,45
24.6036054422,0.347800453515,4,1,16,4,'4/4',F,A2,1,50
24.9514058957,0.342698412698,4,1,17,1,'4/4',A-,A2,1,46
25.2941043084,0.348480725624,4,1,17,2,'4/4',A-,A2,1,34
25.642585034,0.348480725624,4,1,17,3,'4/4',Abj7,A2,1,37
