onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
7.29253968254,0.213310657596,4,1,1,1,'4/4',E7alt,A1,1,40
7.50585034014,0.21768707483,4,1,1,2,'4/4',E7alt,A1,1,40
7.72353741497,0.215192743764,4,1,1,3,'4/4',E7alt,A1,1,40
7.93873015873,0.230702947846,4,1,1,4,'4/4',E7alt,A1,1,43
8.16943310658,0.212448979592,4,1,2,1,'4/4',E7alt,A1,1,43
8.38188208617,0.220997732426,4,1,2,2,'4/4',E7alt,A1,1,36
8.60287981859,0.21126984127,4,1,2,3,'4/4',E7alt,A1,1,47
8.81414965986,0.212698412698,4,1,2,4,'4/4',E7alt,A1,1,43
9.02684807256,0.220544217687,4,1,3,1,'4/4',Fj7,A1,1,40
9.24739229025,0.219818594104,4,1,3,2,'4/4',Fj7,A1,1,45
9.46721088435,0.21410430839,4,1,3,3,'4/4',Fj7,A1,1,38
9.68131519274,0.207482993197,4,1,3,4,'4/4',Fj7,A1,1,46
9.88879818594,0.215963718821,4,1,4,1,'4/4',Fj7,A1,1,36
10.1047619048,0.212811791383,4,1,4,2,'4/4',Fj7,A1,1,38
10.3175736961,0.212857142857,4,1,4,3,'4/4',Fj7,A1,1,43
10.530430839,0.201405895692,4,1,4,4,'4/4',Fj7,A1,1,51
10.7318367347,0.212494331066,4,1,5,1,'4/4',E7alt,A1,1,53
10.9443310658,0.212879818594,4,1,5,2,'4/4',E7alt,A1,1,51
11.1572108844,0.211383219955,4,1,5,3,'4/4',E7alt,A1,1,51
11.3685941043,0.222562358277,4,1,5,4,'4/4',E7alt,A1,1,45
11.5911564626,0.201678004535,4,1,6,1,'4/4',E7alt,A1,1,45
11.7928344671,0.212607709751,4,1,6,2,'4/4',E7alt,A1,1,47
12.0054421769,0.212630385488,4,1,6,3,'4/4',E7alt,A1,1,40
12.2180725624,0.210816326531,4,1,6,4,'4/4',E7alt,A1,1,47
12.4288888889,0.224172335601,4,1,7,1,'4/4',Ebj7911#,A1,1,47
12.6530612245,0.222448979592,4,1,7,2,'4/4',Ebj7911#,A1,1,43
12.8755102041,0.208526077098,4,1,7,3,'4/4',Ebj7911#,A1,1,44
13.0840362812,0.222426303855,4,1,7,4,'4/4',Ebj7911#,A1,1,45
13.306462585,0.202970521542,4,1,8,1,'4/4',Ebj7911#,A1,1,46
13.5094331066,0.220249433107,4,1,8,2,'4/4',Ebj7911#,A1,1,43
13.7296825397,0.202902494331,4,1,8,3,'4/4',Ebj7911#,A1,1,42
13.932585034,0.203628117914,4,1,8,4,'4/4',Ebj7911#,A1,1,40
14.1362131519,0.220544217687,4,1,9,1,'4/4',D7,A1,1,38
14.3567573696,0.202721088435,4,1,9,2,'4/4',D7,A1,1,44
14.559478458,0.220861678005,4,1,9,3,'4/4',D7,A1,1,41
14.7803401361,0.202947845805,4,1,9,4,'4/4',D7,A1,1,38
14.9832879819,0.212789115646,4,1,10,1,'4/4',Ebj7911#,A1,1,39
15.1960770975,0.211541950113,4,1,10,2,'4/4',Ebj7911#,A1,1,44
15.4076190476,0.202811791383,4,1,10,3,'4/4',Ebj7911#,A1,1,41
15.610430839,0.222380952381,4,1,10,4,'4/4',Ebj7911#,A1,1,39
15.8328117914,0.220544217687,4,1,11,1,'4/4',E7,A1,1,39
16.0533560091,0.220113378685,4,1,11,2,'4/4',E7,A1,1,43
16.2734693878,0.232063492063,4,1,11,3,'4/4',E7,A1,1,43
16.5055328798,0.21253968254,4,1,11,4,'4/4',E7,A1,1,40
16.7180725624,0.220657596372,4,1,12,1,'4/4',Fj7,A1,1,41
16.9387301587,0.203514739229,4,1,12,2,'4/4',Fj7,A1,1,40
17.142244898,0.210634920635,4,1,12,3,'4/4',Eb7,A1,1,39
17.3528798186,0.222585034014,4,1,12,4,'4/4',Eb7,A1,1,46
17.5754648526,0.211179138322,4,1,13,1,'4/4',D-79,A1,1,38
17.7866439909,0.212358276644,4,1,13,2,'4/4',D-79,A1,1,45
17.9990022676,0.219365079365,4,1,13,3,'4/4',D-79,A1,1,41
18.2183673469,0.218367346939,4,1,13,4,'4/4',D-79,A1,1,38
18.4367346939,0.216326530612,4,1,14,1,'4/4',G7,A1,1,43
18.6530612245,0.2,4,1,14,2,'4/4',G7,A1,1,47
18.8530612245,0.196734693878,4,1,14,3,'4/4',G7,A1,1,48
19.0497959184,0.202857142857,4,1,14,4,'4/4',G7,A1,1,48
19.2526530612,0.221247165533,4,1,15,1,'4/4',G-7,A1,1,47
19.4739002268,0.212630385488,4,1,15,2,'4/4',G-7,A1,1,43
19.6865306122,0.212403628118,4,1,15,3,'4/4',G-7,A1,1,43
19.8989342404,0.202947845805,4,1,15,4,'4/4',G-7,A1,1,33
20.1018820862,0.221587301587,4,1,16,1,'4/4',Gb7,A1,1,42
20.3234693878,0.210362811791,4,1,16,2,'4/4',Gb7,A1,1,37
