onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
5.05034013605,0.219365079365,4,1,1,1,'4/4',NC,A1,1,43
5.26970521542,0.24,4,1,1,2,'4/4',NC,A1,1,45
5.50970521542,0.258412698413,4,1,1,3,'4/4',NC,A1,1,42
5.76811791383,0.238526077098,4,1,1,4,'4/4',NC,A1,1,49
6.00664399093,0.212675736961,4,1,2,1,'4/4',NC,A1,1,47
6.21931972789,0.231156462585,4,1,2,2,'4/4',NC,A1,1,43
6.45047619048,0.212743764172,4,1,2,3,'4/4',NC,A1,1,43
6.66321995465,0.229024943311,4,1,2,4,'4/4',NC,A1,1,33
6.89224489796,0.230181405896,4,1,3,1,'4/4',NC,A1,1,40
7.12242630385,0.240725623583,4,1,3,2,'4/4',NC,A1,1,45
7.36315192744,0.230204081633,4,1,3,3,'4/4',NC,A1,1,42
7.59335600907,0.221179138322,4,1,3,4,'4/4',NC,A1,1,40
7.81453514739,0.230385487528,4,1,4,1,'4/4',NC,A1,1,39
8.04492063492,0.2310430839,4,1,4,2,'4/4',NC,A1,1,43
8.27596371882,0.23022675737,4,1,4,3,'4/4',NC,A1,1,43
8.50619047619,0.230975056689,4,1,4,4,'4/4',NC,A1,1,39
8.73716553288,0.220340136054,4,1,5,1,'4/4',NC,A1,1,37
8.95750566893,0.222698412698,4,1,5,2,'4/4',NC,A1,1,43
9.18020408163,0.230929705215,4,1,5,3,'4/4',NC,A1,1,49
9.41113378685,0.23029478458,4,1,5,4,'4/4',NC,A1,1,47
9.64142857143,0.221179138322,4,1,6,1,'4/4',NC,A1,1,47
9.86260770975,0.220362811791,4,1,6,2,'4/4',NC,A1,1,43
10.0829705215,0.221360544218,4,1,6,3,'4/4',NC,A1,1,43
10.3043310658,0.212811791383,4,1,6,4,'4/4',NC,A1,1,43
10.5171428571,0.230136054422,4,1,7,1,'4/4',NC,A1,1,43
10.7472789116,0.221224489796,4,1,7,2,'4/4',NC,A1,1,38
10.9685034014,0.212857142857,4,1,7,3,'4/4',NC,A1,1,42
11.1813605442,0.238707482993,4,1,7,4,'4/4',NC,A1,1,43
11.4200680272,0.222517006803,4,1,8,1,'4/4',NC,A1,1,43
11.642585034,0.230272108844,4,1,8,2,'4/4',NC,A1,1,42
11.8728571429,0.211383219955,4,1,8,3,'4/4',NC,A1,1,42
12.0842403628,0.22253968254,4,1,8,4,'4/4',NC,A1,1,42
12.3067800454,0.230090702948,4,1,9,1,'4/4',NC,A1,1,42
12.5368707483,0.221224489796,4,1,9,2,'4/4',NC,A1,1,42
12.7580952381,0.230272108844,4,1,9,3,'4/4',NC,A1,1,42
12.9883673469,0.211383219955,4,1,9,4,'4/4',NC,A1,1,42
13.1997505669,0.212743764172,4,1,10,1,'4/4',NC,A1,1,43
13.4124943311,0.235034013605,4,1,10,2,'4/4',NC,A1,1,48
13.6475283447,0.226394557823,4,1,10,3,'4/4',NC,A1,1,42
13.8739229025,0.232199546485,4,1,10,4,'4/4',NC,A1,1,42
14.106122449,0.235102040816,4,1,11,1,'4/4',NC,A1,1,43
14.3412244898,0.223832199546,4,1,11,2,'4/4',NC,A1,1,43
14.5650566893,0.248480725624,4,1,11,3,'4/4',NC,A1,1,42
14.813537415,0.248458049887,4,1,11,4,'4/4',NC,A1,1,43
15.0619954649,0.230952380952,4,1,12,1,'4/4',NC,A1,1,45
15.2929478458,0.222585034014,4,1,12,2,'4/4',NC,A1,1,37
15.5155328798,0.220476190476,4,1,12,3,'4/4',NC,A1,1,41
15.7360090703,0.221156462585,4,1,12,4,'4/4',NC,A1,1,45
15.9571655329,0.23022675737,4,1,13,1,'4/4',NC,A1,1,40
16.1873922902,0.221224489796,4,1,13,2,'4/4',NC,A1,1,45
16.40861678,0.230113378685,4,1,13,3,'4/4',NC,A1,1,47
