onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.19292517007,0.394739229025,4,1,-2,4,'4/4',NC,I1,0,35
1.58766439909,0.394739229025,4,1,-1,1,'4/4',C,I1,0,37
1.98240362812,0.38022675737,4,1,-1,2,'4/4',C,I1,0,40
2.36263038549,0.362811791383,4,1,-1,3,'4/4',C,I1,0,40
2.72544217687,0.403446712018,4,1,-1,4,'4/4',C,I1,0,40
3.12888888889,0.40925170068,4,1,0,1,'4/4',C,I1,0,40
3.53814058957,0.417959183673,4,1,0,2,'4/4',C,I1,0,43
3.95609977324,0.417959183673,4,1,0,3,'4/4',C,I1,0,42
4.37405895692,0.426666666667,4,1,0,4,'4/4',NC,I1,0,42
4.80072562358,0.40052154195,4,1,1,1,'4/4',Dm7b5,A1,1,43
5.20124716553,0.370181405896,4,1,1,2,'4/4',Dm7b5,A1,1,38
5.57142857143,0.375941043084,4,1,1,3,'4/4',Db7,A1,1,34
5.94736961451,0.405170068027,4,1,1,4,'4/4',Db7,A1,1,35
6.35253968254,0.406757369615,4,1,2,1,'4/4',Cj7,A1,1,36
6.75929705215,0.401315192744,4,1,2,2,'4/4',Cj7,A1,1,40
7.1606122449,0.362358276644,4,1,2,3,'4/4',Cj7,A1,1,41
7.52297052154,0.397120181406,4,1,2,4,'4/4',Cj7,A1,1,42
7.92009070295,0.384784580499,4,1,3,1,'4/4',Dm7b5,A1,1,43
8.30487528345,0.398367346939,4,1,3,2,'4/4',Dm7b5,A1,1,44
8.70324263039,0.366145124717,4,1,3,3,'4/4',Ab7,A1,1,45
9.0693877551,0.413764172336,4,1,3,4,'4/4',Ab7,A1,1,45
9.48315192744,0.371836734694,4,1,4,1,'4/4',G7,A1,1,43
9.85498866213,0.371541950113,4,1,4,2,'4/4',G7,A1,1,38
10.2265306122,0.384739229025,4,1,4,3,'4/4',G7,A1,1,35
10.6112698413,0.385124716553,4,1,4,4,'4/4',G7,A1,1,33
10.9963945578,0.401859410431,4,1,5,1,'4/4',Cj7,A1,1,31
11.3982539683,0.394875283447,4,1,5,2,'4/4',Cj7,A1,1,33
11.7931292517,0.40433106576,4,1,5,3,'4/4',Cj7,A1,1,34
12.1974603175,0.384761904762,4,1,5,4,'4/4',Cj7,A1,1,35
12.5822222222,0.40179138322,4,1,6,1,'4/4',Cj7,A1,1,36
12.9840136054,0.405850340136,4,1,6,2,'4/4',Cj7,A1,1,40
13.3898639456,0.410022675737,4,1,6,3,'4/4',Cj7,A1,1,41
13.7998866213,0.368820861678,4,1,6,4,'4/4',Cj7,A1,1,42
14.168707483,0.400045351474,4,1,7,1,'4/4',G-7,A1,1,43
14.5687528345,0.392222222222,4,1,7,2,'4/4',G-7,A1,1,44
14.9609750567,0.408775510204,4,1,7,3,'4/4',G-7,A1,1,45
15.3697505669,0.366621315193,4,1,7,4,'4/4',G-7,A1,1,45
15.7363718821,0.39537414966,4,1,8,1,'4/4',C7,A1,1,43
16.1317460317,0.379229024943,4,1,8,2,'4/4',C7,A1,1,38
16.5109750567,0.384920634921,4,1,8,3,'4/4',C7,A1,1,36
16.8958956916,0.386553287982,4,1,8,4,'4/4',C7,A1,1,40
17.2824489796,0.384036281179,4,1,9,1,'4/4',Fj7,B1,1,41
17.6664852608,0.386077097506,4,1,9,2,'4/4',Fj7,B1,1,45
18.0525623583,0.373968253968,4,1,9,3,'4/4',Fj7,B1,1,45
18.4265306122,0.364263038549,4,1,9,4,'4/4',Fj7,B1,1,47
18.7907936508,0.408752834467,4,1,10,1,'4/4',Fj7,B1,1,45
19.1995464853,0.391088435374,4,1,10,2,'4/4',Fj7,B1,1,33
19.5906349206,0.398843537415,4,1,10,3,'4/4',Fj7,B1,1,38
19.989478458,0.397641723356,4,1,10,4,'4/4',Fj7,B1,1,34
20.3871201814,0.391836734694,4,1,11,1,'4/4',Bm7b5,B1,1,35
20.7789569161,0.375351473923,4,1,11,2,'4/4',Bm7b5,B1,1,42
21.15430839,0.382766439909,4,1,11,3,'4/4',E7,B1,1,41
21.5370748299,0.394149659864,4,1,11,4,'4/4',E7,B1,1,47
21.9312244898,0.38462585034,4,1,12,1,'4/4',A-7,B1,1,45
22.3158503401,0.398503401361,4,1,12,2,'4/4',A-7,B1,1,45
22.7143537415,0.417210884354,4,1,12,3,'4/4',A-/G,B1,1,43
23.1315646259,0.372789115646,4,1,12,4,'4/4',A-/G,B1,1,41
23.5043537415,0.381678004535,4,1,13,1,'4/4',F#m7b5,B1,1,42
23.886031746,0.382267573696,4,1,13,2,'4/4',F#m7b5,B1,1,37
24.2682993197,0.381133786848,4,1,13,3,'4/4',F#m7b5,B1,1,42
24.6494331066,0.402290249433,4,1,13,4,'4/4',F#m7b5,B1,1,40
25.051723356,0.394263038549,4,1,14,1,'4/4',B79b,B1,1,41
25.4459863946,0.415238095238,4,1,14,2,'4/4',B79b,B1,1,33
25.8612244898,0.400544217687,4,1,14,3,'4/4',B79b,B1,1,38
26.2617687075,0.383129251701,4,1,14,4,'4/4',B79b,B1,1,36
26.6448979592,0.391836734694,4,1,15,1,'4/4',B-7,B1,1,34
27.0367346939,0.366598639456,4,1,15,2,'4/4',B-7,B1,1,34
27.4033333333,0.392335600907,4,1,15,3,'4/4',E7,B1,1,33
27.7956689342,0.374535147392,4,1,15,4,'4/4',E7,B1,1,33
28.1702040816,0.371156462585,4,1,16,1,'4/4',Em7b5,B1,1,33
28.5413605442,0.372970521542,4,1,16,2,'4/4',Em7b5,B1,1,39
28.9143310658,0.386349206349,4,1,16,3,'4/4',A79b,B1,1,37
29.3006802721,0.4020861678,4,1,16,4,'4/4',A79b,B1,1,43
29.7027664399,0.409002267574,4,1,17,1,'4/4',F#m7b5,C1,1,42
30.1117687075,0.384739229025,4,1,17,2,'4/4',F#m7b5,C1,1,42
30.4965079365,0.406349206349,4,1,17,3,'4/4',Fo7,C1,1,35
30.9028571429,0.409977324263,4,1,17,4,'4/4',Fo7,C1,1,42
31.3128344671,0.382811791383,4,1,18,1,'4/4',C/E,C1,1,40
31.6956462585,0.400702947846,4,1,18,2,'4/4',C/E,C1,1,43
32.0963492063,0.397074829932,4,1,18,3,'4/4',Ebo,C1,1,47
32.4934240363,0.384149659864,4,1,18,4,'4/4',Ebo,C1,1,37
32.8775736961,0.398888888889,4,1,19,1,'4/4',Dm7b5,C1,1,37
33.276462585,0.399659863946,4,1,19,2,'4/4',Dm7b5,C1,1,38
33.676122449,0.381746031746,4,1,19,3,'4/4',G7,C1,1,47
34.0578684807,0.383129251701,4,1,19,4,'4/4',G7,C1,1,31
34.4409977324,0.394126984127,4,1,20,1,'4/4',C6,C1,1,37
34.8351247166,0.391337868481,4,1,20,2,'4/4',C6,C1,1,40
35.226462585,0.385260770975,4,1,20,3,'4/4',C6,C1,1,43
35.611723356,0.364784580499,4,1,20,4,'4/4',C6,C1,1,45
35.9765079365,0.396077097506,4,1,21,1,'4/4',Bm7b5,C1,1,47
36.372585034,0.397505668934,4,1,21,2,'4/4',Bm7b5,C1,1,41
36.7700907029,0.404081632653,4,1,21,3,'4/4',E7,C1,1,40
37.1741723356,0.392448979592,4,1,21,4,'4/4',E7,C1,1,47
37.5666213152,0.371882086168,4,1,22,1,'4/4',A-7,C1,1,45
37.9385034014,0.368979591837,4,1,22,2,'4/4',A-7,C1,1,45
38.3074829932,0.376961451247,4,1,22,3,'4/4',A-/G,C1,1,43
38.6844444444,0.395283446712,4,1,22,4,'4/4',A-/G,C1,1,40
39.0797278912,0.382585034014,4,1,23,1,'4/4',F#m7b5,C1,1,42
39.4623129252,0.371496598639,4,1,23,2,'4/4',F#m7b5,C1,1,37
39.8338095238,0.368548752834,4,1,23,3,'4/4',B79b,C1,1,42
40.2023582766,0.398707482993,4,1,23,4,'4/4',B79b,C1,1,40
40.6010657596,0.390770975057,4,1,24,1,'4/4',Ej7,C1,1,42
40.9918367347,0.348390022676,4,1,24,2,'4/4',Ej7,C1,1,40
41.3402267574,0.38619047619,4,1,24,3,'4/4',D-7,C1,1,39
41.7264172336,0.384149659864,4,1,24,4,'4/4',G7,C1,1,38
42.1105668934,0.383537414966,4,1,25,1,'4/4',Dm7b5,D1,1,43
42.4941043084,0.374648526077,4,1,25,2,'4/4',Dm7b5,D1,1,38
42.8687528345,0.40716553288,4,1,25,3,'4/4',G7,D1,1,34
43.2759183673,0.380362811791,4,1,25,4,'4/4',G7,D1,1,35
43.6562811791,0.376213151927,4,1,26,1,'4/4',Cj7,D1,1,36
44.0324943311,0.382925170068,4,1,26,2,'4/4',Cj7,D1,1,40
44.4154195011,0.37641723356,4,1,26,3,'4/4',Cj7,D1,1,43
44.7918367347,0.375283446712,4,1,26,4,'4/4',Cj7,D1,1,45
45.1671201814,0.393628117914,4,1,27,1,'4/4',Em7b5,D1,1,47
45.5607482993,0.38947845805,4,1,27,2,'4/4',Em7b5,D1,1,37
45.9502267574,0.368140589569,4,1,27,3,'4/4',Em7b5,D1,1,50
46.3183673469,0.390884353741,4,1,27,4,'4/4',Em7b5,D1,1,51
46.7092517007,0.375102040816,4,1,28,1,'4/4',A7alt,D1,1,40
47.0843537415,0.389727891156,4,1,28,2,'4/4',A7alt,D1,1,39
47.4740816327,0.376213151927,4,1,28,3,'4/4',A7alt,D1,1,37
47.8502947846,0.385804988662,4,1,28,4,'4/4',A7alt,D1,1,47
48.2360997732,0.403650793651,4,1,29,1,'4/4',D79,D1,1,45
48.6397505669,0.367029478458,4,1,29,2,'4/4',D79,D1,1,43
49.0067800454,0.404739229025,4,1,29,3,'4/4',D79,D1,1,41
49.4115192744,0.364897959184,4,1,29,4,'4/4',D79,D1,1,40
49.7764172336,0.415419501134,4,1,30,1,'4/4',Dm7b5,D1,1,38
50.1918367347,0.400884353741,4,1,30,2,'4/4',Dm7b5,D1,1,42
50.5927210884,0.379387755102,4,1,30,3,'4/4',G7,D1,1,31
50.9721088435,0.401451247166,4,1,30,4,'4/4',G7,D1,1,35
51.3735600907,0.391337868481,4,1,31,1,'4/4',C6,D1,1,36
51.7648979592,0.369206349206,4,1,31,2,'4/4',C6,D1,1,40
52.1341043084,0.369229024943,4,1,31,3,'4/4',C6,D1,1,42
52.5033333333,0.393854875283,4,1,31,4,'4/4',C6,D1,1,42
52.8971882086,0.366009070295,4,1,32,1,'4/4',C6,D1,1,43
53.2631972789,0.400204081633,4,1,32,2,'4/4',C6,D1,1,44
53.6634013605,0.383106575964,4,1,32,3,'4/4',C6,D1,1,45
54.0465079365,0.397052154195,4,1,32,4,'4/4',C6,D1,1,44
54.4435600907,0.374965986395,4,1,33,1,'4/4',Dm7b5,A1,2,44
54.8185260771,0.391065759637,4,1,33,2,'4/4',Dm7b5,A1,2,43
55.2095918367,0.403378684807,4,1,33,3,'4/4',G7,A1,2,43
55.6129705215,0.395918367347,4,1,33,4,'4/4',G7,A1,2,42
56.0088888889,0.395102040816,4,1,34,1,'4/4',Cj7,A1,2,36
56.4039909297,0.397505668934,4,1,34,2,'4/4',Cj7,A1,2,38
56.8014965986,0.375442176871,4,1,34,3,'4/4',Cj7,A1,2,40
57.1769387755,0.402970521542,4,1,34,4,'4/4',Cj7,A1,2,42
57.5799092971,0.396961451247,4,1,35,1,'4/4',Dm7b5,A1,2,43
57.9768707483,0.400136054422,4,1,35,2,'4/4',Dm7b5,A1,2,43
58.3770068027,0.379138321995,4,1,35,3,'4/4',Dm7b5,A1,2,42
58.7561451247,0.386984126984,4,1,35,4,'4/4',Dm7b5,A1,2,43
59.1431292517,0.401383219955,4,1,36,1,'4/4',G7,A1,2,35
59.5445124717,0.39970521542,4,1,36,2,'4/4',G7,A1,2,33
59.9442176871,0.37820861678,4,1,36,3,'4/4',G7,A1,2,33
60.3224263039,0.376213151927,4,1,36,4,'4/4',G7,A1,2,37
60.6986394558,0.400498866213,4,1,37,1,'4/4',Cj7,A1,2,31
61.099138322,0.397369614512,4,1,37,2,'4/4',Cj7,A1,2,36
61.4965079365,0.390498866213,4,1,37,3,'4/4',Cj7,A1,2,40
61.8870068027,0.399727891156,4,1,37,4,'4/4',Cj7,A1,2,41
62.2867346939,0.390113378685,4,1,38,1,'4/4',Cj7,A1,2,42
62.6768480726,0.41231292517,4,1,38,2,'4/4',Cj7,A1,2,43
63.0891609977,0.392517006803,4,1,38,3,'4/4',Cj7,A1,2,45
63.4816780045,0.399138321995,4,1,38,4,'4/4',Cj7,A1,2,45
63.8808163265,0.388934240363,4,1,39,1,'4/4',G-7,A1,2,43
64.2697505669,0.416848072562,4,1,39,2,'4/4',G-7,A1,2,45
64.6865986395,0.401995464853,4,1,39,3,'4/4',G-7,A1,2,47
65.0885941043,0.391133786848,4,1,39,4,'4/4',G-7,A1,2,47
65.4797278912,0.400181405896,4,1,40,1,'4/4',C7,A1,2,37
65.8799092971,0.384036281179,4,1,40,2,'4/4',C7,A1,2,43
66.2639455782,0.377324263039,4,1,40,3,'4/4',C7,A1,2,35
66.6412698413,0.398526077098,4,1,40,4,'4/4',C7,A1,2,42
67.0397959184,0.386258503401,4,1,41,1,'4/4',Fj7,B1,2,42
67.4260544218,0.381383219955,4,1,41,2,'4/4',Fj7,B1,2,41
67.8074376417,0.397097505669,4,1,41,3,'4/4',Fj7,B1,2,41
68.2045351474,0.402789115646,4,1,41,4,'4/4',Fj7,B1,2,43
68.607324263,0.401133786848,4,1,42,1,'4/4',Fj7,B1,2,47
69.0084580499,0.387482993197,4,1,42,2,'4/4',Fj7,B1,2,36
69.3959410431,0.406621315193,4,1,42,3,'4/4',Fj7,B1,2,41
69.8025623583,0.391904761905,4,1,42,4,'4/4',Fj7,B1,2,34
70.1944671202,0.394535147392,4,1,43,1,'4/4',Bm7b5,B1,2,35
70.5890022676,0.412494331066,4,1,43,2,'4/4',Bm7b5,B1,2,42
71.0014965986,0.389682539683,4,1,43,3,'4/4',E7,B1,2,40
71.3911791383,0.391632653061,4,1,43,4,'4/4',E7,B1,2,47
71.7828117914,0.404693877551,4,1,44,1,'4/4',A-7,B1,2,45
72.1875056689,0.411156462585,4,1,44,2,'4/4',A-7,B1,2,45
72.5986621315,0.40798185941,4,1,44,3,'4/4',A-/G,B1,2,43
73.0066439909,0.390816326531,4,1,44,4,'4/4',A-/G,B1,2,40
73.3974603175,0.380884353741,4,1,45,1,'4/4',F#m7b5,B1,2,42
73.7783446712,0.388775510204,4,1,45,2,'4/4',F#m7b5,B1,2,37
74.1671201814,0.394489795918,4,1,45,3,'4/4',F#m7b5,B1,2,42
74.5616099773,0.389501133787,4,1,45,4,'4/4',F#m7b5,B1,2,40
74.9511111111,0.40768707483,4,1,46,1,'4/4',B79b,B1,2,41
75.3587981859,0.389455782313,4,1,46,2,'4/4',B79b,B1,2,33
75.7482539683,0.383333333333,4,1,46,3,'4/4',B79b,B1,2,38
76.1315873016,0.380136054422,4,1,46,4,'4/4',B79b,B1,2,36
76.511723356,0.38283446712,4,1,47,1,'4/4',B-7,B1,2,34
76.8945578231,0.371859410431,4,1,47,2,'4/4',B-7,B1,2,41
77.2664172336,0.4120861678,4,1,47,3,'4/4',E7,B1,2,40
77.6785034014,0.377233560091,4,1,47,4,'4/4',E7,B1,2,33
78.0557369615,0.396689342404,4,1,48,1,'4/4',Em7b5,B1,2,32
78.4524263039,0.402290249433,4,1,48,2,'4/4',Em7b5,B1,2,32
78.8547165533,0.388775510204,4,1,48,3,'4/4',A79b,B1,2,42
79.2434920635,0.39201814059,4,1,48,4,'4/4',A79b,B1,2,29
79.6355102041,0.411224489796,4,1,49,1,'4/4',F#m7b5,C1,2,30
80.0467346939,0.370612244898,4,1,49,2,'4/4',F#m7b5,C1,2,37
80.4173469388,0.392607709751,4,1,49,3,'4/4',Fo7,C1,2,35
80.8099546485,0.367596371882,4,1,49,4,'4/4',Fo7,C1,2,42
81.1775510204,0.38052154195,4,1,50,1,'4/4',C/E,C1,2,40
81.5580725624,0.37514739229,4,1,50,2,'4/4',C/E,C1,2,28
81.9332199546,0.392879818594,4,1,50,3,'4/4',Ebo,C1,2,33
82.3260997732,0.398526077098,4,1,50,4,'4/4',Ebo,C1,2,40
82.7246258503,0.399569160998,4,1,51,1,'4/4',Dm7b5,C1,2,33
83.1241950113,0.409342403628,4,1,51,2,'4/4',Dm7b5,C1,2,38
83.533537415,0.407301587302,4,1,51,3,'4/4',G7,C1,2,31
83.9408390023,0.377188208617,4,1,51,4,'4/4',G7,C1,2,43
84.3180272109,0.396213151927,4,1,52,1,'4/4',C6,C1,2,35
84.7142403628,0.390022675737,4,1,52,2,'4/4',C6,C1,2,40
85.1042630385,0.406598639456,4,1,52,3,'4/4',C6,C1,2,43
85.510861678,0.385646258503,4,1,52,4,'4/4',C6,C1,2,43
85.8965079365,0.383492063492,4,1,53,1,'4/4',Bm7b5,C1,2,47
86.28,0.400068027211,4,1,53,2,'4/4',Bm7b5,C1,2,43
86.6800680272,0.421587301587,4,1,53,3,'4/4',E7,C1,2,47
87.1016553288,0.37231292517,4,1,53,4,'4/4',E7,C1,2,40
87.473968254,0.401882086168,4,1,54,1,'4/4',A-7,C1,2,45
87.8758503401,0.384671201814,4,1,54,2,'4/4',A-7,C1,2,40
88.260521542,0.406167800454,4,1,54,3,'4/4',A-/G,C1,2,38
88.6666893424,0.38231292517,4,1,54,4,'4/4',A-/G,C1,2,43
89.0490022676,0.397256235828,4,1,55,1,'4/4',F#m7b5,C1,2,42
89.4462585034,0.384807256236,4,1,55,2,'4/4',F#m7b5,C1,2,37
89.8310657596,0.389410430839,4,1,55,3,'4/4',B79b,C1,2,42
90.2204761905,0.403378684807,4,1,55,4,'4/4',B79b,C1,2,41
90.6238548753,0.388390022676,4,1,56,1,'4/4',Ej7,C1,2,40
91.012244898,0.391746031746,4,1,56,2,'4/4',Ej7,C1,2,39
91.4039909297,0.374353741497,4,1,56,3,'4/4',D-7,C1,2,38
91.7783446712,0.402108843537,4,1,56,4,'4/4',G7,C1,2,43
92.1804535147,0.383990929705,4,1,57,1,'4/4',Dm7b5,D1,2,42
92.5644444444,0.372426303855,4,1,57,2,'4/4',Dm7b5,D1,2,53
92.9368707483,0.391587301587,4,1,57,3,'4/4',G7,D1,2,51
