onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
3.32045351474,0.0928798185941,4,2,0,1,2,0.491950113379,"""4/4""",67,0.0381560676638,58.2406077842,1,1,-1,NC,I1,lick
3.44897959184,3.17532879819,4,1,0,2,1,0.51022675737,"""4/4""",68,0.823593888254,63.3136536215,1,0,-1,NC,I1,lick
6.67346938776,0.126530612245,4,4,1,4,3,0.487619047619,"""4/4""",65,0.761241545178,69.2165263839,1,0,1,F7,A1,lick
6.82040816327,0.110204081633,4,4,1,4,4,0.487619047619,"""4/4""",60,0.693343343625,68.2717626795,1,0,1,F7,A1,lick
6.95437641723,0.153832199546,4,3,2,1,1,0.487619047619,"""4/4""",62,0.676746184852,68.5969036518,1,0,1,Bb7,A1,lick
7.11836734694,0.130612244898,4,3,2,1,2,0.487619047619,"""4/4""",65,0.796710046666,70.5464648449,1,0,1,Bb7,A1,lick
7.27755102041,0.228571428571,4,3,2,1,3,0.487619047619,"""4/4""",68,0.801996013612,68.1221777353,1,0,1,Bb7,A1,lick
8.76263038549,0.0580498866213,4,4,2,4,4,0.484081632653,"""4/4""",67,0.55744281918,66.7246844375,2,1,1,Bb7,A1,#line_w
8.82648526077,0.850430839002,4,1,3,1,1,0.496235827664,"""4/4""",68,0.950704549632,67.6739110049,2,0,1,Bb7,A1,#line_w
9.67691609977,0.142222222222,4,2,3,2,2,0.490816326531,"""4/4""",65,0.728772746801,69.0557891282,2,0,1,F7,A1,#line_w
9.82784580499,0.0754648526077,4,4,3,3,1,0.501609977324,"""4/4""",60,0.669918793661,64.464823105,2,0,1,F7,A1,#line_w
9.92072562358,0.119002267574,4,4,3,3,2,0.501609977324,"""4/4""",67,0.619858894727,67.545879997,2,0,1,F7,A1,#line_w
10.0513378685,0.0812698412698,4,4,3,3,3,0.501609977324,"""4/4""",65,0.830818528713,69.9778140515,2,0,1,F7,A1,#line_w
10.1616326531,0.13641723356,4,4,3,3,4,0.501609977324,"""4/4""",60,0.65958089436,66.8261283364,2,0,1,F7,A1,#line_w
10.3038548753,0.0667573696145,4,5,3,4,1,0.488027210884,"""4/4""",58,1.02198451285,64.2314723619,2,0,1,F7,A1,#line_w
10.3764172336,0.13641723356,4,5,3,4,2,0.488027210884,"""4/4""",63,0.829008942634,70.2489373477,2,0,1,F7,A1,#line_w
10.5215419501,0.0696598639456,4,5,3,4,3,0.488027210884,"""4/4""",61,0.443870057381,63.9996817889,2,0,1,F7,A1,#line_w
10.60861678,0.130612244898,4,5,3,4,4,0.488027210884,"""4/4""",62,0.710463091016,67.976140505,2,0,1,F7,A1,#line_w
