onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,phrase_id,phrase_begin,chorus_id,chord,form,idea
8.2946031746,0.119365079365,4,1,1,2,1,0.293990929705,"""4/4""",51,1,1,1,Fm7b5,A1,lick
8.56126984127,0.24126984127,4,1,1,3,1,0.286507936508,"""4/4""",58,1,0,1,Fm7b5,A1,lick
9.47301587302,0.144761904762,4,1,2,2,1,0.296054421769,"""4/4""",51,1,0,1,Bb79b,A1,#lick
9.73968253968,0.180317460317,4,3,2,3,1,0.287346938776,"""4/4""",58,1,0,1,Bb79b,A1,#lick
9.92507936508,0.114285714286,4,3,2,3,3,0.287346938776,"""4/4""",63,1,0,1,Bb79b,A1,#lick
10.7020408163,0.0990476190476,4,2,3,2,2,0.296054421769,"""4/4""",51,1,0,1,Eb-7,A1,#lick
10.8723809524,0.190476190476,4,4,3,3,1,0.296054421769,"""4/4""",58,1,0,1,Eb-7,A1,#lick
11.1441269841,0.24126984127,4,4,3,3,4,0.296054421769,"""4/4""",63,1,0,1,Eb-7,A1,#lick
11.3904761905,0.0584126984127,4,2,3,4,2,0.296054421769,"""4/4""",58,1,0,1,Eb-7,A1,#lick
11.4666666667,0.304761904762,4,1,4,1,1,0.293151927438,"""4/4""",65,1,0,1,Eb-7,A1,#lick
12.64,0.185396825397,4,1,5,1,1,0.281541950113,"""4/4""",63,2,1,1,Ab7,A1,#lick
12.9265306122,0.177777777778,4,1,5,2,1,0.281541950113,"""4/4""",68,2,0,1,Dbo7,A1,#lick
13.2571428571,0.167619047619,4,1,5,3,1,0.2989569161,"""4/4""",65,2,0,1,Db6,A1,#lick
13.506122449,0.195918367347,4,3,5,4,1,0.2989569161,"""4/4""",68,2,0,1,Db6,A1,#lick
13.7102040816,0.110204081633,4,3,5,4,3,0.2989569161,"""4/4""",68,2,0,1,Db6,A1,#lick
13.8311111111,0.165079365079,4,1,6,1,1,0.295249433107,"""4/4""",63,2,0,1,Dbj7,A1,#lick
14.1142857143,0.205714285714,4,1,6,2,1,0.295249433107,"""4/4""",68,2,0,1,Dbj7,A1,#lick
14.4025396825,0.177777777778,4,1,6,3,1,0.291587301587,"""4/4""",65,2,0,1,Dbj7,A1,#lick
14.7225396825,0.114285714286,4,1,6,4,1,0.291587301587,"""4/4""",66,2,0,1,Dbj7,A1,#lick
15.0095238095,0.15746031746,4,1,7,1,1,0.286814058957,"""4/4""",68,2,0,1,Db-7,A1,#lick
15.6165079365,0.124444444444,4,6,7,3,2,0.290249433107,"""4/4""",71,3,1,1,Db-7,A1,line_w_d
15.7576870748,0.0503854875283,4,6,7,3,5,0.290249433107,"""4/4""",70,3,0,1,Db-7,A1,line_w_d
15.8110657596,0.032925170068,4,6,7,3,6,0.290249433107,"""4/4""",71,3,0,1,Db-7,A1,line_w_d
15.8474829932,0.0339229024943,4,4,7,4,1,0.290249433107,"""4/4""",69,3,0,1,Db-7,A1,line_w_d
15.8933333333,0.114285714286,4,4,7,4,2,0.290249433107,"""4/4""",68,3,0,1,Db-7,A1,line_w_d
16.0736507937,0.109206349206,4,4,7,4,4,0.290249433107,"""4/4""",66,3,0,1,Db-7,A1,line_w_d
16.2234920635,0.119365079365,4,3,8,1,2,0.2989569161,"""4/4""",65,3,0,1,Gb7,A1,line_w_d
16.3504761905,0.116825396825,4,3,8,1,3,0.2989569161,"""4/4""",66,3,0,1,Gb7,A1,line_w_d
16.4850793651,0.137142857143,4,2,8,2,1,0.2989569161,"""4/4""",65,3,0,1,Gb7,A1,line_w_d
16.6298412698,0.126984126984,4,2,8,2,2,0.2989569161,"""4/4""",63,3,0,1,Gb7,A1,line_w_d
16.7796825397,0.124444444444,4,1,8,3,1,0.293151927438,"""4/4""",62,3,0,1,Gb7,A1,line_w_d
17.0565079365,0.193015873016,4,1,8,4,1,0.293151927438,"""4/4""",57,3,0,1,Gb7,A1,lick
17.3358730159,0.147301587302,4,1,9,1,1,0.293151927438,"""4/4""",59,3,0,1,Fm7b5,A2,lick
17.6457142857,0.167619047619,4,3,9,2,1,0.293151927438,"""4/4""",64,3,0,1,Fm7b5,A2,lick
17.8438095238,0.0507936507937,4,3,9,2,3,0.293151927438,"""4/4""",59,3,0,1,Fm7b5,A2,lick
17.9250793651,0.144761904762,4,1,9,3,1,0.296054421769,"""4/4""",66,3,0,1,Fm7b5,A2,lick
18.2196825397,0.144761904762,4,1,9,4,1,0.296054421769,"""4/4""",69,3,0,1,Fm7b5,A2,lick
18.4979591837,0.408888888889,4,1,10,1,1,0.293151927438,"""4/4""",70,3,0,1,Fm7b5,A2,lick
19.5987301587,0.0533333333333,4,4,10,4,4,0.282267573696,"""4/4""",65,4,1,1,Bb79b,A2,line_w
19.713015873,0.134603174603,4,4,11,1,2,0.287755102041,"""4/4""",68,4,0,1,Eb-7,A2,line_w
19.8882539683,0.0787301587302,4,4,11,1,4,0.287755102041,"""4/4""",66,4,0,1,Eb-7,A2,line_w
20.0469387755,0.0696598639456,4,3,11,2,2,0.287755102041,"""4/4""",62,4,0,1,Eb-7,A2,line_w
20.1295238095,0.0990476190476,4,3,11,2,3,0.287755102041,"""4/4""",65,4,0,1,Eb-7,A2,line_w
20.2641269841,0.137142857143,4,2,11,3,1,0.302040816327,"""4/4""",64,4,0,1,Eb-7,A2,line_w
