onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
3.48979591837,0.126530612245,4,1,1,1,1,0.298095238095,"""4/4""",67,0.80853723721,66.2434822638,1,1,-1,NC,I1,lick
3.99591836735,0.14693877551,4,2,1,2,2,0.32306122449,"""4/4""",67,0.905195371747,63.0205550904,1,0,1,Ebj7,A1,lick
4.72244897959,0.367346938776,4,1,2,1,1,0.297619047619,"""4/4""",67,1.09055377593,74.2434350391,2,1,1,Ebj7,A1,lick
5.12580498866,0.0754648526077,4,3,2,2,2,0.29716553288,"""4/4""",68,0.730173835915,68.8051558637,2,0,1,F-,A1,lick
5.21868480726,0.107392290249,4,3,2,2,3,0.29716553288,"""4/4""",70,0.836557965565,70.1040568155,2,0,1,F-,A1,lick
5.3387755102,0.204081632653,4,4,2,3,1,0.328344671202,"""4/4""",67,0.959544956912,72.610480233,2,0,1,F-,A1,lick
5.58775510204,0.204081632653,4,4,2,3,4,0.328344671202,"""4/4""",65,0.936190288674,69.4884422368,2,0,1,Bb7,A1,lick
5.83691609977,0.13641723356,4,2,2,4,2,0.317823129252,"""4/4""",63,0.283219420468,57.8682630462,2,0,1,Bb7,A1,lick
5.99945578231,0.174149659864,4,1,3,1,1,0.292811791383,"""4/4""",62,0.433950441038,60.1253319485,2,0,1,Ebj7,A1,lick
6.51900226757,0.139319727891,4,2,3,2,2,0.323083900227,"""4/4""",62,0.419155124854,63.5955740039,2,0,1,Ebj7,A1,lick
7.11691609977,0.0696598639456,4,2,3,4,2,0.312585034014,"""4/4""",58,-0.0142099321615,56.4193499398,3,1,1,Ebj7,A1,lick
7.21850340136,0.174149659864,4,2,4,1,1,0.317619047619,"""4/4""",60,0.847332310197,69.6882490432,3,0,1,Eb-,A1,lick
7.40136054422,0.116099773243,4,2,4,1,2,0.317619047619,"""4/4""",61,0.783810246352,68.6799187526,3,0,1,Eb-,A1,lick
7.55229024943,0.165442176871,4,1,4,2,1,0.302743764172,"""4/4""",58,0.388140010997,62.5974694521,3,0,1,Eb-,A1,lick
7.80480725624,0.214784580499,4,4,4,3,1,0.322879818594,"""4/4""",60,0.906697589924,70.0588062637,3,0,1,Eb-,A1,lick
8.07764172336,0.0754648526077,4,4,4,3,4,0.322879818594,"""4/4""",56,0.526957551,64.639734494,3,0,1,Ab7,A1,lick
8.34176870748,0.168344671202,4,2,4,4,2,0.302630385488,"""4/4""",60,0.801325322958,68.15373982,3,0,1,Ab7,A1,lick
8.99192743764,0.0696598639456,4,2,5,2,2,0.304761904762,"""4/4""",56,0.622766374146,65.381678357,4,1,1,Dbj7,A1,lick
9.12253968254,0.142222222222,4,2,5,3,1,0.301655328798,"""4/4""",63,0.761592370122,68.2238325356,4,0,1,Dbj7,A1,lick
9.30249433107,0.107392290249,4,2,5,3,2,0.301655328798,"""4/4""",60,0.634975728865,68.2115761417,4,0,1,Dbj7,A1,lick
9.43600907029,0.142222222222,4,2,5,4,1,0.306984126984,"""4/4""",61,0.259702352397,60.0026000173,4,0,1,Dbj7,A1,lick
9.59274376417,0.139319727891,4,2,5,4,2,0.306984126984,"""4/4""",62,0.907456174618,67.9254803475,4,0,1,Dbj7,A1,lick
9.91782312925,0.0725623582766,4,2,6,1,2,0.303718820862,"""4/4""",58,0.436905490163,63.8222329581,4,0,1,Go,A1,lick
10.0542403628,0.119002267574,4,2,6,2,1,0.313106575964,"""4/4""",62,0.204533139445,61.5180792155,4,0,1,Go,A1,lick
10.2283900227,0.0725623582766,4,2,6,2,2,0.313106575964,"""4/4""",65,0.816642983084,63.2887020105,4,0,1,Go,A1,lick
10.3473922902,0.182857142857,4,3,6,3,1,0.316848072562,"""4/4""",69,1.09599592713,72.3787113697,4,0,1,C7,A1,lick
10.5592743764,0.101587301587,4,3,6,3,3,0.316848072562,"""4/4""",68,1.0013340236,71.9554491814,4,0,1,C7,A1,lick
10.6927891156,0.148027210884,4,4,6,4,2,0.322925170068,"""4/4""",64,0.54577964185,64.7488249528,4,0,1,C7,A1,lick
10.8698412698,0.0609523809524,4,4,6,4,4,0.322925170068,"""4/4""",62,0.0648427386115,57.7799282198,4,0,1,C7,A1,lick
10.9946485261,0.130612244898,4,2,7,1,1,0.313446712018,"""4/4""",67,0.422905048207,63.901030192,4,0,1,Fj7,A1,lick
11.1658956916,0.0812698412698,4,2,7,1,2,0.313446712018,"""4/4""",70,0.927712345086,70.8114004591,4,0,1,Fj7,A1,lick
11.2703854875,0.104489795918,4,3,7,2,1,0.312494331066,"""4/4""",69,0.504681274065,61.0064550915,4,0,1,Fj7,A1,lick
11.3951927438,0.0522448979592,4,3,7,2,2,0.312494331066,"""4/4""",67,0.103558898357,55.4221013971,4,0,1,Fj7,A1,lick
11.485170068,0.159637188209,4,3,7,2,3,0.312494331066,"""4/4""",72,0.850311720765,70.8655966084,4,0,1,Fj7,A1,lick
12.2078911565,0.235102040816,4,4,8,1,1,0.331836734694,"""4/4""",68,1.09492090043,71.7956870882,5,1,1,Fo,A1,line_w_d
12.4693877551,0.0775510204082,4,4,8,1,4,0.331836734694,"""4/4""",67,0.838730634752,69.8420278583,5,0,1,Fo,A1,line_w_d
12.5795918367,0.10612244898,4,4,8,2,2,0.322879818594,"""4/4""",65,0.874007892206,71.0033157851,5,0,1,Fo,A1,line_w_d
12.693877551,0.0673469387755,4,4,8,2,3,0.322879818594,"""4/4""",64,0.653260620613,67.7941527854,5,0,1,Fo,A1,line_w_d
12.7734693878,0.0755102040816,4,4,8,2,4,0.322879818594,"""4/4""",63,0.332596215976,61.4908067893,5,0,1,Fo,A1,line_w_d
12.8795918367,0.065306122449,4,6,8,3,1,0.31335600907,"""4/4""",62,0.654150125415,64.2779900251,5,0,1,Bb7,A1,line_w_d
12.9775510204,0.0673469387755,4,6,8,3,3,0.31335600907,"""4/4""",60,0.526665612803,66.9183269148,5,0,1,Bb7,A1,line_w_d
13.0693877551,0.0530612244898,4,6,8,3,5,0.31335600907,"""4/4""",59,0.262802284679,61.6612972703,5,0,1,Bb7,A1,line_w_d
13.1244897959,0.069387755102,4,6,8,3,6,0.31335600907,"""4/4""",60,0.49330142407,65.5690936401,5,0,1,Bb7,A1,line_w_d
13.206122449,0.0877551020408,4,3,8,4,1,0.312585034014,"""4/4""",62,0.398108520949,62.8706329408,5,0,1,Bb7,A1,line_w_d
13.3020408163,0.0591836734694,4,3,8,4,2,0.312585034014,"""4/4""",60,0.557554198579,66.9507485454,5,0,1,Bb7,A1,line_w_d
13.4224489796,0.0551020408163,4,3,8,4,3,0.312585034014,"""4/4""",57,-0.388808513874,53.5713155177,5,0,1,Bb7,A1,line_w_d
13.5040816327,0.118367346939,4,1,9,1,1,0.317709750567,"""4/4""",58,0.41313066725,59.0678124105,5,0,1,Ebj7,A2,line_w_d
13.9673469388,0.126530612245,4,2,9,2,2,0.313151927438,"""4/4""",62,0.778892771248,61.8357346573,6,1,1,Ebj7,A2,##+lick
