onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
29.0684807256,0.127709750567,4,2,1,1,2,0.183832199546,"""4/4""",64,1.00896596716,68.2119046111,1,1,-1,C#-7,B1,lick
29.1961904762,0.0464399092971,4,3,1,2,2,0.183832199546,"""4/4""",63,0.75172120276,72.0921139845,1,0,-1,C#-7,B1,lick
29.2542403628,0.156734693878,4,3,1,2,3,0.183832199546,"""4/4""",64,0.91804154196,67.36439566,1,0,-1,C#-7,B1,lick
29.4545124717,0.043537414966,4,4,1,3,4,0.193616780045,"""4/4""",65,0.532237304444,68.4966883743,1,0,-1,C#-7,B1,lick
29.5183673469,0.0493424036281,4,3,1,4,1,0.193616780045,"""4/4""",66,0.449544411602,68.213346342,1,0,-1,C#-7,B1,lick
29.5793197279,0.087074829932,4,3,1,4,2,0.193616780045,"""4/4""",68,0.700608091967,68.7469071794,1,0,-1,C#-7,B1,lick
29.6663945578,0.0667573696145,4,3,1,4,3,0.193616780045,"""4/4""",70,0.353121418347,66.7188518068,1,0,-1,C#-7,B1,lick
29.7360544218,0.121904761905,4,4,2,1,2,0.215476190476,"""4/4""",74,0.949998621705,73.3781225975,1,0,-1,F#7,B1,lick
29.8666666667,0.0406349206349,4,4,2,1,4,0.215476190476,"""4/4""",75,0.775829481939,72.3701091468,1,0,-1,F#7,B1,lick
29.9334240363,0.13641723356,4,4,2,2,1,0.215476190476,"""4/4""",78,0.998923968039,70.9221428286,1,0,-1,F#7,B1,lick
30.0959637188,0.130612244898,4,4,2,2,4,0.215476190476,"""4/4""",74,0.8188812682,70.4023538808,1,0,-1,F#7,B1,lick
30.238185941,0.133514739229,4,2,2,3,2,0.196439909297,"""4/4""",78,1.05288704327,68.172296472,1,0,-1,F#7,B1,lick
30.3920181406,0.301859410431,4,2,2,4,2,0.196439909297,"""4/4""",73,0.705268212231,68.752961008,1,0,-1,F#7,B1,lick
32.2438095238,0.107392290249,4,2,5,2,1,0.188866213152,"""4/4""",62,0.884248695656,68.7119844091,2,1,-1,B-7,B1,#-lick
32.3570068027,0.0464399092971,4,2,5,2,2,0.188866213152,"""4/4""",61,0.641078529965,69.1609646055,2,0,-1,B-7,B1,#-lick
32.4324716553,0.150929705215,4,4,5,3,1,0.20619047619,"""4/4""",62,0.851092524092,71.018699051,2,0,-1,B-7,B1,#-lick
32.5979138322,0.0580498866213,4,4,5,3,4,0.20619047619,"""4/4""",64,0.436713674577,66.8318136568,2,0,-1,B-7,B1,#-lick
32.6820861678,0.087074829932,4,2,5,4,1,0.20619047619,"""4/4""",66,0.475089059301,68.0363513155,2,0,-1,B-7,B1,#-lick
32.789478458,0.139319727891,4,2,5,4,2,0.20619047619,"""4/4""",68,0.808487034944,68.6088715939,2,0,-1,B-7,B1,#-lick
32.9287981859,0.104489795918,4,2,6,1,2,0.193106575964,"""4/4""",72,1.08238261396,73.6275843309,2,0,-1,E7,B1,#-lick
33.0478004535,0.177052154195,4,1,6,2,1,0.193106575964,"""4/4""",76,0.836333547675,71.9413073846,2,0,-1,E7,B1,#-lick
33.2422675737,0.139319727891,4,4,6,3,1,0.191575963719,"""4/4""",72,1.0434895734,72.640249241,2,0,-1,E7,B1,#-lick
33.3931972789,0.127709750567,4,4,6,3,4,0.191575963719,"""4/4""",76,0.802931188858,72.6851363851,2,0,-1,E7,B1,#-lick
33.5238095238,0.417959183673,4,2,6,4,2,0.191575963719,"""4/4""",71,0.701248137557,65.4433773918,2,0,-1,E7,B1,#-lick
34.0027210884,0.101587301587,4,2,7,2,2,0.216541950113,"""4/4""",76,1.06764395054,71.6675335685,3,1,-1,Aj7,B1,~line_w
34.1159183673,0.0551473922902,4,4,7,3,2,0.200612244898,"""4/4""",74,0.588563070944,69.9016438587,3,0,-1,Aj7,B1,~line_w
34.173968254,0.0406349206349,4,4,7,3,3,0.200612244898,"""4/4""",73,0.526008826248,68.7969804187,3,0,-1,Aj7,B1,~line_w
34.2668480726,0.0783673469388,4,2,7,4,1,0.200612244898,"""4/4""",64,0.197625081709,62.1247197954,3,0,-1,Aj7,B1,~line_w
34.3539229025,0.0783673469388,4,2,7,4,2,0.200612244898,"""4/4""",66,0.364932067133,66.1829510462,3,0,-1,Aj7,B1,~line_w
34.4380952381,0.0986848072562,4,2,8,1,1,0.203299319728,"""4/4""",68,0.793340574857,70.5475351416,3,0,-1,Aj7,B1,~line_w
34.56,0.089977324263,4,2,8,1,2,0.203299319728,"""4/4""",71,0.741227614159,71.260256999,3,0,-1,Aj7,B1,~line_w
34.6528798186,0.107392290249,4,2,8,2,1,0.203299319728,"""4/4""",68,0.684685497296,70.0567399861,3,0,-1,Aj7,B1,~line_w
34.7602721088,0.0725623582766,4,2,8,2,2,0.203299319728,"""4/4""",69,0.487663738612,66.2093345462,3,0,-1,Aj7,B1,~line_w
34.8473469388,0.0609523809524,4,4,8,3,1,0.210680272109,"""4/4""",71,0.206661688756,64.3123061433,3,0,-1,Aj7,B1,~line_w
34.9199092971,0.124807256236,4,4,8,3,2,0.210680272109,"""4/4""",73,0.952688275383,73.0499959625,3,0,-1,Aj7,B1,~line_w
35.0534240363,0.185759637188,4,4,8,3,4,0.210680272109,"""4/4""",76,0.990681476248,71.3977835376,3,0,-1,Aj7,B1,~line_w
35.7006802721,0.145124716553,4,4,9,3,1,0.206077097506,"""4/4""",69,1.00909229843,72.968170212,4,1,-1,A-7,B1,line_w
35.8545124717,0.0754648526077,4,4,9,3,4,0.206077097506,"""4/4""",72,0.379714843016,66.418228243,4,0,-1,A-7,B1,line_w
35.9299773243,0.0812698412698,4,2,9,4,1,0.206077097506,"""4/4""",76,0.967845815089,71.8528876866,4,0,-1,A-7,B1,line_w
36.0199546485,0.0957823129252,4,2,9,4,2,0.206077097506,"""4/4""",79,0.847431927741,73.4766193562,4,0,-1,A-7,B1,line_w
36.1273469388,0.087074829932,4,2,10,1,1,0.211031746032,"""4/4""",78,1.06941733695,75.2373814441,4,0,-1,D7,B1,line_w
36.2318367347,0.101587301587,4,2,10,1,2,0.211031746032,"""4/4""",76,0.936366203807,74.7947217233,4,0,-1,D7,B1,line_w
36.3508390023,0.107392290249,4,2,10,2,1,0.211031746032,"""4/4""",74,0.819456409095,70.3126339801,4,0,-1,D7,B1,line_w
36.4582312925,0.0638548752834,4,2,10,2,2,0.211031746032,"""4/4""",73,0.876895575532,71.8276549602,4,0,-1,D7,B1,line_w
36.5511111111,0.145124716553,4,1,10,3,1,0.193639455782,"""4/4""",72,0.954001146045,74.1128311078,4,0,-1,D7,B1,line_w
37.1780498866,0.101587301587,4,2,11,2,2,0.191145124717,"""4/4""",74,1.06062648856,72.1832799371,5,1,-1,Gj7,B1,line_w
37.2825396825,0.0986848072562,4,2,11,3,1,0.1860430839,"""4/4""",72,1.06062648856,69.6822607719,5,0,-1,Gj7,B1,line_w
37.3928344671,0.104489795918,4,2,11,3,2,0.1860430839,"""4/4""",67,0.779455388548,66.0219447656,5,0,-1,Gj7,B1,line_w
