onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
5.12448979592,0.397641723356,4,2,0,3,2,0.407755102041,"""4/4""",60,0.768222993075,65.1843203186,1,1,-1,NC,I1,lick
5.53505668934,0.0841723356009,4,4,0,4,3,0.422358276644,"""4/4""",63,0.439719043616,59.8714621031,1,0,-1,NC,I1,lick
5.62503401361,0.087074829932,4,4,0,4,4,0.422358276644,"""4/4""",67,0.68633843781,63.5573986095,1,0,-1,NC,I1,lick
5.72081632653,0.269931972789,4,3,1,1,1,0.421133786848,"""4/4""",70,0.997749362175,71.7409844818,1,0,-1,NC,I1,lick
5.99795918367,0.133514739229,4,3,1,1,3,0.421133786848,"""4/4""",67,0.244003953974,60.3649442468,1,0,1,F-7,A1,lick
6.14693877551,0.278639455782,4,4,1,2,1,0.397369614512,"""4/4""",68,0.801117216448,68.662997123,1,0,1,F-7,A1,lick
6.44825396825,0.325079365079,4,4,1,2,4,0.397369614512,"""4/4""",59,-0.0713719847402,53.090970158,1,0,1,F-7,A1,lick
6.81224489796,0.371428571429,4,2,1,3,2,0.423764172336,"""4/4""",67,0.67678088475,65.7487342724,1,0,1,Bb7,A1,lick
7.18947845805,0.185759637188,4,2,1,4,2,0.425759637188,"""4/4""",65,0.716211364174,68.3737208228,1,0,1,Bb7,A1,lick
7.4,0.126530612245,4,2,2,1,1,0.410158730159,"""4/4""",61,0.526976581612,61.7394880822,1,0,1,Ebj7,A1,lick
7.56326530612,0.481632653061,4,2,2,1,2,0.410158730159,"""4/4""",62,0.372991829736,57.0193080715,1,0,1,Ebj7,A1,lick
8.06893424036,0.2989569161,4,2,2,2,2,0.41358276644,"""4/4""",65,0.821073154552,69.3288127426,1,0,1,Ebj7,A1,lick
8.88380952381,0.149841269841,4,2,2,4,2,0.407097505669,"""4/4""",63,1.00675191348,67.8515956013,2,1,1,Ebj7,A1,lick
9.18204081633,0.077641723356,4,4,3,1,2,0.414716553288,"""4/4""",60,-0.0436375442327,57.0733716721,2,0,1,F-7,A1,lick
9.25968253968,0.121904761905,4,4,3,1,3,0.414716553288,"""4/4""",67,0.707065183308,66.1162957825,2,0,1,F-7,A1,lick
9.41632653061,0.240816326531,4,4,3,1,4,0.414716553288,"""4/4""",70,1.05058180683,71.6360247323,2,0,1,F-7,A1,lick
9.68380952381,0.134603174603,4,6,3,2,4,0.4,"""4/4""",67,0.328712286548,60.9552714916,2,0,1,F-7,A1,lick
9.83111111111,0.180317460317,4,6,3,2,6,0.4,"""4/4""",68,0.670889134859,66.9981462432,2,0,1,F-7,A1,lick
10.0571428571,0.163265306122,4,2,3,3,2,0.386303854875,"""4/4""",73,1.21859285665,73.6223294441,2,0,1,Bb7,A1,lick
10.2326530612,0.0612244897959,4,4,3,4,1,0.383197278912,"""4/4""",71,0.36164203481,64.2956154482,2,0,1,Bb7,A1,lick
10.3020408163,0.0816326530612,4,4,3,4,2,0.383197278912,"""4/4""",73,0.122501968448,59.850485233,2,0,1,Bb7,A1,lick
10.3847619048,0.0787301587302,4,4,3,4,3,0.383197278912,"""4/4""",71,0.37816617442,64.1933524176,2,0,1,Bb7,A1,lick
10.4721995465,0.146575963719,4,4,3,4,4,0.383197278912,"""4/4""",69,0.387612562316,61.1250795023,2,0,1,Bb7,A1,lick
10.6793650794,0.205714285714,4,2,4,1,1,0.405941043084,"""4/4""",70,0.646091655064,65.8022583532,2,0,1,Ebj7,A1,lick
10.9003174603,0.548571428571,4,2,4,1,2,0.405941043084,"""4/4""",67,0.722109373091,56.1771770169,2,0,1,Ebj7,A1,lick
12.587755102,0.130612244898,4,4,5,1,4,0.411315192744,"""4/4""",64,0.573426560924,63.3028460681,3,1,1,F-7,A1,line_cx
12.7314285714,0.121904761905,4,3,5,2,1,0.416734693878,"""4/4""",65,0.705658160647,67.6855594882,3,0,1,F-7,A1,line_cx
12.8612244898,0.0897959183673,4,3,5,2,2,0.416734693878,"""4/4""",68,0.557264662248,56.7670766341,3,0,1,F-7,A1,line_cx
12.9510204082,0.171428571429,4,3,5,2,3,0.416734693878,"""4/4""",72,0.885894220975,66.8843231752,3,0,1,F-7,A1,line_cx
13.1387755102,0.220952380952,4,2,5,3,1,0.402653061224,"""4/4""",75,1.22259832934,76.7156869731,3,0,1,Bb7,A1,line_cx
13.3638095238,0.210793650794,4,2,5,3,2,0.402653061224,"""4/4""",74,1.20045990206,73.4722870989,3,0,1,Bb7,A1,line_cx
13.5822222222,0.190476190476,4,2,5,4,1,0.402675736961,"""4/4""",72,1.02476311883,73.5510101514,3,0,1,Bb7,A1,line_cx
13.7853968254,0.165079365079,4,2,5,4,2,0.402675736961,"""4/4""",71,0.77184709751,68.32303848,3,0,1,Bb7,A1,line_cx
13.9936507937,0.101587301587,4,4,6,1,2,0.425238095238,"""4/4""",72,0.263432259803,62.5693572265,3,0,1,G-7,A1,line_cx
14.1028571429,0.0711111111111,4,4,6,1,3,0.425238095238,"""4/4""",70,0.454184241167,65.1512984407,3,0,1,G-7,A1,line_cx
14.179047619,0.15746031746,4,4,6,1,4,0.425238095238,"""4/4""",68,0.682444135672,68.8240087477,3,0,1,G-7,A1,line_cx
14.3441269841,0.220589569161,4,2,6,2,1,0.392925170068,"""4/4""",67,0.739173740544,69.0029394875,3,0,1,G-7,A1,line_cx
14.570521542,0.194467120181,4,2,6,2,2,0.392925170068,"""4/4""",65,0.706088876193,68.1095065657,3,0,1,G-7,A1,line_cx
14.7736961451,0.153832199546,4,2,6,3,1,0.422154195011,"""4/4""",64,0.501151850914,65.1050556369,3,0,1,C7,A1,line_cx
14.9968253968,0.147301587302,4,2,6,3,2,0.422154195011,"""4/4""",55,0.404944539703,57.9538501355,3,0,1,C7,A1,lick
15.1542857143,0.208253968254,4,2,6,4,1,0.412380952381,"""4/4""",58,0.281602209101,57.3394300912,3,0,1,C7,A1,lick
15.393877551,0.20612244898,4,2,6,4,2,0.412380952381,"""4/4""",61,0.553540126206,65.4536712588,3,0,1,C7,A1,lick
15.6020408163,0.171428571429,4,3,7,1,1,0.391950113379,"""4/4""",60,0.286345936361,61.6296083202,3,0,1,F-7,A1,lick
