onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
1.77142857143,0.134693877551,4,12,0,4,5,0.85306122449,"""4/4""",67,1.10633305134,73.1335577904,1,1,-1,D7,I1,melody
1.91428571429,0.118367346939,4,12,0,4,7,0.85306122449,"""4/4""",66,1.02072215063,72.6958928704,1,0,-1,D7,I1,melody
2.04081632653,0.0816326530612,4,12,0,4,9,0.85306122449,"""4/4""",65,0.590014291914,68.5200305664,1,0,-1,D7,I1,melody
2.1387755102,0.130612244898,4,12,0,4,10,0.85306122449,"""4/4""",64,0.707449964782,66.5719082213,1,0,-1,D7,I1,melody
2.28571428571,0.122448979592,4,12,0,4,12,0.85306122449,"""4/4""",63,0.686266080049,67.7616336236,1,0,-1,D7,I1,melody
2.43265306122,1.07346938776,4,1,1,1,1,0.822789115646,"""4/4""",62,0.659999156281,65.9927795492,1,0,1,Gj7,A1,melody
3.54285714286,0.273469387755,4,3,1,2,2,0.902448979592,"""4/4""",64,0.96369784244,71.3744152879,1,0,1,Gj7,A1,melody
3.82857142857,0.25306122449,4,3,1,2,3,0.902448979592,"""4/4""",66,0.929696776442,71.4822843247,1,0,1,Gj7,A1,melody
4.08979591837,1.97551020408,4,1,1,3,1,0.884829931973,"""4/4""",69,0.592540370979,60.6231319282,1,0,1,Gj7,A1,melody
6.98775510204,0.0734693877551,4,8,2,2,4,0.9279138322,"""4/4""",67,0.681738759729,70.5319861384,2,1,1,Gj7,A1,lick
7.0612244898,0.0408163265306,4,8,2,2,5,0.9279138322,"""4/4""",68,0.650293154889,69.3016502216,2,0,1,Gj7,A1,lick
7.10612244898,0.10612244898,4,8,2,2,6,0.9279138322,"""4/4""",67,0.890345023729,72.3725347401,2,0,1,Gj7,A1,lick
7.21632653061,0.163265306122,4,8,2,2,7,0.9279138322,"""4/4""",66,0.772518636705,70.8447582336,2,0,1,Gj7,A1,lick
7.37959183673,0.212244897959,4,8,2,2,8,0.9279138322,"""4/4""",67,0.917317016491,73.1744747999,2,0,1,Gj7,A1,lick
7.61224489796,0.204081632653,4,4,2,3,1,0.896371882086,"""4/4""",69,0.604089070906,67.7077150479,2,0,1,Gj7,A1,lick
7.84081632653,0.179591836735,4,4,2,3,2,0.896371882086,"""4/4""",67,0.908163769057,73.0611501213,2,0,1,Gj7,A1,lick
8.04081632653,0.232653061224,4,4,2,3,3,0.896371882086,"""4/4""",66,0.720267001553,69.3766692821,2,0,1,Gj7,A1,lick
8.28163265306,0.224489795918,4,4,2,3,4,0.896371882086,"""4/4""",67,0.786769751773,68.0946214384,2,0,1,Gj7,A1,lick
8.52244897959,0.10612244898,4,4,2,4,1,0.866485260771,"""4/4""",60,0.406444058417,65.9015897184,2,0,1,Gj7,A1,lick
8.69795918367,0.273469387755,4,4,2,4,2,0.866485260771,"""4/4""",62,0.99696475156,69.3805867198,2,0,1,Gj7,A1,lick
8.97551020408,0.191836734694,4,4,2,4,3,0.866485260771,"""4/4""",64,0.598118971086,66.2980595579,2,0,1,Gj7,A1,lick
9.18349206349,0.121904761905,4,4,2,4,4,0.866485260771,"""4/4""",62,0.484942578323,65.0868820236,2,0,1,Gj7,A1,lick
9.3387755102,0.281632653061,4,8,3,1,1,0.838820861678,"""4/4""",65,0.68006335157,69.4392966777,2,0,1,Bb-7,A1,lick
9.65306122449,0.167346938776,4,8,3,1,4,0.838820861678,"""4/4""",58,0.202881504788,61.1700579372,2,0,1,Bb-7,A1,lick
9.84081632653,0.228571428571,4,8,3,1,6,0.838820861678,"""4/4""",60,0.35528691972,64.1238982901,2,0,1,Bb-7,A1,lick
10.0816326531,0.873469387755,4,8,3,1,8,0.838820861678,"""4/4""",61,0.770453270976,59.136383565,2,0,1,Bb-7,A1,lick
12.9828571429,0.089977324263,4,9,4,1,4,0.876575963719,"""4/4""",58,0.329923830636,60.2559437479,3,1,1,Eb7,A1,line_t_alds
13.0815419501,0.11029478458,4,9,4,1,5,0.876575963719,"""4/4""",61,0.621222101136,67.8141740582,3,0,1,Eb7,A1,line_t_alds
13.1918367347,0.0957823129252,4,9,4,1,6,0.876575963719,"""4/4""",65,0.359536316105,64.5454782631,3,0,1,Eb7,A1,line_t_alds
13.290521542,0.0725623582766,4,9,4,1,7,0.876575963719,"""4/4""",68,0.460070119685,67.4291483378,3,0,1,Eb7,A1,line_t_alds
13.3746938776,0.089977324263,4,9,4,1,8,0.876575963719,"""4/4""",72,0.406267297266,63.310403547,3,0,1,Eb7,A1,line_t_alds
13.4820861678,0.104489795918,4,9,4,1,9,0.876575963719,"""4/4""",75,0.544577469232,68.7323688856,3,0,1,Eb7,A1,line_t_alds
13.5865759637,0.258321995465,4,1,4,2,1,0.866530612245,"""4/4""",72,0.616953884239,51.9573864721,3,0,1,Eb7,A1,line_t_alds
14.6575963719,0.113197278912,4,5,4,3,2,0.837052154195,"""4/4""",72,0.700189755458,68.4477800752,4,1,1,Eb7,A1,lick
14.7765986395,0.107392290249,4,5,4,3,3,0.837052154195,"""4/4""",75,0.69114344431,69.3410495232,4,0,1,Eb7,A1,lick
14.8897959184,0.107392290249,4,5,4,3,4,0.837052154195,"""4/4""",71,0.583044490821,65.04841914,4,0,1,Eb7,A1,lick
15.1016780045,0.130612244898,4,5,4,3,5,0.837052154195,"""4/4""",71,0.546940705175,65.6643087623,4,0,1,Eb7,A1,lick
15.2322902494,0.116099773243,4,4,4,4,1,0.849614512472,"""4/4""",75,0.243757975547,63.9332480425,4,0,1,Eb7,A1,lick
15.3629024943,0.13641723356,4,4,4,4,2,0.849614512472,"""4/4""",70,0.260159906804,64.8502177041,4,0,1,Eb7,A1,lick
16.3526530612,0.127709750567,4,9,5,1,4,0.85664399093,"""4/4""",61,0.751804923814,70.7860132582,5,1,1,Gj7,A1,line_w
16.4861678005,0.0783673469388,4,9,5,1,5,0.85664399093,"""4/4""",62,1.00637394005,73.3851659914,5,0,1,Gj7,A1,line_w
16.5674376417,0.0783673469388,4,9,5,1,6,0.85664399093,"""4/4""",64,0.837604807932,71.1274813931,5,0,1,Gj7,A1,line_w
16.6458049887,0.0986848072562,4,9,5,1,7,0.85664399093,"""4/4""",66,0.843709608682,72.2618703568,5,0,1,Gj7,A1,line_w
16.7531972789,0.119002267574,4,9,5,1,8,0.85664399093,"""4/4""",67,0.911396031172,71.4190921414,5,0,1,Gj7,A1,line_w
16.8780045351,0.113197278912,4,9,5,1,9,0.85664399093,"""4/4""",69,0.653427988944,69.1183355511,5,0,1,Gj7,A1,line_w
16.9912018141,0.0667573696145,4,8,5,2,1,0.839319727891,"""4/4""",66,0.775820757059,68.02745242,5,0,1,Gj7,A1,line_w
17.0637641723,0.11029478458,4,8,5,2,2,0.839319727891,"""4/4""",67,0.975745935445,74.1173648149,5,0,1,Gj7,A1,line_w
17.1798639456,0.11029478458,4,8,5,2,3,0.839319727891,"""4/4""",64,0.892862666316,72.3757731025,5,0,1,Gj7,A1,line_w
17.2959637188,0.089977324263,4,8,5,2,4,0.839319727891,"""4/4""",60,0.239812838794,62.2061085988,5,0,1,Gj7,A1,line_w
17.4033560091,0.087074829932,4,8,5,2,5,0.839319727891,"""4/4""",57,0.421027953466,64.7723706365,5,0,1,Gj7,A1,line_w
17.490430839,0.13641723356,4,8,5,2,6,0.839319727891,"""4/4""",62,1.0001580063,73.3828632952,5,0,1,Gj7,A1,line_w
17.6384580499,0.0667573696145,4,8,5,2,7,0.839319727891,"""4/4""",54,0.685427092841,69.2931335445,5,0,1,Gj7,A1,line_w
17.7139229025,0.116099773243,4,8,5,2,8,0.839319727891,"""4/4""",55,1.07149046175,71.8700673767,5,0,1,Gj7,A1,line_w
17.8329251701,0.0812698412698,4,7,5,3,1,0.847369614512,"""4/4""",60,0.519659060299,67.8649363078,5,0,1,Gj7,A1,line_w
17.937414966,0.0812698412698,4,7,5,3,2,0.847369614512,"""4/4""",59,0.698941835039,66.5079230178,5,0,1,Gj7,A1,line_w
18.0273922902,0.0957823129252,4,7,5,3,3,0.847369614512,"""4/4""",55,1.30957022257,74.4315899748,5,0,1,Gj7,A1,line_w
18.1714285714,0.118367346939,4,7,5,3,4,0.847369614512,"""4/4""",52,0.765437407736,67.642877634,5,0,1,Gj7,A1,line_w
18.2944217687,0.0957823129252,4,7,5,3,5,0.847369614512,"""4/4""",53,0.892067113791,71.459454716,5,0,1,Gj7,A1,line_w
18.3989115646,0.101587301587,4,7,5,3,6,0.847369614512,"""4/4""",57,0.99445838181,74.4072129508,5,0,1,Gj7,A1,line_w
18.5208163265,0.0841723356009,4,7,5,3,7,0.847369614512,"""4/4""",54,0.938254443918,71.3752297546,5,0,1,Gj7,A1,line_w
18.6136961451,0.107392290249,4,8,5,4,1,0.904489795918,"""4/4""",55,0.996997880342,71.7890138734,5,0,1,Gj7,A1,line_w
18.726893424,0.0957823129252,4,8,5,4,2,0.904489795918,"""4/4""",57,0.561831426147,66.7049486251,5,0,1,Gj7,A1,line_w
18.822675737,0.0928798185941,4,8,5,4,3,0.904489795918,"""4/4""",59,-0.390235650687,54.1119209789,5,0,1,Gj7,A1,line_w
18.9358730159,0.0928798185941,4,8,5,4,4,0.904489795918,"""4/4""",60,0.498769369251,66.3385674656,5,0,1,Gj7,A1,line_w
19.0345578231,0.206077097506,4,8,5,4,5,0.904489795918,"""4/4""",62,0.97681611024,68.768512973,5,0,1,Gj7,A1,line_w
19.2464399093,0.107392290249,4,8,5,4,6,0.904489795918,"""4/4""",59,0.0359539742146,56.7830515878,5,0,1,Gj7,A1,line_w
19.3596371882,0.116099773243,4,8,5,4,7,0.904489795918,"""4/4""",62,0.738530112701,67.7703386941,5,0,1,Gj7,A1,line_w
19.4786394558,0.089977324263,4,8,5,4,8,0.904489795918,"""4/4""",64,0.592490350486,67.1995066598,5,0,1,Gj7,A1,line_w
19.5744217687,0.0754648526077,4,8,6,1,1,0.874353741497,"""4/4""",66,0.832367705839,69.8501057087,5,0,1,Gj7,A1,line_w
19.6585941043,0.113197278912,4,8,6,1,2,0.874353741497,"""4/4""",69,0.766307398557,66.684950978,5,0,1,Gj7,A1,line_w
19.7804988662,0.0841723356009,4,8,6,1,3,0.874353741497,"""4/4""",66,0.620653613841,68.6612397103,5,0,1,Gj7,A1,line_w
19.8704761905,0.116099773243,4,8,6,1,4,0.874353741497,"""4/4""",67,0.638210577528,68.8146586535,5,0,1,Gj7,A1,line_w
19.9865759637,0.0290249433107,4,8,6,1,5,0.874353741497,"""4/4""",71,-0.461752403001,54.4664981986,5,0,1,Gj7,A1,~lick
