onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
7.5958276644,0.139319727891,4,6,0,3,2,1.25199546485,"""4/4""",53,55.7891415,1,1,-1,NC,I1,lick
7.76562358277,0.203174603175,4,6,0,3,3,1.25199546485,"""4/4""",55,54.4779841377,1,0,-1,NC,I1,lick
7.99795918367,0.0510204081633,4,6,0,3,4,1.25199546485,"""4/4""",56,57.6162664239,1,0,-1,NC,I1,lick
8.05816326531,0.259183673469,4,6,0,3,5,1.25199546485,"""4/4""",57,57.3749158032,1,0,-1,NC,I1,lick
8.33596371882,0.246712018141,4,6,0,3,6,1.25199546485,"""4/4""",60,62.7682586471,1,0,-1,NC,I1,lick
8.59718820862,0.371519274376,4,6,0,4,1,1.21024943311,"""4/4""",62,61.119572989,1,0,-1,NC,I1,lick
9.01514739229,0.133514739229,4,6,0,4,3,1.21024943311,"""4/4""",65,53.6087249031,1,0,-1,NC,I1,lick
9.23573696145,0.0551473922902,4,6,0,4,4,1.21024943311,"""4/4""",68,62.3890492745,1,0,-1,NC,I1,lick
9.30829931973,0.278639455782,4,6,0,4,5,1.21024943311,"""4/4""",69,57.7683922814,1,0,-1,NC,I1,lick
9.60145124717,0.21768707483,4,6,0,4,6,1.21024943311,"""4/4""",72,58.0815863296,1,0,-1,NC,I1,lick
9.82494331066,0.954920634921,4,4,1,1,1,1.22510204082,"""4/4""",71,62.5288467784,1,0,1,D-,A1,lick
10.8466213152,0.174149659864,4,4,1,1,4,1.22510204082,"""4/4""",67,60.1225782201,1,0,1,D-,A1,lick
11.029478458,0.121904761905,4,4,1,2,1,1.14401360544,"""4/4""",71,64.7305450574,1,0,1,D-,A1,lick
11.1717006803,0.156734693878,4,4,1,2,2,1.14401360544,"""4/4""",67,59.2116225322,1,0,1,D-,A1,lick
11.9800453515,0.20462585034,4,4,1,2,4,1.14401360544,"""4/4""",67,65.550106815,2,1,1,D-,A1,#lick
12.1977324263,0.0841723356009,4,9,1,3,1,1.26002267574,"""4/4""",69,68.6009868522,2,0,1,D-j7,A1,#lick
12.3167346939,0.267029478458,4,9,1,3,2,1.26002267574,"""4/4""",71,72.5610010114,2,0,1,D-j7,A1,#lick
12.6011791383,0.145124716553,4,9,1,3,4,1.26002267574,"""4/4""",67,61.7366107865,2,0,1,D-j7,A1,#lick
12.7709750567,0.0565986394558,4,9,1,3,5,1.26002267574,"""4/4""",69,60.4693651142,2,0,1,D-j7,A1,#lick
12.8304761905,0.177052154195,4,9,1,3,6,1.26002267574,"""4/4""",71,68.9926629716,2,0,1,D-j7,A1,#lick
13.0118820862,0.142222222222,4,9,1,3,7,1.26002267574,"""4/4""",67,53.7754753681,2,0,1,D-j7,A1,#lick
13.1787755102,0.0885260770975,4,9,1,3,8,1.26002267574,"""4/4""",69,69.6644210214,2,0,1,D-j7,A1,#lick
13.290521542,0.174149659864,4,9,1,3,9,1.26002267574,"""4/4""",71,66.4256038201,2,0,1,D-j7,A1,#lick
14.3760544218,0.142222222222,4,4,1,4,4,1.12383219955,"""4/4""",67,67.6010155586,3,1,1,D-j7,A1,#lick
14.5777777778,0.0536961451247,4,6,2,1,1,1.17034013605,"""4/4""",69,70.5315871622,3,0,1,D-7,A1,#lick
14.6604988662,0.304761904762,4,6,2,1,2,1.17034013605,"""4/4""",71,72.642243015,3,0,1,D-7,A1,#lick
14.973968254,0.148027210884,4,6,2,1,3,1.17034013605,"""4/4""",67,57.9631561939,3,0,1,D-7,A1,#lick
15.1292517007,0.404897959184,4,6,2,1,4,1.17034013605,"""4/4""",72,67.6093933122,3,0,1,D-7,A1,#lick
15.5588208617,0.171247165533,4,6,2,1,6,1.17034013605,"""4/4""",74,60.9442752947,3,0,1,D-7,A1,#lick
15.7358730159,0.105941043084,4,6,2,2,1,1.16904761905,"""4/4""",69,70.7810027134,3,0,1,D-7,A1,#lick
15.850521542,0.0754648526077,4,6,2,2,2,1.16904761905,"""4/4""",71,72.6153831744,3,0,1,D-7,A1,#lick
15.9463038549,0.139319727891,4,6,2,2,3,1.16904761905,"""4/4""",67,70.2086666177,3,0,1,D-7,A1,#lick
