onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
6.83972789116,0.0918367346939,4,2,0,4,2,0.444897959184,"""4/4""",69,69.6111130526,1,1,-1,NC,I1,lick
7.08861678005,0.105759637188,4,4,1,1,2,0.440816326531,"""4/4""",68,69.5778223348,1,0,1,F-7,A1,lick
7.34040816327,0.0638548752834,4,4,1,1,4,0.440816326531,"""4/4""",65,64.8464701982,1,0,1,F-7,A1,lick
7.41714285714,0.130204081633,4,4,1,2,1,0.442857142857,"""4/4""",67,69.2541878726,1,0,1,F-7,A1,lick
7.56535147392,0.0740136054422,4,4,1,2,2,0.442857142857,"""4/4""",65,64.1347464739,1,0,1,F-7,A1,lick
7.6462585034,0.0943310657596,4,4,1,2,3,0.442857142857,"""4/4""",66,70.1878629652,1,0,1,F-7,A1,lick
7.7641723356,0.0972335600907,4,4,1,2,4,0.442857142857,"""4/4""",69,69.3963959225,1,0,1,F-7,A1,lick
7.89591836735,0.0887755102041,4,4,1,3,1,0.440181405896,"""4/4""",65,67.652202259,1,0,1,F-7,A1,lick
7.98775510204,0.120408163265,4,4,1,3,2,0.440181405896,"""4/4""",64,71.4778022643,1,0,1,F-7,A1,lick
8.12589569161,0.0939682539683,4,4,1,3,3,0.440181405896,"""4/4""",59,66.3965010464,1,0,1,F-7,A1,lick
8.24489795918,0.0384580498866,4,4,1,3,4,0.440181405896,"""4/4""",54,68.8059783725,1,0,1,F-7,A1,lick
8.35714285714,0.0897959183673,4,3,1,4,1,0.462879818594,"""4/4""",63,70.3989125151,1,0,1,F-7,A1,lick
8.44693877551,0.109183673469,4,3,1,4,2,0.462879818594,"""4/4""",62,72.7632086058,1,0,1,F-7,A1,lick
8.65741496599,0.0950566893424,4,3,1,4,3,0.462879818594,"""4/4""",61,72.560243439,1,0,1,F-7,A1,lick
8.87292517007,0.112471655329,4,4,2,1,2,0.429637188209,"""4/4""",69,69.9262874488,1,0,1,F-7,A1,lick
9.12979591837,0.0616780045351,4,4,2,1,4,0.429637188209,"""4/4""",63,63.7607291905,1,0,1,F-7,A1,lick
9.1914739229,0.12335600907,4,4,2,2,1,0.467301587302,"""4/4""",69,67.9869659559,1,0,1,F-7,A1,lick
9.3177324263,0.0972335600907,4,4,2,2,2,0.467301587302,"""4/4""",67,68.036352675,1,0,1,F-7,A1,lick
9.41569160998,0.105215419501,4,4,2,2,3,0.467301587302,"""4/4""",63,72.1971041681,1,0,1,F-7,A1,lick
10.4724489796,0.0663265306122,4,4,2,4,4,0.454965986395,"""4/4""",73,67.9638611128,2,1,1,F-7,A1,line_w
10.543877551,0.151020408163,4,6,3,1,1,0.452789115646,"""4/4""",72,65.1144456401,2,0,1,F-7,A1,line_w
10.7,0.117346938776,4,6,3,1,3,0.452789115646,"""4/4""",68,67.6837822333,2,0,1,F-7,A1,line_w
10.8183673469,0.0591836734694,4,6,3,1,4,0.452789115646,"""4/4""",65,66.2376784404,2,0,1,F-7,A1,line_w
10.8806122449,0.0459183673469,4,6,3,1,5,0.452789115646,"""4/4""",66,64.4098925507,2,0,1,F-7,A1,line_w
10.9278911565,0.100136054422,4,6,3,1,6,0.452789115646,"""4/4""",70,68.0046742913,2,0,1,F-7,A1,line_w
11.0614058957,0.110997732426,4,4,3,2,1,0.453514739229,"""4/4""",65,65.997372559,2,0,1,F-7,A1,line_w
11.1775056689,0.0670975056689,4,4,3,2,2,0.453514739229,"""4/4""",66,62.0389911918,2,0,1,F-7,A1,line_w
11.255170068,0.0778231292517,4,4,3,2,3,0.453514739229,"""4/4""",70,66.2494143305,2,0,1,F-7,A1,line_w
11.3796371882,0.0897959183673,4,4,3,2,4,0.453514739229,"""4/4""",68,67.6366560278,2,0,1,F-7,A1,line_w
11.4764172336,0.100272108844,4,4,3,3,1,0.448979591837,"""4/4""",66,64.6515317785,2,0,1,F-7,A1,line_w
11.5887755102,0.105102040816,4,4,3,3,2,0.448979591837,"""4/4""",63,72.3370604938,2,0,1,F-7,A1,line_w
11.7014058957,0.121972789116,4,4,3,3,3,0.448979591837,"""4/4""",62,71.8118265568,2,0,1,F-7,A1,line_w
11.8281179138,0.112743764172,4,4,3,3,4,0.448979591837,"""4/4""",60,70.5239763797,2,0,1,F-7,A1,line_w
11.9436054422,0.0925396825397,4,4,3,4,1,0.449342403628,"""4/4""",59,63.1776468555,2,0,1,F-7,A1,line_w
12.0551020408,0.0785714285714,4,4,3,4,2,0.449342403628,"""4/4""",63,70.1343868947,2,0,1,F-7,A1,line_w
12.1418367347,0.0755102040816,4,4,3,4,3,0.449342403628,"""4/4""",65,64.1865319481,2,0,1,F-7,A1,line_w
12.2520408163,0.0969387755102,4,4,3,4,4,0.449342403628,"""4/4""",69,68.2934823632,2,0,1,F-7,A1,~##lick
12.4992290249,0.112108843537,4,4,4,1,2,0.448117913832,"""4/4""",69,67.8026295942,2,0,1,F-7,A1,~##lick
12.7071201814,0.0536961451247,4,4,4,1,4,0.448117913832,"""4/4""",63,51.3628656484,2,0,1,F-7,A1,~##lick
12.8195918367,0.114285714286,4,4,4,2,1,0.458185941043,"""4/4""",69,68.6441221354,2,0,1,F-7,A1,~##lick
12.9407709751,0.0580498866213,4,4,4,2,2,0.458185941043,"""4/4""",68,68.3329671741,2,0,1,F-7,A1,~##lick
13.0367346939,0.159183673469,4,4,4,2,3,0.458185941043,"""4/4""",63,66.8286842858,2,0,1,F-7,A1,~##lick
13.4846938776,0.0459183673469,4,5,4,3,3,0.451746031746,"""4/4""",70,57.6868926449,3,1,1,F-7,A1,line_d
13.5342403628,0.062358276644,4,5,4,3,4,0.451746031746,"""4/4""",69,71.1537223748,3,0,1,F-7,A1,line_d
13.6365079365,0.0838095238095,4,5,4,3,5,0.451746031746,"""4/4""",66,69.4053372221,3,0,1,F-7,A1,line_d
13.7282993197,0.0967800453515,4,4,4,4,1,0.44798185941,"""4/4""",64,68.4924955875,3,0,1,F-7,A1,line_d
13.8418367347,0.123469387755,4,4,4,4,2,0.44798185941,"""4/4""",60,69.5303955797,3,0,1,F-7,A1,line_d
13.9673469388,0.102040816327,4,4,4,4,3,0.44798185941,"""4/4""",58,65.221164186,3,0,1,F-7,A1,line_d
14.6531972789,0.088798185941,4,4,5,2,1,0.474875283447,"""4/4""",57,65.7608776339,4,1,1,F-7,A1,lick
14.7510204082,0.065306122449,4,4,5,2,2,0.474875283447,"""4/4""",56,67.7348338566,4,0,1,F-7,A1,lick
14.9806122449,0.0897959183673,4,4,5,2,4,0.474875283447,"""4/4""",61,69.996686611,4,0,1,F-7,A1,lick
15.1010204082,0.0969387755102,4,4,5,3,1,0.435782312925,"""4/4""",60,64.9109014024,4,0,1,F-7,A1,lick
15.2102040816,0.1,4,4,5,3,2,0.435782312925,"""4/4""",58,65.9474011184,4,0,1,F-7,A1,lick
15.3171882086,0.12843537415,4,4,5,3,3,0.435782312925,"""4/4""",53,64.9749811519,4,0,1,F-7,A1,lick
15.4517913832,0.0678458049887,4,4,5,3,4,0.435782312925,"""4/4""",54,63.6054998984,4,0,1,F-7,A1,lick
15.530521542,0.101950113379,4,4,5,4,1,0.441224489796,"""4/4""",57,63.9241281382,4,0,1,F-7,A1,lick
15.6408163265,0.1,4,4,5,4,2,0.441224489796,"""4/4""",56,68.2712778855,4,0,1,F-7,A1,lick
15.7540816327,0.0918367346939,4,4,5,4,3,0.441224489796,"""4/4""",59,64.4041506487,4,0,1,F-7,A1,lick
16.193877551,0.119387755102,4,4,6,1,3,0.458911564626,"""4/4""",52,66.2988886932,5,1,1,F-7,A1,##-lick
16.3174603175,0.101587301587,4,4,6,1,4,0.458911564626,"""4/4""",51,65.9260431898,5,0,1,F-7,A1,##-lick
16.9179138322,0.104489795918,4,3,6,3,1,0.442993197279,"""4/4""",50,70.3686474433,5,0,1,F-7,A1,#-lick
17.0255102041,0.114285714286,4,3,6,3,2,0.442993197279,"""4/4""",49,66.9700694718,5,0,1,F-7,A1,#-lick
17.5785714286,0.099410430839,4,4,6,4,3,0.450975056689,"""4/4""",47,66.1367352737,6,1,1,F-7,A1,#line_w
17.6857142857,0.162902494331,4,4,6,4,4,0.450975056689,"""4/4""",46,67.5526993272,6,0,1,F-7,A1,#line_w
17.8510204082,0.0540589569161,4,6,7,1,2,0.444444444444,"""4/4""",47,66.0828484008,6,0,1,F-7,A1,#line_w
17.9102040816,0.0551473922902,4,6,7,1,3,0.444444444444,"""4/4""",47,66.2734483287,6,0,1,F-7,A1,#line_w
17.9701587302,0.0873015873016,4,6,7,1,4,0.444444444444,"""4/4""",51,65.5436013036,6,0,1,F-7,A1,#line_w
18.0673469388,0.0816326530612,4,6,7,1,5,0.444444444444,"""4/4""",54,61.1398696723,6,0,1,F-7,A1,#line_w
18.1681632653,0.0841723356009,4,6,7,1,6,0.444444444444,"""4/4""",56,66.9431149999,6,0,1,F-7,A1,#line_w
18.2555102041,0.104489795918,4,4,7,2,1,0.452517006803,"""4/4""",53,65.6854346987,6,0,1,F-7,A1,#line_w
18.3623582766,0.0987755102041,4,4,7,2,2,0.452517006803,"""4/4""",48,63.6002279058,6,0,1,F-7,A1,#line_w
18.466031746,0.0892970521542,4,4,7,2,3,0.452517006803,"""4/4""",49,67.6890491803,6,0,1,F-7,A1,#line_w
18.5668027211,0.104761904762,4,4,7,2,4,0.452517006803,"""4/4""",56,66.78738882,6,0,1,F-7,A1,#line_w
