onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
13.2163265306,0.25306122449,4,2,1,1,2,0.761292517007,"""4/4""",50,1.07467455923,78.3921183902,1,1,1,D-7,A1,*theme:t1
13.4775510204,0.489795918367,4,3,1,2,1,0.759614512472,"""4/4""",52,0.949419972452,72.8362075329,1,0,1,D-7,A1,*theme:t1
14.0,0.25306122449,4,3,1,2,3,0.759614512472,"""4/4""",50,0.145977038621,66.5119023748,1,0,1,D-7,A1,*theme:t1
14.2857142857,0.522448979592,4,3,1,3,1,0.806893424036,"""4/4""",52,0.372775798294,67.0090120302,1,0,1,A79b,A1,*theme:t1
14.8408163265,0.244897959184,4,3,1,3,3,0.806893424036,"""4/4""",53,0.437935117995,68.0063251303,1,0,1,A79b,A1,*theme:t1
15.1183673469,0.489795918367,4,3,1,4,1,0.783673469388,"""4/4""",55,0.416123347886,68.1645760754,1,0,1,A79b,A1,*theme:t1
15.6408163265,0.261224489796,4,3,1,4,3,0.783673469388,"""4/4""",57,-0.0862353284869,64.4154032915,1,0,1,A79b,A1,*theme:t1
15.9346938776,0.840816326531,4,1,2,1,1,0.758775510204,"""4/4""",52,0.274024689887,62.2716034069,1,0,1,D-7,A1,*theme:t1
16.8081632653,0.220408163265,4,4,2,2,2,0.756326530612,"""4/4""",55,0.187572042265,68.1570623548,1,0,1,D-7,A1,*theme:t1
17.0448979592,0.171428571429,4,4,2,2,3,0.756326530612,"""4/4""",57,0.197980268007,67.9716299942,1,0,1,D-7,A1,*theme:t1
17.2326530612,0.228571428571,4,4,2,2,4,0.756326530612,"""4/4""",59,0.0272489332784,65.8053286817,1,0,1,D-7,A1,*theme:t1
17.4693877551,1.24081632653,4,1,2,3,1,0.738140589569,"""4/4""",51,0.812946707658,66.5620471519,1,0,1,Db7,A1,*theme:t1
19.3714285714,0.685714285714,4,2,3,1,2,0.749229024943,"""4/4""",55,0.993917770214,74.3653713074,2,1,1,Cj7,A1,*theme:t3-4
20.0897959184,0.187755102041,4,8,3,2,6,0.7479138322,"""4/4""",57,0.187405083902,67.5977796248,2,0,1,Cj7,A1,*theme:t3-4
20.2857142857,0.212244897959,4,8,3,2,8,0.7479138322,"""4/4""",59,0.260303476886,68.022678741,2,0,1,Cj7,A1,*theme:t3-4
20.506122449,1.12653061224,4,1,3,3,1,0.740907029478,"""4/4""",62,1.01481937024,76.3780928994,2,0,1,F7,A1,*theme:t3-4
21.6326530612,0.261224489796,4,2,3,4,2,0.785124716553,"""4/4""",60,0.687838308926,68.9372619605,2,0,1,F7,A1,*theme:t3-4
21.9102040816,0.65306122449,4,1,4,1,1,0.755578231293,"""4/4""",59,0.385163375279,64.9781167633,2,0,1,E-7,A1,*theme:t3-4
22.5959183673,0.244897959184,4,3,4,2,1,0.712335600907,"""4/4""",60,0.53775028996,70.75429892,2,0,1,E-7,A1,*theme:t3-4
22.8408163265,0.187755102041,4,3,4,2,2,0.712335600907,"""4/4""",64,1.04872601081,78.362331574,2,0,1,E-7,A1,*theme:t3-4
23.0530612245,0.228571428571,4,3,4,2,3,0.712335600907,"""4/4""",67,0.670169210812,71.8849861985,2,0,1,E-7,A1,*theme:t3-4
23.3632653061,1.11836734694,4,1,4,3,1,0.768095238095,"""4/4""",71,0.243355736705,64.3783896509,2,0,1,Ebo7,A1,*theme:t3-4
24.4941496599,0.159637188209,4,4,4,4,3,0.742653061224,"""4/4""",70,0.558751597001,71.9246173043,2,0,1,Ebo7,A1,*theme:t3-4
24.6785714286,0.115306122449,4,4,4,4,4,0.742653061224,"""4/4""",69,-0.0572112544961,61.209980073,2,0,1,Ebo7,A1,*theme:t3-4
24.812244898,0.0602040816327,4,6,5,1,1,0.703242630385,"""4/4""",68,0.166778171256,64.0257746397,2,0,1,Ebo7,A1,*theme:t3-4
24.9010204082,0.065306122449,4,6,5,1,2,0.703242630385,"""4/4""",66,0.710517682615,73.6515881976,2,0,1,D-7,A1,*theme:t3-4
25.0020861678,1.3387755102,4,6,5,1,3,0.703242630385,"""4/4""",65,0.83531508621,70.5220509852,2,0,1,D-7,A1,*theme:t3-4
26.8571428571,0.269387755102,4,2,5,3,2,0.772199546485,"""4/4""",69,0.484482769003,69.2337182822,3,1,1,D-7,A1,line_w
27.1325170068,0.0740136054422,4,4,5,4,1,0.705396825397,"""4/4""",71,0.333684412551,68.4453411153,3,0,1,D-7,A1,line_w
27.2152380952,0.384580498866,4,4,5,4,2,0.705396825397,"""4/4""",72,0.513247340047,66.9609523191,3,0,1,D-7,A1,line_w
27.6201360544,0.188662131519,4,4,5,4,4,0.705396825397,"""4/4""",71,0.0605175615632,64.6038166251,3,0,1,D-7,A1,line_w
27.837755102,0.0775510204082,4,6,6,1,1,0.777074829932,"""4/4""",69,0.148987553291,66.3566959725,3,0,1,Bm7b5,A1,line_w
27.9255102041,0.0734693877551,4,6,6,1,2,0.777074829932,"""4/4""",68,0.367841859812,67.7097798706,3,0,1,Bm7b5,A1,line_w
28.0102040816,0.05,4,6,6,1,3,0.777074829932,"""4/4""",67,0.477962405344,71.5719591269,3,0,1,Bm7b5,A1,line_w
28.0806122449,0.0540816326531,4,6,6,1,4,0.777074829932,"""4/4""",66,0.723755437218,74.9281162921,3,0,1,Bm7b5,A1,line_w
28.1540816327,0.171247165533,4,6,6,1,5,0.777074829932,"""4/4""",65,0.930066090204,77.479991256,3,0,1,Bm7b5,A1,line_w
28.3336734694,0.467301587302,4,6,6,1,6,0.777074829932,"""4/4""",64,0.863256500858,74.936153798,3,0,1,Bm7b5,A1,line_w
28.8102040816,0.0928571428571,4,6,6,2,3,0.729229024943,"""4/4""",62,0.895540907627,76.3604652732,3,0,1,Bm7b5,A1,line_w
28.9204081633,0.111224489796,4,6,6,2,4,0.729229024943,"""4/4""",59,0.319396373376,68.0815634199,3,0,1,Bm7b5,A1,line_w
29.0867346939,0.138775510204,4,6,6,2,5,0.729229024943,"""4/4""",53,0.62111193892,74.2344132608,3,0,1,Bm7b5,A1,line_w
29.237755102,0.114285714286,4,6,6,2,6,0.729229024943,"""4/4""",54,0.587756548367,71.6733033909,3,0,1,Bm7b5,A1,line_w
29.3795918367,0.14693877551,4,4,6,3,1,0.737233560091,"""4/4""",57,0.892798044459,72.3776769248,3,0,1,E7,A1,line_w
29.5415873016,0.138594104308,4,4,6,3,2,0.737233560091,"""4/4""",56,0.623245104378,71.8301101868,3,0,1,E7,A1,line_w
29.7179138322,0.118276643991,4,4,6,3,3,0.737233560091,"""4/4""",59,0.328375131955,70.4745757655,3,0,1,E7,A1,line_w
29.8714285714,0.14693877551,4,4,6,3,4,0.737233560091,"""4/4""",62,0.930633070535,77.8679235068,3,0,1,E7,A1,line_w
30.0693877551,0.0448979591837,4,6,6,4,1,0.744875283447,"""4/4""",66,-0.0418092461246,59.518605123,3,0,1,E7,A1,line_w
30.1315192744,0.0965079365079,4,6,6,4,2,0.744875283447,"""4/4""",65,0.889228020846,76.6970654347,3,0,1,E7,A1,line_w
30.2461678005,0.150204081633,4,6,6,4,3,0.744875283447,"""4/4""",64,0.788979960514,75.5705006139,3,0,1,E7,A1,line_w
30.4152380952,0.0986848072562,4,6,6,4,4,0.744875283447,"""4/4""",62,0.882135721642,75.3842262607,3,0,1,E7,A1,line_w
30.526984127,0.12335600907,4,6,6,4,5,0.744875283447,"""4/4""",60,0.541421183949,71.8597021637,3,0,1,E7,A1,line_w
30.6772789116,0.103764172336,4,6,6,4,6,0.744875283447,"""4/4""",57,0.157035703721,66.132652139,3,0,1,E7,A1,line_w
30.803446712,0.10231292517,4,6,7,1,1,0.754897959184,"""4/4""",54,0.574230902828,72.4186767222,3,0,1,A-7,A1,line_w
30.9151927438,0.0805442176871,4,6,7,1,2,0.754897959184,"""4/4""",53,0.610758020858,71.8180542936,3,0,1,A-7,A1,line_w
31.0131519274,0.124807256236,4,6,7,1,3,0.754897959184,"""4/4""",52,0.274246779809,68.2295159426,3,0,1,A-7,A1,line_w
31.166984127,1.12616780045,4,6,7,1,4,0.754897959184,"""4/4""",64,0.701160183859,68.3571219896,3,0,1,A-7,A1,line_w
32.2931519274,0.757551020408,4,1,7,3,1,0.752335600907,"""4/4""",62,0.683373992488,72.0946177939,3,0,1,D-7,A1,line_w
33.5469387755,0.217346938776,4,2,7,4,2,0.732630385488,"""4/4""",60,0.758073487531,72.0212126626,4,1,1,G7,A1,line_d
33.7846938776,0.234693877551,4,3,8,1,1,0.714013605442,"""4/4""",59,0.676706968481,72.3961272649,4,0,1,C6,A1,line_d
34.0346938776,0.19693877551,4,3,8,1,2,0.714013605442,"""4/4""",58,0.6472616018,74.297470266,4,0,1,C6,A1,line_d
34.25,0.202040816327,4,3,8,1,3,0.714013605442,"""4/4""",57,0.429365504882,71.3866601632,4,0,1,C6,A1,line_d
34.4642857143,0.279591836735,4,3,8,2,1,0.799365079365,"""4/4""",55,0.742375235308,74.2883129469,4,0,1,C6,A1,line_d
34.7602721088,0.293151927438,4,3,8,2,2,0.799365079365,"""4/4""",54,0.930740254644,76.4067613731,4,0,1,C6,A1,line_d
35.0563265306,0.246712018141,4,3,8,2,3,0.799365079365,"""4/4""",53,0.805520605166,72.147716526,4,0,1,C6,A1,line_d
