onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
4.96326530612,0.110204081633,4,2,2,2,2,0.402653061224,"""4/4""",66,0.972221384822,69.9613100932,1,1,1,Abm7b5,A1,lick
5.38775510204,0.10612244898,4,2,2,3,2,0.412290249433,"""4/4""",64,0.863009695022,71.8489167303,1,0,1,Db7,A1,lick
6.21836734694,0.0734693877551,4,2,3,1,2,0.421315192744,"""4/4""",61,0.68440643699,70.2508023517,2,1,1,Gb-7,A1,lick
6.32448979592,0.24693877551,4,3,3,2,1,0.392789115646,"""4/4""",59,0.0605750869612,62.5154977143,2,0,1,Gb-7,A1,lick
6.60408163265,0.102040816327,4,3,3,2,3,0.392789115646,"""4/4""",57,0.476219770318,65.2690665988,2,0,1,Gb-7,A1,lick
6.73265306122,0.157142857143,4,6,3,3,1,0.415056689342,"""4/4""",56,0.167740994552,63.4763336616,2,0,1,Gb-7,A1,lick
7.11632653061,0.257142857143,4,6,3,3,6,0.415056689342,"""4/4""",54,0.862706979626,67.440790133,2,0,1,Gb-7,A1,lick
7.4387755102,0.0959183673469,4,2,3,4,2,0.423718820862,"""4/4""",56,0.632152021284,64.0213970682,2,0,1,Gb-7,A1,lick
7.54897959184,0.183673469388,4,3,4,1,1,0.391904761905,"""4/4""",57,0.70651488593,69.8031428232,2,0,1,Gb-7,A1,lick
7.8387755102,0.0714285714286,4,3,4,1,3,0.391904761905,"""4/4""",59,0.530699345557,69.4840537051,2,0,1,Gb-7,A1,lick
7.96530612245,0.238775510204,4,3,4,2,1,0.432040816327,"""4/4""",56,0.75485958018,65.4965132612,2,0,1,Gb-7,A1,lick
8.26412698413,0.312380952381,4,3,4,2,3,0.432040816327,"""4/4""",54,1.02456807196,69.9014330872,2,0,1,Gb-7,A1,lick
8.62222222222,0.106666666667,4,2,4,3,2,0.402403628118,"""4/4""",54,0.129273388501,66.5716896884,2,0,1,Gb-7,A1,lick
9.10204081633,0.0755102040816,4,4,4,4,4,0.39716553288,"""4/4""",52,0.573861066495,69.98705026,3,1,1,Gb-7,A1,lick
9.22244897959,0.226530612245,4,2,5,1,1,0.426621315193,"""4/4""",51,0.456459484388,66.7092548366,3,0,1,G7,A1,lick
9.48163265306,0.126530612245,4,2,5,1,2,0.426621315193,"""4/4""",51,0.513538218271,64.0247066247,3,0,1,G7,A1,lick
9.67551020408,0.114285714286,4,6,5,2,2,0.407074829932,"""4/4""",54,-0.460332863903,60.9234411107,3,0,1,G7,A1,lick
9.81428571429,0.069387755102,4,6,5,2,4,0.407074829932,"""4/4""",55,-0.00974929837595,64.4646023037,3,0,1,G7,A1,lick
9.89183673469,0.065306122449,4,6,5,2,5,0.407074829932,"""4/4""",56,0.307849628441,68.1759297555,3,0,1,G7,A1,lick
9.98979591837,0.25306122449,4,6,5,2,6,0.407074829932,"""4/4""",57,0.672589390551,70.590022481,3,0,1,G7,A1,lick
10.312244898,0.0897959183673,4,6,5,3,5,0.437437641723,"""4/4""",60,0.666390218273,69.7782259661,3,0,1,G7,A1,lick
10.4285714286,0.291836734694,4,6,5,3,6,0.437437641723,"""4/4""",61,0.737535507665,70.9578960531,3,0,1,G7,A1,lick
10.7673469388,0.069387755102,4,2,5,4,2,0.402517006803,"""4/4""",59,-1.06567678759,54.5928904183,3,0,1,G7,A1,lick
10.8571428571,0.271428571429,4,3,6,1,1,0.40589569161,"""4/4""",61,0.68513826522,71.1397421651,3,0,1,G7,A1,lick
11.1530612245,0.104081632653,4,3,6,1,3,0.40589569161,"""4/4""",64,0.865636628927,71.4750083568,3,0,1,G7,A1,lick
11.5775510204,0.110204081633,4,2,6,2,2,0.422199546485,"""4/4""",63,0.991021038733,68.0569852404,4,1,1,G7,A1,lick
11.712244898,0.514285714286,4,1,6,3,1,0.39283446712,"""4/4""",64,0.922508724876,72.8125293852,4,0,1,G7,A1,lick
12.3775510204,0.522448979592,4,2,6,4,2,0.422108843537,"""4/4""",64,0.975804424047,73.644197228,4,0,1,G7,A1,lick
12.9142857143,0.257142857143,4,3,7,2,1,0.386235827664,"""4/4""",61,0.841215304252,71.75113656,4,0,1,Gb-7,A1,lick
13.1857142857,0.102040816327,4,3,7,2,3,0.386235827664,"""4/4""",60,0.15788545848,61.810132217,4,0,1,Gb-7,A1,lick
13.2992290249,0.226394557823,4,2,7,3,1,0.431972789116,"""4/4""",61,0.870671570732,69.0299259264,4,0,1,Gb-7,A1,lick
13.5531972789,0.0957823129252,4,2,7,3,2,0.431972789116,"""4/4""",61,0.553775644899,69.3164802815,4,0,1,Gb-7,A1,lick
14.8102040816,0.344897959184,4,2,8,2,2,0.412358276644,"""4/4""",64,1.07027161791,73.4474220886,5,1,1,E-7,A1,line_i_dd
15.187755102,0.134693877551,4,2,8,3,2,0.421950113379,"""4/4""",64,0.935069140815,69.4405760583,5,0,1,A7,A1,line_i_dd
15.3448979592,0.267346938776,4,4,8,4,1,0.387278911565,"""4/4""",62,0.766325084136,71.9396577425,5,0,1,A7,A1,line_i_dd
15.6612244898,0.0897959183673,4,4,8,4,4,0.387278911565,"""4/4""",60,-0.339906981574,58.742935958,5,0,1,A7,A1,line_i_dd
15.7530612245,0.257142857143,4,4,9,1,1,0.377641723356,"""4/4""",62,0.855034714514,73.1377473486,5,0,1,D7,A1,line_i_dd
16.0326530612,0.108163265306,4,4,9,1,4,0.377641723356,"""4/4""",61,0.756716249006,72.70694079,5,0,1,D7,A1,line_i_dd
16.1918367347,0.202040816327,4,4,9,2,2,0.421927437642,"""4/4""",60,0.29148382538,68.8115710515,5,0,1,D7,A1,line_i_dd
16.4510204082,0.065306122449,4,4,9,2,4,0.421927437642,"""4/4""",57,-0.461837743901,61.275586092,5,0,1,D7,A1,line_i_dd
16.5591836735,0.25306122449,4,4,9,3,1,0.410566893424,"""4/4""",60,0.478793105857,67.7812547291,5,0,1,D7,A1,line_i_dd
16.8551020408,0.0938775510204,4,4,9,3,4,0.410566893424,"""4/4""",60,0.3982438731,66.1512163137,5,0,1,D7,A1,line_i_dd
16.9959183673,0.240816326531,4,3,9,4,1,0.406349206349,"""4/4""",58,0.385964591282,66.608179781,5,0,1,D7,A1,line_i_dd
17.2714285714,0.0959183673469,4,3,9,4,3,0.406349206349,"""4/4""",56,0.0010832553751,61.2726533434,5,0,1,D7,A1,line_i_dd
17.3959183673,0.216326530612,4,2,10,1,1,0.400544217687,"""4/4""",58,0.302224757555,67.243709805,5,0,1,Db7,A1,line_i_dd
17.6346938776,0.0979591836735,4,2,10,1,2,0.400544217687,"""4/4""",58,0.617469617065,69.3118066632,5,0,1,Db7,A1,line_i_dd
17.7571428571,0.124489795918,4,1,10,2,1,0.411405895692,"""4/4""",56,0.45309696175,68.9672131495,5,0,1,Db7,A1,line_i_dd
18.5448979592,0.0530612244898,4,4,10,4,1,0.412335600907,"""4/4""",55,0.676836527825,65.4099394173,6,1,1,Db7,A1,quote: Lullaby of Birdland
18.6448979592,0.214285714286,4,4,10,4,2,0.412335600907,"""4/4""",62,0.856987561671,72.6753500007,6,0,1,Db7,A1,quote: Lullaby of Birdland
18.9020408163,0.440816326531,4,4,10,4,4,0.412335600907,"""4/4""",61,0.999240538796,72.3840076272,6,0,1,Db7,A1,quote: Lullaby of Birdland
19.412244898,0.197959183673,4,3,11,2,1,0.377573696145,"""4/4""",59,0.265879292112,68.0331338665,6,0,1,Gb-7,A1,quote: Lullaby of Birdland
19.6836734694,0.104081632653,4,3,11,2,3,0.377573696145,"""4/4""",57,0.210911838222,65.8473455504,6,0,1,Gb-7,A1,quote: Lullaby of Birdland
19.8040816327,0.208163265306,4,4,11,3,1,0.412335600907,"""4/4""",56,0.247980684121,65.4872623416,6,0,1,Gb-7,A1,quote: Lullaby of Birdland
20.1285714286,0.311224489796,4,4,11,3,4,0.412335600907,"""4/4""",54,0.826402320727,66.0839136452,6,0,1,Gb-7,A1,quote: Lullaby of Birdland
20.4653061224,0.0816326530612,4,2,11,4,2,0.421247165533,"""4/4""",54,0.300067299347,66.2773890795,6,0,1,Gb-7,A1,quote: Lullaby of Birdland
22.2163265306,0.122448979592,4,3,13,1,1,0.397142857143,"""4/4""",66,1.0273990114,73.981336951,7,1,1,Db7,A1,lick
22.3632653061,0.142857142857,4,3,13,1,2,0.397142857143,"""4/4""",66,0.847891167514,69.8866931939,7,0,2,Gb-7,A1,lick
22.5306122449,0.065306122449,4,3,13,1,3,0.397142857143,"""4/4""",64,0.526187789797,70.3303287677,7,0,2,Gb-7,A1,lick
22.6489795918,0.251020408163,4,3,13,2,1,0.41231292517,"""4/4""",66,0.88748967892,72.9011065838,7,0,2,Gb-7,A1,lick
22.9367346939,0.0938775510204,4,3,13,2,3,0.41231292517,"""4/4""",66,0.911165499413,71.950746385,7,0,2,Gb-7,A1,lick
24.1918367347,0.20612244898,4,4,14,1,4,0.427596371882,"""4/4""",69,0.886686190563,69.9848904923,8,1,2,Abm7b5,A1,#lick
24.5775510204,0.495918367347,4,2,14,2,2,0.416734693878,"""4/4""",69,0.839194544908,70.1816898865,8,0,2,Abm7b5,A1,#lick
25.112244898,0.267346938776,4,4,14,4,1,0.40231292517,"""4/4""",66,0.802069569272,70.6655478042,8,0,2,Db7,A1,#lick
