onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
5.97755102041,0.140816326531,4,4,0,4,4,0.268526077098,"""4/4""",65,0.747715394825,71.625710584,1,1,-1,NC,I1,lick
6.14285714286,0.0612244897959,4,2,1,1,2,0.234013605442,"""4/4""",63,0.0773146806311,66.2326178522,1,0,1,Bj7911#,A1,lick
6.24693877551,0.128571428571,4,2,1,2,1,0.242721088435,"""4/4""",65,0.236272396203,67.6468130212,1,0,1,Bj7911#,A1,lick
6.39591836735,0.0979591836735,4,2,1,2,2,0.242721088435,"""4/4""",66,0.199833261047,67.4486904127,1,0,1,Bj7911#,A1,lick
7.96589569161,0.143673469388,4,3,3,1,1,0.242403628118,"""4/4""",66,0.748256154775,67.0283489224,2,1,1,Bb79b13b,A1,#lick
8.12698412698,0.0754648526077,4,3,3,1,3,0.242403628118,"""4/4""",67,0.332772102638,69.4598534653,2,0,1,Ebj7911#,A1,#lick
8.22857142857,0.121904761905,4,2,3,2,1,0.239138321995,"""4/4""",66,0.122561443958,66.3884361032,2,0,1,Ebj7911#,A1,#lick
8.3577324263,0.0571428571429,4,2,3,2,2,0.239138321995,"""4/4""",67,-0.0156392033006,65.2810356401,2,0,1,Ebj7911#,A1,#lick
8.48108843537,0.153832199546,4,3,3,3,1,0.253265306122,"""4/4""",70,0.510167644841,69.8811740828,2,0,1,Ebj7911#,A1,#lick
8.64943310658,0.120408163265,4,3,3,3,3,0.253265306122,"""4/4""",63,-0.114779681563,62.5126101109,2,0,1,Ebj7911#,A1,#lick
9.89183673469,0.159183673469,4,1,5,1,1,0.232743764172,"""4/4""",65,0.920760929197,71.5847294495,3,1,1,Ebj7911#,A1,#lick
10.1369614512,0.15306122449,4,3,5,2,1,0.243560090703,"""4/4""",65,0.687826465562,71.529418402,3,0,1,Bj7911#,A1,#lick
10.3125623583,0.0885260770975,4,3,5,2,3,0.243560090703,"""4/4""",61,0.190912210493,67.5038014463,3,0,1,Bj7911#,A1,#lick
11.8428571429,0.130612244898,4,2,7,1,1,0.258866213152,"""4/4""",67,0.854229619022,71.6322927827,4,1,1,Ebj7911#,A1,#lick
11.9857142857,0.0734693877551,4,2,7,1,2,0.258866213152,"""4/4""",66,0.288499918988,66.8347030906,4,0,1,Ebj7911#,A1,#lick
12.0714285714,0.14693877551,4,3,7,2,1,0.232517006803,"""4/4""",67,0.418211974544,70.6140905005,4,0,1,Ebj7911#,A1,#lick
12.2428571429,0.0459183673469,4,3,7,2,3,0.232517006803,"""4/4""",70,-0.0715347066809,64.139549568,4,0,1,Ebj7911#,A1,#lick
12.3040816327,0.218367346939,4,1,7,3,1,0.233786848073,"""4/4""",72,0.494398332904,68.2654799477,4,0,1,Ebj7911#,A1,#lick
