onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
6.63510204082,0.0812698412698,4,2,0,2,2,0.185759637188,"""4/4""",62,0.606601600183,71.3604002883,1,1,-1,F+7911#,I1,line_a
6.74081632653,0.0877551020408,4,2,0,3,1,0.198684807256,"""4/4""",65,0.557833051425,70.2700485453,1,0,-1,F+7911#,I1,line_a
6.83469387755,0.0571428571429,4,2,0,3,2,0.198684807256,"""4/4""",66,0.343674372332,68.63768855,1,0,-1,F+7911#,I1,line_a
6.92244897959,0.065306122449,4,2,0,4,1,0.198684807256,"""4/4""",69,0.35755887735,68.6365400557,1,0,-1,F+7911#,I1,line_a
7.01428571429,0.0816326530612,4,2,0,4,2,0.198684807256,"""4/4""",70,0.187745986629,66.9943501592,1,0,-1,F+7911#,I1,line_a
7.11632653061,0.414285714286,4,1,1,1,1,0.197959183673,"""4/4""",72,0.824742363114,68.0389218431,1,0,-1,F+7911#,I1,line_a
8.09591836735,0.0714285714286,4,1,2,2,1,0.204081632653,"""4/4""",69,0.52756199736,62.1514692285,1,0,1,G-6/C,A1,lick
8.30204081633,0.155102040816,4,4,2,3,1,0.185714285714,"""4/4""",70,0.646552778083,71.3621985133,1,0,1,G-6/C,A1,lick
8.47755102041,0.161224489796,4,4,2,3,4,0.185714285714,"""4/4""",72,1.01899110752,73.4117291108,1,0,1,G-6/C,A1,lick
9.05816326531,0.424489795918,4,4,3,2,4,0.197959183673,"""4/4""",69,0.993432443614,72.4750590825,1,0,1,G-6/C,A1,melody
9.4887755102,0.125510204082,4,1,4,1,1,0.195918367347,"""4/4""",68,0.168511196071,63.1145031512,1,0,1,G-6/C,A1,melody
9.70204081633,0.179591836735,4,1,4,2,1,0.195918367347,"""4/4""",67,0.714613113649,72.6491067459,1,0,1,G-6/C,A1,melody
10.0306122449,0.0979591836735,4,2,4,4,1,0.191836734694,"""4/4""",65,0.827957171396,73.4661928988,1,0,1,G-6/C,A1,melody
10.1591836735,0.0938775510204,4,2,4,4,2,0.191836734694,"""4/4""",64,0.764309751385,71.5931292143,1,0,1,G-6/C,A1,melody
10.2775510204,0.269387755102,4,1,5,1,1,0.185714285714,"""4/4""",60,0.455855845368,69.3965946173,1,0,1,G-6/C,A1,melody
10.5734693878,0.228571428571,4,4,5,2,4,0.185714285714,"""4/4""",62,0.630860354595,70.6982194293,1,0,1,G-6/C,A1,melody
10.8204081633,0.189795918367,4,1,5,4,1,0.187709750567,"""4/4""",64,0.668439822141,71.4302560267,1,0,1,G-6/C,A1,melody
11.0489795918,0.269387755102,4,2,6,1,2,0.194467120181,"""4/4""",76,0.827724133688,72.6113942723,1,0,1,G-6/C,A1,melody
11.4244897959,0.173469387755,4,1,6,3,1,0.185759637188,"""4/4""",69,0.603652351988,70.2956047679,1,0,1,G-6/C,A1,melody
11.6346938776,0.130612244898,4,2,6,4,2,0.185759637188,"""4/4""",64,0.245195032112,67.4019572712,1,0,1,G-6/C,A1,melody
11.8081632653,0.214285714286,4,1,7,1,1,0.203492063492,"""4/4""",67,0.624825856605,70.8593383231,1,0,1,Db7911#,A1,melody
12.0326530612,0.144897959184,4,2,7,2,2,0.203492063492,"""4/4""",68,0.546856139629,70.8772556885,1,0,1,Db7911#,A1,melody
12.2265306122,0.389795918367,4,2,7,3,2,0.202040816327,"""4/4""",70,0.320419185913,63.6913487773,1,0,1,Db7911#,A1,melody
12.8408163265,0.130612244898,4,2,8,2,2,0.203990929705,"""4/4""",60,0.367482225859,67.6007277051,2,1,1,Db7911#,A1,lick
12.9836734694,0.0755102040816,4,2,8,3,1,0.193968253968,"""4/4""",63,0.468729329595,69.5595153982,2,0,1,Db7911#,A1,lick
13.0734693878,0.244897959184,4,2,8,3,2,0.193968253968,"""4/4""",64,0.638842270015,70.0417117609,2,0,1,Db7911#,A1,lick
13.4117006803,0.0740136054422,4,4,9,1,2,0.194965986395,"""4/4""",60,0.0111612708924,65.0214393988,2,0,1,G-6/C,A1,lick
13.5102040816,0.202040816327,4,4,9,1,4,0.194965986395,"""4/4""",62,0.221929353663,67.5721618257,2,0,1,G-6/C,A1,lick
13.7408163265,0.210204081633,4,1,9,3,1,0.19156462585,"""4/4""",64,0.361858350771,68.261365537,2,0,1,G-6/C,A1,lick
13.9795918367,0.167346938776,4,1,9,4,1,0.19156462585,"""4/4""",72,0.636642672749,72.0019988673,2,0,1,G-6/C,A1,~melody
14.1826530612,0.263265306122,4,1,10,1,1,0.211428571429,"""4/4""",69,0.443333975035,69.2637420184,2,0,1,G-6/C,A1,~melody
14.4653061224,0.248979591837,4,2,10,2,2,0.211428571429,"""4/4""",79,0.615684014075,70.6657140741,2,0,1,G-6/C,A1,~melody
14.7530612245,0.228571428571,4,1,10,4,1,0.208163265306,"""4/4""",77,0.783076500455,72.4349477858,2,0,1,G-6/C,A1,~melody
14.9959183673,0.255102040816,4,1,11,1,1,0.20589569161,"""4/4""",76,0.720090826112,70.4403724448,2,0,1,G-6/C,A1,~melody
15.2959183673,0.24693877551,4,2,11,2,2,0.20589569161,"""4/4""",72,0.5401320761,68.2295435181,2,0,1,G-6/C,A1,~melody
15.5530612245,0.179591836735,4,1,11,4,1,0.189897959184,"""4/4""",74,0.537614806836,70.7450080653,2,0,1,G-6/C,A1,~melody
15.787755102,0.257142857143,4,1,12,1,1,0.202301587302,"""4/4""",67,0.326397029029,68.234901507,2,0,1,G-6/C,A1,~melody
16.0632653061,0.0918367346939,4,2,12,2,2,0.202301587302,"""4/4""",72,0.168412213165,65.5856272648,2,0,1,G-6/C,A1,~melody
16.3020408163,0.189795918367,4,2,12,3,2,0.195782312925,"""4/4""",69,0.0905782080923,65.859407911,2,0,1,G-6/C,A1,~melody
16.5040816327,0.508163265306,4,2,12,4,2,0.195782312925,"""4/4""",65,0.481385700427,67.1127034419,2,0,1,G-6/C,A1,~melody
17.0204081633,0.0632653061224,4,3,13,3,2,0.210204081633,"""4/4""",64,0.0396363717345,64.6317767497,2,0,1,G-6/C,A1,~lick
17.0959183673,0.0673469387755,4,3,13,3,3,0.210204081633,"""4/4""",65,0.255567047477,67.1703658026,2,0,1,G-6/C,A1,~lick
17.1836734694,0.132653061224,4,1,13,4,1,0.210204081633,"""4/4""",67,0.191030435982,65.6393450846,2,0,1,G-6/C,A1,~lick
17.3795918367,0.373469387755,4,1,14,1,1,0.204081632653,"""4/4""",69,0.2937138915,65.1087515096,2,0,1,G-6/C,A1,~lick
17.812244898,0.102040816327,4,4,14,3,2,0.20612244898,"""4/4""",60,0.47273647802,68.9057408245,2,0,1,G-6/C,A1,~line_cv
17.9346938776,0.0775510204082,4,4,14,3,4,0.20612244898,"""4/4""",62,0.239996085021,66.1973485001,2,0,1,G-6/C,A1,~line_cv
18.0408163265,0.0612244897959,4,2,14,4,2,0.20612244898,"""4/4""",64,0.341274432897,67.9793164592,2,0,1,G-6/C,A1,~line_cv
18.1469387755,0.1,4,2,15,1,1,0.202040816327,"""4/4""",67,0.473935878355,66.4083195862,2,0,1,G-6/C,A1,~line_cv
18.2673469388,0.0938775510204,4,2,15,1,2,0.202040816327,"""4/4""",68,0.0759451130163,64.6666175488,2,0,1,C+7,A1,~line_cv
18.3897959184,0.0857142857143,4,2,15,2,1,0.202040816327,"""4/4""",67,0.163655114217,66.1671903085,2,0,1,C+7,A1,~line_cv
18.487755102,0.065306122449,4,2,15,2,2,0.202040816327,"""4/4""",65,0.199198095775,66.7569875036,2,0,1,C+7,A1,~line_cv
18.5724489796,0.387755102041,4,1,15,3,1,0.208163265306,"""4/4""",61,0.275108881291,64.7041270861,2,0,1,C+7,A1,~line_cv
19.4510204082,0.065306122449,4,3,16,3,2,0.202040816327,"""4/4""",63,0.758449311153,72.0360889877,3,1,1,C+7,A1,line_d
19.5326530612,0.0469387755102,4,3,16,3,3,0.202040816327,"""4/4""",61,0.497822724688,68.8759948521,3,0,1,C+7,A1,line_d
19.5979591837,0.0938775510204,4,2,16,4,1,0.202040816327,"""4/4""",60,0.496267541562,69.3014698756,3,0,1,C+7,A1,line_d
19.7244897959,0.15306122449,4,2,16,4,2,0.202040816327,"""4/4""",58,0.192423651996,65.5497957435,3,0,1,C+7,A1,line_d
20.2081632653,0.171428571429,4,1,17,3,1,0.193083900227,"""4/4""",60,0.164324980734,65.4036186232,3,0,1,A-7,A1,lick
20.4102040816,0.15306122449,4,1,17,4,1,0.193083900227,"""4/4""",62,0.224794956216,66.4138054101,3,0,1,A-7,A1,lick
20.5979591837,0.373469387755,4,1,18,1,1,0.207857142857,"""4/4""",64,0.871069437232,69.3398106363,3,0,1,A-7,A1,lick
20.9857142857,0.208163265306,4,1,18,3,1,0.1979138322,"""4/4""",65,0.803594341134,69.6500648451,3,0,1,A-7,A1,lick
21.2265306122,0.275510204082,4,1,18,4,1,0.1979138322,"""4/4""",67,0.813146009594,71.8278179804,3,0,1,A-7,A1,lick
21.5326530612,0.297959183673,4,2,19,1,2,0.207199546485,"""4/4""",69,0.628406271457,70.357844102,3,0,1,A-7,A1,lick
21.8551020408,0.185714285714,4,1,19,3,1,0.20283446712,"""4/4""",71,0.29804313864,67.8133993814,3,0,1,A-7,A1,lick
22.0653061224,0.25306122449,4,1,19,4,1,0.20283446712,"""4/4""",72,0.673702979885,70.434089619,3,0,1,A-7,A1,lick
22.3408163265,0.261224489796,4,2,20,1,2,0.211689342404,"""4/4""",74,0.615335738515,70.8060281485,3,0,1,A-7,A1,lick
22.6163265306,0.230612244898,4,4,20,2,4,0.211689342404,"""4/4""",76,0.714450574872,70.7745669849,3,0,1,A-7,A1,lick
22.9020408163,0.214285714286,4,1,20,4,1,0.202970521542,"""4/4""",79,0.271203595877,67.9337307473,3,0,1,A-7,A1,lick
23.1489795918,0.65306122449,4,2,21,1,2,0.197868480726,"""4/4""",74,0.282431467927,64.1796944018,3,0,1,A-7,A1,lick
24.5734693878,0.177551020408,4,2,22,4,2,0.198117913832,"""4/4""",80,0.794595096693,72.7737374067,4,1,1,A-7,A1,#+lick
24.7836734694,0.6,4,2,23,1,2,0.188741496599,"""4/4""",75,0.75875582974,68.0327632475,4,0,1,C+7,A1,#+lick
26.0326530612,0.177551020408,4,1,24,4,1,0.202857142857,"""4/4""",83,0.18900554679,64.6562013726,4,0,1,C+7,A1,#+lick
26.2469387755,0.802040816327,4,1,25,1,1,0.202845804989,"""4/4""",78,0.832282605384,70.254909905,4,0,1,C+7,A1,#+lick
27.6081632653,0.304081632653,4,2,26,3,2,0.207811791383,"""4/4""",84,0.289086845336,67.2202892703,4,0,1,C+7,A1,#+lick
27.9265306122,0.338775510204,4,1,27,1,1,0.197970521542,"""4/4""",86,0.141938404971,63.0425796388,4,0,1,C+7,A1,#+lick
