onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
2.14494331066,0.127709750567,4,3,-7,3,1,0.555986394558,"""4/4""",67,0.89080024981,74.6975449248,1,1,-1,F7,I1,expressive
2.28426303855,0.383129251701,4,3,-7,3,2,0.555986394558,"""4/4""",69,0.608709836573,71.5952846678,1,0,-1,F7,I1,expressive
3.93578231293,0.174149659864,4,6,-6,2,4,0.52126984127,"""4/4""",68,0.812192939716,73.4067377083,2,1,-1,Bb7,I1,lick_blues
4.17088435374,0.148027210884,4,6,-6,2,6,0.52126984127,"""4/4""",65,0.657684365556,71.6913798183,2,0,-1,Bb7,I1,lick_blues
4.47854875283,0.223492063492,4,2,-6,3,2,0.511337868481,"""4/4""",71,0.885512445306,73.7355024812,2,0,-1,Bb7,I1,lick_blues
4.76589569161,0.203174603175,4,2,-6,4,1,0.565736961451,"""4/4""",70,0.775545884792,72.7208156593,2,0,-1,Bb7,I1,lick_blues
5.01841269841,0.214784580499,4,2,-6,4,2,0.565736961451,"""4/4""",68,0.711577065933,71.2621862343,2,0,-1,Bb7,I1,lick_blues
5.26512471655,1.10875283447,4,1,-5,1,1,0.526734693878,"""4/4""",65,0.618342808561,68.6152631853,2,0,-1,Bb7,I1,lick_blues
6.38775510204,0.257142857143,4,2,-5,3,1,0.530612244898,"""4/4""",68,0.895987051598,73.5712770339,2,0,-1,F7,I1,lick_blues
6.65918367347,0.19387755102,4,2,-5,3,2,0.530612244898,"""4/4""",69,0.614746447893,71.2591341909,2,0,-1,F7,I1,lick_blues
9.55210884354,0.139319727891,4,8,-3,1,2,0.53641723356,"""4/4""",67,0.354966886945,68.2958990167,3,1,-1,G-7,I1,void->lick
9.71755102041,0.133514739229,4,8,-3,1,4,0.53641723356,"""4/4""",69,0.462307928601,69.1816587411,3,0,-1,G-7,I1,void->lick
9.8568707483,0.11029478458,4,8,-3,1,6,0.53641723356,"""4/4""",70,0.476391093616,69.158899269,3,0,-1,G-7,I1,void->lick
9.99328798186,0.0986848072562,4,8,-3,1,8,0.53641723356,"""4/4""",71,0.674437999387,72.0785620877,3,0,-1,G-7,I1,void->lick
10.1775510204,0.134693877551,4,3,-3,2,2,0.540952380952,"""4/4""",72,0.559772993921,71.8650938849,3,0,-1,G-7,I1,void->lick
10.393877551,0.136734693878,4,3,-3,2,3,0.540952380952,"""4/4""",72,0.500583180621,70.591421384,3,0,-1,G-7,I1,void->lick
10.5795918367,0.113197278912,4,4,-3,3,1,0.536235827664,"""4/4""",70,0.835632232579,75.0754244331,3,0,-1,G-7,I1,void->lick
10.8088888889,0.121904761905,4,4,-3,3,3,0.536235827664,"""4/4""",70,0.771134664702,74.2155523727,3,0,-1,G-7,I1,void->lick
10.9598185941,0.223492063492,4,4,-3,3,4,0.536235827664,"""4/4""",67,0.849241757475,74.7143730305,3,0,-1,G-7,I1,void->lick
11.693877551,0.123469387755,4,3,-2,1,1,0.51126984127,"""4/4""",69,0.917516298644,75.7181765199,4,1,-1,C7,I1,line_w
11.8357142857,0.105102040816,4,3,-2,1,2,0.51126984127,"""4/4""",68,0.760458151235,73.9248803182,4,0,-1,C7,I1,line_w
11.9683673469,0.123469387755,4,3,-2,1,3,0.51126984127,"""4/4""",67,0.760756289258,72.9428090675,4,0,-1,C7,I1,line_w
12.1132653061,0.0979591836735,4,4,-2,2,1,0.521111111111,"""4/4""",66,0.663316430135,72.155060789,4,0,-1,C7,I1,line_w
12.2306122449,0.11029478458,4,4,-2,2,2,0.521111111111,"""4/4""",65,0.616539418418,71.7770800317,4,0,-1,C7,I1,line_w
12.3479591837,0.13641723356,4,4,-2,2,3,0.521111111111,"""4/4""",62,0.686718726292,72.5671364797,4,0,-1,C7,I1,line_w
12.4952380952,0.142222222222,4,4,-2,2,4,0.521111111111,"""4/4""",69,0.568257973113,70.026858059,4,0,-1,C7,I1,line_w
12.7693877551,0.134693877551,4,4,-2,3,2,0.536575963719,"""4/4""",57,0.358877204599,67.8176085624,4,0,-1,C7,I1,line_w
12.9244897959,0.108163265306,4,4,-2,3,3,0.536575963719,"""4/4""",55,0.0577106860221,64.0284906718,4,0,-1,C7,I1,line_w
13.0959183673,0.0795918367347,4,4,-2,3,4,0.536575963719,"""4/4""",53,0.174192891917,65.3170931444,4,0,-1,C7,I1,line_w
13.1816326531,0.0612244897959,4,6,-2,4,1,0.521111111111,"""4/4""",54,0.418562883194,66.8200332616,4,0,-1,C7,I1,line_w
13.2428571429,0.15306122449,4,6,-2,4,2,0.521111111111,"""4/4""",60,0.431413716883,69.2697594059,4,0,-1,C7,I1,line_w
13.4673469388,0.0714285714286,4,6,-2,4,4,0.521111111111,"""4/4""",57,-0.730503124943,56.109034455,4,0,-1,C7,I1,line_w
13.5612244898,0.0734693877551,4,6,-2,4,5,0.521111111111,"""4/4""",58,-0.445967420251,60.3003658957,4,0,-1,C7,I1,line_w
13.6591836735,0.0795918367347,4,6,-2,4,6,0.521111111111,"""4/4""",60,0.147126119252,59.8807348467,4,0,-1,C7,I1,line_w
13.8163265306,0.114285714286,4,4,-1,1,2,0.5210430839,"""4/4""",69,0.788066984652,73.7847126503,4,0,-1,F7,I1,line_w
13.9306122449,0.102040816327,4,4,-1,1,3,0.5210430839,"""4/4""",68,0.682967565066,72.1382870256,4,0,-1,F7,I1,line_w
14.0530612245,0.163265306122,4,4,-1,1,4,0.5210430839,"""4/4""",67,0.632138948333,71.7838381169,4,0,-1,F7,I1,line_w
14.2224489796,0.10612244898,4,5,-1,2,1,0.526621315193,"""4/4""",66,0.688234621135,72.3793115785,4,0,-1,F7,I1,line_w
14.3387755102,0.102040816327,4,5,-1,2,2,0.526621315193,"""4/4""",65,0.761298406909,72.4602547211,4,0,-1,F7,I1,line_w
14.4551020408,0.124489795918,4,5,-1,2,3,0.526621315193,"""4/4""",62,0.662638090971,72.2319048984,4,0,-1,F7,I1,line_w
14.5836734694,0.0755102040816,4,5,-1,2,4,0.526621315193,"""4/4""",58,0.18249515809,66.0533817419,4,0,-1,F7,I1,line_w
14.6714285714,0.0959183673469,4,5,-1,2,5,0.526621315193,"""4/4""",55,-0.0898780021482,61.4511997229,4,0,-1,F7,I1,line_w
14.7795918367,0.35306122449,4,4,-1,3,1,0.513333333333,"""4/4""",57,0.125006969253,62.9805301995,4,0,-1,F7,I1,line_w
15.2142857143,0.0612244897959,4,4,-1,3,4,0.513333333333,"""4/4""",60,-0.117160833606,61.8677185368,4,0,-1,F7,I1,line_w
15.2795918367,0.0489795918367,4,4,-1,4,1,0.538616780045,"""4/4""",64,-0.117160833606,60.092875926,4,0,-1,F7,I1,line_w
15.3591836735,0.161224489796,4,4,-1,4,2,0.538616780045,"""4/4""",67,0.545218601028,71.5845178614,4,0,-1,F7,I1,line_w
15.5244897959,0.142857142857,4,4,-1,4,3,0.538616780045,"""4/4""",65,0.399791581653,68.2851106402,4,0,-1,F7,I1,line_w
