onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
4.32653061224,0.17029478458,4,2,-1,2,2,0.511451247166,"""4/4""",51,0.705580770877,68.4121682392,1,1,-1,NC,I1,lick
4.6093877551,0.337551020408,4,3,-1,3,1,0.511405895692,"""4/4""",52,0.514859798053,66.745163616,1,0,-1,NC,I1,lick
4.94693877551,0.291337868481,4,3,-1,3,3,0.511405895692,"""4/4""",60,0.668307477452,70.157253887,1,0,-1,NC,I1,lick
5.39591836735,0.210317460317,4,2,-1,4,2,0.521768707483,"""4/4""",52,0.538695435464,67.1915943684,2,1,-1,NC,I1,#line_a
5.65306122449,0.261224489796,4,2,0,1,1,0.534693877551,"""4/4""",53,0.386941809109,65.918706199,2,0,-1,NC,I1,#line_a
5.91428571429,0.228571428571,4,2,0,1,2,0.534693877551,"""4/4""",55,0.270512228715,63.9842974797,2,0,-1,NC,I1,#line_a
6.14285714286,0.285419501134,4,2,0,2,1,0.551927437642,"""4/4""",56,0.199908243879,64.5937438628,2,0,-1,NC,I1,#line_a
6.45918367347,0.181632653061,4,2,0,2,2,0.551927437642,"""4/4""",53,0.448406886822,67.2908750025,2,0,-1,NC,I1,~#line_t_alds
6.64081632653,0.283673469388,4,2,0,3,1,0.501179138322,"""4/4""",54,0.447185930972,63.8924532938,2,0,-1,NC,I1,~#line_t_alds
6.92448979592,0.133265306122,4,2,0,3,2,0.501179138322,"""4/4""",57,1.08881813819,64.4231089224,2,0,-1,NC,I1,~#line_t_alds
7.13265306122,0.222448979592,4,6,0,4,1,0.485941043084,"""4/4""",62,1.00005860409,74.5684247171,2,0,-1,NC,I1,~#line_t_alds
7.35510204082,0.0632653061224,4,6,0,4,3,0.485941043084,"""4/4""",63,0.678303014018,71.0455266918,2,0,-1,NC,I1,~#line_t_alds
7.41836734694,0.0816326530612,4,6,0,4,4,0.485941043084,"""4/4""",62,0.923110635424,71.9406598284,2,0,-1,NC,I1,~#line_t_alds
7.50263038549,0.238185941043,4,6,0,4,5,0.485941043084,"""4/4""",60,0.81745043966,67.3717796566,2,0,-1,NC,I1,~#line_t_alds
7.74081632653,0.326530612245,4,4,1,1,2,0.534421768707,"""4/4""",58,0.302764200648,59.4356572769,2,0,1,Eb,A1,~#line_t_alds
8.06734693878,0.275736961451,4,4,1,1,4,0.534421768707,"""4/4""",63,1.06741750578,73.4821568189,2,0,1,Eb,A1,###lick
8.47346938776,0.170634920635,4,2,1,2,2,0.542857142857,"""4/4""",63,1.07740195459,75.4369646192,3,1,1,Eb,A1,#lick
8.7387755102,0.295804988662,4,3,1,3,1,0.508684807256,"""4/4""",62,0.885579054617,72.1065904726,3,0,1,F-7,A1,#lick
9.09795918367,0.29843537415,4,3,1,3,3,0.508684807256,"""4/4""",65,0.685224319863,68.2904601093,3,0,1,F-7,A1,#lick
9.53265306122,0.252154195011,4,2,1,4,2,0.510816326531,"""4/4""",65,0.532789877731,68.6906224872,4,1,1,F-7,A1,~line_w
9.82836734694,0.274399092971,4,2,2,1,1,0.531882086168,"""4/4""",63,0.849285589123,72.1508432861,4,0,1,G-7,A1,~line_w
10.1163265306,0.235124716553,4,2,2,1,2,0.531882086168,"""4/4""",60,0.218914811556,64.7421665473,4,0,1,G-7,A1,~line_w
10.4,0.257142857143,4,4,2,2,2,0.5220861678,"""4/4""",63,0.804594336695,69.5702119731,4,0,1,G-7,A1,~line_w
10.6571428571,0.222448979592,4,4,2,2,4,0.5220861678,"""4/4""",67,0.442252890718,66.8173349345,4,0,1,G-7,A1,~line_w
10.8959183673,0.241201814059,4,2,2,3,1,0.524693877551,"""4/4""",65,0.456885649724,66.2172716863,4,0,1,F-7,A1,~line_w
11.1621768707,0.242358276644,4,2,2,3,2,0.524693877551,"""4/4""",67,0.493216510694,66.2295227147,4,0,1,F-7,A1,~line_w
11.4142857143,0.260770975057,4,4,2,4,2,0.487551020408,"""4/4""",68,0.302110886222,61.5724943391,4,0,1,F-7,A1,~line_w
11.6959183673,0.247482993197,4,4,2,4,4,0.487551020408,"""4/4""",70,0.408742865141,63.2331958984,4,0,1,F-7,A1,~line_w
11.9434013605,0.282494331066,4,4,3,1,2,0.505306122449,"""4/4""",67,0.352862312972,65.6416508612,4,0,1,G-7,A1,~line_w
12.2265306122,0.185714285714,4,4,3,1,4,0.505306122449,"""4/4""",58,-0.055280152409,58.5701057977,4,0,1,G-7,A1,~line_w
12.4204081633,0.229569160998,4,4,3,2,2,0.473537414966,"""4/4""",60,0.0847697376211,63.8718973813,4,0,1,G-7,A1,~line_w
12.6775510204,0.352517006803,4,4,3,2,4,0.473537414966,"""4/4""",65,0.81654489668,67.1965692758,4,0,1,G-7,A1,~line_w
14.1530612245,0.212244897959,4,2,4,1,2,0.514285714286,"""4/4""",68,0.837566141004,71.2154082228,5,1,1,F#-7,A1,line_d
14.3653061224,0.138934240363,4,3,4,2,1,0.520612244898,"""4/4""",64,0.906003688021,72.7279308376,5,0,1,F#-7,A1,line_d
14.5425170068,0.159523809524,4,3,4,2,2,0.520612244898,"""4/4""",61,0.203478246354,62.0059867062,5,0,1,F#-7,A1,line_d
14.7020408163,0.208004535147,4,3,4,2,3,0.520612244898,"""4/4""",56,0.112444654597,59.3721037744,5,0,1,F#-7,A1,line_d
14.9693877551,0.163265306122,4,3,4,3,2,0.508049886621,"""4/4""",66,0.549044802152,68.3211255003,5,0,1,B7,A1,~melody
15.1326530612,0.161428571429,4,3,4,3,3,0.508049886621,"""4/4""",68,0.32569692783,57.0728998693,5,0,1,B7,A1,~melody
15.3265306122,0.43947845805,4,1,4,4,1,0.501950113379,"""4/4""",66,0.7621166844,69.281839143,5,0,1,B7,A1,~melody
16.2706349206,0.178344671202,4,6,5,1,6,0.47306122449,"""4/4""",67,0.573065814926,69.6745504897,6,1,1,F-7,A1,#lick
16.4489795918,0.0530612244898,4,3,5,2,2,0.535102040816,"""4/4""",68,0.493608214321,64.9486600512,6,0,1,F-7,A1,#lick
16.6693877551,0.444897959184,4,3,5,2,3,0.535102040816,"""4/4""",67,0.558951976571,68.9407085872,6,0,1,F-7,A1,#lick
17.2102040816,0.134693877551,4,8,5,3,6,0.524784580499,"""4/4""",65,0.427707787761,67.792697681,6,0,1,F-7,A1,#lick
17.3448979592,0.0995011337868,4,8,5,3,8,0.524784580499,"""4/4""",67,0.102226923072,61.4390217471,6,0,1,F-7,A1,#lick
17.5306122449,0.654217687075,4,2,5,4,2,0.474081632653,"""4/4""",65,0.554239825605,67.7204804768,6,0,1,F-7,A1,#lick
18.3020408163,0.236734693878,4,6,6,1,6,0.482290249433,"""4/4""",63,0.842883123663,71.5367603797,6,0,1,Bb7,A1,#melody
18.5387755102,0.20612244898,4,3,6,2,2,0.517392290249,"""4/4""",65,0.412895516867,67.7464727394,6,0,1,Bb7,A1,#melody
18.7551020408,0.175510204082,4,3,6,2,3,0.517392290249,"""4/4""",63,0.891432794874,72.3026838034,6,0,1,Bb7,A1,#melody
18.9306122449,0.605238095238,4,1,6,3,1,0.506485260771,"""4/4""",67,0.658441675573,63.8905335378,6,0,1,Bb7,A1,#melody
20.4040816327,0.106848072562,4,3,7,2,1,0.531904761905,"""4/4""",62,0.842751764354,71.287219644,7,1,1,Ebj7,A1,melody
20.5959183673,0.171882086168,4,3,7,2,2,0.531904761905,"""4/4""",60,0.438149561814,65.7550662084,7,0,1,Ebj7,A1,melody
20.782675737,0.168344671202,4,3,7,2,3,0.531904761905,"""4/4""",65,0.474268213291,68.0884275592,7,0,1,Ebj7,A1,melody
20.9510204082,0.152607709751,4,6,7,3,2,0.533560090703,"""4/4""",62,0.456165350106,68.5027176554,7,0,1,C7,A1,melody
21.137414966,0.227755102041,4,6,7,3,4,0.533560090703,"""4/4""",64,0.528476410622,66.9580919853,7,0,1,C7,A1,melody
21.3727437642,0.395306122449,4,6,7,3,6,0.533560090703,"""4/4""",60,0.414147389628,66.6326875989,7,0,1,C7,A1,melody
22.3775510204,0.135555555556,4,4,8,1,4,0.513197278912,"""4/4""",67,0.395698512987,67.2284168851,8,1,1,F-7,A1,melody
22.5632653061,0.178117913832,4,4,8,2,2,0.507392290249,"""4/4""",65,0.3665749078,66.4749230658,8,0,1,F-7,A1,melody
22.8020408163,0.171428571429,4,4,8,2,4,0.507392290249,"""4/4""",70,0.549871710091,67.1242192908,8,0,1,F-7,A1,melody
22.9734693878,0.80485260771,4,1,8,3,1,0.506757369615,"""4/4""",67,0.546004636697,65.6059095694,8,0,1,Bb7,A1,melody
23.8612244898,0.17433106576,4,4,8,4,4,0.513673469388,"""4/4""",58,0.400112472915,62.1693645985,9,1,1,Bb7,A1,melody
24.0775510204,0.659183673469,4,1,9,1,1,0.53820861678,"""4/4""",65,0.532348131398,68.3509365411,9,0,1,Ebj7,A2,melody
24.7367346939,0.0734693877551,4,5,9,2,3,0.537959183673,"""4/4""",62,0.184916489913,65.6842160981,9,0,1,Ebj7,A2,melody
24.812244898,0.0755102040816,4,5,9,2,4,0.537959183673,"""4/4""",63,0.117979452171,62.9060223862,9,0,1,Ebj7,A2,melody
24.887755102,0.111768707483,4,5,9,2,5,0.537959183673,"""4/4""",65,0.139824438584,64.0823412973,9,0,1,Ebj7,A2,melody
25.0163265306,0.23925170068,4,8,9,3,1,0.496689342404,"""4/4""",62,0.812169792361,71.5738968517,9,0,1,Ebj7,A2,melody
25.3714285714,0.0734693877551,4,8,9,3,6,0.496689342404,"""4/4""",58,-0.0771139327778,52.503242897,9,0,1,F-7,A2,#lick
25.4448979592,0.0612244897959,4,8,9,3,7,0.496689342404,"""4/4""",60,0.28918936218,65.1025836007,9,0,1,F-7,A2,#lick
25.506122449,0.0891383219955,4,8,9,3,8,0.496689342404,"""4/4""",62,0.68995899021,66.4616321246,9,0,1,F-7,A2,#lick
25.5959183673,0.379841269841,4,1,9,4,1,0.538140589569,"""4/4""",58,0.149743429688,63.1607748433,9,0,1,F-7,A2,#lick
26.0612244898,0.0714285714286,4,6,10,1,1,0.472063492063,"""4/4""",55,0.963410202658,68.9529367496,9,0,1,F-7,A2,#lick
26.1326530612,0.110204081633,4,6,10,1,2,0.472063492063,"""4/4""",56,0.963410202658,70.0469375342,9,0,1,G-7,A2,#lick
26.2428571429,0.0857142857143,4,6,10,1,3,0.472063492063,"""4/4""",58,0.379426176305,64.9816410485,9,0,1,G-7,A2,#lick
26.3285714286,0.789750566893,4,6,10,1,4,0.472063492063,"""4/4""",55,0.267257609744,59.0199972588,9,0,1,G-7,A2,#lick
27.5948752834,0.199841269841,4,8,10,4,1,0.487392290249,"""4/4""",53,0.91593448492,68.0633571335,10,1,1,F-7,A2,lick
27.8040816327,0.0857142857143,4,8,10,4,4,0.487392290249,"""4/4""",50,0.766986248968,67.9430140191,10,0,1,F-7,A2,lick
27.9,0.0755102040816,4,8,10,4,6,0.487392290249,"""4/4""",51,0.729448770399,69.3548450353,10,0,1,F-7,A2,lick
27.9816326531,0.0755102040816,4,8,10,4,7,0.487392290249,"""4/4""",55,0.481532095816,65.2272778549,10,0,1,F-7,A2,lick
28.0571428571,0.0874603174603,4,8,10,4,8,0.487392290249,"""4/4""",58,0.00364060641748,62.7425230739,10,0,1,F-7,A2,lick
28.1775510204,0.148707482993,4,4,11,1,2,0.502993197279,"""4/4""",62,0.741307709445,70.4855219007,10,0,1,G-7,A2,lick
28.3734693878,0.10612244898,4,4,11,1,3,0.502993197279,"""4/4""",59,-0.0177323786092,59.6519981821,10,0,1,G-7,A2,#lick
28.4795918367,0.108163265306,4,4,11,1,4,0.502993197279,"""4/4""",60,0.113484249506,60.4843367289,10,0,1,G-7,A2,#lick
28.5897959184,0.0787528344671,4,4,11,2,1,0.52231292517,"""4/4""",63,0.168461474432,60.0500157814,10,0,1,G-7,A2,#lick
28.7142857143,0.152358276644,4,4,11,2,2,0.52231292517,"""4/4""",67,0.542913013994,68.9843450473,10,0,1,G-7,A2,#lick
28.9081632653,0.0918367346939,4,4,11,2,3,0.52231292517,"""4/4""",62,0.203709776418,63.3894842403,10,0,1,G-7,A2,#lick
29.0,0.0795918367347,4,4,11,2,4,0.52231292517,"""4/4""",63,-0.0321461573645,62.7916516927,10,0,1,G-7,A2,#lick
29.087755102,0.0571428571429,4,6,11,3,1,0.521451247166,"""4/4""",67,-0.00256741719403,60.7025923194,10,0,1,G-7,A2,#lick
29.1448979592,0.0659863945578,4,6,11,3,2,0.521451247166,"""4/4""",70,0.155753695124,63.4826581898,10,0,1,F-7,A2,#lick
29.2346938776,0.19387755102,4,6,11,3,3,0.521451247166,"""4/4""",74,0.50124586409,69.0178106531,10,0,1,F-7,A2,#lick
29.4285714286,0.318367346939,4,6,11,3,5,0.521451247166,"""4/4""",75,0.622436197258,68.5396489255,10,0,1,F-7,A2,#lick
29.7612244898,0.240975056689,4,1,11,4,1,0.483514739229,"""4/4""",70,-0.0897403393679,62.5070151157,10,0,1,F-7,A2,#lick
30.6387755102,0.406870748299,4,1,12,2,1,0.510589569161,"""4/4""",69,0.299888195399,65.9567236683,11,1,1,F#-7,A2,fragment
31.1204081633,0.367732426304,4,1,12,3,1,0.523333333333,"""4/4""",61,0.0796979128355,62.487603817,11,0,1,F#-7,A2,fragment
32.1959183673,0.144965986395,4,3,13,1,1,0.492970521542,"""4/4""",60,0.467161643727,67.7318764704,12,1,1,F-7,A2,#line_w
32.387755102,0.0857142857143,4,3,13,1,2,0.492970521542,"""4/4""",59,-0.546060764441,54.8626993342,12,0,1,F-7,A2,#line_w
32.4816326531,0.159183673469,4,3,13,1,3,0.492970521542,"""4/4""",60,-0.0599881639114,59.5456894266,12,0,1,F-7,A2,#line_w
32.6408163265,0.134693877551,4,4,13,2,1,0.500770975057,"""4/4""",63,0.793579885111,66.6087302812,12,0,1,F-7,A2,#line_w
32.7755102041,0.1,4,4,13,2,2,0.500770975057,"""4/4""",62,0.585409772934,66.174340957,12,0,1,F-7,A2,#line_w
32.887755102,0.0951700680272,4,4,13,2,3,0.500770975057,"""4/4""",63,0.394934517942,66.5991227409,12,0,1,F-7,A2,#line_w
33.0306122449,0.121496598639,4,4,13,2,4,0.500770975057,"""4/4""",64,0.466707657784,67.3128258572,12,0,1,F-7,A2,#line_w
33.1653061224,0.14693877551,4,3,13,3,1,0.51589569161,"""4/4""",65,0.351365876292,63.8954433882,12,0,1,F-7,A2,#line_w
33.312244898,0.322448979592,4,3,13,3,2,0.51589569161,"""4/4""",62,0.793808168535,69.775344608,12,0,1,F-7,A2,#line_w
33.6632653061,0.187097505669,4,1,13,4,1,0.509795918367,"""4/4""",58,0.163082475477,61.496484018,12,0,1,F-7,A2,#line_w
34.6693877551,0.15306122449,4,4,14,2,1,0.498684807256,"""4/4""",56,-0.00334595265583,59.2016222394,13,1,1,Bb7,A2,line_cx
34.8265306122,0.120408163265,4,4,14,2,2,0.498684807256,"""4/4""",58,-0.229134494024,58.1036870723,13,0,1,Bb7,A2,line_cx
34.9469387755,0.116326530612,4,4,14,2,3,0.498684807256,"""4/4""",60,0.155311774219,64.279678268,13,0,1,Bb7,A2,line_cx
35.0632653061,0.112426303855,4,4,14,2,4,0.498684807256,"""4/4""",63,0.857592990063,72.3787750592,13,0,1,Bb7,A2,line_cx
35.1979591837,0.103968253968,4,4,14,3,1,0.492403628118,"""4/4""",66,0.400733548687,67.3152203499,13,0,1,Bb7,A2,line_cx
35.3469387755,0.0988888888889,4,4,14,3,2,0.492403628118,"""4/4""",67,0.260021759309,66.6569766692,13,0,1,Bb7,A2,line_cx
35.4591836735,0.0806349206349,4,4,14,3,3,0.492403628118,"""4/4""",66,0.429183075537,66.9648966177,13,0,1,Bb7,A2,line_cx
35.5857142857,0.128571428571,4,4,14,3,4,0.492403628118,"""4/4""",67,0.677069827243,68.1924267216,13,0,1,Bb7,A2,line_cx
35.7142857143,0.136712018141,4,3,14,4,1,0.517891156463,"""4/4""",63,0.726079216186,70.567137093,13,0,1,Bb7,A2,line_cx
35.8644671202,0.155011337868,4,3,14,4,2,0.517891156463,"""4/4""",58,-0.231872201633,57.8064627512,13,0,1,Bb7,A2,line_cx
36.0265306122,0.134693877551,4,3,14,4,3,0.517891156463,"""4/4""",54,0.671904310448,69.9130067339,13,0,1,Bb7,A2,~lick
36.1612244898,0.0755102040816,4,8,15,1,1,0.527233560091,"""4/4""",55,0.599620673445,69.2430641972,13,0,1,Bb7,A2,~lick
36.2551020408,0.128185941043,4,8,15,1,2,0.527233560091,"""4/4""",58,0.599597414791,62.811411728,13,0,1,Eb,A2,~lick
36.3857142857,0.099410430839,4,8,15,1,4,0.527233560091,"""4/4""",63,0.889131363602,72.355079455,13,0,1,Eb,A2,~lick
36.5040816327,0.144376417234,4,8,15,1,6,0.527233560091,"""4/4""",62,0.61531726729,67.7124757458,13,0,1,Eb,A2,~lick
36.6632653061,0.0918367346939,4,8,15,1,8,0.527233560091,"""4/4""",60,0.192012453261,64.3770378079,13,0,1,Eb,A2,~lick
36.7551020408,0.137732426304,4,2,15,2,1,0.471587301587,"""4/4""",65,0.311507647292,66.5391547273,13,0,1,Eb,A2,~lick
36.9428571429,0.30612244898,4,2,15,2,2,0.471587301587,"""4/4""",58,1.11635349563,59.1254302545,13,0,1,Eb,A2,~lick
37.2489795918,0.109297052154,4,4,15,3,2,0.49201814059,"""4/4""",61,0.824663687537,68.510070197,13,0,1,Db7,A2,#lick
37.393877551,0.122766439909,4,4,15,3,3,0.49201814059,"""4/4""",63,0.512382097489,68.4644354491,13,0,1,Db7,A2,#lick
37.5183673469,0.138775510204,4,4,15,3,4,0.49201814059,"""4/4""",65,0.175995429519,63.9520383828,13,0,1,Db7,A2,#lick
37.6571428571,0.108163265306,4,4,15,4,1,0.524716553288,"""4/4""",68,0.323729982542,64.9650822925,13,0,1,Db7,A2,#lick
37.7653061224,0.157142857143,4,4,15,4,2,0.524716553288,"""4/4""",73,0.660375393301,69.6415181021,13,0,1,Db7,A2,#lick
37.9224489796,0.261224489796,4,4,15,4,3,0.524716553288,"""4/4""",68,0.682789199769,70.5120985196,13,0,1,Db7,A2,#lick
38.2530612245,0.14693877551,4,6,16,1,2,0.507596371882,"""4/4""",59,-0.365702620005,54.9897242601,13,0,1,B-7,A2,line_cx
38.4,0.0775510204082,4,6,16,1,3,0.507596371882,"""4/4""",61,0.0392963415639,60.8206419745,13,0,1,B-7,A2,line_cx
38.4775510204,0.163265306122,4,6,16,1,4,0.507596371882,"""4/4""",62,0.104907909605,62.7692020937,13,0,1,B-7,A2,line_cx
38.6510204082,0.0795918367347,4,6,16,1,6,0.507596371882,"""4/4""",64,0.870388991781,69.5814183868,13,0,1,B-7,A2,line_cx
38.7306122449,0.142403628118,4,6,16,2,1,0.506462585034,"""4/4""",66,0.989786990775,70.1452099072,13,0,1,B-7,A2,line_cx
38.8795918367,0.108526077098,4,6,16,2,3,0.506462585034,"""4/4""",64,0.75007418412,69.5057483224,13,0,1,B-7,A2,line_cx
39.0591836735,0.0918367346939,4,6,16,2,5,0.506462585034,"""4/4""",62,0.726702903684,69.9873218433,13,0,1,B-7,A2,line_cx
39.1510204082,0.0697505668934,4,6,16,2,6,0.506462585034,"""4/4""",61,0.733442212254,71.0279788323,13,0,1,B-7,A2,line_cx
39.2734693878,0.216099773243,4,4,16,3,2,0.482335600907,"""4/4""",59,0.0813615476138,62.7220722106,13,0,1,E7,A2,line_cx
39.493877551,0.0857142857143,4,4,16,3,3,0.482335600907,"""4/4""",54,1.02232413339,64.4812283086,13,0,1,E7,A2,~##lick
39.5857142857,0.112244897959,4,4,16,3,4,0.482335600907,"""4/4""",57,1.02232413339,67.9861094016,13,0,1,E7,A2,~##lick
39.7,0.0795691609977,4,3,16,4,1,0.507777777778,"""4/4""",54,0.384772740586,66.5759338894,13,0,1,E7,A2,~##lick
39.8265306122,0.135079365079,4,3,16,4,2,0.507777777778,"""4/4""",56,0.179303078695,62.8097480941,13,0,1,E7,A2,~##lick
39.9959183673,0.27693877551,4,3,16,4,3,0.507777777778,"""4/4""",52,1.04604059898,66.7424663177,13,0,1,E7,A2,~##lick
41.8836734694,0.128888888889,4,3,17,4,2,0.487845804989,"""4/4""",68,0.867095785315,71.4164195678,14,1,1,Bb-7,B1,line_i_aa
42.0428571429,0.191836734694,4,3,17,4,3,0.487845804989,"""4/4""",67,0.742380205204,70.4003883981,14,0,1,Bb-7,B1,line_i_aa
42.2346938776,0.157142857143,4,3,18,1,1,0.525827664399,"""4/4""",70,0.514633504857,69.1867364561,14,0,1,Eb7,B1,line_i_aa
42.3918367347,0.16820861678,4,3,18,1,2,0.525827664399,"""4/4""",68,0.608768257205,70.2768689739,14,0,1,Eb7,B1,line_i_aa
42.5653061224,0.143990929705,4,3,18,1,3,0.525827664399,"""4/4""",72,0.51094435562,68.8115352845,14,0,1,Eb7,B1,line_i_aa
42.7448979592,0.176666666667,4,3,18,2,1,0.519569160998,"""4/4""",70,0.531855082116,68.3092612689,14,0,1,Eb7,B1,line_i_aa
42.9326530612,0.167233560091,4,3,18,2,2,0.519569160998,"""4/4""",73,0.508292840321,69.019500202,14,0,1,Eb7,B1,line_i_aa
43.112244898,0.151020408163,4,3,18,2,3,0.519569160998,"""4/4""",72,0.496631875606,68.7773313351,14,0,1,Eb7,B1,line_i_aa
43.2775510204,0.328571428571,4,3,18,3,1,0.497868480726,"""4/4""",75,0.735622601544,71.1181887268,14,0,1,Eb7,B1,~melody
