onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
4.50902494331,0.145124716553,4,1,1,2,1,0.238503401361,"""4/4""",74,0.704235640925,70.2407627689,1,1,1,Bb6,A1,lick
4.75863945578,0.359909297052,4,1,1,3,1,0.250816326531,"""4/4""",77,0.997432086165,72.3567173283,1,0,1,Bb6,A1,lick
5.15192743764,0.105941043084,4,2,1,4,2,0.249909297052,"""4/4""",74,0.75473780176,71.6637694678,1,0,1,G7,A1,lick
5.27818594104,0.178503401361,4,4,2,1,1,0.256712018141,"""4/4""",75,0.93239967992,73.559817259,1,0,1,C-7,A1,lick
5.48136054422,0.223492063492,4,4,2,1,4,0.256712018141,"""4/4""",77,0.679473491809,70.4443083521,1,0,1,C-7,A1,lick
6.46240362812,0.163990929705,4,1,3,2,1,0.240657596372,"""4/4""",74,0.531405602282,68.5115695233,2,1,1,Bb6,A1,#lick
6.71492063492,0.371519274376,4,1,3,3,1,0.248639455782,"""4/4""",75,0.998312140654,72.1870512817,2,0,1,Bb6,A1,#lick
7.259138322,0.126258503401,4,1,4,1,1,0.248321995465,"""4/4""",75,0.688786721319,72.0357837589,2,0,1,C7,A1,#lick
7.46811791383,0.146575963719,4,3,4,2,1,0.258367346939,"""4/4""",74,0.526282453183,68.5856971257,2,0,1,C7,A1,#lick
7.63501133787,0.317823129252,4,3,4,2,3,0.258367346939,"""4/4""",77,0.81251334742,65.3282851576,2,0,1,C7,A1,#lick
9.16607709751,0.141496598639,4,4,6,1,1,0.222403628118,"""4/4""",86,1.21358691155,75.5281741048,3,1,1,Bb7,A1,line_w_d
9.35909297052,0.052970521542,4,4,6,1,4,0.222403628118,"""4/4""",84,0.809417978056,69.7476952842,3,0,1,Eb6,A1,line_w_d
9.42222222222,0.129160997732,4,1,6,2,1,0.248662131519,"""4/4""",82,0.842571875711,72.6867963905,3,0,1,Eb6,A1,line_w_d
9.67183673469,0.129886621315,4,3,6,3,1,0.240657596372,"""4/4""",84,1.27572174679,76.0229409475,3,0,1,Eb-6,A1,line_w_d
