onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
7.30848072562,0.16253968254,4,10,1,1,6,0.875011337868,"""4/4""",67,0.912169655575,70.1852696396,1,1,1,F7,A1,lick
7.47682539683,0.0638548752834,4,10,1,1,8,0.875011337868,"""4/4""",66,0.530400151694,68.5622360567,1,0,1,F7,A1,lick
7.56530612245,0.0580498866213,4,10,1,1,9,0.875011337868,"""4/4""",64,0.897291441204,73.1520690325,1,0,1,F7,A1,lick
7.62653061224,0.0696598639456,4,10,1,1,10,0.875011337868,"""4/4""",62,0.582326772024,66.8911974555,1,0,1,F7,A1,lick
7.71224489796,0.0734693877551,4,8,1,2,1,0.838684807256,"""4/4""",63,0.756277319112,69.7359045225,1,0,1,F7,A1,lick
7.82244897959,0.167346938776,4,8,1,2,2,0.838684807256,"""4/4""",63,0.724865580124,67.8921773443,1,0,1,F7,A1,lick
8.08163265306,0.0591836734694,4,8,1,2,4,0.838684807256,"""4/4""",54,0.533169861716,68.4390881303,1,0,1,F7,A1,lick
8.14693877551,0.0448979591837,4,8,1,2,5,0.838684807256,"""4/4""",56,0.58832462524,67.5454449979,1,0,1,F7,A1,lick
8.24081632653,0.228571428571,4,8,1,2,6,0.838684807256,"""4/4""",58,0.845137472581,70.1535305513,1,0,1,F7,A1,lick
8.50408163265,0.230612244898,4,8,1,2,8,0.838684807256,"""4/4""",62,0.85770109818,65.745726171,1,0,1,F7,A1,lick
8.74081632653,0.0612244897959,4,7,1,3,2,0.856371882086,"""4/4""",60,0.311760923351,66.0938750457,1,0,1,F7,A1,lick
8.81020408163,0.0571428571429,4,7,1,3,3,0.856371882086,"""4/4""",62,0.274394997783,66.8495285704,1,0,1,F7,A1,lick
8.88571428571,0.065306122449,4,7,1,3,4,0.856371882086,"""4/4""",60,0.826431063807,70.3347583,1,0,1,F7,A1,lick
8.9612244898,0.130612244898,4,7,1,3,5,0.856371882086,"""4/4""",58,0.980658024896,71.0329106171,1,0,1,F7,A1,lick
9.10612244898,0.165306122449,4,7,1,3,6,0.856371882086,"""4/4""",57,0.62352415762,65.0922708641,1,0,1,F7,A1,lick
9.31020408163,0.0714285714286,4,7,1,3,7,0.856371882086,"""4/4""",60,0.39520398088,67.621389252,1,0,1,F7,A1,lick
9.38163265306,0.0428571428571,4,6,1,4,1,0.824761904762,"""4/4""",63,0.676807702159,67.6665323265,1,0,1,F7,A1,lick
