onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
7.21560090703,0.493424036281,4,1,1,3,1,0.248979591837,"""4/4""",60,0.829037456387,57.3589840557,1,1,1,G-7,A1,lick
7.73151927438,0.151655328798,4,3,2,1,1,0.263446712018,"""4/4""",60,1.0356440376,69.636419429,1,0,1,C7,A1,lick
7.90494331066,0.0783673469388,4,3,2,1,3,0.263446712018,"""4/4""",62,0.710122383667,68.3653338319,1,0,1,C7,A1,lick
8.00943310658,0.105215419501,4,2,2,2,1,0.23283446712,"""4/4""",64,0.797815249625,69.9112272751,1,0,1,C7,A1,lick
8.12843537415,0.105215419501,4,2,2,2,2,0.23283446712,"""4/4""",65,0.809257388452,70.0501219204,1,0,1,C7,A1,lick
8.25324263039,0.132063492063,4,2,2,3,1,0.257709750567,"""4/4""",60,0.363493826186,64.5234496884,1,0,1,C7,A1,lick
8.3998185941,0.0841723356009,4,2,2,3,2,0.257709750567,"""4/4""",59,0.529787932674,67.4368336074,1,0,1,C7,A1,lick
8.50285714286,0.120453514739,4,1,2,4,1,0.234126984127,"""4/4""",58,0.39141249165,63.7730741438,1,0,1,C7,A1,lick
8.74489795918,0.467346938776,4,1,3,1,1,0.259092970522,"""4/4""",60,0.744916109608,58.9465284133,1,0,1,G-7,A1,~#lick
9.24081632653,0.455102040816,4,1,3,3,1,0.259206349206,"""4/4""",60,0.872580089813,58.2591404978,1,0,1,G-7,A1,~#lick
9.7306122449,0.157142857143,4,1,4,1,1,0.252494331066,"""4/4""",60,0.888675731509,66.9527488794,1,0,1,C79b,A1,~#lick
9.98265306122,0.0857142857143,4,3,4,2,1,0.246848072562,"""4/4""",58,0.810155944179,69.8202497578,1,0,1,C79b,A1,~#lick
10.0790929705,0.0693424036281,4,3,4,2,2,0.246848072562,"""4/4""",60,0.769091393352,67.2928717651,1,0,1,C79b,A1,~#lick
10.1609070295,0.0942857142857,4,3,4,2,3,0.246848072562,"""4/4""",58,0.709369077095,69.1744162544,1,0,1,C79b,A1,~#lick
10.2756462585,0.0948979591837,4,2,4,3,1,0.254965986395,"""4/4""",56,0.855625292608,64.1165800077,1,0,1,C79b,A1,~#lick
10.39138322,0.0755102040816,4,2,4,3,2,0.254965986395,"""4/4""",53,0.674719470573,68.2646552255,1,0,1,C79b,A1,~#lick
10.4736507937,0.0897959183673,4,1,4,4,1,0.249047619048,"""4/4""",50,0.0806789077303,60.2133963648,1,0,1,C79b,A1,~#lick
10.7566439909,0.121428571429,4,2,5,1,1,0.232993197279,"""4/4""",53,0.642850889853,67.742390066,1,0,1,Fj7,A1,~line_cx
10.887755102,0.0673469387755,4,2,5,1,2,0.232993197279,"""4/4""",56,0.839570491338,67.710447107,1,0,1,Fj7,A1,~line_cx
10.9714285714,0.134693877551,4,3,5,2,1,0.253696145125,"""4/4""",57,0.0651642850419,62.5380433983,1,0,1,Fj7,A1,~line_cx
11.1310657596,0.0747392290249,4,3,5,2,3,0.253696145125,"""4/4""",60,-0.495736132049,56.1897538552,1,0,1,Fj7,A1,~line_cx
11.2355555556,0.121179138322,4,1,5,3,1,0.257959183673,"""4/4""",62,0.98359960527,70.5527284983,1,0,1,Fj7,A1,~line_cx
11.4895238095,0.116825396825,4,1,5,4,1,0.23380952381,"""4/4""",63,0.909941688632,71.282431056,1,0,1,Fj7,A1,~line_cx
11.7449433107,0.100136054422,4,2,6,1,1,0.232947845805,"""4/4""",62,0.409013763882,60.2116333433,1,0,1,G-7,A1,~line_cx
11.8690249433,0.0816326530612,4,2,6,1,2,0.232947845805,"""4/4""",60,0.696549383456,68.4414941889,1,0,1,G-7,A1,~line_cx
11.9785941043,0.0863492063492,4,1,6,2,1,0.243854875283,"""4/4""",58,0.236815326986,63.8281905923,1,0,1,G-7,A1,~line_cx
12.6891609977,0.117346938776,4,2,7,1,1,0.239455782313,"""4/4""",60,1.30912830757,73.1324589403,2,1,1,Fj7,A1,lick
12.8224943311,0.0979591836735,4,2,7,1,2,0.239455782313,"""4/4""",58,1.01462533654,70.7544464301,2,0,1,Fj7,A1,lick
12.9451247166,0.135691609977,4,1,7,2,1,0.252675736961,"""4/4""",57,0.318162313673,63.9372987024,2,0,1,Fj7,A1,lick
13.1649886621,0.150929705215,4,3,7,3,1,0.253378684807,"""4/4""",58,1.2129725688,71.3371269747,2,0,1,Fj7,A1,lick
13.3295918367,0.0877551020408,4,3,7,3,3,0.253378684807,"""4/4""",57,0.8074050707,69.1649237634,2,0,1,G-7,A1,lick
13.4414512472,0.110204081633,4,2,7,4,1,0.238480725624,"""4/4""",55,0.358295659402,64.7072416913,2,0,1,G-7,A1,lick
13.5656689342,0.12820861678,4,2,7,4,2,0.238480725624,"""4/4""",57,0.978957693761,70.1078797079,2,0,1,G-7,A1,lick
13.8318367347,0.206077097506,4,2,8,1,2,0.233832199546,"""4/4""",53,1.02682140051,66.9567656627,2,0,1,A-7,A1,~melody: quote?
